"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"904.75","14.625","3008 33B2 DDD9 0140 0000 0020","5.203262832508095","-48.5","2021-03-27 22:58:49.882"
"904.75","-9.75","3008 33B2 DDD9 0140 0000 0020","5.240078371417351","-48.5","2021-03-27 22:58:49.906"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.2339424482658075","-48.5","2021-03-27 22:58:49.959"
"904.75","-9.75","3008 33B2 DDD9 0140 0000 0020","5.252350217720435","-48.0","2021-03-27 22:58:49.98"
"924.25","-9.75","3008 33B2 DDD9 0140 0000 0020","4.896466674930966","-49.0","2021-03-27 22:58:50.05"
"924.25","12.1875","3008 33B2 DDD9 0140 0000 0020","4.884194828627882","-49.0","2021-03-27 22:58:50.072"
"924.25","0.0","3008 33B2 DDD9 0140 0000 0020","4.896466674930966","-49.5","2021-03-27 22:58:50.127"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.896466674930966","-49.0","2021-03-27 22:58:50.149"
"922.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.553010452146021","-49.0","2021-03-27 22:58:50.203"
"922.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.5714182216006485","-49.0","2021-03-27 22:58:50.225"
"922.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.553010452146021","-49.0","2021-03-27 22:58:50.281"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.583690067903734","-49.0","2021-03-27 22:58:50.306"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0020","5.540738605842936","-49.0","2021-03-27 22:58:50.361"
"922.25","0.0","3008 33B2 DDD9 0140 0000 0020","5.540738605842936","-49.0","2021-03-27 22:58:50.385"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.6079228131070282","-48.5","2021-03-27 22:58:50.456"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0020","3.6017868899554855","-49.0","2021-03-27 22:58:50.477"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.5956509668039427","-49.0","2021-03-27 22:58:50.532"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0020","3.5956509668039427","-49.0","2021-03-27 22:58:50.555"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0020","6.080699843178682","-48.5","2021-03-27 22:58:50.609"
"920.75","14.625","3008 33B2 DDD9 0140 0000 0020","6.086835766330224","-48.5","2021-03-27 22:58:50.631"
"920.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","6.129787228391022","-48.5","2021-03-27 22:58:50.686"
"920.75","-9.75","3008 33B2 DDD9 0140 0000 0020","6.105243535784852","-48.5","2021-03-27 22:58:50.708"
"920.75","14.625","3008 33B2 DDD9 0140 0000 0020","6.074563920027139","-48.5","2021-03-27 22:58:50.762"
"920.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","6.105243535784852","-48.5","2021-03-27 22:58:50.786"
"925.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.338097668140593","-49.5","2021-03-27 22:58:50.861"
"925.75","0.25","C200 1001 2001 E054 B451 0004","1.8653206380689396","-62.5","2021-03-27 22:58:50.885"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.3503695144436785","-49.5","2021-03-27 22:58:50.894"
"925.75","0.0","C200 1001 2001 E054 B451 0004","1.8285050991596843","-62.5","2021-03-27 22:58:50.917"
"925.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.356505437595221","-49.5","2021-03-27 22:58:50.956"
"925.75","0.0","C200 1001 2001 E054 B451 0004","1.8653206380689396","-62.5","2021-03-27 22:58:50.978"
"925.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.374913207049849","-49.5","2021-03-27 22:58:50.99"
"925.75","-0.125","C200 1001 2001 E054 B451 0004","1.8530487917658545","-62.5","2021-03-27 22:58:51.004"
"906.25","0.0","3008 33B2 DDD9 0140 0000 0020","4.816699673960914","-49.0","2021-03-27 22:58:51.065"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0020","4.792155981354743","-49.0","2021-03-27 22:58:51.088"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.798291904506286","-49.0","2021-03-27 22:58:51.142"
"906.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.822835597112456","-49.0","2021-03-27 22:58:51.166"
"919.25","-4.875","3008 33B2 DDD9 0140 0000 0020","0.4540583132141498","-48.0","2021-03-27 22:58:51.223"
"919.25","14.625","3008 33B2 DDD9 0140 0000 0020","0.4111068511533518","-48.0","2021-03-27 22:58:51.245"
"919.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.4172427743048944","-48.0","2021-03-27 22:58:51.299"
"919.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.4172427743048944","-48.0","2021-03-27 22:58:51.321"
"919.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.3988350048502667","-48.0","2021-03-27 22:58:51.374"
"919.25","2.4375","3008 33B2 DDD9 0140 0000 0020","0.4356505437595221","-48.0","2021-03-27 22:58:51.399"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.2948352586769194","-49.0","2021-03-27 22:58:51.475"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.2641556429192065","-49.0","2021-03-27 22:58:51.498"
"914.25","26.8125","3008 33B2 DDD9 0140 0000 0020","2.2518837966161214","-48.5","2021-03-27 22:58:51.551"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0020","2.2886993355253766","-48.5","2021-03-27 22:58:51.573"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.080544369477243","-48.0","2021-03-27 22:58:51.63"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0020","5.080544369477243","-48.5","2021-03-27 22:58:51.656"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.098952138931871","-48.5","2021-03-27 22:58:51.708"
"905.25","9.75","3008 33B2 DDD9 0140 0000 0020","5.074408446325701","-48.5","2021-03-27 22:58:51.732"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.092816215780329","-48.5","2021-03-27 22:58:51.786"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.092816215780329","-48.5","2021-03-27 22:58:51.807"
"916.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.3560390164909069","-48.0","2021-03-27 22:58:51.883"
"916.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.3744467859455345","-48.0","2021-03-27 22:58:51.905"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0020","1.3744467859455345","-48.0","2021-03-27 22:58:51.959"
"916.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.3621749396424494","-48.0","2021-03-27 22:58:51.983"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0020","3.877903431774901","-50.5","2021-03-27 22:58:52.037"
"927.25","0.1875","C200 1001 2001 E054 B451 0004","0.9694758579437253","-61.5","2021-03-27 22:58:52.056"
"927.25","-23.1875","3008 33B2 DDD9 0140 0000 0020","3.902447124381071","-50.5","2021-03-27 22:58:52.069"
"927.25","0.5625","C200 1001 2001 E054 B451 0004","0.9756117810952678","-61.5","2021-03-27 22:58:52.081"
"927.25","17.0625","3008 33B2 DDD9 0140 0000 0020","3.847223816017188","-50.0","2021-03-27 22:58:52.135"
"927.25","0.625","C200 1001 2001 E054 B451 0004","0.9940195505498954","-61.5","2021-03-27 22:58:52.144"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","3.865631585471816","-50.5","2021-03-27 22:58:52.167"
"927.25","-0.0625","C200 1001 2001 E054 B451 0004","1.0369710126106935","-61.5","2021-03-27 22:58:52.187"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.080388895775806","-49.0","2021-03-27 22:58:52.236"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0020","4.037437433715008","-49.0","2021-03-27 22:58:52.26"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.080388895775806","-49.0","2021-03-27 22:58:52.313"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.061981126321178","-49.0","2021-03-27 22:58:52.335"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0020","4.061981126321178","-49.0","2021-03-27 22:58:52.391"
"908.75","9.75","3008 33B2 DDD9 0140 0000 0020","4.04357335686655","-49.0","2021-03-27 22:58:52.415"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","3.2459033471660166","-49.0","2021-03-27 22:58:52.489"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","3.2459033471660166","-49.0","2021-03-27 22:58:52.51"
"911.25","20.75","3008 33B2 DDD9 0140 0000 0020","3.2520392703175593","-49.0","2021-03-27 22:58:52.564"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.2520392703175593","-49.0","2021-03-27 22:58:52.587"
"902.75","-9.75","3008 33B2 DDD9 0140 0000 0020","5.890486225480862","-47.5","2021-03-27 22:58:52.64"
"902.75","1.5625","E200 001D 1910 0118 1310 566F","5.632777453116074","-66.5","2021-03-27 22:58:52.664"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.872078456026235","-48.0","2021-03-27 22:58:52.677"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.878214379177777","-47.5","2021-03-27 22:58:52.732"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.872078456026235","-48.0","2021-03-27 22:58:52.755"
"902.75","-2.125","E200 001D 1910 0118 1310 566F","5.7616318392984684","-66.5","2021-03-27 22:58:52.773"
"902.75","17.0625","3008 33B2 DDD9 0140 0000 0020","5.835262917116979","-48.0","2021-03-27 22:58:52.819"
"903.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","5.559146375297564","-48.5","2021-03-27 22:58:52.861"
"903.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.546874528994478","-48.5","2021-03-27 22:58:52.916"
"903.75","-9.75","3008 33B2 DDD9 0140 0000 0020","5.559146375297564","-48.5","2021-03-27 22:58:52.939"
"903.75","14.625","3008 33B2 DDD9 0140 0000 0020","5.522330836388308","-48.5","2021-03-27 22:58:52.993"
"903.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","5.5714182216006485","-48.5","2021-03-27 22:58:53.016"
"926.75","0.0","3008 33B2 DDD9 0140 0000 0020","4.080388895775806","-50.0","2021-03-27 22:58:53.095"
"926.75","0.25","C200 1001 2001 E054 B451 0004","1.282407938672396","-62.0","2021-03-27 22:58:53.109"
"926.75","23.1875","3008 33B2 DDD9 0140 0000 0020","4.037437433715008","-50.5","2021-03-27 22:58:53.127"
"926.75","0.5625","C200 1001 2001 E054 B451 0004","1.2701360923693108","-62.0","2021-03-27 22:58:53.152"
"926.75","9.75","3008 33B2 DDD9 0140 0000 0020","4.031301510563465","-50.0","2021-03-27 22:58:53.191"
"926.75","-0.75","C200 1001 2001 E054 B451 0004","1.3130875544301088","-62.0","2021-03-27 22:58:53.208"
"926.75","0.0","3008 33B2 DDD9 0140 0000 0020","4.049709280018092","-50.0","2021-03-27 22:58:53.224"
"904.25","-21.9375","3008 33B2 DDD9 0140 0000 0020","5.424156065963627","-48.5","2021-03-27 22:58:53.295"
"904.25","7.3125","3008 33B2 DDD9 0140 0000 0020","5.399612373357457","-48.5","2021-03-27 22:58:53.316"
"904.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","5.411884219660542","-48.5","2021-03-27 22:58:53.372"
"904.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.411884219660542","-49.0","2021-03-27 22:58:53.394"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.5401167110371838","-48.5","2021-03-27 22:58:53.449"
"916.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.552388557340269","-48.5","2021-03-27 22:58:53.474"
"916.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.564660403643354","-48.5","2021-03-27 22:58:53.526"
"916.25","29.25","3008 33B2 DDD9 0140 0000 0020","1.533980787885641","-48.5","2021-03-27 22:58:53.549"
"916.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.5462526341887264","-48.5","2021-03-27 22:58:53.604"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.5462526341887264","-48.5","2021-03-27 22:58:53.627"
"905.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.945554060143307","-48.5","2021-03-27 22:58:53.701"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.92714629068868","-48.5","2021-03-27 22:58:53.724"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.945554060143307","-48.5","2021-03-27 22:58:53.776"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0020","4.945554060143307","-48.5","2021-03-27 22:58:53.8"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.448388811166921","-49.0","2021-03-27 22:58:53.854"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0020","3.442252888015379","-49.0","2021-03-27 22:58:53.875"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0020","3.4177091954092087","-49.0","2021-03-27 22:58:53.93"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0020","3.423845118560751","-49.0","2021-03-27 22:58:53.951"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.4177091954092087","-49.0","2021-03-27 22:58:54.006"
"910.75","19.5","3008 33B2 DDD9 0140 0000 0020","3.4054373491061236","-48.5","2021-03-27 22:58:54.028"
"921.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.9518454569962875","-48.5","2021-03-27 22:58:54.108"
"921.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.964117303299373","-48.5","2021-03-27 22:58:54.131"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0020","5.93343768754166","-48.5","2021-03-27 22:58:54.186"
"921.25","-9.75","3008 33B2 DDD9 0140 0000 0020","5.9518454569962875","-48.5","2021-03-27 22:58:54.208"
"909.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","3.9147189706841563","-49.5","2021-03-27 22:58:54.261"
"909.25","-12.1875","3008 33B2 DDD9 0140 0000 0020","3.9392626632903265","-49.5","2021-03-27 22:58:54.283"
"909.25","-4.875","3008 33B2 DDD9 0140 0000 0020","3.9269908169872414","-49.5","2021-03-27 22:58:54.336"
"909.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","3.933126740138784","-49.5","2021-03-27 22:58:54.36"
"909.25","0.0","3008 33B2 DDD9 0140 0000 0020","3.9085830475326135","-49.5","2021-03-27 22:58:54.412"
"909.25","0.0","3008 33B2 DDD9 0140 0000 0020","3.9269908169872414","-49.5","2021-03-27 22:58:54.435"
"912.25","26.8125","3008 33B2 DDD9 0140 0000 0020","2.9268353432858034","-49.0","2021-03-27 22:58:54.509"
"912.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.9268353432858034","-49.0","2021-03-27 22:58:54.532"
"912.25","30.5","3008 33B2 DDD9 0140 0000 0020","2.890019804376548","-49.0","2021-03-27 22:58:54.585"
"912.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.9145634969827183","-49.0","2021-03-27 22:58:54.608"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.712544454086128","-48.0","2021-03-27 22:58:54.662"
"903.25","7.3125","3008 33B2 DDD9 0140 0000 0020","5.681864838328415","-48.0","2021-03-27 22:58:54.684"
"903.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.706408530934585","-48.0","2021-03-27 22:58:54.74"
"903.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.71868037723767","-48.0","2021-03-27 22:58:54.763"
"903.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","5.712544454086128","-48.0","2021-03-27 22:58:54.818"
