"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0060","0.9203884727313847","-36.5","2021-03-27 23:23:53.885"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0060","0.9203884727313847","-36.5","2021-03-27 23:23:53.912"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","0.9265243958829272","-36.5","2021-03-27 23:23:53.966"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.331961744989051","-36.0","2021-03-27 23:23:53.999"
"920.75","-23.1875","E200 001D 1910 0117 1310 5A02","0.2699806186678728","-65.5","2021-03-27 23:23:54.054"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0060","4.331961744989051","-36.0","2021-03-27 23:23:54.055"
"920.75","-40.25","E200 001D 1910 0117 1310 5A02","0.4356505437595221","-65.0","2021-03-27 23:23:54.075"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0060","4.319689898685965","-36.5","2021-03-27 23:23:54.076"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0060","4.301282129231338","-36.0","2021-03-27 23:23:54.13"
"920.75","-42.6875","E200 001D 1910 0117 1310 5A02","0.2270291566070749","-67.0","2021-03-27 23:23:54.132"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0060","4.3074180523828804","-36.0","2021-03-27 23:23:54.153"
"920.75","52.4375","E200 001D 1910 0117 1310 5A02","0.2761165418194154","-65.5","2021-03-27 23:23:54.155"
"925.75","4.875","3008 33B2 DDD9 0140 0000 0060","2.8961557275280905","-36.5","2021-03-27 23:23:54.208"
"925.75","0.125","E200 001D 1910 0117 1310 5A02","0.380427235395639","-68.5","2021-03-27 23:23:54.218"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0060","2.8961557275280905","-36.5","2021-03-27 23:23:54.24"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.9084275738311756","-36.5","2021-03-27 23:23:54.294"
"925.75","-4.875","3008 33B2 DDD9 0140 0000 0060","2.9145634969827183","-36.5","2021-03-27 23:23:54.304"
"925.75","3.9375","E200 001D 1910 0117 1310 5A02","0.23930100291016002","-67.5","2021-03-27 23:23:54.316"
