"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0030","5.227806525114265","-47.0","2021-03-27 23:37:20.893"
"924.25","-4.875","3008 33B2 DDD9 0140 0000 0030","5.258486140871978","-47.0","2021-03-27 23:37:20.916"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.221670601962723","-47.0","2021-03-27 23:37:20.971"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.258486140871978","-47.0","2021-03-27 23:37:20.993"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.798447378207723","-47.5","2021-03-27 23:37:21.07"
"922.25","-4.875","3008 33B2 DDD9 0140 0000 0030","5.810719224510809","-47.5","2021-03-27 23:37:21.093"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.780039608753096","-47.5","2021-03-27 23:37:21.148"
"922.25","-17.0625","3008 33B2 DDD9 0140 0000 0030","5.816855147662351","-47.5","2021-03-27 23:37:21.17"
"910.25","21.9375","3008 33B2 DDD9 0140 0000 0030","2.509592568980909","-49.5","2021-03-27 23:37:21.225"
"910.25","-0.625","C200 1001 2001 E054 B451 0004","2.2641556429192065","-63.0","2021-03-27 23:37:21.236"
"910.25","0.0","E200 001D 1910 0117 1310 5A02","6.135923151542564","-69.5","2021-03-27 23:37:21.256"
"910.25","-9.75","3008 33B2 DDD9 0140 0000 0030","2.5402721847386216","-49.5","2021-03-27 23:37:21.264"
"910.25","-0.0625","C200 1001 2001 E054 B451 0004","2.2518837966161214","-63.0","2021-03-27 23:37:21.284"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0030","2.521864415283994","-49.5","2021-03-27 23:37:21.331"
"910.25","0.1875","C200 1001 2001 E054 B451 0004","2.1966604882522383","-63.0","2021-03-27 23:37:21.35"
"910.25","14.625","3008 33B2 DDD9 0140 0000 0030","2.509592568980909","-49.5","2021-03-27 23:37:21.363"
"910.25","0.0","C200 1001 2001 E054 B451 0004","2.227340104009951","-63.0","2021-03-27 23:37:21.385"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0030","6.160466844148735","-48.0","2021-03-27 23:37:21.429"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0030","6.17273869045182","-48.0","2021-03-27 23:37:21.453"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0030","6.215690152512618","-48.0","2021-03-27 23:37:21.506"
"920.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","6.22182607566416","-48.5","2021-03-27 23:37:21.528"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0030","6.1850105367549055","-48.0","2021-03-27 23:37:21.582"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0030","6.215690152512618","-48.5","2021-03-27 23:37:21.605"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0030","4.841243366567084","-47.0","2021-03-27 23:37:21.68"
"925.75","-12.1875","3008 33B2 DDD9 0140 0000 0030","4.896466674930966","-47.0","2021-03-27 23:37:21.704"
"925.75","-4.875","3008 33B2 DDD9 0140 0000 0030","4.847379289718626","-47.0","2021-03-27 23:37:21.758"
"925.75","0.0","3008 33B2 DDD9 0140 0000 0030","4.841243366567084","-47.0","2021-03-27 23:37:21.779"
"906.25","31.6875","3008 33B2 DDD9 0140 0000 0030","3.429981041712294","-50.0","2021-03-27 23:37:21.833"
"906.25","18.25","C200 1001 2001 E054 B451 0004","4.509903516383785","-60.5","2021-03-27 23:37:21.834"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0030","3.4606606574700063","-49.5","2021-03-27 23:37:21.856"
"906.25","7.3125","C200 1001 2001 E054 B451 0004","4.632621979414636","-61.0","2021-03-27 23:37:21.857"
"906.25","17.0625","3008 33B2 DDD9 0140 0000 0030","3.442252888015379","-50.0","2021-03-27 23:37:21.909"
"906.25","0.0","C200 1001 2001 E054 B451 0004","4.565126824747668","-61.0","2021-03-27 23:37:21.911"
