"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.25","19.5","3008 33B2 DDD9 0140 0000 0030","2.030990563160589","-38.0","2021-03-27 23:07:52.625"
"922.25","-0.125","C200 1001 2001 E054 B451 0004","5.209398755659637","-63.5","2021-03-27 23:07:52.64"
"922.25","0.125","E200 001D 1910 0117 1310 5A02","5.6573211457222445","-67.5","2021-03-27 23:07:52.653"
"910.25","-4.875","3008 33B2 DDD9 0140 0000 0030","4.675573441475434","-43.0","2021-03-27 23:07:52.699"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.663301595172349","-43.0","2021-03-27 23:07:52.721"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.657165672020807","-43.0","2021-03-27 23:07:52.774"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0030","4.651029748869264","-43.0","2021-03-27 23:07:52.796"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.651029748869264","-43.0","2021-03-27 23:07:52.85"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0030","4.632621979414636","-43.0","2021-03-27 23:07:52.871"
"920.75","19.5","3008 33B2 DDD9 0140 0000 0030","2.405281875404685","-39.0","2021-03-27 23:07:52.931"
"920.75","-130.5625","E200 001D 1910 0117 1310 5A02","0.4111068511533518","-67.5","2021-03-27 23:07:52.932"
"920.75","-0.9375","C200 1001 2001 E054 B451 0004","5.9088939949354895","-64.5","2021-03-27 23:07:52.949"
"920.75","63.4375","E200 001D 1910 0117 1310 5A02","0.16566992509164924","-66.0","2021-03-27 23:07:52.965"
"920.75","19.5","3008 33B2 DDD9 0140 0000 0030","2.405281875404685","-39.0","2021-03-27 23:07:52.966"
"920.75","-1.3125","C200 1001 2001 E054 B451 0004","5.927301764390117","-64.5","2021-03-27 23:07:52.987"
"920.75","170.875","E200 001D 1910 0117 1310 5A02","6.258641614573416","-67.0","2021-03-27 23:07:53.03"
"920.75","14.625","3008 33B2 DDD9 0140 0000 0030","2.405281875404685","-39.0","2021-03-27 23:07:53.032"
"920.75","0.875","C200 1001 2001 E054 B451 0004","5.896622148632405","-64.5","2021-03-27 23:07:53.045"
"920.75","19.5","3008 33B2 DDD9 0140 0000 0030","2.3930100291016","-39.0","2021-03-27 23:07:53.063"
"920.75","-85.4375","E200 001D 1910 0117 1310 5A02","0.3865631585471816","-67.5","2021-03-27 23:07:53.065"
"920.75","-0.8125","C200 1001 2001 E054 B451 0004","5.93343768754166","-64.5","2021-03-27 23:07:53.078"
"925.75","85.4375","E200 001D 1910 0117 1310 5A02","3.472932503773092","-66.0","2021-03-27 23:07:53.152"
"925.75","9.75","3008 33B2 DDD9 0140 0000 0030","1.1228739367322893","-36.5","2021-03-27 23:07:53.153"
"925.75","12.1875","3008 33B2 DDD9 0140 0000 0030","1.1228739367322893","-36.5","2021-03-27 23:07:53.175"
"925.75","-9.75","E200 001D 1910 0117 1310 5A02","3.80427235395639","-67.5","2021-03-27 23:07:53.176"
"925.75","96.375","E200 001D 1910 0117 1310 5A02","3.54042765844006","-67.0","2021-03-27 23:07:53.229"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0030","1.1106020904292042","-36.5","2021-03-27 23:07:53.23"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0030","1.1106020904292042","-36.5","2021-03-27 23:07:53.251"
"925.75","29.25","E200 001D 1910 0117 1310 5A02","3.6876898140770815","-69.0","2021-03-27 23:07:53.253"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.283029833478148","-43.0","2021-03-27 23:07:53.303"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0030","5.2768939103266055","-43.0","2021-03-27 23:07:53.325"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.2768939103266055","-43.5","2021-03-27 23:07:53.378"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0030","5.2768939103266055","-43.0","2021-03-27 23:07:53.401"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.2768939103266055","-43.0","2021-03-27 23:07:53.452"
"906.25","-4.875","3008 33B2 DDD9 0140 0000 0030","5.295301679781233","-43.0","2021-03-27 23:07:53.474"
"919.25","-9.75","E200 001D 1910 0117 1310 5A02","0.9265243958829272","-66.0","2021-03-27 23:07:53.526"
"919.25","17.0625","3008 33B2 DDD9 0140 0000 0030","2.773437264497239","-39.5","2021-03-27 23:07:53.528"
"919.25","24.375","3008 33B2 DDD9 0140 0000 0030","2.7550294950426117","-39.5","2021-03-27 23:07:53.549"
"919.25","80.5625","E200 001D 1910 0117 1310 5A02","0.803805932852076","-66.0","2021-03-27 23:07:53.549"
"919.25","19.5","3008 33B2 DDD9 0140 0000 0030","2.773437264497239","-39.5","2021-03-27 23:07:53.603"
"919.25","-13.375","E200 001D 1910 0117 1310 5A02","0.9878836273983529","-68.5","2021-03-27 23:07:53.606"
"919.25","31.6875","E200 001D 1910 0117 1310 5A02","0.8651651643675016","-66.5","2021-03-27 23:07:53.627"
"919.25","12.1875","3008 33B2 DDD9 0140 0000 0030","2.779573187648782","-39.5","2021-03-27 23:07:53.629"
