"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"904.25","-12.1875","3008 33B2 DDD9 0140 0000 0040","4.663301595172349","-32.0","2021-03-27 23:06:43.61"
"904.25","-9.75","3008 33B2 DDD9 0140 0000 0040","4.663301595172349","-32.0","2021-03-27 23:06:43.662"
"904.25","0.25","C200 1001 2001 E054 B451 0004","5.190990986205009","-66.5","2021-03-27 23:06:43.677"
"904.25","-12.1875","3008 33B2 DDD9 0140 0000 0040","4.657165672020807","-32.0","2021-03-27 23:06:43.694"
"904.25","-0.75","C200 1001 2001 E054 B451 0004","5.2339424482658075","-66.5","2021-03-27 23:06:43.719"
"904.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","4.657165672020807","-32.0","2021-03-27 23:06:43.757"
"916.25","4.25","E200 001D 1910 0117 1310 5A02","5.212466717235409","-68.0","2021-03-27 23:06:43.785"
"916.25","0.0625","C200 1001 2001 E054 B451 0004","0.7240389318820226","-65.0","2021-03-27 23:06:43.804"
"916.25","4.875","3008 33B2 DDD9 0140 0000 0040","2.429825568010856","-28.5","2021-03-27 23:06:43.82"
"916.25","0.25","C200 1001 2001 E054 B451 0004","0.705631162427395","-65.0","2021-03-27 23:06:43.846"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.429825568010856","-28.5","2021-03-27 23:06:43.884"
"916.25","-0.1875","C200 1001 2001 E054 B451 0004","0.7240389318820226","-65.0","2021-03-27 23:06:43.907"
"916.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.429825568010856","-28.5","2021-03-27 23:06:43.916"
"916.25","-0.25","C200 1001 2001 E054 B451 0004","0.7179030087304801","-65.0","2021-03-27 23:06:43.937"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.405592822807561","-31.5","2021-03-27 23:06:43.989"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.405592822807561","-31.5","2021-03-27 23:06:44.009"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.405592822807561","-31.5","2021-03-27 23:06:44.061"
"905.75","7.3125","3008 33B2 DDD9 0140 0000 0040","4.399456899656019","-31.5","2021-03-27 23:06:44.095"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.405592822807561","-31.5","2021-03-27 23:06:44.148"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0040","4.3933209765044765","-31.5","2021-03-27 23:06:44.169"
