"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.75","-4.875","3008 33B2 DDD9 0140 0000 0060","5.595961914206819","-39.0","2021-03-27 23:13:55.607"
"921.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","5.595961914206819","-39.0","2021-03-27 23:13:55.661"
"921.75","-0.0625","E200 001D 1910 0117 1310 5A02","5.706408530934585","-68.0","2021-03-27 23:13:55.681"
"921.75","0.0","3008 33B2 DDD9 0140 0000 0060","5.577554144752192","-39.0","2021-03-27 23:13:55.695"
"921.75","1.3125","E200 001D 1910 0117 1310 5A02","5.688000761479957","-68.5","2021-03-27 23:13:55.716"
"921.75","4.875","3008 33B2 DDD9 0140 0000 0060","5.583690067903734","-39.0","2021-03-27 23:13:55.758"
"917.75","7.3125","3008 33B2 DDD9 0140 0000 0060","0.4479223900626072","-39.5","2021-03-27 23:13:55.804"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0060","0.4295146206079795","-40.0","2021-03-27 23:13:55.858"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0060","0.44178646691106466","-39.5","2021-03-27 23:13:55.879"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0060","0.44178646691106466","-39.5","2021-03-27 23:13:55.933"
"917.75","19.5","3008 33B2 DDD9 0140 0000 0060","0.44178646691106466","-39.5","2021-03-27 23:13:55.956"
"920.25","2.4375","3008 33B2 DDD9 0140 0000 0060","6.037748381117884","-39.0","2021-03-27 23:13:56.033"
"920.25","7.3125","3008 33B2 DDD9 0140 0000 0060","6.025476534814799","-39.0","2021-03-27 23:13:56.054"
"920.25","9.75","3008 33B2 DDD9 0140 0000 0060","6.019340611663256","-39.0","2021-03-27 23:13:56.108"
"920.25","2.4375","3008 33B2 DDD9 0140 0000 0060","6.025476534814799","-39.0","2021-03-27 23:13:56.132"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0060","0.3129320807286708","-39.5","2021-03-27 23:13:56.19"
"918.25","14.625","3008 33B2 DDD9 0140 0000 0060","0.30679615757712825","-40.0","2021-03-27 23:13:56.213"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0060","0.30679615757712825","-39.5","2021-03-27 23:13:56.265"
"918.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.3129320807286708","-39.5","2021-03-27 23:13:56.289"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.3190680038802134","-39.5","2021-03-27 23:13:56.341"
"918.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.3190680038802134","-39.5","2021-03-27 23:13:56.364"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0060","2.5709518004963345","-41.0","2021-03-27 23:13:56.425"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0060","2.564815877344792","-41.0","2021-03-27 23:13:56.447"
"908.25","-4.875","3008 33B2 DDD9 0140 0000 0060","2.5586799541932495","-41.0","2021-03-27 23:13:56.5"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0060","2.552544031041707","-41.0","2021-03-27 23:13:56.523"
"908.25","2.4375","3008 33B2 DDD9 0140 0000 0060","2.5586799541932495","-41.0","2021-03-27 23:13:56.576"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.1965050145508","-40.0","2021-03-27 23:13:56.615"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.1965050145508","-40.0","2021-03-27 23:13:56.668"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.1965050145508","-40.5","2021-03-27 23:13:56.692"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0060","1.2087768608538851","-40.5","2021-03-27 23:13:56.746"
"914.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.1903690913992575","-40.0","2021-03-27 23:13:56.769"
"924.75","-92.75","E200 001D 1910 0117 1310 5A02","4.2031073588066565","-67.5","2021-03-27 23:13:56.847"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0060","4.779884135051658","-38.5","2021-03-27 23:13:56.848"
"924.75","-106.1875","E200 001D 1910 0117 1310 5A02","4.061981126321178","-65.5","2021-03-27 23:13:56.87"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0060","4.773748211900116","-38.5","2021-03-27 23:13:56.871"
"924.75","-17.0625","E200 001D 1910 0117 1310 5A02","3.847223816017188","-67.0","2021-03-27 23:13:56.924"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0060","4.76147636559703","-38.5","2021-03-27 23:13:56.925"
"924.75","0.0","E200 001D 1910 0117 1310 5A02","3.8717675086233583","-66.5","2021-03-27 23:13:56.947"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0060","4.755340442445488","-38.5","2021-03-27 23:13:56.949"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.4051264017032472","-41.0","2021-03-27 23:13:57.003"
"913.75","-4.875","3008 33B2 DDD9 0140 0000 0060","1.4480778637640452","-41.0","2021-03-27 23:13:57.026"
"913.75","-4.875","3008 33B2 DDD9 0140 0000 0060","1.4542137869155878","-41.0","2021-03-27 23:13:57.079"
"913.75","-0.125","E200 001D 1910 0117 1310 5A02","5.688000761479957","-68.0","2021-03-27 23:13:57.096"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0060","1.4358060174609601","-41.0","2021-03-27 23:13:57.113"
"913.75","1.5625","E200 001D 1910 0117 1310 5A02","5.712544454086128","-68.0","2021-03-27 23:13:57.125"
"913.75","12.1875","3008 33B2 DDD9 0140 0000 0060","1.41126232485479","-41.0","2021-03-27 23:13:57.176"
"925.25","3.3125","E200 001D 1910 0117 1310 5A02","0.4141748127291231","-67.5","2021-03-27 23:13:57.204"
"925.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.614214209960009","-38.5","2021-03-27 23:13:57.227"
"925.25","52.4375","E200 001D 1910 0117 1310 5A02","3.32567034813607","-66.0","2021-03-27 23:13:57.228"
"925.25","-40.25","E200 001D 1910 0117 1310 5A02","3.6324665057131984","-66.0","2021-03-27 23:13:57.281"
"925.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","4.626486056263094","-38.0","2021-03-27 23:13:57.283"
"925.25","-87.875","E200 001D 1910 0117 1310 5A02","3.8533597391687304","-65.5","2021-03-27 23:13:57.304"
"925.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","4.632621979414636","-38.5","2021-03-27 23:13:57.305"
"925.25","97.625","E200 001D 1910 0117 1310 5A02","3.509748042682347","-67.0","2021-03-27 23:13:57.358"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 0060","4.632621979414636","-38.5","2021-03-27 23:13:57.36"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 0060","4.620350133111551","-38.5","2021-03-27 23:13:57.382"
"925.25","37.8125","E200 001D 1910 0117 1310 5A02","3.5772431973493153","-67.0","2021-03-27 23:13:57.383"
"915.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.0799224746714913","-40.5","2021-03-27 23:13:57.456"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.0799224746714913","-40.0","2021-03-27 23:13:57.479"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.0921943209745766","-40.5","2021-03-27 23:13:57.533"
"915.25","12.1875","3008 33B2 DDD9 0140 0000 0060","1.086058397823034","-40.0","2021-03-27 23:13:57.554"
"911.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.8407769454627694","-40.5","2021-03-27 23:13:57.608"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0060","1.846912868614312","-40.5","2021-03-27 23:13:57.632"
"911.75","12.1875","3008 33B2 DDD9 0140 0000 0060","1.8346410223112268","-41.0","2021-03-27 23:13:57.683"
"911.75","0.5","E200 001D 1910 0117 1310 5A02","0.44178646691106466","-68.5","2021-03-27 23:13:57.705"
"911.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.846912868614312","-40.5","2021-03-27 23:13:57.718"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0060","1.859184714917397","-40.5","2021-03-27 23:13:57.772"
"911.75","12.1875","3008 33B2 DDD9 0140 0000 0060","1.846912868614312","-41.0","2021-03-27 23:13:57.795"
"918.75","14.625","3008 33B2 DDD9 0140 0000 0060","0.17794177139473438","-39.5","2021-03-27 23:13:57.863"
"918.75","9.75","3008 33B2 DDD9 0140 0000 0060","0.17794177139473438","-39.5","2021-03-27 23:13:57.886"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0060","0.17794177139473438","-39.5","2021-03-27 23:13:57.94"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0060","0.18407769454627693","-39.5","2021-03-27 23:13:57.962"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.6382914814618648","-41.0","2021-03-27 23:13:58.016"
"912.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","1.6444274046134073","-41.0","2021-03-27 23:13:58.038"
"912.75","0.4375","E200 001D 1910 0117 1310 5A02","6.191146459906448","-68.0","2021-03-27 23:13:58.061"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0060","1.6382914814618648","-41.0","2021-03-27 23:13:58.101"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0060","1.6382914814618648","-41.0","2021-03-27 23:13:58.124"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.6382914814618648","-41.0","2021-03-27 23:13:58.176"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.6321555583103222","-41.0","2021-03-27 23:13:58.2"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.5951845456996288","-40.0","2021-03-27 23:13:58.265"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0060","0.5951845456996288","-40.0","2021-03-27 23:13:58.289"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0060","0.5767767762450011","-40.0","2021-03-27 23:13:58.34"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.5890486225480862","-40.0","2021-03-27 23:13:58.363"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.2457478734645786","-41.5","2021-03-27 23:13:58.418"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0060","2.2334760271614935","-41.0","2021-03-27 23:13:58.438"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0060","2.2396119503130363","-41.0","2021-03-27 23:13:58.492"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0060","2.2334760271614935","-41.0","2021-03-27 23:13:58.515"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0060","2.2641556429192065","-41.5","2021-03-27 23:13:58.568"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0060","2.2518837966161214","-41.5","2021-03-27 23:13:58.591"
"907.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.6691265709210157","-41.0","2021-03-27 23:13:58.651"
"907.75","-4.875","3008 33B2 DDD9 0140 0000 0060","2.675262494072558","-41.0","2021-03-27 23:13:58.673"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0060","2.6568547246179306","-40.5","2021-03-27 23:13:58.726"
"907.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","2.6813984172241008","-40.5","2021-03-27 23:13:58.747"
"907.75","0.0","3008 33B2 DDD9 0140 0000 0060","2.6691265709210157","-41.0","2021-03-27 23:13:58.802"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.761165418194154","-40.5","2021-03-27 23:13:58.841"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0060","2.767301341345697","-41.0","2021-03-27 23:13:58.892"
"907.25","2.4375","3008 33B2 DDD9 0140 0000 0060","2.767301341345697","-40.5","2021-03-27 23:13:58.916"
"907.25","2.4375","3008 33B2 DDD9 0140 0000 0060","2.779573187648782","-40.5","2021-03-27 23:13:58.969"
"907.25","-0.1875","E200 001D 1910 0118 1310 566F","0.19634954084936207","-68.0","2021-03-27 23:13:58.993"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0060","2.767301341345697","-41.0","2021-03-27 23:13:58.999"
"923.25","-14.625","E200 001D 1910 0117 1310 5A02","4.724660826687775","-66.5","2021-03-27 23:13:59.075"
