"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0040","6.050020227420969","-66.0","2021-03-27 23:02:38.924"
"926.25","-0.125","C200 1001 2001 E054 B451 0004","1.552388557340269","-62.0","2021-03-27 23:02:38.94"
"926.25","-17.0625","3008 33B2 DDD9 0140 0000 0040","5.93343768754166","-66.0","2021-03-27 23:02:38.956"
"926.25","0.1875","C200 1001 2001 E054 B451 0004","1.552388557340269","-62.0","2021-03-27 23:02:38.981"
"926.25","-51.25","3008 33B2 DDD9 0140 0000 0040","0.11658253987930872","-66.5","2021-03-27 23:02:39.018"
"926.25","0.625","C200 1001 2001 E054 B451 0004","1.5462526341887264","-62.0","2021-03-27 23:02:39.038"
"926.25","-163.5625","3008 33B2 DDD9 0140 0000 0040","6.277049384028044","-67.0","2021-03-27 23:02:39.051"
"926.25","0.1875","C200 1001 2001 E054 B451 0004","1.564660403643354","-62.0","2021-03-27 23:02:39.071"
"922.75","46.375","3008 33B2 DDD9 0140 0000 0040","0.7301748550335652","-68.0","2021-03-27 23:02:39.123"
"922.75","101.3125","3008 33B2 DDD9 0140 0000 0040","0.8283496254582462","-66.0","2021-03-27 23:02:39.146"
"922.75","23.1875","3008 33B2 DDD9 0140 0000 0040","0.760854470791278","-66.5","2021-03-27 23:02:39.199"
"922.75","34.125","3008 33B2 DDD9 0140 0000 0040","0.7179030087304801","-64.0","2021-03-27 23:02:39.221"
"922.75","-43.9375","3008 33B2 DDD9 0140 0000 0040","0.9203884727313847","-66.0","2021-03-27 23:02:39.274"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0040","0.9572040116406401","-65.5","2021-03-27 23:02:39.298"
"923.75","54.875","3008 33B2 DDD9 0140 0000 0040","0.3865631585471816","-66.5","2021-03-27 23:02:39.371"
"923.75","85.4375","3008 33B2 DDD9 0140 0000 0040","0.47860200582032003","-65.0","2021-03-27 23:02:39.395"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0040","0.4724660826687775","-65.5","2021-03-27 23:02:39.448"
"923.75","144.0","3008 33B2 DDD9 0140 0000 0040","0.2086213871524472","-65.5","2021-03-27 23:02:39.47"
"921.75","-148.875","3008 33B2 DDD9 0140 0000 0040","1.5033011721279284","-66.5","2021-03-27 23:02:39.529"
"921.75","92.75","3008 33B2 DDD9 0140 0000 0040","1.0062913968529805","-66.5","2021-03-27 23:02:39.552"
"921.75","54.875","3008 33B2 DDD9 0140 0000 0040","1.1719613219446299","-66.0","2021-03-27 23:02:39.605"
"921.75","-14.625","3008 33B2 DDD9 0140 0000 0040","1.086058397823034","-65.5","2021-03-27 23:02:39.629"
"921.75","-56.125","3008 33B2 DDD9 0140 0000 0040","1.3314953238847365","-66.5","2021-03-27 23:02:39.683"
"921.75","58.5625","3008 33B2 DDD9 0140 0000 0040","0.9142525495798421","-65.5","2021-03-27 23:02:39.705"
"917.75","-41.5","3008 33B2 DDD9 0140 0000 0040","2.742757648739526","-65.5","2021-03-27 23:02:39.78"
"917.75","28.0625","3008 33B2 DDD9 0140 0000 0040","2.4850488763747385","-66.0","2021-03-27 23:02:39.802"
"917.75","53.6875","3008 33B2 DDD9 0140 0000 0040","2.521864415283994","-65.5","2021-03-27 23:02:39.854"
"917.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","2.509592568980909","-66.5","2021-03-27 23:02:39.878"
"920.25","90.3125","3008 33B2 DDD9 0140 0000 0040","1.7732817907958012","-66.0","2021-03-27 23:02:39.93"
"920.25","83.0","3008 33B2 DDD9 0140 0000 0040","1.5585244804918115","-64.5","2021-03-27 23:02:39.951"
"920.25","61.0","3008 33B2 DDD9 0140 0000 0040","1.6014759425526093","-67.0","2021-03-27 23:02:40.006"
"920.25","58.5625","3008 33B2 DDD9 0140 0000 0040","1.4358060174609601","-65.5","2021-03-27 23:02:40.027"
"920.25","24.375","3008 33B2 DDD9 0140 0000 0040","1.6996507129772904","-65.0","2021-03-27 23:02:40.082"
"920.25","-29.25","3008 33B2 DDD9 0140 0000 0040","1.705786636128833","-66.0","2021-03-27 23:02:40.105"
"918.25","70.75","3008 33B2 DDD9 0140 0000 0040","2.36846633649543","-65.0","2021-03-27 23:02:40.163"
"918.25","90.3125","3008 33B2 DDD9 0140 0000 0040","2.227340104009951","-66.5","2021-03-27 23:02:40.186"
"918.25","21.9375","3008 33B2 DDD9 0140 0000 0040","2.350058567040802","-64.5","2021-03-27 23:02:40.238"
"918.25","37.8125","3008 33B2 DDD9 0140 0000 0040","2.350058567040802","-65.5","2021-03-27 23:02:40.261"
"918.25","25.625","3008 33B2 DDD9 0140 0000 0040","2.2948352586769194","-66.5","2021-03-27 23:02:40.312"
"914.75","114.6875","3008 33B2 DDD9 0140 0000 0040","3.5342917352885173","-66.0","2021-03-27 23:02:40.575"
"914.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","3.785864584501762","-66.5","2021-03-27 23:02:40.629"
"914.75","-36.5625","3008 33B2 DDD9 0140 0000 0040","3.767456815047135","-66.5","2021-03-27 23:02:40.652"
"914.75","-122.0625","3008 33B2 DDD9 0140 0000 0040","3.810408277107933","-67.0","2021-03-27 23:02:40.705"
"914.75","-17.0625","3008 33B2 DDD9 0140 0000 0040","3.7429131224409646","-66.5","2021-03-27 23:02:40.726"
"924.75","73.1875","3008 33B2 DDD9 0140 0000 0040","0.018407769454627694","-66.0","2021-03-27 23:02:40.802"
"924.75","-0.5625","C200 1001 2001 E054 B451 0004","5.497787143782138","-63.5","2021-03-27 23:02:40.82"
"924.75","-112.25","3008 33B2 DDD9 0140 0000 0040","0.36815538909255385","-65.0","2021-03-27 23:02:40.834"
"924.75","1.5","C200 1001 2001 E054 B451 0004","5.424156065963627","-63.5","2021-03-27 23:02:40.852"
"924.75","122.0625","3008 33B2 DDD9 0140 0000 0040","0.0859029241215959","-65.5","2021-03-27 23:02:40.898"
"924.75","-1.5625","C200 1001 2001 E054 B451 0004","5.540738605842936","-63.5","2021-03-27 23:02:40.916"
"924.75","24.375","3008 33B2 DDD9 0140 0000 0040","0.06135923151542565","-66.0","2021-03-27 23:02:40.932"
"924.75","0.25","C200 1001 2001 E054 B451 0004","5.442563835418255","-63.5","2021-03-27 23:02:40.951"
"913.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.0987966652304335","-65.5","2021-03-27 23:02:41.012"
"913.75","112.25","3008 33B2 DDD9 0140 0000 0040","4.06811704947272","-66.0","2021-03-27 23:02:41.033"
"913.75","29.25","3008 33B2 DDD9 0140 0000 0040","4.0987966652304335","-67.5","2021-03-27 23:02:41.086"
"913.75","53.6875","3008 33B2 DDD9 0140 0000 0040","4.0558452031696355","-66.5","2021-03-27 23:02:41.109"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.1227184630308513","-64.5","2021-03-27 23:02:41.166"
"925.25","0.5625","C200 1001 2001 E054 B451 0004","2.0064468705544187","-63.0","2021-03-27 23:02:41.183"
"925.25","-41.5","3008 33B2 DDD9 0140 0000 0040","0.19634954084936207","-67.0","2021-03-27 23:02:41.199"
"925.25","1.5","C200 1001 2001 E054 B451 0004","5.1725832167503825","-63.0","2021-03-27 23:02:41.213"
"925.25","48.8125","3008 33B2 DDD9 0140 0000 0040","6.270913460876501","-66.0","2021-03-27 23:02:41.262"
