"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0030","0.3129320807286708","-39.5","2021-03-27 23:35:22.867"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0030","0.3190680038802134","-39.5","2021-03-27 23:35:22.89"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0030","0.30066023442558565","-39.0","2021-03-27 23:35:22.944"
"921.25","2.4375","3008 33B2 DDD9 0140 0000 0030","0.3190680038802134","-39.5","2021-03-27 23:35:22.969"
"909.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.368621810196868","-40.5","2021-03-27 23:35:23.022"
"909.25","2.4375","C200 1001 2001 E054 B451 0004","2.7857091108003242","-61.0","2021-03-27 23:35:23.023"
"909.25","-59.8125","C200 1001 2001 E054 B451 0004","2.9084275738311756","-61.5","2021-03-27 23:35:23.049"
"909.25","9.75","3008 33B2 DDD9 0140 0000 0030","3.3624858870453256","-40.5","2021-03-27 23:35:23.051"
"909.25","19.5","3008 33B2 DDD9 0140 0000 0030","3.32567034813607","-40.5","2021-03-27 23:35:23.102"
"909.25","-13.375","C200 1001 2001 E054 B451 0004","2.8532042654672924","-62.5","2021-03-27 23:35:23.103"
"909.25","-52.4375","C200 1001 2001 E054 B451 0004","2.804116880254952","-62.0","2021-03-27 23:35:23.125"
"909.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.3624858870453256","-41.0","2021-03-27 23:35:23.125"
"909.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.3624858870453256","-41.0","2021-03-27 23:35:23.179"
"909.25","-85.4375","C200 1001 2001 E054 B451 0004","2.9697868053466014","-61.5","2021-03-27 23:35:23.181"
"909.25","-36.5625","C200 1001 2001 E054 B451 0004","2.8409324191642074","-61.5","2021-03-27 23:35:23.203"
"909.25","9.75","3008 33B2 DDD9 0140 0000 0030","3.3502140407422405","-41.0","2021-03-27 23:35:23.204"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0030","2.5893595699509624","-40.0","2021-03-27 23:35:23.277"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0030","2.5954954931025047","-40.0","2021-03-27 23:35:23.298"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0030","2.5770877236478773","-40.5","2021-03-27 23:35:23.352"
"912.25","0.0","3008 33B2 DDD9 0140 0000 0030","2.5954954931025047","-40.0","2021-03-27 23:35:23.375"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0030","4.700117134081604","-41.5","2021-03-27 23:35:23.429"
"903.25","39.0625","C200 1001 2001 E054 B451 0004","6.215690152512618","-60.5","2021-03-27 23:35:23.43"
"903.25","4.875","C200 1001 2001 E054 B451 0004","6.2463697682703305","-60.5","2021-03-27 23:35:23.451"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0030","4.718524903536232","-41.0","2021-03-27 23:35:23.453"
"903.25","0.75","E200 001D 1910 0118 1310 566F","4.871922982324796","-66.0","2021-03-27 23:35:23.471"
"903.25","20.75","C200 1001 2001 E054 B451 0004","0.030679615757712823","-60.0","2021-03-27 23:35:23.518"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0030","4.71238898038469","-41.5","2021-03-27 23:35:23.519"
"903.25","0.4375","E200 001D 1910 0118 1310 566F","4.847379289718626","-66.0","2021-03-27 23:35:23.538"
"903.25","-36.5625","C200 1001 2001 E054 B451 0004","0.018407769454627694","-59.5","2021-03-27 23:35:23.552"
"903.25","41.5","E200 001D 1910 0118 1310 566F","4.7860200582032","-66.5","2021-03-27 23:35:23.553"
"903.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.7307967498393175","-41.5","2021-03-27 23:35:23.555"
"903.25","158.6875","E200 001D 1910 0118 1310 566F","4.595806440505381","-65.5","2021-03-27 23:35:23.605"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0030","4.718524903536232","-41.5","2021-03-27 23:35:23.608"
"903.25","50.0","C200 1001 2001 E054 B451 0004","6.117515382087937","-61.0","2021-03-27 23:35:23.609"
"926.25","7.3125","3008 33B2 DDD9 0140 0000 0030","5.203262832508095","-38.5","2021-03-27 23:35:23.652"
"926.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.184855063053467","-38.5","2021-03-27 23:35:23.705"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.184855063053467","-38.5","2021-03-27 23:35:23.728"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.197126909356553","-38.5","2021-03-27 23:35:23.783"
"926.25","17.0625","3008 33B2 DDD9 0140 0000 0030","5.190990986205009","-38.5","2021-03-27 23:35:23.805"
"922.75","2.4375","3008 33B2 DDD9 0140 0000 0030","6.178874613603362","-39.5","2021-03-27 23:35:23.882"
"922.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","6.191146459906448","-39.5","2021-03-27 23:35:23.906"
"922.75","0.0","3008 33B2 DDD9 0140 0000 0030","6.14819499784565","-39.5","2021-03-27 23:35:23.959"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0030","6.160466844148735","-39.5","2021-03-27 23:35:23.982"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0030","5.872078456026235","-39.0","2021-03-27 23:35:24.035"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0030","5.878214379177777","-39.0","2021-03-27 23:35:24.059"
"923.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.890486225480862","-39.0","2021-03-27 23:35:24.11"
"923.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","5.884350302329319","-39.0","2021-03-27 23:35:24.133"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0030","5.878214379177777","-39.0","2021-03-27 23:35:24.188"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0030","5.878214379177777","-39.0","2021-03-27 23:35:24.211"
"921.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.1718058482431918","-39.5","2021-03-27 23:35:24.289"
"921.75","2.4375","3008 33B2 DDD9 0140 0000 0030","0.1718058482431918","-39.5","2021-03-27 23:35:24.313"
"921.75","7.3125","3008 33B2 DDD9 0140 0000 0030","0.1595340019401067","-39.5","2021-03-27 23:35:24.367"
"921.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.15339807878856412","-39.5","2021-03-27 23:35:24.389"
"917.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.2087768608538851","-39.5","2021-03-27 23:35:24.444"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0030","1.2087768608538851","-39.5","2021-03-27 23:35:24.466"
"917.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.2210487071569704","-39.5","2021-03-27 23:35:24.518"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0030","1.2026409377023426","-39.5","2021-03-27 23:35:24.543"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0030","1.2026409377023426","-39.5","2021-03-27 23:35:24.596"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0030","1.1965050145508","-39.5","2021-03-27 23:35:24.619"
"920.25","2.4375","3008 33B2 DDD9 0140 0000 0030","0.5951845456996288","-39.5","2021-03-27 23:35:24.692"
"920.25","7.3125","3008 33B2 DDD9 0140 0000 0030","0.5890486225480862","-39.5","2021-03-27 23:35:24.714"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0030","0.5460971604872883","-39.5","2021-03-27 23:35:24.769"
"920.25","12.1875","3008 33B2 DDD9 0140 0000 0030","0.5522330836388308","-39.5","2021-03-27 23:35:24.792"
"918.25","14.625","3008 33B2 DDD9 0140 0000 0030","1.0737865515199487","-39.5","2021-03-27 23:35:24.847"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.0799224746714913","-39.5","2021-03-27 23:35:24.868"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.0799224746714913","-39.5","2021-03-27 23:35:24.921"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.0799224746714913","-39.5","2021-03-27 23:35:24.944"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.086058397823034","-39.5","2021-03-27 23:35:24.998"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.0799224746714913","-39.5","2021-03-27 23:35:25.02"
"908.25","4.875","C200 1001 2001 E054 B451 0004","3.4606606574700063","-61.0","2021-03-27 23:35:25.042"
"908.25","2.4375","C200 1001 2001 E054 B451 0004","3.442252888015379","-61.0","2021-03-27 23:35:25.094"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.6079228131070282","-40.5","2021-03-27 23:35:25.096"
"908.25","85.4375","C200 1001 2001 E054 B451 0004","3.2459033471660166","-61.5","2021-03-27 23:35:25.117"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.6017868899554855","-41.0","2021-03-27 23:35:25.118"
"908.25","-18.25","C200 1001 2001 E054 B451 0004","3.454524734318464","-61.0","2021-03-27 23:35:25.171"
"908.25","12.1875","3008 33B2 DDD9 0140 0000 0030","3.5956509668039427","-41.0","2021-03-27 23:35:25.173"
"908.25","12.1875","3008 33B2 DDD9 0140 0000 0030","3.5956509668039427","-40.5","2021-03-27 23:35:25.194"
"908.25","-18.25","C200 1001 2001 E054 B451 0004","3.466796580621549","-61.0","2021-03-27 23:35:25.196"
"914.75","7.3125","3008 33B2 DDD9 0140 0000 0030","1.9634954084936207","-40.0","2021-03-27 23:35:25.249"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.9634954084936207","-39.5","2021-03-27 23:35:25.272"
"914.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","1.9696313316451632","-39.5","2021-03-27 23:35:25.325"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.9696313316451632","-40.0","2021-03-27 23:35:25.346"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.9573594853420782","-39.5","2021-03-27 23:35:25.399"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.9696313316451632","-40.0","2021-03-27 23:35:25.423"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0030","5.620505606812989","-39.0","2021-03-27 23:35:25.502"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0030","5.6143696836614465","-39.0","2021-03-27 23:35:25.524"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0030","5.583690067903734","-39.0","2021-03-27 23:35:25.578"
"924.75","9.75","3008 33B2 DDD9 0140 0000 0030","5.595961914206819","-39.0","2021-03-27 23:35:25.601"
"913.75","12.1875","3008 33B2 DDD9 0140 0000 0030","2.1966604882522383","-40.0","2021-03-27 23:35:25.653"
"913.75","7.3125","3008 33B2 DDD9 0140 0000 0030","2.2027964114037806","-40.5","2021-03-27 23:35:25.677"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0030","2.2089323345553233","-40.0","2021-03-27 23:35:25.729"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0030","2.2089323345553233","-40.0","2021-03-27 23:35:25.753"
"913.75","12.1875","3008 33B2 DDD9 0140 0000 0030","2.1905245651006955","-40.5","2021-03-27 23:35:25.804"
"913.75","7.3125","3008 33B2 DDD9 0140 0000 0030","2.2027964114037806","-40.0","2021-03-27 23:35:25.827"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0030","5.47937937432751","-39.5","2021-03-27 23:35:25.888"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0030","5.47937937432751","-39.5","2021-03-27 23:35:25.91"
"925.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.460971604872882","-39.5","2021-03-27 23:35:25.963"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0030","5.473243451175968","-39.5","2021-03-27 23:35:25.987"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.4671075280244255","-39.5","2021-03-27 23:35:26.04"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0030","1.8530487917658545","-40.0","2021-03-27 23:35:26.08"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.8162332528565992","-39.5","2021-03-27 23:35:26.133"
"915.25","7.3125","3008 33B2 DDD9 0140 0000 0030","1.8223691760081417","-39.5","2021-03-27 23:35:26.157"
"915.25","4.875","3008 33B2 DDD9 0140 0000 0030","1.8407769454627694","-39.5","2021-03-27 23:35:26.21"
"915.25","7.3125","3008 33B2 DDD9 0140 0000 0030","1.8285050991596843","-39.5","2021-03-27 23:35:26.234"
"911.75","12.1875","3008 33B2 DDD9 0140 0000 0030","2.693670263527186","-40.0","2021-03-27 23:35:26.309"
"911.75","14.625","3008 33B2 DDD9 0140 0000 0030","2.6875343403756435","-40.0","2021-03-27 23:35:26.331"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0030","2.718213956133356","-40.0","2021-03-27 23:35:26.384"
"911.75","17.0625","3008 33B2 DDD9 0140 0000 0030","2.6875343403756435","-40.0","2021-03-27 23:35:26.409"
"918.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.9572040116406401","-39.5","2021-03-27 23:35:26.468"
"918.75","9.75","3008 33B2 DDD9 0140 0000 0030","0.944932165337555","-39.5","2021-03-27 23:35:26.49"
"918.75","14.625","3008 33B2 DDD9 0140 0000 0030","0.9387962421860124","-39.5","2021-03-27 23:35:26.544"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0030","0.944932165337555","-39.5","2021-03-27 23:35:26.567"
"918.75","0.0","3008 33B2 DDD9 0140 0000 0030","0.9633399347921826","-39.5","2021-03-27 23:35:26.62"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0030","0.944932165337555","-39.5","2021-03-27 23:35:26.643"
"912.75","2.4375","3008 33B2 DDD9 0140 0000 0030","2.4727770300716534","-40.0","2021-03-27 23:35:26.718"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0030","2.448233337465483","-40.5","2021-03-27 23:35:26.742"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0030","2.454369260617026","-40.0","2021-03-27 23:35:26.794"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0030","2.4605051837685683","-40.0","2021-03-27 23:35:26.818"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.337631247036279","-40.0","2021-03-27 23:35:26.871"
"917.25","19.5","3008 33B2 DDD9 0140 0000 0030","1.3069516312785663","-39.5","2021-03-27 23:35:26.893"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0030","1.3192234775816514","-39.5","2021-03-27 23:35:26.948"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0030","1.325359400733194","-39.5","2021-03-27 23:35:26.97"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.325359400733194","-40.0","2021-03-27 23:35:27.024"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0030","1.3314953238847365","-39.5","2021-03-27 23:35:27.046"
"909.75","17.0625","3008 33B2 DDD9 0140 0000 0030","3.2090878082567613","-41.0","2021-03-27 23:35:27.122"
"909.75","0.25","C200 1001 2001 E054 B451 0004","5.737088146692298","-62.0","2021-03-27 23:35:27.144"
"909.75","4.875","3008 33B2 DDD9 0140 0000 0030","3.2213596545598464","-41.0","2021-03-27 23:35:27.156"
"909.75","-0.75","C200 1001 2001 E054 B451 0004","5.786175531904639","-62.0","2021-03-27 23:35:27.168"
"909.75","19.5","3008 33B2 DDD9 0140 0000 0030","3.2029518851052186","-41.0","2021-03-27 23:35:27.219"
"909.75","0.0","C200 1001 2001 E054 B451 0004","2.6016314162540475","-62.0","2021-03-27 23:35:27.233"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0030","3.2029518851052186","-41.0","2021-03-27 23:35:27.252"
"909.75","-0.1875","C200 1001 2001 E054 B451 0004","5.749359992995383","-62.0","2021-03-27 23:35:27.267"
"907.75","-10.9375","C200 1001 2001 E054 B451 0004","3.859495662320273","-60.0","2021-03-27 23:35:27.326"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0030","3.706097583531709","-41.0","2021-03-27 23:35:27.328"
"907.75","12.1875","3008 33B2 DDD9 0140 0000 0030","3.7122335066832517","-41.0","2021-03-27 23:35:27.35"
"907.75","31.6875","C200 1001 2001 E054 B451 0004","3.6999616603801666","-61.0","2021-03-27 23:35:27.351"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0030","3.718369429834794","-41.0","2021-03-27 23:35:27.403"
"907.75","23.1875","C200 1001 2001 E054 B451 0004","3.718369429834794","-60.0","2021-03-27 23:35:27.405"
"907.75","50.0","C200 1001 2001 E054 B451 0004","3.6754179677739964","-61.0","2021-03-27 23:35:27.426"
"907.75","7.3125","3008 33B2 DDD9 0140 0000 0030","3.7122335066832517","-41.0","2021-03-27 23:35:27.427"
"907.25","-59.8125","C200 1001 2001 E054 B451 0004","4.0128937411088375","-60.5","2021-03-27 23:35:27.482"
"907.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.8410878928656453","-41.5","2021-03-27 23:35:27.482"
"907.25","-4.875","3008 33B2 DDD9 0140 0000 0030","3.8717675086233583","-41.0","2021-03-27 23:35:27.504"
"907.25","91.5","C200 1001 2001 E054 B451 0004","3.8717675086233583","-61.5","2021-03-27 23:35:27.505"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0030","3.834951969714103","-41.5","2021-03-27 23:35:27.558"
"907.25","4.875","C200 1001 2001 E054 B451 0004","3.9638063558964967","-60.0","2021-03-27 23:35:27.559"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.834951969714103","-41.0","2021-03-27 23:35:27.581"
"907.25","75.625","C200 1001 2001 E054 B451 0004","3.9392626632903265","-60.5","2021-03-27 23:35:27.582"
"907.25","-67.125","C200 1001 2001 E054 B451 0004","4.031301510563465","-61.0","2021-03-27 23:35:27.634"
"907.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.847223816017188","-41.0","2021-03-27 23:35:27.636"
"907.25","-10.9375","C200 1001 2001 E054 B451 0004","4.0987966652304335","-60.5","2021-03-27 23:35:27.658"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.834951969714103","-41.5","2021-03-27 23:35:27.659"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0030","6.013204688511713","-39.0","2021-03-27 23:35:27.734"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0030","6.019340611663256","-39.0","2021-03-27 23:35:27.756"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0030","6.007068765360171","-39.0","2021-03-27 23:35:27.809"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0030","5.982525072754001","-39.0","2021-03-27 23:35:27.832"
"906.75","-18.25","C200 1001 2001 E054 B451 0004","4.344233591292136","-60.0","2021-03-27 23:35:27.891"
"906.75","9.75","3008 33B2 DDD9 0140 0000 0030","3.9453985864418692","-41.0","2021-03-27 23:35:27.892"
"906.75","14.625","3008 33B2 DDD9 0140 0000 0030","3.9392626632903265","-41.5","2021-03-27 23:35:27.914"
"906.75","96.375","C200 1001 2001 E054 B451 0004","4.111068511533518","-59.5","2021-03-27 23:35:27.915"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0030","3.9576704327449543","-41.0","2021-03-27 23:35:27.968"
"906.75","-18.25","C200 1001 2001 E054 B451 0004","4.301282129231338","-59.5","2021-03-27 23:35:27.968"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0030","3.9576704327449543","-41.5","2021-03-27 23:35:27.991"
"906.75","15.8125","C200 1001 2001 E054 B451 0004","4.276738436625168","-60.5","2021-03-27 23:35:27.992"
"906.75","-10.9375","C200 1001 2001 E054 B451 0004","4.3074180523828804","-60.5","2021-03-27 23:35:28.044"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0030","3.9638063558964967","-41.5","2021-03-27 23:35:28.045"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0030","3.9638063558964967","-41.5","2021-03-27 23:35:28.067"
"906.75","-23.1875","C200 1001 2001 E054 B451 0004","4.3074180523828804","-60.0","2021-03-27 23:35:28.068"
"915.75","9.75","3008 33B2 DDD9 0140 0000 0030","1.705786636128833","-40.0","2021-03-27 23:35:28.142"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0030","1.7119225592803755","-39.5","2021-03-27 23:35:28.164"
"915.75","9.75","3008 33B2 DDD9 0140 0000 0030","1.7119225592803755","-40.0","2021-03-27 23:35:28.218"
"915.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","1.7303303287350031","-40.0","2021-03-27 23:35:28.241"
"919.75","7.3125","3008 33B2 DDD9 0140 0000 0030","0.6994952392758523","-40.0","2021-03-27 23:35:28.294"
"919.75","9.75","3008 33B2 DDD9 0140 0000 0030","0.6872233929727672","-40.0","2021-03-27 23:35:28.317"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","0.7179030087304801","-40.0","2021-03-27 23:35:28.371"
"919.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.7117670855789375","-39.5","2021-03-27 23:35:28.393"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0030","0.6994952392758523","-39.5","2021-03-27 23:35:28.446"
"919.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.6994952392758523","-40.0","2021-03-27 23:35:28.468"
"913.25","-4.875","3008 33B2 DDD9 0140 0000 0030","2.356194490192345","-40.5","2021-03-27 23:35:28.546"
"913.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","2.36846633649543","-40.5","2021-03-27 23:35:28.569"
"913.25","-9.75","3008 33B2 DDD9 0140 0000 0030","2.36846633649543","-40.5","2021-03-27 23:35:28.622"
"913.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","2.356194490192345","-40.5","2021-03-27 23:35:28.644"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0030","4.387185053352934","-41.0","2021-03-27 23:35:28.7"
"904.75","-41.5","C200 1001 2001 E054 B451 0004","5.418020142812084","-59.5","2021-03-27 23:35:28.7"
"904.75","-25.625","C200 1001 2001 E054 B451 0004","5.5100589900852235","-60.0","2021-03-27 23:35:28.721"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0030","4.3933209765044765","-41.0","2021-03-27 23:35:28.722"
"904.75","-36.5625","C200 1001 2001 E054 B451 0004","5.460971604872882","-60.5","2021-03-27 23:35:28.775"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0030","4.3933209765044765","-41.0","2021-03-27 23:35:28.778"
"904.75","14.625","3008 33B2 DDD9 0140 0000 0030","4.368777283898306","-41.0","2021-03-27 23:35:28.8"
"904.75","-89.0625","C200 1001 2001 E054 B451 0004","5.608233760509904","-60.5","2021-03-27 23:35:28.8"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0030","4.399456899656019","-41.0","2021-03-27 23:35:28.852"
"904.75","18.25","C200 1001 2001 E054 B451 0004","5.325981295538946","-60.0","2021-03-27 23:35:28.854"
"904.75","-28.0625","C200 1001 2001 E054 B451 0004","5.47937937432751","-60.0","2021-03-27 23:35:28.877"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0030","4.399456899656019","-41.0","2021-03-27 23:35:28.878"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0030","5.730952223540755","-39.0","2021-03-27 23:35:28.951"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.730952223540755","-39.0","2021-03-27 23:35:28.973"
"924.25","-4.875","3008 33B2 DDD9 0140 0000 0030","5.7616318392984684","-39.0","2021-03-27 23:35:29.026"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.737088146692298","-39.0","2021-03-27 23:35:29.047"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0030","0.018407769454627694","-39.5","2021-03-27 23:35:29.102"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0030","0.0","-40.0","2021-03-27 23:35:29.124"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0030","0.01227184630308513","-40.0","2021-03-27 23:35:29.179"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0030","0.006135923151542565","-40.0","2021-03-27 23:35:29.201"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0030","0.0","-40.0","2021-03-27 23:35:29.254"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0030","0.018407769454627694","-39.5","2021-03-27 23:35:29.277"
"910.25","14.625","3008 33B2 DDD9 0140 0000 0030","3.0802334220743677","-41.0","2021-03-27 23:35:29.352"
"910.25","0.1875","C200 1001 2001 E054 B451 0004","2.2764274892222915","-62.5","2021-03-27 23:35:29.372"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0030","3.067961575771282","-41.0","2021-03-27 23:35:29.386"
"910.25","0.0625","C200 1001 2001 E054 B451 0004","2.2886993355253766","-62.5","2021-03-27 23:35:29.407"
"910.25","14.625","3008 33B2 DDD9 0140 0000 0030","3.074097498922825","-41.0","2021-03-27 23:35:29.45"
"910.25","-0.1875","C200 1001 2001 E054 B451 0004","2.3009711818284617","-62.5","2021-03-27 23:35:29.472"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0030","3.0925052683774528","-41.0","2021-03-27 23:35:29.485"
"910.25","-1.125","C200 1001 2001 E054 B451 0004","2.3746022596469727","-62.5","2021-03-27 23:35:29.499"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.4295146206079795","-39.5","2021-03-27 23:35:29.559"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0030","0.4111068511533518","-39.5","2021-03-27 23:35:29.582"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0030","0.4172427743048944","-39.0","2021-03-27 23:35:29.636"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0030","0.42337869745643697","-39.5","2021-03-27 23:35:29.658"
