"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0060","3.031146036862027","-37.0","2021-03-27 23:28:46.894"
"924.75","4.5","E200 001D 1910 0117 1310 5A02","0.6994952392758523","-66.5","2021-03-27 23:28:46.917"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0060","3.043417883165112","-37.0","2021-03-27 23:28:46.926"
"924.75","-2.3125","E200 001D 1910 0117 1310 5A02","0.9756117810952678","-68.5","2021-03-27 23:28:46.934"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0060","6.092971689481767","-36.5","2021-03-27 23:28:46.972"
"913.75","4.875","3008 33B2 DDD9 0140 0000 0060","6.105243535784852","-36.5","2021-03-27 23:28:46.993"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0060","6.111379458936394","-36.5","2021-03-27 23:28:47.047"
"913.75","4.875","3008 33B2 DDD9 0140 0000 0060","6.105243535784852","-36.5","2021-03-27 23:28:47.069"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0060","6.105243535784852","-36.5","2021-03-27 23:28:47.122"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0060","6.105243535784852","-36.5","2021-03-27 23:28:47.144"
"925.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.9084275738311756","-36.5","2021-03-27 23:28:47.205"
"925.25","43.9375","E200 001D 1910 0117 1310 5A02","3.834951969714103","-65.5","2021-03-27 23:28:47.205"
"925.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.9084275738311756","-36.5","2021-03-27 23:28:47.226"
"925.25","-2.0","E200 001D 1910 0117 1310 5A02","0.5645049299419159","-67.0","2021-03-27 23:28:47.251"
"925.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.890019804376548","-36.5","2021-03-27 23:28:47.29"
"925.25","-3.5625","E200 001D 1910 0117 1310 5A02","0.760854470791278","-67.5","2021-03-27 23:28:47.31"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.9022916506796332","-36.5","2021-03-27 23:28:47.324"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0060","5.71868037723767","-36.5","2021-03-27 23:28:47.377"
"915.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.6941366846315","-36.5","2021-03-27 23:28:47.402"
"915.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.700272607783043","-36.5","2021-03-27 23:28:47.454"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0060","5.688000761479957","-36.5","2021-03-27 23:28:47.481"
"915.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","5.700272607783043","-36.5","2021-03-27 23:28:47.533"
"915.25","4.875","3008 33B2 DDD9 0140 0000 0060","5.6941366846315","-36.5","2021-03-27 23:28:47.557"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0060","0.36815538909255385","-36.5","2021-03-27 23:28:47.63"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0060","0.36815538909255385","-36.0","2021-03-27 23:28:47.654"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0060","0.36815538909255385","-36.5","2021-03-27 23:28:47.705"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0060","0.36815538909255385","-36.5","2021-03-27 23:28:47.729"
"918.75","0.0","3008 33B2 DDD9 0140 0000 0060","4.755340442445488","-36.5","2021-03-27 23:28:47.782"
