"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"907.75","31.6875","3008 33B2 DDD9 0140 0000 0030","3.0802334220743677","-50.0","2021-03-27 23:36:28.4"
"907.75","20.75","C200 1001 2001 E054 B451 0004","3.6079228131070282","-61.0","2021-03-27 23:36:28.402"
"907.75","12.1875","3008 33B2 DDD9 0140 0000 0030","3.1231848841351653","-50.0","2021-03-27 23:36:28.425"
"907.75","-20.75","C200 1001 2001 E054 B451 0004","3.736777199289422","-61.0","2021-03-27 23:36:28.426"
"907.75","7.3125","C200 1001 2001 E054 B451 0004","3.706097583531709","-61.0","2021-03-27 23:36:28.478"
"907.75","-9.75","3008 33B2 DDD9 0140 0000 0030","3.172272269347506","-50.0","2021-03-27 23:36:28.479"
"907.75","-4.875","3008 33B2 DDD9 0140 0000 0030","3.1661363461959633","-50.0","2021-03-27 23:36:28.5"
"907.75","2.4375","C200 1001 2001 E054 B451 0004","3.663146121470911","-61.0","2021-03-27 23:36:28.501"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0030","3.2397674240144743","-50.0","2021-03-27 23:36:28.554"
"907.25","-54.875","C200 1001 2001 E054 B451 0004","4.129476280988146","-60.5","2021-03-27 23:36:28.555"
"907.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.2643111166206444","-50.0","2021-03-27 23:36:28.576"
"907.25","-50.0","C200 1001 2001 E054 B451 0004","4.01902966426038","-61.0","2021-03-27 23:36:28.577"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0030","3.2397674240144743","-50.0","2021-03-27 23:36:28.632"
"907.25","-2.4375","C200 1001 2001 E054 B451 0004","4.037437433715008","-61.0","2021-03-27 23:36:28.633"
"907.25","-39.0625","C200 1001 2001 E054 B451 0004","4.074252972624263","-60.5","2021-03-27 23:36:28.653"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0030","3.2397674240144743","-50.0","2021-03-27 23:36:28.655"
"907.25","-158.6875","C200 1001 2001 E054 B451 0004","4.196971435655114","-61.0","2021-03-27 23:36:28.708"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0030","3.2520392703175593","-50.0","2021-03-27 23:36:28.709"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0030","3.227495577711389","-50.0","2021-03-27 23:36:28.731"
"907.25","15.8125","C200 1001 2001 E054 B451 0004","3.9269908169872414","-61.5","2021-03-27 23:36:28.731"
"923.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.546874528994478","-47.5","2021-03-27 23:36:28.81"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0030","5.5100589900852235","-47.5","2021-03-27 23:36:28.833"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.50392306693368","-47.5","2021-03-27 23:36:28.886"
"923.25","-4.875","3008 33B2 DDD9 0140 0000 0030","5.50392306693368","-47.5","2021-03-27 23:36:28.909"
