"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.0799224746714913","-32.5","2021-03-27 23:32:26.892"
"908.75","0.0","C200 1001 2001 E054 B451 0004","2.9391071895888885","-63.0","2021-03-27 23:32:26.905"
"908.75","0.0","3008 33B2 DDD9 0140 0000 0020","1.0921943209745766","-32.5","2021-03-27 23:32:26.924"
"908.75","0.25","C200 1001 2001 E054 B451 0004","6.135923151542564","-63.0","2021-03-27 23:32:26.936"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.0737865515199487","-32.5","2021-03-27 23:32:26.988"
"908.75","-0.5625","C200 1001 2001 E054 B451 0004","6.166602767300278","-63.0","2021-03-27 23:32:27.01"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.086058397823034","-32.5","2021-03-27 23:32:27.022"
"911.25","-4.875","3008 33B2 DDD9 0140 0000 0020","0.3865631585471816","-32.5","2021-03-27 23:32:27.083"
"911.25","0.0","3008 33B2 DDD9 0140 0000 0020","0.380427235395639","-32.5","2021-03-27 23:32:27.106"
"911.25","0.0","3008 33B2 DDD9 0140 0000 0020","0.380427235395639","-32.5","2021-03-27 23:32:27.159"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.37429131224409645","-32.5","2021-03-27 23:32:27.182"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0020","2.736621725587984","-32.0","2021-03-27 23:32:27.236"
"902.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.748893571891069","-32.0","2021-03-27 23:32:27.256"
"902.75","-47.5625","E200 001D 1910 0118 1310 566F","5.767767762450011","-65.0","2021-03-27 23:32:27.258"
"902.75","25.625","C200 1001 2001 E054 B451 0004","0.17794177139473438","-62.0","2021-03-27 23:32:27.259"
"902.75","-91.5","E200 001D 1910 0116 1310 566E","5.491651220630596","-64.0","2021-03-27 23:32:27.26"
"902.75","-43.9375","C200 1001 2001 E054 B451 0004","0.25770877236478773","-61.5","2021-03-27 23:32:27.311"
"902.75","14.625","E200 001D 1910 0118 1310 566F","5.595961914206819","-65.5","2021-03-27 23:32:27.313"
"902.75","67.125","E200 001D 1910 0116 1310 566E","5.098952138931871","-63.5","2021-03-27 23:32:27.313"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0020","2.736621725587984","-32.0","2021-03-27 23:32:27.315"
"902.75","-39.0625","C200 1001 2001 E054 B451 0004","0.30679615757712825","-62.0","2021-03-27 23:32:27.335"
"902.75","-139.125","E200 001D 1910 0118 1310 566F","5.841398840268521","-65.0","2021-03-27 23:32:27.337"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0020","2.730485802436441","-32.0","2021-03-27 23:32:27.337"
"902.75","-39.0625","E200 001D 1910 0116 1310 566E","5.301437602932776","-65.0","2021-03-27 23:32:27.338"
"902.75","-108.625","E200 001D 1910 0118 1310 566F","5.835262917116979","-66.0","2021-03-27 23:32:27.391"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0020","2.730485802436441","-32.0","2021-03-27 23:32:27.392"
"902.75","7.3125","C200 1001 2001 E054 B451 0004","0.2454369260617026","-61.5","2021-03-27 23:32:27.393"
"902.75","-59.8125","E200 001D 1910 0116 1310 566E","5.3627968344482015","-64.0","2021-03-27 23:32:27.394"
"902.75","-48.8125","E200 001D 1910 0116 1310 566E","5.313709449235861","-64.0","2021-03-27 23:32:27.416"
"902.75","37.8125","E200 001D 1910 0118 1310 566F","5.706408530934585","-65.0","2021-03-27 23:32:27.417"
"902.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.742757648739526","-32.0","2021-03-27 23:32:27.417"
"902.75","4.875","C200 1001 2001 E054 B451 0004","0.15339807878856412","-61.5","2021-03-27 23:32:27.418"
"903.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.454369260617026","-32.5","2021-03-27 23:32:27.492"
"903.75","13.375","C200 1001 2001 E054 B451 0004","5.773903685601553","-61.0","2021-03-27 23:32:27.493"
"903.75","34.125","E200 001D 1910 0116 1310 566E","4.7307967498393175","-64.5","2021-03-27 23:32:27.494"
"903.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.466641106920111","-32.5","2021-03-27 23:32:27.52"
"903.75","-112.25","C200 1001 2001 E054 B451 0004","5.93343768754166","-61.5","2021-03-27 23:32:27.52"
"903.75","18.25","E200 001D 1910 0116 1310 566E","4.601942363656923","-65.0","2021-03-27 23:32:27.521"
"903.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.435961491162398","-32.0","2021-03-27 23:32:27.574"
"903.75","83.0","E200 001D 1910 0116 1310 566E","4.424000592262189","-65.0","2021-03-27 23:32:27.574"
