"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0020","3.055689729468197","-36.5","2021-03-27 23:33:56.86"
"924.25","0.875","E200 001D 1910 0117 1310 5A02","1.509437095279471","-67.5","2021-03-27 23:33:56.882"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0020","3.06182565261974","-36.5","2021-03-27 23:33:56.927"
"924.25","1.5","E200 001D 1910 0117 1310 5A02","1.3130875544301088","-67.5","2021-03-27 23:33:56.945"
"924.25","0.0","3008 33B2 DDD9 0140 0000 0020","3.055689729468197","-36.5","2021-03-27 23:33:56.959"
"924.25","0.25","E200 001D 1910 0117 1310 5A02","1.3499030933393643","-68.0","2021-03-27 23:33:56.981"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.0372819600135696","-36.5","2021-03-27 23:33:57.025"
"924.25","2.3125","E200 001D 1910 0117 1310 5A02","1.2701360923693108","-68.0","2021-03-27 23:33:57.043"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0020","3.6324665057131984","-35.5","2021-03-27 23:33:57.077"
"922.25","2.5625","E200 001D 1910 0117 1310 5A02","5.5714182216006485","-67.0","2021-03-27 23:33:57.092"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.650874275167826","-36.0","2021-03-27 23:33:57.14"
"922.25","73.1875","E200 001D 1910 0117 1310 5A02","5.553010452146021","-67.5","2021-03-27 23:33:57.141"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0020","3.650874275167826","-36.0","2021-03-27 23:33:57.163"
"922.25","57.3125","E200 001D 1910 0117 1310 5A02","5.743224069843841","-66.0","2021-03-27 23:33:57.165"
"922.25","0.0","3008 33B2 DDD9 0140 0000 0020","3.6570101983193686","-35.5","2021-03-27 23:33:57.217"
"922.25","2.75","E200 001D 1910 0117 1310 5A02","5.559146375297564","-68.0","2021-03-27 23:33:57.222"
"922.25","-19.5","E200 001D 1910 0117 1310 5A02","5.675728915176872","-66.5","2021-03-27 23:33:57.232"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.6386024288647407","-36.0","2021-03-27 23:33:57.233"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0020","0.8467573949128739","-34.5","2021-03-27 23:33:57.305"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0020","0.8406214717613314","-34.5","2021-03-27 23:33:57.327"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0020","0.8528933180644165","-34.5","2021-03-27 23:33:57.378"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0020","0.8344855486097889","-34.5","2021-03-27 23:33:57.404"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.123340357836604","-35.5","2021-03-27 23:33:57.457"
"920.75","-0.75","E200 001D 1910 0117 1310 5A02","0.39269908169872414","-67.5","2021-03-27 23:33:57.469"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.104932588381976","-35.5","2021-03-27 23:33:57.49"
"920.75","-42.6875","E200 001D 1910 0117 1310 5A02","0.3313398501832985","-66.5","2021-03-27 23:33:57.491"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.104932588381976","-35.5","2021-03-27 23:33:57.544"
"920.75","184.3125","E200 001D 1910 0117 1310 5A02","0.1902136176978195","-67.5","2021-03-27 23:33:57.545"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.0987966652304335","-35.5","2021-03-27 23:33:57.568"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.123340357836604","-35.5","2021-03-27 23:33:57.623"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.104932588381976","-35.5","2021-03-27 23:33:57.645"
"920.75","-106.1875","E200 001D 1910 0117 1310 5A02","0.521553467881118","-67.5","2021-03-27 23:33:57.648"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0020","2.650718801466388","-36.5","2021-03-27 23:33:57.713"
"925.75","2.0","E200 001D 1910 0117 1310 5A02","0.5338253141842031","-68.5","2021-03-27 23:33:57.732"
"925.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.6384469551633027","-36.5","2021-03-27 23:33:57.747"
"925.75","0.9375","E200 001D 1910 0117 1310 5A02","0.607456392002714","-69.0","2021-03-27 23:33:57.762"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0020","2.6016314162540475","-36.5","2021-03-27 23:33:57.81"
"925.75","1.0625","C200 1001 2001 E054 B451 0004","1.6137477888556946","-63.5","2021-03-27 23:33:57.826"
"925.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.6139032625571326","-36.5","2021-03-27 23:33:57.843"
"906.25","-23.1875","C200 1001 2001 E054 B451 0004","4.571262747899211","-62.0","2021-03-27 23:33:57.858"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.9512235621905356","-34.0","2021-03-27 23:33:57.91"
"906.25","-20.75","C200 1001 2001 E054 B451 0004","4.479223900626073","-62.0","2021-03-27 23:33:57.911"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.945087639038993","-34.0","2021-03-27 23:33:57.933"
"906.25","-7.3125","C200 1001 2001 E054 B451 0004","4.411728745959104","-62.0","2021-03-27 23:33:57.935"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.9573594853420782","-34.0","2021-03-27 23:33:57.987"
"906.25","18.25","C200 1001 2001 E054 B451 0004","4.4976316700806995","-61.5","2021-03-27 23:33:57.988"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.9573594853420782","-34.0","2021-03-27 23:33:58.01"
"906.25","36.5625","C200 1001 2001 E054 B451 0004","4.374913207049849","-63.0","2021-03-27 23:33:58.011"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.546719055293041","-35.5","2021-03-27 23:33:58.066"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.552854978444583","-35.5","2021-03-27 23:33:58.088"
"919.25","-12.1875","3008 33B2 DDD9 0140 0000 0020","4.577398671050753","-35.5","2021-03-27 23:33:58.143"
"919.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.558990901596125","-35.5","2021-03-27 23:33:58.164"
"919.25","-19.5","3008 33B2 DDD9 0140 0000 0020","4.589670517353839","-35.5","2021-03-27 23:33:58.219"
"919.25","0.9375","E200 001D 1910 0117 1310 5A02","1.3008157081270237","-67.0","2021-03-27 23:33:58.244"
"919.25","0.0","3008 33B2 DDD9 0140 0000 0020","4.546719055293041","-35.5","2021-03-27 23:33:58.252"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0020","5.9518454569962875","-35.0","2021-03-27 23:33:58.318"
