"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"912.25","39.0625","3008 33B2 DDD9 0140 0000 0030","4.09266074207889","-55.5","2021-03-27 23:45:54.914"
"912.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.184699589352029","-56.0","2021-03-27 23:45:54.965"
"912.25","58.5625","3008 33B2 DDD9 0140 0000 0030","4.06811704947272","-56.0","2021-03-27 23:45:54.989"
"912.25","41.5","3008 33B2 DDD9 0140 0000 0030","4.061981126321178","-56.0","2021-03-27 23:45:55.042"
"912.25","41.5","3008 33B2 DDD9 0140 0000 0030","4.080388895775806","-56.0","2021-03-27 23:45:55.063"
"903.25","-34.125","C200 1001 2001 E054 B451 0004","6.191146459906448","-61.5","2021-03-27 23:45:55.117"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0030","0.30679615757712825","-57.0","2021-03-27 23:45:55.119"
"903.25","-85.4375","C200 1001 2001 E054 B451 0004","0.018407769454627694","-62.5","2021-03-27 23:45:55.141"
"903.25","-19.5","3008 33B2 DDD9 0140 0000 0030","0.3313398501832985","-57.0","2021-03-27 23:45:55.141"
"903.25","23.1875","E200 001D 1910 0118 1310 566F","4.902602598082509","-65.0","2021-03-27 23:45:55.143"
"903.25","37.8125","E200 001D 1910 0118 1310 566F","4.878058905476339","-64.5","2021-03-27 23:45:55.194"
"903.25","-52.4375","C200 1001 2001 E054 B451 0004","0.0859029241215959","-62.0","2021-03-27 23:45:55.195"
"903.25","26.8125","3008 33B2 DDD9 0140 0000 0030","0.23930100291016002","-57.0","2021-03-27 23:45:55.197"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0030","0.28225246497095796","-57.0","2021-03-27 23:45:55.218"
"903.25","45.125","E200 001D 1910 0118 1310 566F","4.7307967498393175","-65.0","2021-03-27 23:45:55.22"
"903.25","-75.625","C200 1001 2001 E054 B451 0004","6.240233845118788","-61.5","2021-03-27 23:45:55.221"
"903.25","14.625","E200 001D 1910 0118 1310 566F","4.804427827657828","-64.5","2021-03-27 23:45:55.273"
"903.25","41.5","C200 1001 2001 E054 B451 0004","6.105243535784852","-62.0","2021-03-27 23:45:55.274"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0030","0.2945243112740431","-57.0","2021-03-27 23:45:55.275"
"903.25","-36.5625","C200 1001 2001 E054 B451 0004","6.227961998815704","-62.5","2021-03-27 23:45:55.297"
"903.25","130.5625","E200 001D 1910 0118 1310 566F","4.608078286808466","-65.5","2021-03-27 23:45:55.298"
"903.25","24.375","3008 33B2 DDD9 0140 0000 0030","0.2454369260617026","-56.5","2021-03-27 23:45:55.299"
"926.25","-26.8125","3008 33B2 DDD9 0140 0000 0030","5.915029918087033","-58.0","2021-03-27 23:45:55.37"
"926.25","-59.8125","3008 33B2 DDD9 0140 0000 0030","5.976389149602458","-57.5","2021-03-27 23:45:55.393"
"926.25","20.75","3008 33B2 DDD9 0140 0000 0030","5.773903685601553","-57.5","2021-03-27 23:45:55.447"
"926.25","57.3125","3008 33B2 DDD9 0140 0000 0030","5.743224069843841","-57.5","2021-03-27 23:45:55.469"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0030","0.48473792897186263","-56.0","2021-03-27 23:45:55.523"
"922.75","-34.125","3008 33B2 DDD9 0140 0000 0030","0.6013204688511713","-56.5","2021-03-27 23:45:55.545"
