"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"923.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","4.700117134081604","-48.0","2021-03-27 23:43:22.902"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.675573441475434","-48.0","2021-03-27 23:43:22.926"
"923.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","4.6878452877785195","-48.0","2021-03-27 23:43:22.978"
"923.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","4.706253057233147","-48.5","2021-03-27 23:43:23.001"
"921.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.258486140871978","-47.0","2021-03-27 23:43:23.075"
"921.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.264622064023521","-47.0","2021-03-27 23:43:23.097"
"921.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.270757987175063","-47.0","2021-03-27 23:43:23.151"
"921.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.283029833478148","-47.0","2021-03-27 23:43:23.177"
"917.75","4.875","3008 33B2 DDD9 0140 0000 0040","0.39269908169872414","-46.0","2021-03-27 23:43:23.229"
"917.75","0.0","3008 33B2 DDD9 0140 0000 0040","0.4111068511533518","-46.0","2021-03-27 23:43:23.252"
"917.75","-9.75","3008 33B2 DDD9 0140 0000 0040","0.42337869745643697","-46.0","2021-03-27 23:43:23.306"
"917.75","12.1875","3008 33B2 DDD9 0140 0000 0040","0.39269908169872414","-46.0","2021-03-27 23:43:23.327"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.39269908169872414","-46.0","2021-03-27 23:43:23.381"
"917.75","2.4375","3008 33B2 DDD9 0140 0000 0040","0.4049709280018093","-46.0","2021-03-27 23:43:23.404"
"920.25","2.4375","3008 33B2 DDD9 0140 0000 0040","5.7616318392984684","-46.5","2021-03-27 23:43:23.482"
"920.25","-9.75","3008 33B2 DDD9 0140 0000 0040","5.786175531904639","-46.5","2021-03-27 23:43:23.504"
"920.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.767767762450011","-46.5","2021-03-27 23:43:23.557"
"920.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.7616318392984684","-46.5","2021-03-27 23:43:23.579"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0040","0.2086213871524472","-46.5","2021-03-27 23:43:23.634"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0040","0.19634954084936207","-46.0","2021-03-27 23:43:23.655"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0040","0.22089323345553233","-46.0","2021-03-27 23:43:23.708"
"918.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.21475731030398976","-46.0","2021-03-27 23:43:23.73"
"918.25","2.4375","3008 33B2 DDD9 0140 0000 0040","0.2086213871524472","-46.0","2021-03-27 23:43:23.785"
