"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.6201946594101133","-51.5","2021-03-27 23:50:55.113"
"907.25","-0.5625","C200 1001 2001 E054 B451 0004","3.9085830475326135","-62.0","2021-03-27 23:50:55.138"
"907.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.5711072741977725","-52.0","2021-03-27 23:50:55.144"
"907.25","-0.125","C200 1001 2001 E054 B451 0004","3.890175278077986","-62.0","2021-03-27 23:50:55.158"
"907.25","-1.0625","E200 001D 1910 0117 1310 5A02","1.5953400194010667","-68.5","2021-03-27 23:50:55.171"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0060","4.546719055293041","-51.0","2021-03-27 23:50:55.217"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0060","4.540583132141498","-51.5","2021-03-27 23:50:55.239"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0060","4.571262747899211","-51.0","2021-03-27 23:50:55.293"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0060","4.540583132141498","-51.0","2021-03-27 23:50:55.316"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.540583132141498","-51.0","2021-03-27 23:50:55.369"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.540583132141498","-51.5","2021-03-27 23:50:55.393"
"906.75","19.5","3008 33B2 DDD9 0140 0000 0060","3.718369429834794","-51.5","2021-03-27 23:50:55.464"
"906.75","-0.875","E200 001D 1910 0117 1310 5A02","4.95168998329485","-68.0","2021-03-27 23:50:55.482"
"906.75","0.0","C200 1001 2001 E054 B451 0004","4.184699589352029","-62.0","2021-03-27 23:50:55.495"
"906.75","14.625","3008 33B2 DDD9 0140 0000 0060","3.730641276137879","-51.5","2021-03-27 23:50:55.507"
"906.75","-0.25","C200 1001 2001 E054 B451 0004","4.227651051412827","-62.0","2021-03-27 23:50:55.521"
"906.75","14.625","3008 33B2 DDD9 0140 0000 0060","3.736777199289422","-52.0","2021-03-27 23:50:55.57"
"906.75","0.5","C200 1001 2001 E054 B451 0004","4.2031073588066565","-61.5","2021-03-27 23:50:55.593"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0060","3.730641276137879","-52.0","2021-03-27 23:50:55.605"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0060","0.8099418560036186","-52.0","2021-03-27 23:50:55.671"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0060","0.8222137023067037","-52.0","2021-03-27 23:50:55.694"
"915.75","2.4375","3008 33B2 DDD9 0140 0000 0060","0.8283496254582462","-52.0","2021-03-27 23:50:55.746"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0060","0.8222137023067037","-52.0","2021-03-27 23:50:55.77"
"919.75","4.875","3008 33B2 DDD9 0140 0000 0060","5.681864838328415","-51.0","2021-03-27 23:50:55.825"
"919.75","-7.3125","3008 33B2 DDD9 0140 0000 0060","5.706408530934585","-51.5","2021-03-27 23:50:55.848"
"919.75","7.3125","3008 33B2 DDD9 0140 0000 0060","5.730952223540755","-51.0","2021-03-27 23:50:55.902"
"919.75","19.5","3008 33B2 DDD9 0140 0000 0060","5.663457068873787","-51.0","2021-03-27 23:50:55.923"
