"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"908.75","61.0","3008 33B2 DDD9 0140 0000 0030","5.0682725231741586","-66.0","2021-03-27 23:47:14.139"
"908.75","0.375","C200 1001 2001 E054 B451 0004","2.736621725587984","-62.5","2021-03-27 23:47:14.156"
"908.75","-28.0625","3008 33B2 DDD9 0140 0000 0030","5.062136600022616","-65.5","2021-03-27 23:47:14.171"
"908.75","-0.25","C200 1001 2001 E054 B451 0004","5.915029918087033","-62.5","2021-03-27 23:47:14.186"
"908.75","107.375","3008 33B2 DDD9 0140 0000 0030","4.853515212870168","-67.5","2021-03-27 23:47:14.236"
"911.25","114.6875","3008 33B2 DDD9 0140 0000 0030","4.264466590322082","-65.5","2021-03-27 23:47:14.279"
"911.25","0.0","3008 33B2 DDD9 0140 0000 0030","4.387185053352934","-65.5","2021-03-27 23:47:14.332"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0030","4.221515128261284","-64.5","2021-03-27 23:47:14.365"
"911.25","90.3125","3008 33B2 DDD9 0140 0000 0030","4.196971435655114","-65.5","2021-03-27 23:47:14.418"
"911.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","4.485359823777615","-64.5","2021-03-27 23:47:14.444"
"902.75","3.625","E200 001D 1910 0118 1310 566F","5.283029833478148","-65.0","2021-03-27 23:47:14.457"
"902.75","2.4375","E200 001D 1910 0118 1310 566F","5.344389064993574","-64.5","2021-03-27 23:47:14.514"
"902.75","52.4375","C200 1001 2001 E054 B451 0004","0.1043106935762236","-62.5","2021-03-27 23:47:14.515"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.04908738521234052","-64.0","2021-03-27 23:47:14.516"
"902.75","-4.875","C200 1001 2001 E054 B451 0004","0.20248546400090464","-62.0","2021-03-27 23:47:14.537"
"902.75","12.1875","3008 33B2 DDD9 0140 0000 0030","0.25770877236478773","-64.0","2021-03-27 23:47:14.539"
"902.75","7.3125","E200 001D 1910 0118 1310 566F","5.240078371417351","-65.0","2021-03-27 23:47:14.54"
"902.75","34.125","C200 1001 2001 E054 B451 0004","0.15339807878856412","-62.0","2021-03-27 23:47:14.592"
"902.75","-41.5","3008 33B2 DDD9 0140 0000 0030","0.14112623248547898","-64.0","2021-03-27 23:47:14.593"
"902.75","30.5","E200 001D 1910 0118 1310 566F","5.301437602932776","-64.0","2021-03-27 23:47:14.595"
"902.75","83.0","C200 1001 2001 E054 B451 0004","0.030679615757712823","-63.0","2021-03-27 23:47:14.615"
"902.75","17.0625","E200 001D 1910 0118 1310 566F","5.313709449235861","-64.0","2021-03-27 23:47:14.617"
"902.75","-34.125","3008 33B2 DDD9 0140 0000 0030","0.2270291566070749","-63.5","2021-03-27 23:47:14.618"
"903.75","51.25","3008 33B2 DDD9 0140 0000 0030","6.068427996875596","-63.5","2021-03-27 23:47:14.671"
"903.75","-4.875","C200 1001 2001 E054 B451 0004","5.798447378207723","-62.0","2021-03-27 23:47:14.673"
"903.75","0.625","E200 001D 1910 0118 1310 566F","1.4603497100671303","-65.5","2021-03-27 23:47:14.69"
"903.75","25.625","E200 001D 1910 0118 1310 566F","4.4976316700806995","-65.0","2021-03-27 23:47:14.705"
"903.75","41.5","3008 33B2 DDD9 0140 0000 0030","5.915029918087033","-64.0","2021-03-27 23:47:14.708"
"903.75","-0.5","C200 1001 2001 E054 B451 0004","5.884350302329319","-61.5","2021-03-27 23:47:14.723"
"903.75","-20.75","E200 001D 1910 0118 1310 566F","4.7307967498393175","-65.5","2021-03-27 23:47:14.768"
"903.75","19.5","3008 33B2 DDD9 0140 0000 0030","6.056156150572511","-64.5","2021-03-27 23:47:14.769"
"903.75","-67.125","C200 1001 2001 E054 B451 0004","5.902758071783947","-61.5","2021-03-27 23:47:14.771"
"903.75","17.0625","E200 001D 1910 0118 1310 566F","4.626486056263094","-65.5","2021-03-27 23:47:14.794"
"903.75","34.125","C200 1001 2001 E054 B451 0004","5.724816300389213","-61.5","2021-03-27 23:47:14.795"
"903.75","-97.625","3008 33B2 DDD9 0140 0000 0030","0.09817477042468103","-65.0","2021-03-27 23:47:14.795"
"903.75","-23.1875","E200 001D 1910 0118 1310 566F","4.675573441475434","-65.0","2021-03-27 23:47:14.847"
"903.75","67.125","C200 1001 2001 E054 B451 0004","5.749359992995383","-61.0","2021-03-27 23:47:14.848"
"903.75","-56.125","3008 33B2 DDD9 0140 0000 0030","6.22182607566416","-65.5","2021-03-27 23:47:14.849"
"926.75","2.4375","3008 33B2 DDD9 0140 0000 0030","5.442563835418255","-64.5","2021-03-27 23:47:14.895"
"926.75","14.625","3008 33B2 DDD9 0140 0000 0030","5.2768939103266055","-64.0","2021-03-27 23:47:14.95"
"926.75","85.4375","3008 33B2 DDD9 0140 0000 0030","5.270757987175063","-64.5","2021-03-27 23:47:14.973"
"926.75","-63.4375","3008 33B2 DDD9 0140 0000 0030","5.460971604872882","-64.5","2021-03-27 23:47:15.027"
"926.75","4.875","3008 33B2 DDD9 0140 0000 0030","5.313709449235861","-64.0","2021-03-27 23:47:15.05"
"904.25","-12.1875","3008 33B2 DDD9 0140 0000 0030","5.890486225480862","-65.0","2021-03-27 23:47:15.108"
"904.25","0.75","3008 33B2 DDD9 0140 0000 0030","5.970253226450915","-65.0","2021-03-27 23:47:15.148"
"904.25","0.75","C200 1001 2001 E054 B451 0004","5.534602682691394","-61.5","2021-03-27 23:47:15.157"
"904.25","0.5","E200 001D 1910 0118 1310 566F","1.141281706186917","-66.0","2021-03-27 23:47:15.172"
"904.25","57.3125","3008 33B2 DDD9 0140 0000 0030","5.878214379177777","-64.5","2021-03-27 23:47:15.206"
"904.25","-137.9375","C200 1001 2001 E054 B451 0004","5.7616318392984684","-62.5","2021-03-27 23:47:15.207"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.93343768754166","-64.5","2021-03-27 23:47:15.229"
"904.25","-101.3125","C200 1001 2001 E054 B451 0004","5.767767762450011","-61.5","2021-03-27 23:47:15.23"
"916.25","2.4375","3008 33B2 DDD9 0140 0000 0030","2.497320722677824","-63.0","2021-03-27 23:47:15.286"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0030","2.478912953223196","-62.0","2021-03-27 23:47:15.31"
"916.25","31.6875","3008 33B2 DDD9 0140 0000 0030","2.429825568010856","-62.5","2021-03-27 23:47:15.363"
"916.25","83.0","3008 33B2 DDD9 0140 0000 0030","2.380738182798515","-62.5","2021-03-27 23:47:15.384"
"916.25","19.5","3008 33B2 DDD9 0140 0000 0030","2.448233337465483","-63.0","2021-03-27 23:47:15.437"
"916.25","24.375","3008 33B2 DDD9 0140 0000 0030","2.5341362615870793","-62.5","2021-03-27 23:47:15.459"
"905.75","70.75","C200 1001 2001 E054 B451 0004","4.466952054322987","-62.0","2021-03-27 23:47:15.537"
"905.75","-26.8125","3008 33B2 DDD9 0140 0000 0030","5.780039608753096","-65.0","2021-03-27 23:47:15.538"
"905.75","-7.3125","C200 1001 2001 E054 B451 0004","4.565126824747668","-61.5","2021-03-27 23:47:15.56"
"905.75","-46.375","3008 33B2 DDD9 0140 0000 0030","5.8045833013592665","-65.5","2021-03-27 23:47:15.56"
