"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0060","0.34974761963792617","-52.0","2021-03-27 21:30:04.524"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0060","0.35588354278946877","-52.0","2021-03-27 21:30:04.545"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0060","5.307573526084319","-51.5","2021-03-27 21:30:04.623"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0060","5.3198453723874035","-52.0","2021-03-27 21:30:04.645"
"919.75","21.9375","3008 33B2 DDD9 0140 0000 0060","5.270757987175063","-51.5","2021-03-27 21:30:04.698"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","5.313709449235861","-51.5","2021-03-27 21:30:04.718"
"913.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.1719613219446299","-53.0","2021-03-27 21:30:04.771"
"913.25","24.375","3008 33B2 DDD9 0140 0000 0060","1.1719613219446299","-52.5","2021-03-27 21:30:04.795"
"913.25","12.1875","3008 33B2 DDD9 0140 0000 0060","1.1903690913992575","-52.5","2021-03-27 21:30:04.848"
"913.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","1.2333205534600555","-52.5","2021-03-27 21:30:04.87"
"913.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.1780972450961724","-52.5","2021-03-27 21:30:04.923"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0060","1.1903690913992575","-52.5","2021-03-27 21:30:04.946"
"913.25","-0.9375","E200 001D 1910 0117 1310 5A02","4.289010282928253","-69.0","2021-03-27 21:30:04.957"
"904.75","19.5","3008 33B2 DDD9 0140 0000 0060","3.718369429834794","-54.0","2021-03-27 21:30:05.028"
"904.75","-9.75","3008 33B2 DDD9 0140 0000 0060","3.773592738198677","-54.5","2021-03-27 21:30:05.053"
"904.75","-12.1875","3008 33B2 DDD9 0140 0000 0060","3.718369429834794","-54.0","2021-03-27 21:30:05.106"
"904.75","-19.5","3008 33B2 DDD9 0140 0000 0060","3.761320891895592","-54.0","2021-03-27 21:30:05.128"
"924.25","17.0625","3008 33B2 DDD9 0140 0000 0060","3.902447124381071","-51.0","2021-03-27 21:30:05.182"
"924.25","-14.625","3008 33B2 DDD9 0140 0000 0060","3.9269908169872414","-51.5","2021-03-27 21:30:05.205"
"924.25","19.5","3008 33B2 DDD9 0140 0000 0060","3.877903431774901","-51.0","2021-03-27 21:30:05.256"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.8840393549264434","-51.0","2021-03-27 21:30:05.277"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.8840393549264434","-51.0","2021-03-27 21:30:05.329"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0060","3.9085830475326135","-51.5","2021-03-27 21:30:05.35"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0060","4.509903516383785","-51.0","2021-03-27 21:30:05.404"
"922.25","0.875","E200 001D 1910 0117 1310 5A02","6.050020227420969","-70.5","2021-03-27 21:30:05.422"
"922.25","17.0625","3008 33B2 DDD9 0140 0000 0060","4.4976316700806995","-51.5","2021-03-27 21:30:05.437"
"922.25","0.5","E200 001D 1910 0117 1310 5A02","6.117515382087937","-69.5","2021-03-27 21:30:05.455"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0060","4.540583132141498","-51.5","2021-03-27 21:30:05.5"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.534447208989955","-51.0","2021-03-27 21:30:05.522"
"922.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.546719055293041","-51.5","2021-03-27 21:30:05.575"
"910.25","29.25","3008 33B2 DDD9 0140 0000 0060","2.030990563160589","-53.5","2021-03-27 21:30:05.603"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0060","2.073942025221387","-54.0","2021-03-27 21:30:05.656"
"910.25","-14.625","3008 33B2 DDD9 0140 0000 0060","2.0923497946760143","-53.5","2021-03-27 21:30:05.678"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0060","2.055534255766759","-53.5","2021-03-27 21:30:05.731"
"910.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.067806102069844","-54.0","2021-03-27 21:30:05.753"
"920.75","-9.75","3008 33B2 DDD9 0140 0000 0060","4.970097752749477","-51.5","2021-03-27 21:30:05.807"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0060","4.97623367590102","-51.5","2021-03-27 21:30:05.83"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0060","4.994641445355648","-51.0","2021-03-27 21:30:05.882"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0060","4.994641445355648","-51.5","2021-03-27 21:30:05.902"
"920.75","-19.5","3008 33B2 DDD9 0140 0000 0060","5.006913291658733","-51.0","2021-03-27 21:30:05.957"
"920.75","17.0625","3008 33B2 DDD9 0140 0000 0060","4.963961829597935","-51.0","2021-03-27 21:30:05.979"
"925.75","14.625","3008 33B2 DDD9 0140 0000 0060","3.3747577333484107","-50.5","2021-03-27 21:30:06.03"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0060","3.356349963893783","-50.5","2021-03-27 21:30:06.052"
"925.75","0.0","3008 33B2 DDD9 0140 0000 0060","3.3870295796514958","-50.0","2021-03-27 21:30:06.104"
"925.75","24.375","3008 33B2 DDD9 0140 0000 0060","3.356349963893783","-50.5","2021-03-27 21:30:06.126"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0060","3.3747577333484107","-50.5","2021-03-27 21:30:06.179"
"925.75","12.1875","3008 33B2 DDD9 0140 0000 0060","3.368621810196868","-50.5","2021-03-27 21:30:06.203"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.2765829629237295","-54.5","2021-03-27 21:30:06.253"
"906.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","3.2949907323783574","-54.0","2021-03-27 21:30:06.276"
"906.25","34.125","3008 33B2 DDD9 0140 0000 0060","3.129320807286708","-54.0","2021-03-27 21:30:06.331"
"906.25","39.0625","3008 33B2 DDD9 0140 0000 0060","3.2336315008629315","-54.0","2021-03-27 21:30:06.342"
"906.25","51.25","3008 33B2 DDD9 0140 0000 0060","3.1661363461959633","-54.0","2021-03-27 21:30:06.395"
"906.25","-4.875","3008 33B2 DDD9 0140 0000 0060","3.2827188860752723","-54.0","2021-03-27 21:30:06.417"
"919.25","14.625","3008 33B2 DDD9 0140 0000 0060","5.405748296509","-52.0","2021-03-27 21:30:06.471"
"919.25","0.4375","E200 001D 1910 0117 1310 5A02","1.4971652489763858","-70.0","2021-03-27 21:30:06.483"
"919.25","21.9375","3008 33B2 DDD9 0140 0000 0060","5.418020142812084","-52.0","2021-03-27 21:30:06.5"
"919.25","2.4375","3008 33B2 DDD9 0140 0000 0060","5.442563835418255","-52.0","2021-03-27 21:30:06.554"
"919.25","24.375","3008 33B2 DDD9 0140 0000 0060","5.418020142812084","-51.5","2021-03-27 21:30:06.575"
"919.25","7.3125","3008 33B2 DDD9 0140 0000 0060","5.436427912266712","-52.0","2021-03-27 21:30:06.628"
"919.25","-4.875","3008 33B2 DDD9 0140 0000 0060","5.47937937432751","-52.0","2021-03-27 21:30:06.649"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.8835729338221293","-52.0","2021-03-27 21:30:06.722"
"914.25","19.5","3008 33B2 DDD9 0140 0000 0060","0.8528933180644165","-53.0","2021-03-27 21:30:06.745"
"914.25","24.375","3008 33B2 DDD9 0140 0000 0060","0.8467573949128739","-52.5","2021-03-27 21:30:06.798"
"914.25","26.8125","3008 33B2 DDD9 0140 0000 0060","0.8406214717613314","-52.5","2021-03-27 21:30:06.819"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.5281558121369745","-54.0","2021-03-27 21:30:06.88"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.522019888985432","-54.0","2021-03-27 21:30:06.903"
"905.25","26.8125","3008 33B2 DDD9 0140 0000 0060","3.522019888985432","-54.0","2021-03-27 21:30:06.956"
"905.25","-39.0625","3008 33B2 DDD9 0140 0000 0060","3.6754179677739964","-54.0","2021-03-27 21:30:06.976"
"905.25","26.8125","3008 33B2 DDD9 0140 0000 0060","3.5588354278946874","-54.0","2021-03-27 21:30:07.031"
"905.25","29.25","3008 33B2 DDD9 0140 0000 0060","3.5036121195308043","-53.5","2021-03-27 21:30:07.054"
"916.75","-4.875","3008 33B2 DDD9 0140 0000 0060","0.01227184630308513","-52.5","2021-03-27 21:30:07.112"
"916.75","-4.875","3008 33B2 DDD9 0140 0000 0060","0.02454369260617026","-52.5","2021-03-27 21:30:07.135"
"916.75","19.5","3008 33B2 DDD9 0140 0000 0060","6.215690152512618","-52.5","2021-03-27 21:30:07.188"
"916.75","-7.3125","3008 33B2 DDD9 0140 0000 0060","0.01227184630308513","-52.5","2021-03-27 21:30:07.21"
"916.75","4.875","3008 33B2 DDD9 0140 0000 0060","6.277049384028044","-52.0","2021-03-27 21:30:07.262"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0060","2.8409324191642074","-50.0","2021-03-27 21:30:07.308"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.84706834231575","-50.5","2021-03-27 21:30:07.361"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.834796496012665","-50.0","2021-03-27 21:30:07.383"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0060","2.8286605728611223","-50.0","2021-03-27 21:30:07.436"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.84706834231575","-50.0","2021-03-27 21:30:07.457"
"908.75","-24.375","3008 33B2 DDD9 0140 0000 0060","2.5280003384355365","-53.5","2021-03-27 21:30:07.509"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0060","2.4911847995262812","-54.0","2021-03-27 21:30:07.532"
"908.75","0.0","3008 33B2 DDD9 0140 0000 0060","2.497320722677824","-54.0","2021-03-27 21:30:07.586"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","2.435961491162398","-54.0","2021-03-27 21:30:07.608"
"908.75","19.5","3008 33B2 DDD9 0140 0000 0060","2.435961491162398","-54.0","2021-03-27 21:30:07.659"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.5034566458293663","-54.0","2021-03-27 21:30:07.683"
"911.25","-24.375","3008 33B2 DDD9 0140 0000 0060","1.846912868614312","-53.5","2021-03-27 21:30:07.758"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.8100973297050567","-53.5","2021-03-27 21:30:07.779"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0060","1.7732817907958012","-53.5","2021-03-27 21:30:07.832"
"911.25","41.5","3008 33B2 DDD9 0140 0000 0060","1.6996507129772904","-53.5","2021-03-27 21:30:07.854"
"902.75","26.8125","3008 33B2 DDD9 0140 0000 0060","4.368777283898306","-53.5","2021-03-27 21:30:07.915"
"902.75","85.4375","E200 001D 1910 0118 1310 566F","4.970097752749477","-65.5","2021-03-27 21:30:07.915"
