"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.11044661672776616","-57.0","2021-03-28 12:01:12.938"
"903.25","29.25","3008 33B2 DDD9 0140 0000 0060","0.09817477042468103","-57.5","2021-03-28 12:01:12.96"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0060","0.11044661672776616","-57.0","2021-03-28 12:01:13.015"
"903.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","0.20248546400090464","-57.5","2021-03-28 12:01:13.041"
"907.75","0.0","3008 33B2 DDD9 0140 0000 0060","5.080544369477243","-55.0","2021-03-28 12:01:13.11"
"907.75","2.4375","3008 33B2 DDD9 0140 0000 0060","5.105088062083414","-55.5","2021-03-28 12:01:13.133"
"907.75","24.375","3008 33B2 DDD9 0140 0000 0060","5.049864753719531","-56.0","2021-03-28 12:01:13.187"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0060","5.074408446325701","-55.5","2021-03-28 12:01:13.21"
"905.25","-4.875","3008 33B2 DDD9 0140 0000 0060","5.8475347634200645","-56.0","2021-03-28 12:01:13.264"
"905.25","19.5","3008 33B2 DDD9 0140 0000 0060","5.822991070813893","-56.0","2021-03-28 12:01:13.286"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0060","5.835262917116979","-56.5","2021-03-28 12:01:13.34"
"905.25","29.25","3008 33B2 DDD9 0140 0000 0060","5.786175531904639","-56.5","2021-03-28 12:01:13.364"
"905.25","14.625","3008 33B2 DDD9 0140 0000 0060","5.822991070813893","-56.5","2021-03-28 12:01:13.417"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0060","5.822991070813893","-56.0","2021-03-28 12:01:13.441"
"907.25","26.8125","3008 33B2 DDD9 0140 0000 0060","5.227806525114265","-56.0","2021-03-28 12:01:13.515"
"907.25","-4.875","3008 33B2 DDD9 0140 0000 0060","5.252350217720435","-55.5","2021-03-28 12:01:13.537"
"907.25","26.8125","3008 33B2 DDD9 0140 0000 0060","5.190990986205009","-56.0","2021-03-28 12:01:13.593"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0060","5.197126909356553","-56.0","2021-03-28 12:01:13.615"
