"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"910.25","19.5","3008 33B2 DDD9 0140 0000 0060","4.558990901596125","-58.0","2021-03-28 00:08:49.907"
"910.25","0.5","C200 1001 2001 E054 B451 0004","1.761009944492716","-63.5","2021-03-28 00:08:49.918"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0060","4.608078286808466","-58.0","2021-03-28 00:08:49.939"
"910.25","-0.1875","C200 1001 2001 E054 B451 0004","1.7978254834019713","-63.0","2021-03-28 00:08:49.963"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.669437518323892","-57.5","2021-03-28 00:08:50.002"
"910.25","-0.1875","C200 1001 2001 E054 B451 0004","1.7916895602504288","-63.5","2021-03-28 00:08:50.026"
"910.25","39.0625","3008 33B2 DDD9 0140 0000 0060","4.565126824747668","-58.0","2021-03-28 00:08:50.035"
"910.25","0.25","C200 1001 2001 E054 B451 0004","1.7732817907958012","-63.0","2021-03-28 00:08:50.047"
"920.75","-1.5","3008 33B2 DDD9 0140 0000 0060","0.880504972246358","-59.0","2021-03-28 00:08:50.111"
"920.75","-4.875","3008 33B2 DDD9 0140 0000 0060","0.8406214717613314","-58.0","2021-03-28 00:08:50.139"
"920.75","-9.75","3008 33B2 DDD9 0140 0000 0060","0.8528933180644165","-59.0","2021-03-28 00:08:50.193"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.8467573949128739","-58.5","2021-03-28 00:08:50.213"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","0.859029241215959","-58.5","2021-03-28 00:08:50.268"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0060","0.8713010875190442","-59.0","2021-03-28 00:08:50.291"
"925.75","-51.25","3008 33B2 DDD9 0140 0000 0060","5.516194913236766","-61.5","2021-03-28 00:08:50.364"
"925.75","46.375","3008 33B2 DDD9 0140 0000 0060","5.350524988145116","-61.0","2021-03-28 00:08:50.385"
"925.75","-43.9375","3008 33B2 DDD9 0140 0000 0060","5.534602682691394","-61.5","2021-03-28 00:08:50.441"
"925.75","-41.5","3008 33B2 DDD9 0140 0000 0060","5.50392306693368","-61.0","2021-03-28 00:08:50.464"
"906.25","-14.625","3008 33B2 DDD9 0140 0000 0060","5.853670686571607","-58.0","2021-03-28 00:08:50.516"
"906.25","36.5625","C200 1001 2001 E054 B451 0004","4.221515128261284","-61.0","2021-03-28 00:08:50.517"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0060","5.8475347634200645","-58.0","2021-03-28 00:08:50.539"
"906.25","15.8125","C200 1001 2001 E054 B451 0004","4.289010282928253","-61.5","2021-03-28 00:08:50.54"
"906.25","-26.8125","3008 33B2 DDD9 0140 0000 0060","5.9518454569962875","-57.5","2021-03-28 00:08:50.592"
"906.25","20.75","C200 1001 2001 E054 B451 0004","4.227651051412827","-61.0","2021-03-28 00:08:50.593"
"906.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","5.8475347634200645","-57.5","2021-03-28 00:08:50.617"
"906.25","-59.8125","C200 1001 2001 E054 B451 0004","4.491495746929157","-61.5","2021-03-28 00:08:50.618"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0060","5.822991070813893","-58.0","2021-03-28 00:08:50.669"
"906.25","-62.25","C200 1001 2001 E054 B451 0004","4.448544284868359","-61.5","2021-03-28 00:08:50.671"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0060","5.822991070813893","-58.5","2021-03-28 00:08:50.693"
"906.25","-50.0","C200 1001 2001 E054 B451 0004","4.424000592262189","-60.0","2021-03-28 00:08:50.694"
"919.25","19.5","3008 33B2 DDD9 0140 0000 0060","1.423534171157875","-58.5","2021-03-28 00:08:50.766"
"919.25","0.0","3008 33B2 DDD9 0140 0000 0060","1.4787574795217582","-58.5","2021-03-28 00:08:50.788"
"919.25","56.125","3008 33B2 DDD9 0140 0000 0060","1.3744467859455345","-58.0","2021-03-28 00:08:50.842"
"919.25","48.8125","3008 33B2 DDD9 0140 0000 0060","1.380582709097077","-58.0","2021-03-28 00:08:50.864"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0060","3.2397674240144743","-58.0","2021-03-28 00:08:50.918"
"914.25","43.9375","3008 33B2 DDD9 0140 0000 0060","3.129320807286708","-58.0","2021-03-28 00:08:50.94"
"914.25","-17.0625","3008 33B2 DDD9 0140 0000 0060","3.172272269347506","-58.0","2021-03-28 00:08:50.993"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0060","3.1968159619536762","-58.0","2021-03-28 00:08:51.017"
"914.25","-12.1875","3008 33B2 DDD9 0140 0000 0060","3.3011266555298997","-58.0","2021-03-28 00:08:51.069"
"914.25","-12.1875","3008 33B2 DDD9 0140 0000 0060","3.2949907323783574","-57.5","2021-03-28 00:08:51.091"
"905.25","39.0625","3008 33B2 DDD9 0140 0000 0060","6.17273869045182","-58.5","2021-03-28 00:08:51.167"
"905.25","-10.9375","C200 1001 2001 E054 B451 0004","5.00077736850719","-60.5","2021-03-28 00:08:51.169"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0060","6.17273869045182","-58.0","2021-03-28 00:08:51.191"
"905.25","18.25","C200 1001 2001 E054 B451 0004","4.884194828627882","-61.5","2021-03-28 00:08:51.193"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0060","6.22182607566416","-59.0","2021-03-28 00:08:51.245"
"905.25","-41.5","C200 1001 2001 E054 B451 0004","4.9394181369917645","-60.5","2021-03-28 00:08:51.246"
"905.25","-4.875","C200 1001 2001 E054 B451 0004","4.963961829597935","-61.0","2021-03-28 00:08:51.267"
