"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"914.75","56.125","3008 33B2 DDD9 0140 0000 0060","3.4606606574700063","-61.0","2021-03-28 00:07:44.381"
"914.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","3.5465635815916023","-60.5","2021-03-28 00:07:44.404"
"914.75","26.8125","3008 33B2 DDD9 0140 0000 0060","3.522019888985432","-60.5","2021-03-28 00:07:44.457"
"914.75","19.5","3008 33B2 DDD9 0140 0000 0060","3.5036121195308043","-61.0","2021-03-28 00:07:44.48"
"914.75","31.6875","3008 33B2 DDD9 0140 0000 0060","3.485204350076177","-61.0","2021-03-28 00:07:44.534"
"914.75","39.0625","3008 33B2 DDD9 0140 0000 0060","3.472932503773092","-61.0","2021-03-28 00:07:44.555"
"913.75","-9.75","3008 33B2 DDD9 0140 0000 0060","3.9822141253511245","-61.0","2021-03-28 00:07:44.805"
"913.75","26.8125","3008 33B2 DDD9 0140 0000 0060","3.9208548938356986","-61.0","2021-03-28 00:07:44.826"
"913.75","24.375","3008 33B2 DDD9 0140 0000 0060","3.877903431774901","-61.0","2021-03-28 00:07:44.879"
"913.75","-21.9375","3008 33B2 DDD9 0140 0000 0060","3.9208548938356986","-60.5","2021-03-28 00:07:44.903"
"913.75","-36.5625","3008 33B2 DDD9 0140 0000 0060","4.01902966426038","-60.5","2021-03-28 00:07:44.955"
"913.75","-9.75","3008 33B2 DDD9 0140 0000 0060","3.9085830475326135","-61.0","2021-03-28 00:07:44.978"
"915.25","61.0","3008 33B2 DDD9 0140 0000 0060","3.215223731408304","-61.5","2021-03-28 00:07:45.214"
"915.25","65.875","3008 33B2 DDD9 0140 0000 0060","3.3011266555298997","-61.0","2021-03-28 00:07:45.236"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0060","3.32567034813607","-61.0","2021-03-28 00:07:45.29"
"915.25","53.6875","3008 33B2 DDD9 0140 0000 0060","3.215223731408304","-61.0","2021-03-28 00:07:45.312"
"915.25","-14.625","3008 33B2 DDD9 0140 0000 0060","3.2949907323783574","-60.5","2021-03-28 00:07:45.365"
"915.25","24.375","3008 33B2 DDD9 0140 0000 0060","3.32567034813607","-61.0","2021-03-28 00:07:45.389"
"911.75","48.8125","3008 33B2 DDD9 0140 0000 0060","4.583534594202296","-61.0","2021-03-28 00:07:45.465"
"911.75","65.875","3008 33B2 DDD9 0140 0000 0060","4.466952054322987","-60.5","2021-03-28 00:07:45.488"
"911.75","-14.625","3008 33B2 DDD9 0140 0000 0060","4.651029748869264","-61.5","2021-03-28 00:07:45.541"
"911.75","7.3125","3008 33B2 DDD9 0140 0000 0060","4.583534594202296","-61.0","2021-03-28 00:07:45.562"
"918.75","-41.5","3008 33B2 DDD9 0140 0000 0060","2.110757564130642","-60.5","2021-03-28 00:07:45.624"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0060","1.945087639038993","-60.5","2021-03-28 00:07:45.645"
"918.75","24.375","3008 33B2 DDD9 0140 0000 0060","1.932815792735908","-61.0","2021-03-28 00:07:45.699"
"918.75","56.125","3008 33B2 DDD9 0140 0000 0060","1.932815792735908","-60.5","2021-03-28 00:07:45.722"
"918.75","14.625","3008 33B2 DDD9 0140 0000 0060","2.0064468705544187","-60.5","2021-03-28 00:07:45.775"
"918.75","65.875","3008 33B2 DDD9 0140 0000 0060","1.9389517158874505","-61.0","2021-03-28 00:07:45.798"
"912.75","41.5","3008 33B2 DDD9 0140 0000 0060","4.178563666200486","-61.0","2021-03-28 00:07:45.875"
"912.75","9.75","3008 33B2 DDD9 0140 0000 0060","4.264466590322082","-60.5","2021-03-28 00:07:45.897"
"912.75","-39.0625","3008 33B2 DDD9 0140 0000 0060","4.338097668140593","-60.0","2021-03-28 00:07:45.949"
"912.75","24.375","3008 33B2 DDD9 0140 0000 0060","4.147884050442774","-60.5","2021-03-28 00:07:45.973"
"917.25","53.6875","3008 33B2 DDD9 0140 0000 0060","2.5280003384355365","-61.0","2021-03-28 00:07:46.026"
"917.25","-19.5","3008 33B2 DDD9 0140 0000 0060","2.6568547246179306","-61.0","2021-03-28 00:07:46.049"
"917.25","-12.1875","3008 33B2 DDD9 0140 0000 0060","2.60776733940559","-61.5","2021-03-28 00:07:46.101"
"917.25","31.6875","3008 33B2 DDD9 0140 0000 0060","2.509592568980909","-60.0","2021-03-28 00:07:46.124"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.521864415283994","-61.0","2021-03-28 00:07:46.177"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0060","2.509592568980909","-61.0","2021-03-28 00:07:46.199"
"909.75","-12.1875","3008 33B2 DDD9 0140 0000 0060","5.313709449235861","-61.5","2021-03-28 00:07:46.277"
"909.75","-0.875","C200 1001 2001 E054 B451 0004","2.1782527187976104","-62.5","2021-03-28 00:07:46.298"
"909.75","-39.0625","3008 33B2 DDD9 0140 0000 0060","5.411884219660542","-61.0","2021-03-28 00:07:46.312"
"909.75","0.125","C200 1001 2001 E054 B451 0004","2.12916533358527","-62.5","2021-03-28 00:07:46.324"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0060","5.283029833478148","-60.5","2021-03-28 00:07:46.373"
"909.75","0.0","C200 1001 2001 E054 B451 0004","2.1230294104337273","-62.5","2021-03-28 00:07:46.395"
"909.75","31.6875","3008 33B2 DDD9 0140 0000 0060","5.1725832167503825","-62.0","2021-03-28 00:07:46.406"
"907.75","-43.9375","C200 1001 2001 E054 B451 0004","3.411573272257666","-62.0","2021-03-28 00:07:46.423"
"907.75","-46.375","C200 1001 2001 E054 B451 0004","3.423845118560751","-62.0","2021-03-28 00:07:46.474"
"907.75","-9.75","3008 33B2 DDD9 0140 0000 0060","6.019340611663256","-61.5","2021-03-28 00:07:46.476"
"907.75","43.9375","3008 33B2 DDD9 0140 0000 0060","5.9088939949354895","-62.0","2021-03-28 00:07:46.497"
"907.75","-67.125","C200 1001 2001 E054 B451 0004","3.436116964863836","-62.0","2021-03-28 00:07:46.499"
"907.75","0.0","C200 1001 2001 E054 B451 0004","3.2949907323783574","-62.0","2021-03-28 00:07:46.551"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0060","5.976389149602458","-62.0","2021-03-28 00:07:46.553"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0060","5.964117303299373","-62.0","2021-03-28 00:07:46.575"
"907.75","36.5625","C200 1001 2001 E054 B451 0004","3.4177091954092087","-61.5","2021-03-28 00:07:46.577"
"907.25","7.3125","C200 1001 2001 E054 B451 0004","3.5833791205008576","-62.0","2021-03-28 00:07:46.629"
"907.25","-29.25","3008 33B2 DDD9 0140 0000 0060","6.160466844148735","-62.0","2021-03-28 00:07:46.63"
"907.25","-15.8125","C200 1001 2001 E054 B451 0004","3.693825737228624","-61.5","2021-03-28 00:07:46.652"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0060","6.209554229361076","-63.0","2021-03-28 00:07:46.654"
"907.25","-91.5","C200 1001 2001 E054 B451 0004","3.822680123411018","-62.0","2021-03-28 00:07:46.705"
"907.25","19.5","3008 33B2 DDD9 0140 0000 0060","6.111379458936394","-63.0","2021-03-28 00:07:46.707"
"907.25","54.875","C200 1001 2001 E054 B451 0004","3.6263305825616556","-61.5","2021-03-28 00:07:46.729"
"907.25","51.25","3008 33B2 DDD9 0140 0000 0060","6.160466844148735","-61.5","2021-03-28 00:07:46.729"
"907.25","25.625","C200 1001 2001 E054 B451 0004","3.663146121470911","-62.0","2021-03-28 00:07:46.784"
"907.25","36.5625","3008 33B2 DDD9 0140 0000 0060","6.056156150572511","-63.0","2021-03-28 00:07:46.785"
"907.25","29.25","3008 33B2 DDD9 0140 0000 0060","6.129787228391022","-62.0","2021-03-28 00:07:46.808"
"907.25","-18.25","C200 1001 2001 E054 B451 0004","3.749049045592507","-61.5","2021-03-28 00:07:46.809"
"906.75","-39.0625","C200 1001 2001 E054 B451 0004","4.074252972624263","-61.5","2021-03-28 00:07:47.036"
"906.75","43.9375","3008 33B2 DDD9 0140 0000 0060","6.1850105367549055","-62.5","2021-03-28 00:07:47.037"
"906.75","4.875","C200 1001 2001 E054 B451 0004","4.147884050442774","-62.0","2021-03-28 00:07:47.058"
"906.75","43.9375","3008 33B2 DDD9 0140 0000 0060","6.2463697682703305","-62.5","2021-03-28 00:07:47.059"
"906.75","-62.25","C200 1001 2001 E054 B451 0004","4.2092432819582","-60.5","2021-03-28 00:07:47.111"
"906.75","46.375","3008 33B2 DDD9 0140 0000 0060","6.227961998815704","-62.5","2021-03-28 00:07:47.113"
"906.75","14.625","3008 33B2 DDD9 0140 0000 0060","0.02454369260617026","-62.5","2021-03-28 00:07:47.135"
"906.75","-18.25","C200 1001 2001 E054 B451 0004","4.000621894805752","-61.5","2021-03-28 00:07:47.137"
"906.75","-46.375","3008 33B2 DDD9 0140 0000 0060","0.1227184630308513","-62.5","2021-03-28 00:07:47.188"
"906.75","-85.4375","C200 1001 2001 E054 B451 0004","4.178563666200486","-62.0","2021-03-28 00:07:47.19"
"906.75","-28.0625","C200 1001 2001 E054 B451 0004","4.104932588381976","-61.0","2021-03-28 00:07:47.211"
"906.75","43.9375","3008 33B2 DDD9 0140 0000 0060","0.0","-63.0","2021-03-28 00:07:47.212"
"915.75","-41.5","3008 33B2 DDD9 0140 0000 0060","3.2336315008629315","-60.5","2021-03-28 00:07:47.285"
"915.75","36.5625","3008 33B2 DDD9 0140 0000 0060","3.117048960983623","-61.0","2021-03-28 00:07:47.308"
"915.75","-9.75","3008 33B2 DDD9 0140 0000 0060","3.129320807286708","-61.0","2021-03-28 00:07:47.36"
"915.75","-9.75","3008 33B2 DDD9 0140 0000 0060","3.3072625786814425","-60.5","2021-03-28 00:07:47.383"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0060","1.6935147898257479","-61.5","2021-03-28 00:07:47.436"
"919.75","31.6875","3008 33B2 DDD9 0140 0000 0060","1.552388557340269","-62.0","2021-03-28 00:07:47.458"
"919.75","19.5","3008 33B2 DDD9 0140 0000 0060","1.6444274046134073","-61.5","2021-03-28 00:07:47.512"
"919.75","21.9375","3008 33B2 DDD9 0140 0000 0060","1.5401167110371838","-62.0","2021-03-28 00:07:47.535"
"919.75","58.5625","3008 33B2 DDD9 0140 0000 0060","1.5892040962495242","-61.5","2021-03-28 00:07:47.587"
"919.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.6566992509164924","-61.0","2021-03-28 00:07:47.611"
"913.25","34.125","3008 33B2 DDD9 0140 0000 0060","4.025165587411922","-61.0","2021-03-28 00:07:47.687"
"913.25","41.5","3008 33B2 DDD9 0140 0000 0060","4.04357335686655","-61.5","2021-03-28 00:07:47.711"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0060","4.01902966426038","-61.0","2021-03-28 00:07:47.763"
"913.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.037437433715008","-61.0","2021-03-28 00:07:47.786"
"904.75","-70.75","C200 1001 2001 E054 B451 0004","5.295301679781233","-61.0","2021-03-28 00:07:47.837"
"904.75","1.125","3008 33B2 DDD9 0140 0000 0060","0.6258641614573416","-63.5","2021-03-28 00:07:47.857"
"904.75","-39.0625","C200 1001 2001 E054 B451 0004","5.246214294568893","-61.0","2021-03-28 00:07:47.874"
"904.75","-0.0625","3008 33B2 DDD9 0140 0000 0060","0.6565437772150544","-64.0","2021-03-28 00:07:47.895"
"904.75","-31.6875","C200 1001 2001 E054 B451 0004","5.2768939103266055","-61.0","2021-03-28 00:07:47.938"
"904.75","-0.125","3008 33B2 DDD9 0140 0000 0060","0.6320000846088841","-63.5","2021-03-28 00:07:47.956"
"904.75","2.4375","C200 1001 2001 E054 B451 0004","5.209398755659637","-61.0","2021-03-28 00:07:47.972"
"904.75","0.0625","3008 33B2 DDD9 0140 0000 0060","0.6135923151542565","-64.0","2021-03-28 00:07:47.983"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0060","5.080544369477243","-61.0","2021-03-28 00:07:48.497"
"910.25","0.5625","C200 1001 2001 E054 B451 0004","1.7978254834019713","-63.0","2021-03-28 00:07:48.507"
"910.25","-21.9375","3008 33B2 DDD9 0140 0000 0060","5.197126909356553","-61.0","2021-03-28 00:07:48.528"
"910.25","-0.0625","C200 1001 2001 E054 B451 0004","1.7978254834019713","-63.0","2021-03-28 00:07:48.552"
"910.25","126.9375","3008 33B2 DDD9 0140 0000 0060","4.9394181369917645","-61.5","2021-03-28 00:07:48.59"
"910.25","0.5625","C200 1001 2001 E054 B451 0004","1.8162332528565992","-63.0","2021-03-28 00:07:48.615"
"910.25","21.9375","3008 33B2 DDD9 0140 0000 0060","5.129631754689584","-61.5","2021-03-28 00:07:48.625"
"910.25","0.0625","C200 1001 2001 E054 B451 0004","1.8285050991596843","-63.0","2021-03-28 00:07:48.636"
"920.75","-58.5625","3008 33B2 DDD9 0140 0000 0060","1.282407938672396","-61.5","2021-03-28 00:07:48.686"
"920.75","-80.5625","3008 33B2 DDD9 0140 0000 0060","1.4296700943094176","-62.0","2021-03-28 00:07:48.71"
"920.75","-0.125","3008 33B2 DDD9 0140 0000 0060","1.2946797849754812","-62.0","2021-03-28 00:07:48.782"
"920.75","-0.375","3008 33B2 DDD9 0140 0000 0060","1.2640001692177683","-62.0","2021-03-28 00:07:48.812"
"920.75","-21.9375","3008 33B2 DDD9 0140 0000 0060","1.1596894756415448","-62.0","2021-03-28 00:07:48.86"
"906.25","-31.6875","C200 1001 2001 E054 B451 0004","4.368777283898306","-61.0","2021-03-28 00:07:49.091"
"906.25","24.375","3008 33B2 DDD9 0140 0000 0060","0.2454369260617026","-63.5","2021-03-28 00:07:49.114"
"906.25","31.6875","C200 1001 2001 E054 B451 0004","4.338097668140593","-62.0","2021-03-28 00:07:49.114"
