"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.380738182798515","-53.0","2021-03-28 00:06:47.132"
"922.25","31.6875","3008 33B2 DDD9 0140 0000 0040","2.405281875404685","-53.0","2021-03-28 00:06:47.186"
"922.25","-4.875","3008 33B2 DDD9 0140 0000 0040","2.435961491162398","-53.0","2021-03-28 00:06:47.207"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0040","2.399145952253143","-53.0","2021-03-28 00:06:47.262"
"922.25","24.375","3008 33B2 DDD9 0140 0000 0040","2.399145952253143","-53.0","2021-03-28 00:06:47.285"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0040","0.35588354278946877","-51.0","2021-03-28 00:06:47.358"
"910.25","0.0","C200 1001 2001 E054 B451 0004","1.88986433067511","-64.0","2021-03-28 00:06:47.376"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0040","0.34974761963792617","-51.0","2021-03-28 00:06:47.391"
"910.25","0.8125","C200 1001 2001 E054 B451 0004","1.8407769454627694","-64.0","2021-03-28 00:06:47.412"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0040","0.3313398501832985","-51.0","2021-03-28 00:06:47.458"
"910.25","0.25","C200 1001 2001 E054 B451 0004","1.8407769454627694","-64.0","2021-03-28 00:06:47.476"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0040","0.3313398501832985","-51.0","2021-03-28 00:06:47.489"
"910.25","-1.0625","C200 1001 2001 E054 B451 0004","1.9205439464328227","-64.0","2021-03-28 00:06:47.506"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","2.988194574801229","-52.5","2021-03-28 00:06:47.571"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0040","2.9391071895888885","-52.5","2021-03-28 00:06:47.593"
"920.75","24.375","3008 33B2 DDD9 0140 0000 0040","2.8838838812250054","-52.0","2021-03-28 00:06:47.647"
"920.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","2.9206994201342606","-52.0","2021-03-28 00:06:47.67"
"925.75","29.25","3008 33B2 DDD9 0140 0000 0040","1.4787574795217582","-55.5","2021-03-28 00:06:47.724"
"925.75","43.9375","3008 33B2 DDD9 0140 0000 0040","1.4358060174609601","-55.5","2021-03-28 00:06:47.746"
"925.75","-4.875","3008 33B2 DDD9 0140 0000 0040","1.5155730184310134","-55.5","2021-03-28 00:06:47.799"
"925.75","19.5","3008 33B2 DDD9 0140 0000 0040","1.5033011721279284","-55.0","2021-03-28 00:06:47.821"
"925.75","36.5625","3008 33B2 DDD9 0140 0000 0040","1.4971652489763858","-55.0","2021-03-28 00:06:47.875"
"925.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.5401167110371838","-55.0","2021-03-28 00:06:47.899"
"906.25","2.4375","C200 1001 2001 E054 B451 0004","4.356505437595221","-61.5","2021-03-28 00:06:47.975"
"906.25","19.5","3008 33B2 DDD9 0140 0000 0040","1.5830681730979816","-51.0","2021-03-28 00:06:47.977"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.5953400194010667","-51.0","2021-03-28 00:06:47.997"
"906.25","-18.25","C200 1001 2001 E054 B451 0004","4.3933209765044765","-62.0","2021-03-28 00:06:47.999"
"906.25","39.0625","C200 1001 2001 E054 B451 0004","4.301282129231338","-62.0","2021-03-28 00:06:48.051"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.6014759425526093","-51.0","2021-03-28 00:06:48.052"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.5830681730979816","-51.0","2021-03-28 00:06:48.074"
"906.25","-4.875","C200 1001 2001 E054 B451 0004","4.3933209765044765","-61.5","2021-03-28 00:06:48.075"
"919.25","-26.8125","3008 33B2 DDD9 0140 0000 0040","3.509748042682347","-51.5","2021-03-28 00:06:48.13"
"919.25","21.9375","3008 33B2 DDD9 0140 0000 0040","3.448388811166921","-51.5","2021-03-28 00:06:48.151"
"919.25","-14.625","3008 33B2 DDD9 0140 0000 0040","3.5158839658338894","-51.5","2021-03-28 00:06:48.205"
"919.25","-9.75","3008 33B2 DDD9 0140 0000 0040","3.509748042682347","-51.5","2021-03-28 00:06:48.227"
"919.25","-9.75","3008 33B2 DDD9 0140 0000 0040","3.485204350076177","-51.5","2021-03-28 00:06:48.281"
"919.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.442252888015379","-51.5","2021-03-28 00:06:48.304"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0040","5.283029833478148","-51.0","2021-03-28 00:06:48.381"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0040","5.283029833478148","-51.0","2021-03-28 00:06:48.402"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.295301679781233","-51.0","2021-03-28 00:06:48.457"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0040","5.264622064023521","-51.0","2021-03-28 00:06:48.478"
"905.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","1.9389517158874505","-50.0","2021-03-28 00:06:48.532"
"905.25","-59.8125","C200 1001 2001 E054 B451 0004","5.111223985234957","-62.0","2021-03-28 00:06:48.532"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.9082721001297376","-50.5","2021-03-28 00:06:48.554"
"905.25","-13.375","C200 1001 2001 E054 B451 0004","4.994641445355648","-61.5","2021-03-28 00:06:48.556"
"905.25","83.0","C200 1001 2001 E054 B451 0004","4.8351074434155406","-61.0","2021-03-28 00:06:48.608"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.88986433067511","-50.0","2021-03-28 00:06:48.609"
"905.25","0.0","C200 1001 2001 E054 B451 0004","5.037592907416445","-62.0","2021-03-28 00:06:48.631"
"905.25","-19.5","3008 33B2 DDD9 0140 0000 0040","1.9757672547967058","-50.0","2021-03-28 00:06:48.632"
"905.25","-2.4375","C200 1001 2001 E054 B451 0004","5.00077736850719","-62.0","2021-03-28 00:06:48.685"
"905.25","24.375","3008 33B2 DDD9 0140 0000 0040","1.8960002538266525","-50.5","2021-03-28 00:06:48.686"
"905.25","-20.75","C200 1001 2001 E054 B451 0004","4.988505522204105","-61.5","2021-03-28 00:06:48.706"
"905.25","24.375","3008 33B2 DDD9 0140 0000 0040","1.8960002538266525","-50.5","2021-03-28 00:06:48.707"
"916.75","19.5","3008 33B2 DDD9 0140 0000 0040","4.387185053352934","-51.0","2021-03-28 00:06:48.782"
"916.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.424000592262189","-51.0","2021-03-28 00:06:48.804"
"916.75","-9.75","3008 33B2 DDD9 0140 0000 0040","4.448544284868359","-51.0","2021-03-28 00:06:48.857"
"916.75","12.1875","3008 33B2 DDD9 0140 0000 0040","4.411728745959104","-51.0","2021-03-28 00:06:48.881"
"927.25","34.125","3008 33B2 DDD9 0140 0000 0040","1.1535535524900022","-55.5","2021-03-28 00:06:48.933"
"927.25","34.125","3008 33B2 DDD9 0140 0000 0040","1.1535535524900022","-55.5","2021-03-28 00:06:48.956"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.239456476611598","-56.0","2021-03-28 00:06:49.01"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.2087768608538851","-55.5","2021-03-28 00:06:49.032"
"927.25","58.5625","3008 33B2 DDD9 0140 0000 0040","1.1106020904292042","-56.0","2021-03-28 00:06:49.085"
"927.25","-24.375","3008 33B2 DDD9 0140 0000 0040","1.1965050145508","-55.5","2021-03-28 00:06:49.107"
"908.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.8344855486097889","-51.5","2021-03-28 00:06:49.185"
"908.75","0.8125","C200 1001 2001 E054 B451 0004","5.93343768754166","-62.5","2021-03-28 00:06:49.206"
"908.75","14.625","3008 33B2 DDD9 0140 0000 0040","0.8099418560036186","-51.5","2021-03-28 00:06:49.217"
"908.75","-0.1875","C200 1001 2001 E054 B451 0004","6.000932842208628","-62.5","2021-03-28 00:06:49.238"
"908.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.803805932852076","-51.5","2021-03-28 00:06:49.283"
"908.75","-0.625","C200 1001 2001 E054 B451 0004","2.9022916506796332","-62.5","2021-03-28 00:06:49.3"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","0.8467573949128739","-51.5","2021-03-28 00:06:49.317"
"911.25","-4.875","3008 33B2 DDD9 0140 0000 0040","0.006135923151542565","-51.5","2021-03-28 00:06:49.386"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0040","6.252505691421874","-51.5","2021-03-28 00:06:49.409"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0040","6.277049384028044","-51.5","2021-03-28 00:06:49.463"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0040","6.264777537724958","-51.5","2021-03-28 00:06:49.486"
"902.75","12.1875","3008 33B2 DDD9 0140 0000 0040","2.7857091108003242","-50.0","2021-03-28 00:06:49.539"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0040","2.779573187648782","-50.0","2021-03-28 00:06:49.562"
"902.75","31.6875","C200 1001 2001 E054 B451 0004","6.270913460876501","-62.5","2021-03-28 00:06:49.562"
"902.75","-257.5625","C200 1001 2001 E054 B451 0004","0.6381360077604268","-62.0","2021-03-28 00:06:49.616"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0040","2.7857091108003242","-50.0","2021-03-28 00:06:49.617"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0040","2.791845033951867","-50.0","2021-03-28 00:06:49.638"
"902.75","-50.0","C200 1001 2001 E054 B451 0004","0.25770877236478773","-62.0","2021-03-28 00:06:49.64"
"902.75","-0.125","E200 001D 1910 0118 1310 566F","5.301437602932776","-66.0","2021-03-28 00:06:49.661"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0040","2.7979809571034093","-50.0","2021-03-28 00:06:49.704"
"902.75","78.125","C200 1001 2001 E054 B451 0004","0.1043106935762236","-62.0","2021-03-28 00:06:49.705"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0040","2.816388726558037","-50.0","2021-03-28 00:06:49.727"
"902.75","15.8125","C200 1001 2001 E054 B451 0004","0.18407769454627693","-61.5","2021-03-28 00:06:49.728"
"903.75","36.5625","C200 1001 2001 E054 B451 0004","5.853670686571607","-61.0","2021-03-28 00:06:49.788"
"903.75","12.1875","3008 33B2 DDD9 0140 0000 0040","2.399145952253143","-50.5","2021-03-28 00:06:49.789"
"903.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","2.448233337465483","-50.0","2021-03-28 00:06:49.813"
"903.75","-7.3125","C200 1001 2001 E054 B451 0004","5.841398840268521","-61.5","2021-03-28 00:06:49.813"
"903.75","-50.0","C200 1001 2001 E054 B451 0004","5.982525072754001","-62.0","2021-03-28 00:06:49.867"
"903.75","2.4375","3008 33B2 DDD9 0140 0000 0040","2.442097414313941","-50.5","2021-03-28 00:06:49.867"
"903.75","13.375","C200 1001 2001 E054 B451 0004","5.822991070813893","-62.0","2021-03-28 00:06:49.889"
"903.75","9.75","3008 33B2 DDD9 0140 0000 0040","2.429825568010856","-50.0","2021-03-28 00:06:49.89"
"926.75","12.1875","3008 33B2 DDD9 0140 0000 0040","1.2640001692177683","-56.5","2021-03-28 00:06:49.942"
"926.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.3069516312785663","-55.5","2021-03-28 00:06:49.964"
"926.75","36.5625","3008 33B2 DDD9 0140 0000 0040","1.239456476611598","-56.0","2021-03-28 00:06:50.02"
