"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"910.75","30.5","3008 33B2 DDD9 0140 0000 0030","4.663301595172349","-58.0","2021-03-29 19:58:03.966"
"910.75","29.25","E200 001D 1910 0116 1310 566E","5.43029198911517","-66.0","2021-03-29 19:58:03.967"
"910.75","-57.3125","E200 001D 1910 0116 1310 566E","5.7616318392984684","-65.5","2021-03-29 19:58:03.99"
"910.75","0.0","3008 33B2 DDD9 0140 0000 0030","4.7860200582032","-58.0","2021-03-29 19:58:03.991"
"910.75","-52.4375","E200 001D 1910 0116 1310 566E","5.632777453116074","-65.5","2021-03-29 19:58:04.044"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0030","4.6878452877785195","-58.5","2021-03-29 19:58:04.045"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0030","4.755340442445488","-58.5","2021-03-29 19:58:04.067"
"910.75","4.875","E200 001D 1910 0116 1310 566E","5.583690067903734","-65.5","2021-03-29 19:58:04.068"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0030","4.71238898038469","-58.0","2021-03-29 19:58:04.119"
"910.75","-54.875","E200 001D 1910 0116 1310 566E","5.7616318392984684","-66.0","2021-03-29 19:58:04.12"
"910.75","53.6875","3008 33B2 DDD9 0140 0000 0030","4.657165672020807","-58.0","2021-03-29 19:58:04.144"
"910.75","-64.6875","E200 001D 1910 0116 1310 566E","5.712544454086128","-66.0","2021-03-29 19:58:04.145"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0030","4.565126824747668","-58.0","2021-03-29 19:58:04.218"
"911.25","-126.9375","E200 001D 1910 0116 1310 566E","5.66959299202533","-65.0","2021-03-29 19:58:04.22"
"911.25","0.4375","E200 001D 1910 0118 1310 566F","1.5585244804918115","-70.0","2021-03-29 19:58:04.24"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0030","4.589670517353839","-58.0","2021-03-29 19:58:04.252"
"911.25","-50.0","E200 001D 1910 0116 1310 566E","5.546874528994478","-65.0","2021-03-29 19:58:04.253"
"911.25","51.25","3008 33B2 DDD9 0140 0000 0030","4.516039439535327","-58.5","2021-03-29 19:58:04.306"
"911.25","2.4375","E200 001D 1910 0116 1310 566E","5.393476450205914","-66.5","2021-03-29 19:58:04.307"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0030","4.565126824747668","-57.5","2021-03-29 19:58:04.329"
