"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.25","46.375","E200 001D 1910 0116 1310 566E","1.945087639038993","-66.0","2021-03-29 19:27:06.962"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.055378782065321","-45.5","2021-03-29 19:27:06.963"
"917.25","111.0625","E200 001D 1910 0118 1310 566F","0.8835729338221293","-67.0","2021-03-29 19:27:06.964"
"917.25","-10.9375","E200 001D 1910 0116 1310 566E","1.9819031779482483","-66.0","2021-03-29 19:27:07.021"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.0676506283684062","-45.5","2021-03-29 19:27:07.022"
"917.25","130.5625","E200 001D 1910 0118 1310 566F","0.9940195505498954","-68.0","2021-03-29 19:27:07.022"
"917.25","-23.1875","E200 001D 1910 0118 1310 566F","1.2762720155208536","-67.5","2021-03-29 19:27:07.047"
"917.25","21.9375","3008 33B2 DDD9 0140 0000 0040","1.0246991663076084","-45.5","2021-03-29 19:27:07.049"
"917.25","4.875","E200 001D 1910 0116 1310 566E","1.8530487917658545","-66.0","2021-03-29 19:27:07.05"
"917.25","9.75","E200 001D 1910 0116 1310 566E","2.030990563160589","-66.0","2021-03-29 19:27:07.103"
"917.25","21.9375","3008 33B2 DDD9 0140 0000 0040","1.0369710126106935","-45.5","2021-03-29 19:27:07.104"
"917.25","0.0","E200 001D 1910 0118 1310 566F","4.338097668140593","-69.0","2021-03-29 19:27:07.119"
"914.25","85.4375","E200 001D 1910 0118 1310 566F","2.761165418194154","-69.5","2021-03-29 19:27:07.155"
"914.25","-48.8125","E200 001D 1910 0116 1310 566E","3.847223816017188","-67.0","2021-03-29 19:27:07.157"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.9144080232812801","-46.0","2021-03-29 19:27:07.157"
"914.25","-9.75","E200 001D 1910 0116 1310 566E","3.6815538909255388","-67.0","2021-03-29 19:27:07.21"
"914.25","78.125","E200 001D 1910 0118 1310 566F","2.816388726558037","-68.5","2021-03-29 19:27:07.211"
"914.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.9205439464328227","-46.5","2021-03-29 19:27:07.212"
"914.25","42.6875","E200 001D 1910 0118 1310 566F","2.6261751088602177","-69.0","2021-03-29 19:27:07.234"
"914.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.9144080232812801","-46.0","2021-03-29 19:27:07.235"
"914.25","-1.5","E200 001D 1910 0116 1310 566E","0.5951845456996288","-67.0","2021-03-29 19:27:07.254"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.9266798695843652","-46.0","2021-03-29 19:27:07.301"
"914.25","-42.6875","E200 001D 1910 0118 1310 566F","3.0127382674073995","-69.0","2021-03-29 19:27:07.302"
"914.25","57.3125","E200 001D 1910 0116 1310 566E","3.497476196379262","-66.5","2021-03-29 19:27:07.303"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.9205439464328227","-46.0","2021-03-29 19:27:07.325"
"914.25","-96.375","E200 001D 1910 0116 1310 566E","3.8963112012295285","-66.5","2021-03-29 19:27:07.326"
"918.75","-1.4375","E200 001D 1910 0118 1310 566F","0.2945243112740431","-68.5","2021-03-29 19:27:07.354"
