"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.0799224746714913","-45.5","2021-03-29 19:27:58.212"
"917.25","29.25","E200 001D 1910 0116 1310 566E","1.846912868614312","-66.0","2021-03-29 19:27:58.213"
"917.25","257.5625","E200 001D 1910 0118 1310 566F","0.9019807032767571","-68.0","2021-03-29 19:27:58.214"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.0737865515199487","-45.5","2021-03-29 19:27:58.268"
"917.25","52.4375","E200 001D 1910 0116 1310 566E","1.902136176978195","-67.0","2021-03-29 19:27:58.268"
"917.25","20.75","E200 001D 1910 0118 1310 566F","1.1474176293384597","-67.5","2021-03-29 19:27:58.27"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.0615147052168636","-45.5","2021-03-29 19:27:58.294"
"917.25","18.25","E200 001D 1910 0116 1310 566E","1.9573594853420782","-66.0","2021-03-29 19:27:58.295"
"917.25","14.625","E200 001D 1910 0118 1310 566F","1.1596894756415448","-68.5","2021-03-29 19:27:58.296"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.055378782065321","-45.5","2021-03-29 19:27:58.348"
"917.25","96.375","E200 001D 1910 0116 1310 566E","1.6873788666742053","-66.0","2021-03-29 19:27:58.349"
"917.25","28.0625","E200 001D 1910 0118 1310 566F","1.1290098598838318","-67.0","2021-03-29 19:27:58.35"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0040","1.043106935762236","-45.5","2021-03-29 19:27:58.375"
"917.25","-41.5","E200 001D 1910 0116 1310 566E","1.9819031779482483","-65.5","2021-03-29 19:27:58.377"
"914.25","45.125","E200 001D 1910 0118 1310 566F","2.8716120349219203","-68.5","2021-03-29 19:27:58.389"
"914.25","-78.125","E200 001D 1910 0116 1310 566E","3.834951969714103","-67.0","2021-03-29 19:27:58.441"
"914.25","194.0625","E200 001D 1910 0118 1310 566F","2.6016314162540475","-68.5","2021-03-29 19:27:58.442"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.9144080232812801","-46.0","2021-03-29 19:27:58.443"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.9082721001297376","-46.0","2021-03-29 19:27:58.467"
"914.25","168.4375","E200 001D 1910 0118 1310 566F","2.4175537217077703","-69.5","2021-03-29 19:27:58.468"
"914.25","101.3125","E200 001D 1910 0116 1310 566E","3.5588354278946874","-67.0","2021-03-29 19:27:58.469"
"914.25","17.0625","3008 33B2 DDD9 0140 0000 0040","1.902136176978195","-46.0","2021-03-29 19:27:58.523"
"914.25","25.625","E200 001D 1910 0116 1310 566E","3.6570101983193686","-66.5","2021-03-29 19:27:58.525"
"914.25","-0.0625","E200 001D 1910 0118 1310 566F","6.013204688511713","-69.5","2021-03-29 19:27:58.548"
"914.25","9.75","E200 001D 1910 0116 1310 566E","3.6263305825616556","-65.5","2021-03-29 19:27:58.556"
"914.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.9082721001297376","-46.0","2021-03-29 19:27:58.557"
"914.25","-7.3125","E200 001D 1910 0118 1310 566F","2.82252464970958","-68.5","2021-03-29 19:27:58.558"
"918.75","-90.3125","E200 001D 1910 0118 1310 566F","0.2945243112740431","-68.5","2021-03-29 19:27:58.612"
"918.75","96.375","E200 001D 1910 0116 1310 566E","0.8099418560036186","-66.0","2021-03-29 19:27:58.613"
"918.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.607456392002714","-45.5","2021-03-29 19:27:58.614"
"918.75","-28.0625","E200 001D 1910 0118 1310 566F","0.22089323345553233","-68.5","2021-03-29 19:27:58.635"
"918.75","14.625","3008 33B2 DDD9 0140 0000 0040","0.5706408530934585","-45.5","2021-03-29 19:27:58.636"
"918.75","-103.75","E200 001D 1910 0116 1310 566E","1.2210487071569704","-66.5","2021-03-29 19:27:58.638"
"918.75","4.5625","E200 001D 1910 0120 1310 5670","5.755495916146925","-74.5","2021-03-29 19:27:58.648"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0040","0.6013204688511713","-45.5","2021-03-29 19:27:58.702"
"918.75","29.25","E200 001D 1910 0116 1310 566E","0.9510680884890975","-66.0","2021-03-29 19:27:58.703"
"918.75","17.0625","E200 001D 1910 0118 1310 566F","0.1043106935762236","-67.0","2021-03-29 19:27:58.703"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0040","0.5890486225480862","-45.5","2021-03-29 19:27:58.725"
"918.75","-10.9375","E200 001D 1910 0116 1310 566E","1.043106935762236","-66.0","2021-03-29 19:27:58.726"
"918.75","97.625","E200 001D 1910 0118 1310 566F","6.209554229361076","-66.0","2021-03-29 19:27:58.728"
"918.75","45.125","E200 001D 1910 0118 1310 566F","0.04295146206079795","-68.0","2021-03-29 19:27:58.784"
"918.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.5890486225480862","-45.5","2021-03-29 19:27:58.785"
"918.75","43.9375","E200 001D 1910 0116 1310 566E","0.9510680884890975","-66.0","2021-03-29 19:27:58.787"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0040","3.4054373491061236","-48.0","2021-03-29 19:27:58.832"
"908.75","-29.25","E200 001D 1910 0116 1310 566E","0.37429131224409645","-65.5","2021-03-29 19:27:58.832"
"908.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.436116964863836","-48.0","2021-03-29 19:27:58.888"
"908.75","-29.25","E200 001D 1910 0116 1310 566E","0.3129320807286708","-65.5","2021-03-29 19:27:58.889"
"908.75","59.8125","E200 001D 1910 0116 1310 566E","0.17794177139473438","-66.5","2021-03-29 19:27:58.913"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0040","3.399301425954581","-48.0","2021-03-29 19:27:58.913"
"908.75","0.375","E200 001D 1910 0118 1310 566F","5.829126993965437","-70.0","2021-03-29 19:27:58.929"
"908.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.448388811166921","-48.0","2021-03-29 19:27:58.975"
"908.75","10.9375","E200 001D 1910 0116 1310 566E","0.35588354278946877","-65.5","2021-03-29 19:27:58.976"
"908.75","21.9375","3008 33B2 DDD9 0140 0000 0040","3.4054373491061236","-48.0","2021-03-29 19:27:59.0"
"908.75","-13.375","E200 001D 1910 0116 1310 566E","0.4295146206079795","-65.5","2021-03-29 19:27:59.001"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.196971435655114","-48.5","2021-03-29 19:27:59.069"
"905.25","0.0","E200 001D 1910 0116 1310 566E","2.564815877344792","-65.5","2021-03-29 19:27:59.07"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0040","4.166291819897402","-48.5","2021-03-29 19:27:59.091"
"905.25","28.0625","E200 001D 1910 0116 1310 566E","2.435961491162398","-65.5","2021-03-29 19:27:59.093"
"905.25","-9.75","3008 33B2 DDD9 0140 0000 0040","4.2092432819582","-48.5","2021-03-29 19:27:59.145"
"905.25","-9.75","E200 001D 1910 0116 1310 566E","2.3439226438892597","-66.0","2021-03-29 19:27:59.146"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0040","4.147884050442774","-48.5","2021-03-29 19:27:59.169"
"905.25","7.3125","E200 001D 1910 0116 1310 566E","2.270291566070749","-66.0","2021-03-29 19:27:59.17"
"914.75","73.1875","E200 001D 1910 0116 1310 566E","3.356349963893783","-66.5","2021-03-29 19:27:59.223"
"914.75","19.5","3008 33B2 DDD9 0140 0000 0040","1.7671458676442586","-46.0","2021-03-29 19:27:59.224"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.7794177139473437","-46.0","2021-03-29 19:27:59.247"
"914.75","87.875","E200 001D 1910 0116 1310 566E","3.2397674240144743","-65.5","2021-03-29 19:27:59.248"
