"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"907.25","50.0","E200 001D 1910 0116 1310 566E","1.2333205534600555","-66.0","2021-03-29 19:38:50.475"
"907.25","-14.625","3008 33B2 DDD9 0140 0000 0060","2.6384469551633027","-51.0","2021-03-29 19:38:50.477"
"907.25","-7.3125","E200 001D 1910 0116 1310 566E","1.423534171157875","-65.0","2021-03-29 19:38:50.529"
"907.25","21.9375","3008 33B2 DDD9 0140 0000 0060","2.5586799541932495","-51.0","2021-03-29 19:38:50.53"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.5893595699509624","-51.0","2021-03-29 19:38:50.551"
"907.25","48.8125","E200 001D 1910 0116 1310 566E","1.1167380135807468","-66.0","2021-03-29 19:38:50.552"
"907.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.564815877344792","-51.0","2021-03-29 19:38:50.606"
"907.25","46.375","E200 001D 1910 0116 1310 566E","1.2333205534600555","-66.5","2021-03-29 19:38:50.607"
"907.25","-4.875","3008 33B2 DDD9 0140 0000 0060","2.5954954931025047","-51.0","2021-03-29 19:38:50.63"
"907.25","4.875","E200 001D 1910 0116 1310 566E","1.3008157081270237","-66.5","2021-03-29 19:38:50.631"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0060","1.1290098598838318","-51.5","2021-03-29 19:38:50.703"
"913.25","117.1875","E200 001D 1910 0116 1310 566E","4.006757817957295","-68.0","2021-03-29 19:38:50.703"
"913.25","12.1875","3008 33B2 DDD9 0140 0000 0060","1.1290098598838318","-51.5","2021-03-29 19:38:50.726"
"913.25","39.0625","E200 001D 1910 0116 1310 566E","4.04357335686655","-69.5","2021-03-29 19:38:50.727"
"913.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","1.1596894756415448","-51.5","2021-03-29 19:38:50.78"
"913.25","-41.5","E200 001D 1910 0116 1310 566E","4.28287435977671","-68.0","2021-03-29 19:38:50.78"
"913.25","85.4375","E200 001D 1910 0116 1310 566E","4.0128937411088375","-68.0","2021-03-29 19:38:50.802"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0060","1.1290098598838318","-51.5","2021-03-29 19:38:50.804"
"902.75","-9.75","3008 33B2 DDD9 0140 0000 0060","3.8963112012295285","-50.0","2021-03-29 19:38:50.856"
"902.75","-85.4375","E200 001D 1910 0116 1310 566E","4.448544284868359","-67.5","2021-03-29 19:38:50.857"
"902.75","-31.6875","E200 001D 1910 0116 1310 566E","4.4362724385652745","-68.0","2021-03-29 19:38:50.879"
