"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"919.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","5.307573526084319","-49.0","2021-03-29 19:46:38.969"
"919.75","1.0625","E200 001D 1910 0118 1310 566F","5.8045833013592665","-70.0","2021-03-29 19:46:38.982"
"919.75","3.8125","E200 001D 1910 0116 1310 566E","0.2270291566070749","-70.0","2021-03-29 19:46:39.001"
"919.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.295301679781233","-49.0","2021-03-29 19:46:39.04"
"919.75","1.0625","E200 001D 1910 0118 1310 566F","5.822991070813893","-70.0","2021-03-29 19:46:39.052"
"919.75","-0.875","E200 001D 1910 0116 1310 566E","0.4111068511533518","-69.5","2021-03-29 19:46:39.066"
"919.75","17.0625","3008 33B2 DDD9 0140 0000 0020","5.264622064023521","-49.0","2021-03-29 19:46:39.08"
"919.75","1.75","E200 001D 1910 0118 1310 566F","5.7616318392984684","-70.0","2021-03-29 19:46:39.095"
"919.75","1.5625","E200 001D 1910 0116 1310 566E","0.3313398501832985","-69.5","2021-03-29 19:46:39.112"
"910.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.552388557340269","-50.0","2021-03-29 19:46:39.157"
"910.75","10.9375","E200 001D 1910 0116 1310 566E","5.1725832167503825","-67.5","2021-03-29 19:46:39.159"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0020","1.5462526341887264","-50.5","2021-03-29 19:46:39.18"
"910.75","-57.3125","E200 001D 1910 0116 1310 566E","5.45483568172134","-66.0","2021-03-29 19:46:39.18"
"910.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.5585244804918115","-50.5","2021-03-29 19:46:39.233"
"910.75","7.3125","E200 001D 1910 0116 1310 566E","5.184855063053467","-67.0","2021-03-29 19:46:39.236"
"910.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.5462526341887264","-50.5","2021-03-29 19:46:39.256"
"910.75","13.375","E200 001D 1910 0116 1310 566E","5.356660911296659","-67.0","2021-03-29 19:46:39.258"
"910.75","-46.375","E200 001D 1910 0116 1310 566E","5.497787143782138","-67.5","2021-03-29 19:46:39.31"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.533980787885641","-50.0","2021-03-29 19:46:39.311"
"910.75","15.8125","E200 001D 1910 0116 1310 566E","5.332117218690489","-68.0","2021-03-29 19:46:39.333"
"910.75","19.5","3008 33B2 DDD9 0140 0000 0020","1.5462526341887264","-50.5","2021-03-29 19:46:39.334"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.4358060174609601","-50.5","2021-03-29 19:46:39.408"
"911.25","7.3125","E200 001D 1910 0116 1310 566E","5.074408446325701","-67.0","2021-03-29 19:46:39.411"
"911.25","98.875","E200 001D 1910 0116 1310 566E","4.884194828627882","-66.5","2021-03-29 19:46:39.432"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.4296700943094176","-50.0","2021-03-29 19:46:39.433"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.4419419406125027","-50.0","2021-03-29 19:46:39.486"
"911.25","-29.25","E200 001D 1910 0116 1310 566E","5.2339424482658075","-67.5","2021-03-29 19:46:39.487"
"911.25","21.9375","3008 33B2 DDD9 0140 0000 0020","1.41126232485479","-50.5","2021-03-29 19:46:39.51"
"911.25","1.125","E200 001D 1910 0116 1310 566E","5.0253210611133605","-68.0","2021-03-29 19:46:39.522"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0020","3.7429131224409646","-48.5","2021-03-29 19:46:39.572"
"924.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","3.761320891895592","-48.5","2021-03-29 19:46:39.595"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.736777199289422","-49.0","2021-03-29 19:46:39.649"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0020","3.7551849687440497","-49.0","2021-03-29 19:46:39.671"
"924.75","17.0625","3008 33B2 DDD9 0140 0000 0020","3.736777199289422","-49.0","2021-03-29 19:46:39.725"
"924.75","17.0625","3008 33B2 DDD9 0140 0000 0020","3.736777199289422","-48.5","2021-03-29 19:46:39.747"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0020","3.5036121195308043","-47.5","2021-03-29 19:46:39.82"
"903.25","112.25","E200 001D 1910 0116 1310 566E","3.5036121195308043","-67.5","2021-03-29 19:46:39.822"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0020","3.497476196379262","-47.5","2021-03-29 19:46:39.843"
"903.25","28.0625","E200 001D 1910 0116 1310 566E","3.773592738198677","-66.5","2021-03-29 19:46:39.844"
"903.25","59.8125","E200 001D 1910 0116 1310 566E","3.877903431774901","-67.0","2021-03-29 19:46:39.897"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0020","3.485204350076177","-47.5","2021-03-29 19:46:39.9"
"903.25","-67.125","E200 001D 1910 0116 1310 566E","3.890175278077986","-67.5","2021-03-29 19:46:39.921"
"903.25","-4.875","3008 33B2 DDD9 0140 0000 0020","3.497476196379262","-47.5","2021-03-29 19:46:39.922"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.214912784005428","-50.0","2021-03-29 19:46:39.977"
"912.25","-85.4375","E200 001D 1910 0116 1310 566E","4.620350133111551","-67.5","2021-03-29 19:46:39.977"
"912.25","-0.75","E200 001D 1910 0118 1310 566F","0.8835729338221293","-70.5","2021-03-29 19:46:40.002"
"912.25","-57.3125","E200 001D 1910 0116 1310 566E","4.749204519293945","-66.5","2021-03-29 19:46:40.009"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.1903690913992575","-49.5","2021-03-29 19:46:40.009"
"912.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","1.214912784005428","-50.0","2021-03-29 19:46:40.064"
"912.25","101.3125","E200 001D 1910 0116 1310 566E","4.479223900626073","-68.0","2021-03-29 19:46:40.067"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.214912784005428","-49.5","2021-03-29 19:46:40.088"
"912.25","31.6875","E200 001D 1910 0116 1310 566E","4.546719055293041","-68.5","2021-03-29 19:46:40.089"
"912.25","-0.9375","E200 001D 1910 0118 1310 566F","0.8835729338221293","-70.0","2021-03-29 19:46:40.109"
"912.25","29.25","3008 33B2 DDD9 0140 0000 0020","1.1535535524900022","-50.0","2021-03-29 19:46:40.154"
"912.25","91.5","E200 001D 1910 0116 1310 566E","4.460816131171445","-67.0","2021-03-29 19:46:40.155"
"912.25","-2.5","E200 001D 1910 0118 1310 566F","0.9694758579437253","-71.0","2021-03-29 19:46:40.167"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0020","3.0066023442558567","-48.5","2021-03-29 19:46:40.197"
"904.75","20.75","E200 001D 1910 0116 1310 566E","2.9206994201342606","-66.0","2021-03-29 19:46:40.198"
"904.75","-9.75","E200 001D 1910 0116 1310 566E","2.9329712664373457","-67.0","2021-03-29 19:46:40.25"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0020","3.0066023442558567","-49.0","2021-03-29 19:46:40.25"
"904.75","9.75","E200 001D 1910 0116 1310 566E","2.9145634969827183","-66.0","2021-03-29 19:46:40.272"
"904.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","3.055689729468197","-48.5","2021-03-29 19:46:40.273"
"904.75","-2.4375","E200 001D 1910 0116 1310 566E","2.9329712664373457","-66.0","2021-03-29 19:46:40.326"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.9943304979527716","-48.5","2021-03-29 19:46:40.328"
"904.75","-9.75","3008 33B2 DDD9 0140 0000 0020","3.0250101137104846","-48.5","2021-03-29 19:46:40.349"
"904.75","-25.625","E200 001D 1910 0116 1310 566E","2.804116880254952","-67.0","2021-03-29 19:46:40.351"
"908.25","7.3125","E200 001D 1910 0116 1310 566E","0.48473792897186263","-66.0","2021-03-29 19:46:40.403"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.116893487282185","-50.0","2021-03-29 19:46:40.405"
"908.25","2.4375","3008 33B2 DDD9 0140 0000 0020","2.1230294104337273","-49.5","2021-03-29 19:46:40.427"
"908.25","93.9375","E200 001D 1910 0116 1310 566E","0.3865631585471816","-66.5","2021-03-29 19:46:40.428"
"908.25","2.4375","3008 33B2 DDD9 0140 0000 0020","2.1230294104337273","-49.5","2021-03-29 19:46:40.481"
"908.25","78.125","E200 001D 1910 0116 1310 566E","0.44178646691106466","-66.5","2021-03-29 19:46:40.482"
"908.25","-91.5","E200 001D 1910 0116 1310 566E","0.6810874698212247","-66.0","2021-03-29 19:46:40.504"
"908.25","-9.75","3008 33B2 DDD9 0140 0000 0020","2.141437179888355","-49.5","2021-03-29 19:46:40.505"
"908.25","-46.375","E200 001D 1910 0116 1310 566E","0.6442719309119693","-66.5","2021-03-29 19:46:40.558"
"908.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.12916533358527","-50.0","2021-03-29 19:46:40.558"
