"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"906.25","-9.75","E200 001D 1910 0116 1310 566E","1.9266798695843652","-67.5","2021-03-29 19:51:08.484"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0080","2.043262409463674","-48.5","2021-03-29 19:51:08.485"
"906.25","-64.6875","E200 001D 1910 0116 1310 566E","1.9573594853420782","-67.0","2021-03-29 19:51:08.507"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0080","2.0493983326152168","-48.5","2021-03-29 19:51:08.509"
"906.25","0.0","3008 33B2 DDD9 0140 0000 0080","2.067806102069844","-48.5","2021-03-29 19:51:08.561"
"906.25","41.5","E200 001D 1910 0116 1310 566E","1.7855536370988863","-65.0","2021-03-29 19:51:08.562"
"906.25","39.0625","E200 001D 1910 0116 1310 566E","1.761009944492716","-66.5","2021-03-29 19:51:08.584"
"906.25","24.375","3008 33B2 DDD9 0140 0000 0080","1.9880391010997909","-48.5","2021-03-29 19:51:08.585"
"906.75","-34.125","E200 001D 1910 0116 1310 566E","1.6137477888556946","-66.0","2021-03-29 19:51:08.657"
"906.75","-2.4375","3008 33B2 DDD9 0140 0000 0080","1.9696313316451632","-49.0","2021-03-29 19:51:08.659"
"906.75","9.75","3008 33B2 DDD9 0140 0000 0080","1.9266798695843652","-48.5","2021-03-29 19:51:08.68"
"906.75","-9.75","E200 001D 1910 0116 1310 566E","1.5401167110371838","-65.0","2021-03-29 19:51:08.681"
"906.75","-7.3125","E200 001D 1910 0116 1310 566E","1.4848934026733007","-66.5","2021-03-29 19:51:08.735"
"906.75","-7.3125","3008 33B2 DDD9 0140 0000 0080","1.9266798695843652","-48.5","2021-03-29 19:51:08.736"
"906.75","17.0625","3008 33B2 DDD9 0140 0000 0080","1.9266798695843652","-48.5","2021-03-29 19:51:08.756"
"906.75","-64.6875","E200 001D 1910 0116 1310 566E","1.5707963267948966","-66.5","2021-03-29 19:51:08.759"
"924.25","12.1875","3008 33B2 DDD9 0140 0000 0080","3.3379421944391554","-48.0","2021-03-29 19:51:08.813"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0080","3.3379421944391554","-48.0","2021-03-29 19:51:08.833"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0080","3.3379421944391554","-48.0","2021-03-29 19:51:08.886"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0080","3.3440781175906977","-48.0","2021-03-29 19:51:08.91"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0080","3.3318062712876126","-48.0","2021-03-29 19:51:08.963"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0080","3.3502140407422405","-48.0","2021-03-29 19:51:08.988"
"923.75","-0.4375","E200 001D 1910 0118 1310 566F","0.1902136176978195","-70.5","2021-03-29 19:51:09.021"
"923.75","34.125","3008 33B2 DDD9 0140 0000 0080","3.442252888015379","-48.0","2021-03-29 19:51:09.072"
"923.75","1.9375","E200 001D 1910 0118 1310 566F","0.1043106935762236","-72.0","2021-03-29 19:51:09.106"
"923.75","2.5625","E200 001D 1910 0116 1310 566E","0.7363107781851077","-70.0","2021-03-29 19:51:09.137"
"923.75","9.75","3008 33B2 DDD9 0140 0000 0080","3.509748042682347","-48.0","2021-03-29 19:51:09.149"
"920.25","12.1875","3008 33B2 DDD9 0140 0000 0080","4.601942363656923","-48.5","2021-03-29 19:51:09.211"
"920.25","-4.875","3008 33B2 DDD9 0140 0000 0080","4.601942363656923","-48.5","2021-03-29 19:51:09.233"
"920.25","3.1875","E200 001D 1910 0116 1310 566E","0.1043106935762236","-69.5","2021-03-29 19:51:09.244"
"920.25","2.0","E200 001D 1910 0118 1310 566F","5.773903685601553","-70.0","2021-03-29 19:51:09.265"
"920.25","-9.75","3008 33B2 DDD9 0140 0000 0080","4.638757902566179","-48.5","2021-03-29 19:51:09.305"
"920.25","0.25","E200 001D 1910 0116 1310 566E","0.21475731030398976","-69.5","2021-03-29 19:51:09.324"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0080","4.577398671050753","-48.5","2021-03-29 19:51:09.339"
"920.25","-1.9375","E200 001D 1910 0116 1310 566E","0.2270291566070749","-69.5","2021-03-29 19:51:09.36"
"917.25","-4.875","3008 33B2 DDD9 0140 0000 0080","5.516194913236766","-49.0","2021-03-29 19:51:09.412"
"917.25","-0.1875","E200 001D 1910 0118 1310 566F","4.589670517353839","-70.0","2021-03-29 19:51:09.424"
"917.25","-2.1875","E200 001D 1910 0116 1310 566E","2.2212041808584084","-69.0","2021-03-29 19:51:09.444"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0080","5.497787143782138","-49.0","2021-03-29 19:51:09.471"
"917.25","2.125","E200 001D 1910 0118 1310 566F","1.380582709097077","-69.5","2021-03-29 19:51:09.492"
"917.25","-12.1875","3008 33B2 DDD9 0140 0000 0080","5.516194913236766","-49.0","2021-03-29 19:51:09.537"
"917.25","-1.5625","E200 001D 1910 0118 1310 566F","4.693981210930062","-70.0","2021-03-29 19:51:09.55"
"917.25","4.0625","E200 001D 1910 0122 1310 5F19","4.620350133111551","-72.0","2021-03-29 19:51:09.569"
"917.25","-9.75","3008 33B2 DDD9 0140 0000 0080","5.497787143782138","-49.0","2021-03-29 19:51:09.577"
"917.25","-0.4375","E200 001D 1910 0116 1310 566E","2.098485717827557","-69.0","2021-03-29 19:51:09.59"
"917.25","-0.75","E200 001D 1910 0118 1310 566F","4.540583132141498","-69.0","2021-03-29 19:51:09.601"
"914.25","-166.0","E200 001D 1910 0116 1310 566E","4.0987966652304335","-68.5","2021-03-29 19:51:09.664"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0080","0.1043106935762236","-49.5","2021-03-29 19:51:09.666"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0080","0.09203884727313846","-49.5","2021-03-29 19:51:09.689"
"914.25","70.75","E200 001D 1910 0116 1310 566E","3.5036121195308043","-67.0","2021-03-29 19:51:09.69"
"914.25","-1.125","E200 001D 1910 0122 1310 5F19","0.3129320807286708","-74.5","2021-03-29 19:51:09.712"
"914.25","26.8125","3008 33B2 DDD9 0140 0000 0080","0.04908738521234052","-49.5","2021-03-29 19:51:09.752"
"914.25","75.625","E200 001D 1910 0116 1310 566E","3.442252888015379","-68.0","2021-03-29 19:51:09.753"
"914.25","-103.75","E200 001D 1910 0116 1310 566E","3.859495662320273","-68.0","2021-03-29 19:51:09.775"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0080","0.09203884727313846","-49.5","2021-03-29 19:51:09.776"
"918.75","-7.3125","3008 33B2 DDD9 0140 0000 0080","5.074408446325701","-48.0","2021-03-29 19:51:09.831"
"918.75","-18.25","E200 001D 1910 0116 1310 566E","1.2210487071569704","-67.5","2021-03-29 19:51:09.832"
"918.75","4.875","3008 33B2 DDD9 0140 0000 0080","5.043728830567988","-48.0","2021-03-29 19:51:09.884"
"918.75","115.9375","E200 001D 1910 0118 1310 566F","0.4111068511533518","-67.5","2021-03-29 19:51:09.886"
"918.75","1.875","E200 001D 1910 0116 1310 566E","1.141281706186917","-68.5","2021-03-29 19:51:09.9"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0080","5.062136600022616","-48.0","2021-03-29 19:51:09.948"
"918.75","-0.25","E200 001D 1910 0118 1310 566F","3.6079228131070282","-69.5","2021-03-29 19:51:09.963"
"918.75","-2.4375","3008 33B2 DDD9 0140 0000 0080","5.086680292628786","-48.0","2021-03-29 19:51:09.982"
"918.75","-0.5","E200 001D 1910 0118 1310 566F","0.4970097752749477","-69.5","2021-03-29 19:51:09.999"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0080","1.4787574795217582","-50.0","2021-03-29 19:51:10.047"
"908.75","57.3125","E200 001D 1910 0116 1310 566E","0.2945243112740431","-66.5","2021-03-29 19:51:10.048"
"908.75","46.375","E200 001D 1910 0116 1310 566E","0.25770877236478773","-66.0","2021-03-29 19:51:10.068"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0080","1.4910293258248433","-50.0","2021-03-29 19:51:10.07"
"908.75","14.625","3008 33B2 DDD9 0140 0000 0080","1.4971652489763858","-50.0","2021-03-29 19:51:10.123"
"908.75","43.9375","E200 001D 1910 0116 1310 566E","0.2761165418194154","-66.0","2021-03-29 19:51:10.124"
"908.75","14.625","3008 33B2 DDD9 0140 0000 0080","1.4787574795217582","-50.0","2021-03-29 19:51:10.146"
"908.75","10.9375","E200 001D 1910 0116 1310 566E","0.28838838812250056","-65.5","2021-03-29 19:51:10.147"
"908.75","50.0","E200 001D 1910 0116 1310 566E","0.23316507975861744","-66.0","2021-03-29 19:51:10.2"
"908.75","0.0","3008 33B2 DDD9 0140 0000 0080","1.5033011721279284","-50.0","2021-03-29 19:51:10.201"
"908.75","-39.0625","E200 001D 1910 0116 1310 566E","0.5092816215780329","-66.5","2021-03-29 19:51:10.223"
"908.75","7.3125","3008 33B2 DDD9 0140 0000 0080","1.5033011721279284","-50.0","2021-03-29 19:51:10.224"
"905.25","-2.4375","3008 33B2 DDD9 0140 0000 0080","2.3193789512830896","-48.5","2021-03-29 19:51:10.297"
"905.25","62.25","E200 001D 1910 0116 1310 566E","2.4605051837685683","-66.0","2021-03-29 19:51:10.298"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0080","2.3193789512830896","-48.5","2021-03-29 19:51:10.32"
"905.25","15.8125","E200 001D 1910 0116 1310 566E","2.5954954931025047","-66.0","2021-03-29 19:51:10.321"
"905.25","-4.875","E200 001D 1910 0116 1310 566E","2.6875343403756435","-66.0","2021-03-29 19:51:10.373"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0080","2.2948352586769194","-48.5","2021-03-29 19:51:10.374"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0080","2.3193789512830896","-48.5","2021-03-29 19:51:10.397"
"905.25","23.1875","E200 001D 1910 0116 1310 566E","2.5586799541932495","-66.5","2021-03-29 19:51:10.398"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0080","6.227961998815704","-49.5","2021-03-29 19:51:10.451"
"914.75","-29.25","E200 001D 1910 0116 1310 566E","3.3440781175906977","-68.5","2021-03-29 19:51:10.452"
"914.75","0.1875","E200 001D 1910 0118 1310 566F","5.872078456026235","-70.5","2021-03-29 19:51:10.462"
"914.75","0.75","E200 001D 1910 0122 1310 5F19","6.191146459906448","-74.5","2021-03-29 19:51:10.477"
"914.75","43.9375","E200 001D 1910 0116 1310 566E","3.2520392703175593","-68.5","2021-03-29 19:51:10.493"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0080","6.209554229361076","-49.5","2021-03-29 19:51:10.494"
"914.75","-0.375","E200 001D 1910 0118 1310 566F","5.890486225480862","-70.5","2021-03-29 19:51:10.51"
"914.75","3.25","E200 001D 1910 0122 1310 5F19","5.945709533844745","-74.5","2021-03-29 19:51:10.523"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0080","6.22182607566416","-49.5","2021-03-29 19:51:10.567"
