"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.890019804376548","-48.5","2021-03-29 19:46:13.997"
"905.25","36.5625","E200 001D 1910 0116 1310 566E","2.435961491162398","-66.0","2021-03-29 19:46:13.999"
"905.25","-13.375","E200 001D 1910 0116 1310 566E","2.552544031041707","-65.5","2021-03-29 19:46:14.02"
"905.25","-4.875","3008 33B2 DDD9 0140 0000 0020","2.8838838812250054","-48.5","2021-03-29 19:46:14.022"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.5092816215780329","-49.5","2021-03-29 19:46:14.074"
"914.75","-18.25","E200 001D 1910 0116 1310 566E","3.3502140407422405","-67.5","2021-03-29 19:46:14.075"
"914.75","25.625","E200 001D 1910 0116 1310 566E","3.031146036862027","-69.0","2021-03-29 19:46:14.098"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.521553467881118","-49.5","2021-03-29 19:46:14.099"
"914.75","-1.875","E200 001D 1910 0118 1310 566F","5.859806609723149","-70.5","2021-03-29 19:46:14.112"
"914.75","21.9375","3008 33B2 DDD9 0140 0000 0020","0.5092816215780329","-49.5","2021-03-29 19:46:14.163"
"914.75","0.5","E200 001D 1910 0116 1310 566E","0.16566992509164924","-69.0","2021-03-29 19:46:14.175"
"914.75","-0.8125","E200 001D 1910 0118 1310 566F","5.773903685601553","-70.5","2021-03-29 19:46:14.191"
"914.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.5154175447295755","-49.5","2021-03-29 19:46:14.205"
"914.75","-0.9375","E200 001D 1910 0116 1310 566E","0.16566992509164924","-69.0","2021-03-29 19:46:14.218"
"914.75","0.9375","E200 001D 1910 0118 1310 566F","2.6139032625571326","-70.0","2021-03-29 19:46:14.235"
"922.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.399456899656019","-48.5","2021-03-29 19:46:14.281"
"922.75","4.625","E200 001D 1910 0116 1310 566E","1.3192234775816514","-70.5","2021-03-29 19:46:14.285"
"922.75","14.625","3008 33B2 DDD9 0140 0000 0020","4.374913207049849","-48.5","2021-03-29 19:46:14.296"
"922.75","0.5","E200 001D 1910 0116 1310 566E","4.448544284868359","-70.5","2021-03-29 19:46:14.32"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0020","4.368777283898306","-48.5","2021-03-29 19:46:14.357"
"922.75","4.9375","E200 001D 1910 0118 1310 566F","0.30679615757712825","-70.0","2021-03-29 19:46:14.377"
"922.75","-0.1875","E200 001D 1910 0116 1310 566E","4.577398671050753","-69.5","2021-03-29 19:46:14.389"
"922.75","12.1875","3008 33B2 DDD9 0140 0000 0020","4.3933209765044765","-48.5","2021-03-29 19:46:14.399"
"922.75","0.8125","E200 001D 1910 0116 1310 566E","4.528311285838413","-69.0","2021-03-29 19:46:14.411"
