"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.32520392703175593","-50.0","2021-03-29 20:20:32.729"
"927.25","7.3125","3008 33B2 DDD9 0140 0000 0020","0.3129320807286708","-49.5","2021-03-29 20:20:32.75"
"916.75","31.6875","E200 001D 1910 0116 1310 566E","2.3193789512830896","-68.0","2021-03-29 20:20:32.773"
"916.75","24.375","3008 33B2 DDD9 0140 0000 0020","3.485204350076177","-51.0","2021-03-29 20:20:32.825"
"916.75","-1.3125","E200 001D 1910 0116 1310 566E","5.626641529964532","-69.0","2021-03-29 20:20:32.849"
"916.75","14.625","3008 33B2 DDD9 0140 0000 0020","3.522019888985432","-50.5","2021-03-29 20:20:32.858"
"916.75","-2.5625","E200 001D 1910 0116 1310 566E","2.6384469551633027","-69.0","2021-03-29 20:20:32.877"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0020","3.56497135104623","-50.5","2021-03-29 20:20:32.922"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0020","3.5588354278946874","-50.5","2021-03-29 20:20:32.944"
"917.75","98.875","E200 001D 1910 0116 1310 566E","2.012582793705961","-67.0","2021-03-29 20:20:32.997"
"917.75","24.375","3008 33B2 DDD9 0140 0000 0020","3.215223731408304","-51.0","2021-03-29 20:20:32.999"
"917.75","1.125","E200 001D 1910 0118 1310 566F","3.902447124381071","-70.5","2021-03-29 20:20:33.009"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0020","3.2397674240144743","-50.5","2021-03-29 20:20:33.029"
"917.75","48.8125","E200 001D 1910 0116 1310 566E","1.8407769454627694","-69.0","2021-03-29 20:20:33.031"
"917.75","26.8125","3008 33B2 DDD9 0140 0000 0020","3.215223731408304","-50.5","2021-03-29 20:20:33.086"
"917.75","-25.625","E200 001D 1910 0116 1310 566E","2.055534255766759","-66.5","2021-03-29 20:20:33.087"
"917.75","34.125","E200 001D 1910 0116 1310 566E","2.030990563160589","-67.0","2021-03-29 20:20:33.108"
"917.75","24.375","3008 33B2 DDD9 0140 0000 0020","3.2336315008629315","-50.5","2021-03-29 20:20:33.108"
