"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0030","3.810408277107933","-60.0","2021-03-29 21:14:30.236"
"921.25","19.5","3008 33B2 DDD9 0140 0000 0030","3.77972866135022","-59.5","2021-03-29 21:14:30.259"
"921.25","0.0","3008 33B2 DDD9 0140 0000 0030","3.724505352986337","-59.5","2021-03-29 21:14:30.312"
"921.25","19.5","3008 33B2 DDD9 0140 0000 0030","3.6999616603801666","-59.5","2021-03-29 21:14:30.335"
"903.75","41.5","3008 33B2 DDD9 0140 0000 0030","2.552544031041707","-61.5","2021-03-29 21:14:30.39"
"903.75","53.6875","3008 33B2 DDD9 0140 0000 0030","2.509592568980909","-61.5","2021-03-29 21:14:30.413"
"903.75","31.6875","3008 33B2 DDD9 0140 0000 0030","2.564815877344792","-61.5","2021-03-29 21:14:30.465"
"903.75","26.8125","3008 33B2 DDD9 0140 0000 0030","2.5464081078901644","-61.5","2021-03-29 21:14:30.487"
"903.75","24.375","3008 33B2 DDD9 0140 0000 0030","2.5832236467994196","-62.0","2021-03-29 21:14:30.541"
"903.75","9.75","3008 33B2 DDD9 0140 0000 0030","2.5770877236478773","-61.5","2021-03-29 21:14:30.565"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.786175531904639","-60.5","2021-03-29 21:14:30.639"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.798447378207723","-60.5","2021-03-29 21:14:30.664"
"914.25","14.625","3008 33B2 DDD9 0140 0000 0030","5.822991070813893","-60.5","2021-03-29 21:14:30.717"
"914.25","24.375","3008 33B2 DDD9 0140 0000 0030","5.7616318392984684","-60.0","2021-03-29 21:14:30.739"
"918.75","26.8125","3008 33B2 DDD9 0140 0000 0030","4.442408361716817","-59.5","2021-03-29 21:14:30.792"
"918.75","31.6875","3008 33B2 DDD9 0140 0000 0030","4.424000592262189","-59.5","2021-03-29 21:14:30.815"
"918.75","-19.5","3008 33B2 DDD9 0140 0000 0030","4.558990901596125","-60.0","2021-03-29 21:14:30.87"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0030","4.473087977474529","-59.5","2021-03-29 21:14:30.892"
"918.75","30.5","3008 33B2 DDD9 0140 0000 0030","4.448544284868359","-60.0","2021-03-29 21:14:30.944"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0030","4.485359823777615","-60.0","2021-03-29 21:14:30.968"
"908.25","26.8125","3008 33B2 DDD9 0140 0000 0030","1.3928545554001621","-61.5","2021-03-29 21:14:31.044"
"908.25","29.25","3008 33B2 DDD9 0140 0000 0030","1.3621749396424494","-61.5","2021-03-29 21:14:31.069"
"908.25","21.9375","3008 33B2 DDD9 0140 0000 0030","1.4051264017032472","-61.0","2021-03-29 21:14:31.121"
"908.25","24.375","3008 33B2 DDD9 0140 0000 0030","1.380582709097077","-61.5","2021-03-29 21:14:31.145"
"922.75","19.5","3008 33B2 DDD9 0140 0000 0030","3.2029518851052186","-59.5","2021-03-29 21:14:31.199"
"922.75","43.9375","3008 33B2 DDD9 0140 0000 0030","3.141592653589793","-59.5","2021-03-29 21:14:31.22"
"922.75","21.9375","3008 33B2 DDD9 0140 0000 0030","3.1661363461959633","-59.5","2021-03-29 21:14:31.275"
"922.75","31.6875","3008 33B2 DDD9 0140 0000 0030","3.1968159619536762","-59.0","2021-03-29 21:14:31.297"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0030","3.2029518851052186","-59.5","2021-03-29 21:14:31.351"
"922.75","7.3125","3008 33B2 DDD9 0140 0000 0030","3.227495577711389","-59.5","2021-03-29 21:14:31.375"
"914.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.688000761479957","-60.5","2021-03-29 21:14:31.451"
"914.75","0.0","3008 33B2 DDD9 0140 0000 0030","5.663457068873787","-60.5","2021-03-29 21:14:31.474"
"914.75","39.0625","3008 33B2 DDD9 0140 0000 0030","5.602097837358362","-60.5","2021-03-29 21:14:31.528"
"914.75","-12.1875","3008 33B2 DDD9 0140 0000 0030","5.700272607783043","-60.0","2021-03-29 21:14:31.55"
"918.25","17.0625","3008 33B2 DDD9 0140 0000 0030","4.614214209960009","-60.0","2021-03-29 21:14:31.602"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0030","4.669437518323892","-60.0","2021-03-29 21:14:31.625"
"918.25","21.9375","3008 33B2 DDD9 0140 0000 0030","4.608078286808466","-60.0","2021-03-29 21:14:31.679"
