"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"905.25","24.375","3008 33B2 DDD9 0140 0000 0030","5.8659425328746915","-62.0","2021-03-29 21:15:10.237"
"905.25","34.125","3008 33B2 DDD9 0140 0000 0030","5.859806609723149","-62.0","2021-03-29 21:15:10.259"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0030","5.884350302329319","-61.5","2021-03-29 21:15:10.314"
"905.25","36.5625","3008 33B2 DDD9 0140 0000 0030","5.829126993965437","-62.0","2021-03-29 21:15:10.335"
"907.75","2.4375","3008 33B2 DDD9 0140 0000 0030","5.21553467881118","-61.5","2021-03-29 21:15:10.389"
"907.75","36.5625","3008 33B2 DDD9 0140 0000 0030","5.184855063053467","-61.5","2021-03-29 21:15:10.413"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0030","5.190990986205009","-62.0","2021-03-29 21:15:10.467"
"907.75","0.0","3008 33B2 DDD9 0140 0000 0030","5.190990986205009","-62.0","2021-03-29 21:15:10.488"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0030","5.252350217720435","-62.0","2021-03-29 21:15:10.542"
"907.75","19.5","3008 33B2 DDD9 0140 0000 0030","5.178719139901925","-61.5","2021-03-29 21:15:10.565"
"909.75","9.75","3008 33B2 DDD9 0140 0000 0030","4.669437518323892","-62.5","2021-03-29 21:15:10.643"
"909.75","48.8125","3008 33B2 DDD9 0140 0000 0030","4.6448938257177215","-62.5","2021-03-29 21:15:10.665"
"909.75","36.5625","3008 33B2 DDD9 0140 0000 0030","4.620350133111551","-62.0","2021-03-29 21:15:10.719"
"909.75","-21.9375","3008 33B2 DDD9 0140 0000 0030","4.743068596142402","-62.0","2021-03-29 21:15:10.741"
"921.25","21.9375","3008 33B2 DDD9 0140 0000 0030","1.1596894756415448","-60.5","2021-03-29 21:15:10.795"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0030","1.1903690913992575","-60.5","2021-03-29 21:15:10.818"
"921.25","17.0625","3008 33B2 DDD9 0140 0000 0030","1.1965050145508","-60.5","2021-03-29 21:15:10.87"
"921.25","24.375","3008 33B2 DDD9 0140 0000 0030","1.184233168247715","-60.5","2021-03-29 21:15:10.893"
"921.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","1.2455923997631406","-60.5","2021-03-29 21:15:10.949"
"921.25","17.0625","3008 33B2 DDD9 0140 0000 0030","1.1903690913992575","-60.0","2021-03-29 21:15:10.971"
"903.75","7.3125","3008 33B2 DDD9 0140 0000 0030","0.06135923151542565","-62.0","2021-03-29 21:15:11.046"
"903.75","56.125","3008 33B2 DDD9 0140 0000 0030","6.227961998815704","-62.0","2021-03-29 21:15:11.069"
"903.75","-12.1875","3008 33B2 DDD9 0140 0000 0030","0.09203884727313846","-62.0","2021-03-29 21:15:11.123"
"903.75","36.5625","3008 33B2 DDD9 0140 0000 0030","0.03681553890925539","-62.5","2021-03-29 21:15:11.146"
"914.25","34.125","3008 33B2 DDD9 0140 0000 0030","3.2827188860752723","-61.0","2021-03-29 21:15:11.198"
"914.25","36.5625","3008 33B2 DDD9 0140 0000 0030","3.2949907323783574","-61.0","2021-03-29 21:15:11.221"
"914.25","31.6875","3008 33B2 DDD9 0140 0000 0030","3.3502140407422405","-61.0","2021-03-29 21:15:11.275"
"914.25","41.5","3008 33B2 DDD9 0140 0000 0030","3.2765829629237295","-61.5","2021-03-29 21:15:11.297"
"914.25","41.5","3008 33B2 DDD9 0140 0000 0030","3.2949907323783574","-61.5","2021-03-29 21:15:11.35"
"914.25","-14.625","3008 33B2 DDD9 0140 0000 0030","3.393165502803038","-61.0","2021-03-29 21:15:11.374"
"918.75","31.6875","3008 33B2 DDD9 0140 0000 0030","1.88986433067511","-60.5","2021-03-29 21:15:11.451"
"918.75","41.5","3008 33B2 DDD9 0140 0000 0030","1.8653206380689396","-60.5","2021-03-29 21:15:11.474"
"918.75","26.8125","3008 33B2 DDD9 0140 0000 0030","1.8960002538266525","-60.5","2021-03-29 21:15:11.527"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0030","1.9205439464328227","-60.5","2021-03-29 21:15:11.551"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.037592907416445","-62.0","2021-03-29 21:15:11.604"
"908.25","39.0625","3008 33B2 DDD9 0140 0000 0030","4.945554060143307","-62.0","2021-03-29 21:15:11.627"
"908.25","39.0625","3008 33B2 DDD9 0140 0000 0030","4.994641445355648","-61.5","2021-03-29 21:15:11.68"
"908.25","-26.8125","3008 33B2 DDD9 0140 0000 0030","5.098952138931871","-62.0","2021-03-29 21:15:11.703"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.074408446325701","-61.5","2021-03-29 21:15:11.756"
"908.25","-26.8125","3008 33B2 DDD9 0140 0000 0030","5.160311370447297","-62.0","2021-03-29 21:15:11.78"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0030","0.8467573949128739","-60.5","2021-03-29 21:15:11.859"
