"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"913.25","-4.875","3008 33B2 DDD9 0140 0000 0040","4.804427827657828","-53.0","2021-03-29 21:00:51.689"
"913.25","2.4375","3008 33B2 DDD9 0140 0000 0040","4.804427827657828","-53.0","2021-03-29 21:00:51.742"
"913.25","-4.875","3008 33B2 DDD9 0140 0000 0040","4.81056375080937","-53.5","2021-03-29 21:00:51.765"
"913.25","2.4375","3008 33B2 DDD9 0140 0000 0040","4.804427827657828","-53.0","2021-03-29 21:00:51.818"
"913.25","2.4375","3008 33B2 DDD9 0140 0000 0040","4.798291904506286","-53.0","2021-03-29 21:00:51.841"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0040","3.5956509668039427","-53.0","2021-03-29 21:00:51.921"
"917.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.5956509668039427","-53.0","2021-03-29 21:00:51.944"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0040","3.5465635815916023","-52.5","2021-03-29 21:00:51.998"
"917.75","12.1875","3008 33B2 DDD9 0140 0000 0040","3.5465635815916023","-52.5","2021-03-29 21:00:52.021"
"905.25","17.0625","3008 33B2 DDD9 0140 0000 0040","0.8835729338221293","-54.0","2021-03-29 21:00:52.075"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.9019807032767571","-54.0","2021-03-29 21:00:52.098"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.8897088569736719","-54.0","2021-03-29 21:00:52.152"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0040","0.8897088569736719","-54.0","2021-03-29 21:00:52.174"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0040","0.8958447801252144","-54.0","2021-03-29 21:00:52.228"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.9081166264282996","-54.0","2021-03-29 21:00:52.251"
"907.75","0.0","3008 33B2 DDD9 0140 0000 0040","0.23930100291016002","-53.5","2021-03-29 21:00:52.326"
"907.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","0.23316507975861744","-53.5","2021-03-29 21:00:52.35"
"907.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","0.25770877236478773","-53.5","2021-03-29 21:00:52.402"
"907.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","0.2638446955163303","-53.5","2021-03-29 21:00:52.426"
"909.75","9.75","3008 33B2 DDD9 0140 0000 0040","5.859806609723149","-53.0","2021-03-29 21:00:52.48"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0040","5.8659425328746915","-53.0","2021-03-29 21:00:52.503"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0040","5.872078456026235","-53.0","2021-03-29 21:00:52.557"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.878214379177777","-53.0","2021-03-29 21:00:52.579"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.93343768754166","-53.0","2021-03-29 21:00:52.618"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.927301764390117","-53.0","2021-03-29 21:00:52.64"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0040","2.435961491162398","-52.0","2021-03-29 21:00:52.694"
"921.25","0.0","3008 33B2 DDD9 0140 0000 0040","2.466641106920111","-52.0","2021-03-29 21:00:52.718"
"921.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.442097414313941","-52.0","2021-03-29 21:00:52.772"
"921.25","21.9375","3008 33B2 DDD9 0140 0000 0040","2.4175537217077703","-52.5","2021-03-29 21:00:52.795"
"921.25","0.0","3008 33B2 DDD9 0140 0000 0040","2.454369260617026","-52.0","2021-03-29 21:00:52.848"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.454369260617026","-52.5","2021-03-29 21:00:52.871"
"903.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.2885438618239387","-54.0","2021-03-29 21:00:52.939"
"903.75","0.0","3008 33B2 DDD9 0140 0000 0040","1.2885438618239387","-53.5","2021-03-29 21:00:52.963"
"903.75","14.625","3008 33B2 DDD9 0140 0000 0040","1.3069516312785663","-54.0","2021-03-29 21:00:53.016"
"903.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.2946797849754812","-53.5","2021-03-29 21:00:53.04"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0040","4.522175362686871","-53.0","2021-03-29 21:00:53.093"
"914.25","-14.625","3008 33B2 DDD9 0140 0000 0040","4.558990901596125","-53.0","2021-03-29 21:00:53.114"
"914.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","4.552854978444583","-53.0","2021-03-29 21:00:53.169"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0040","4.522175362686871","-53.0","2021-03-29 21:00:53.194"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.540583132141498","-53.0","2021-03-29 21:00:53.248"
