"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0040","3.393165502803038","-50.5","2021-03-29 21:02:05.677"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0040","3.4177091954092087","-50.0","2021-03-29 21:02:05.732"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0040","3.4177091954092087","-50.5","2021-03-29 21:02:05.754"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.000310947402876","-50.0","2021-03-29 21:02:05.827"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0040","1.9941750242513334","-50.0","2021-03-29 21:02:05.849"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.9880391010997909","-50.0","2021-03-29 21:02:05.904"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.0064468705544187","-50.0","2021-03-29 21:02:05.927"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.736466251886546","-50.5","2021-03-29 21:02:05.98"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.7303303287350031","-50.5","2021-03-29 21:02:06.004"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.748738098189631","-50.5","2021-03-29 21:02:06.056"
"912.25","-4.875","3008 33B2 DDD9 0140 0000 0040","1.748738098189631","-50.5","2021-03-29 21:02:06.079"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.736466251886546","-50.5","2021-03-29 21:02:06.133"
"912.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.7303303287350031","-50.5","2021-03-29 21:02:06.157"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0040","4.878058905476339","-49.5","2021-03-29 21:02:06.237"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.884194828627882","-49.5","2021-03-29 21:02:06.26"
"923.25","14.625","3008 33B2 DDD9 0140 0000 0040","4.8351074434155406","-49.5","2021-03-29 21:02:06.314"
"923.25","-4.875","3008 33B2 DDD9 0140 0000 0040","4.847379289718626","-49.5","2021-03-29 21:02:06.337"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0040","3.1231848841351653","-51.0","2021-03-29 21:02:06.39"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0040","3.1231848841351653","-51.0","2021-03-29 21:02:06.412"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0040","3.117048960983623","-51.0","2021-03-29 21:02:06.467"
"907.25","0.0","3008 33B2 DDD9 0140 0000 0040","3.129320807286708","-51.0","2021-03-29 21:02:06.489"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.0925052683774528","-51.0","2021-03-29 21:02:06.543"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.104777114680538","-51.0","2021-03-29 21:02:06.565"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0040","2.2886993355253766","-51.0","2021-03-29 21:02:06.642"
"910.25","19.5","3008 33B2 DDD9 0140 0000 0040","2.2580197197676637","-50.5","2021-03-29 21:02:06.664"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.3009711818284617","-51.0","2021-03-29 21:02:06.719"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.270291566070749","-51.0","2021-03-29 21:02:06.74"
"920.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.6941366846315","-49.5","2021-03-29 21:02:06.794"
"920.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.675728915176872","-49.5","2021-03-29 21:02:06.818"
"920.25","-9.75","3008 33B2 DDD9 0140 0000 0040","5.700272607783043","-49.5","2021-03-29 21:02:06.871"
"920.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.688000761479957","-49.5","2021-03-29 21:02:06.895"
"920.25","7.3125","3008 33B2 DDD9 0140 0000 0040","5.663457068873787","-49.5","2021-03-29 21:02:06.949"
"920.25","0.0","3008 33B2 DDD9 0140 0000 0040","5.663457068873787","-49.5","2021-03-29 21:02:06.971"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.877903431774901","-51.0","2021-03-29 21:02:07.046"
