"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0060","5.418020142812084","-60.5","2021-03-29 21:11:38.943"
"918.25","-4.875","3008 33B2 DDD9 0140 0000 0060","5.460971604872882","-60.5","2021-03-29 21:11:38.967"
"926.25","31.6875","3008 33B2 DDD9 0140 0000 0060","2.9022916506796332","-60.0","2021-03-29 21:11:39.04"
"926.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","2.9206994201342606","-60.5","2021-03-29 21:11:39.062"
"926.25","26.8125","3008 33B2 DDD9 0140 0000 0060","2.859340188618835","-60.5","2021-03-29 21:11:39.116"
"926.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.9084275738311756","-61.0","2021-03-29 21:11:39.139"
"906.25","24.375","3008 33B2 DDD9 0140 0000 0060","2.761165418194154","-60.5","2021-03-29 21:11:39.192"
"906.25","31.6875","3008 33B2 DDD9 0140 0000 0060","2.761165418194154","-60.5","2021-03-29 21:11:39.215"
"906.25","29.25","3008 33B2 DDD9 0140 0000 0060","2.736621725587984","-60.5","2021-03-29 21:11:39.269"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.761165418194154","-60.5","2021-03-29 21:11:39.291"
"906.25","34.125","3008 33B2 DDD9 0140 0000 0060","2.724349879284899","-60.0","2021-03-29 21:11:39.345"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0060","2.779573187648782","-60.0","2021-03-29 21:11:39.367"
"911.25","24.375","3008 33B2 DDD9 0140 0000 0060","1.1903690913992575","-60.5","2021-03-29 21:11:39.407"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.1965050145508","-60.5","2021-03-29 21:11:39.428"
"911.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","1.1780972450961724","-60.5","2021-03-29 21:11:39.484"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0060","1.1965050145508","-60.5","2021-03-29 21:11:39.507"
"911.25","34.125","3008 33B2 DDD9 0140 0000 0060","1.1351457830353744","-60.5","2021-03-29 21:11:39.56"
"911.25","14.625","3008 33B2 DDD9 0140 0000 0060","1.1658253987930873","-60.5","2021-03-29 21:11:39.583"
"912.25","0.0","3008 33B2 DDD9 0140 0000 0060","0.9510680884890975","-61.0","2021-03-29 21:11:39.659"
"912.25","24.375","3008 33B2 DDD9 0140 0000 0060","0.8958447801252144","-61.0","2021-03-29 21:11:39.68"
"912.25","21.9375","3008 33B2 DDD9 0140 0000 0060","0.9265243958829272","-61.0","2021-03-29 21:11:39.736"
"912.25","21.9375","3008 33B2 DDD9 0140 0000 0060","0.8897088569736719","-61.0","2021-03-29 21:11:39.756"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.859495662320273","-61.0","2021-03-29 21:11:39.812"
"923.25","43.9375","3008 33B2 DDD9 0140 0000 0060","3.785864584501762","-61.0","2021-03-29 21:11:39.834"
"923.25","12.1875","3008 33B2 DDD9 0140 0000 0060","3.816544200259475","-60.5","2021-03-29 21:11:39.888"
"923.25","9.75","3008 33B2 DDD9 0140 0000 0060","3.834951969714103","-61.0","2021-03-29 21:11:39.91"
"923.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.8410878928656453","-61.0","2021-03-29 21:11:39.964"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0060","3.8717675086233583","-61.0","2021-03-29 21:11:39.986"
"907.25","29.25","3008 33B2 DDD9 0140 0000 0060","2.399145952253143","-60.0","2021-03-29 21:11:40.064"
"907.25","34.125","3008 33B2 DDD9 0140 0000 0060","2.399145952253143","-60.5","2021-03-29 21:11:40.085"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.454369260617026","-60.0","2021-03-29 21:11:40.138"
"907.25","24.375","3008 33B2 DDD9 0140 0000 0060","2.399145952253143","-60.5","2021-03-29 21:11:40.163"
"910.25","39.0625","3008 33B2 DDD9 0140 0000 0060","1.4358060174609601","-60.5","2021-03-29 21:11:40.216"
"910.25","-4.875","3008 33B2 DDD9 0140 0000 0060","1.5155730184310134","-60.5","2021-03-29 21:11:40.239"
"910.25","26.8125","3008 33B2 DDD9 0140 0000 0060","1.4480778637640452","-60.5","2021-03-29 21:11:40.291"
"910.25","26.8125","3008 33B2 DDD9 0140 0000 0060","1.4173982480063325","-60.5","2021-03-29 21:11:40.314"
"910.25","14.625","3008 33B2 DDD9 0140 0000 0060","1.4480778637640452","-60.5","2021-03-29 21:11:40.368"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.4726215563702154","-60.5","2021-03-29 21:11:40.39"
"920.25","12.1875","3008 33B2 DDD9 0140 0000 0060","4.816699673960914","-60.5","2021-03-29 21:11:40.471"
"920.25","0.0","3008 33B2 DDD9 0140 0000 0060","4.81056375080937","-60.5","2021-03-29 21:11:40.494"
"920.25","-21.9375","3008 33B2 DDD9 0140 0000 0060","4.853515212870168","-60.5","2021-03-29 21:11:40.548"
"920.25","36.5625","3008 33B2 DDD9 0140 0000 0060","4.73693267299086","-61.0","2021-03-29 21:11:40.571"
"904.75","-12.1875","3008 33B2 DDD9 0140 0000 0060","3.2765829629237295","-61.0","2021-03-29 21:11:40.624"
"904.75","14.625","3008 33B2 DDD9 0140 0000 0060","3.184544115650591","-61.0","2021-03-29 21:11:40.647"
"904.75","21.9375","3008 33B2 DDD9 0140 0000 0060","3.1906800388021335","-60.5","2021-03-29 21:11:40.699"
"904.75","21.9375","3008 33B2 DDD9 0140 0000 0060","3.227495577711389","-61.0","2021-03-29 21:11:40.724"
"904.75","26.8125","3008 33B2 DDD9 0140 0000 0060","3.215223731408304","-61.0","2021-03-29 21:11:40.776"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0060","3.215223731408304","-60.5","2021-03-29 21:11:40.784"
"925.25","19.5","3008 33B2 DDD9 0140 0000 0060","3.2581751934691017","-60.5","2021-03-29 21:11:40.837"
"925.25","36.5625","3008 33B2 DDD9 0140 0000 0060","3.1784081924990484","-60.5","2021-03-29 21:11:40.861"
"925.25","4.875","3008 33B2 DDD9 0140 0000 0060","3.227495577711389","-61.0","2021-03-29 21:11:40.915"
"925.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.2520392703175593","-61.0","2021-03-29 21:11:40.937"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 0060","3.2459033471660166","-60.5","2021-03-29 21:11:40.992"
"925.25","24.375","3008 33B2 DDD9 0140 0000 0060","3.1784081924990484","-60.5","2021-03-29 21:11:41.014"
"906.75","21.9375","3008 33B2 DDD9 0140 0000 0060","2.5709518004963345","-60.0","2021-03-29 21:11:41.085"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0060","2.60776733940559","-60.0","2021-03-29 21:11:41.093"
"906.75","21.9375","3008 33B2 DDD9 0140 0000 0060","2.5770877236478773","-60.0","2021-03-29 21:11:41.147"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0060","2.6568547246179306","-60.0","2021-03-29 21:11:41.169"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0060","2.6139032625571326","-60.0","2021-03-29 21:11:41.222"
"921.75","4.875","3008 33B2 DDD9 0140 0000 0060","4.331961744989051","-60.5","2021-03-29 21:11:41.258"
"921.75","7.3125","3008 33B2 DDD9 0140 0000 0060","4.338097668140593","-60.5","2021-03-29 21:11:41.312"
"921.75","-19.5","3008 33B2 DDD9 0140 0000 0060","4.3503695144436785","-60.5","2021-03-29 21:11:41.335"
"921.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.338097668140593","-60.0","2021-03-29 21:11:41.388"
"921.75","34.125","3008 33B2 DDD9 0140 0000 0060","4.289010282928253","-60.0","2021-03-29 21:11:41.409"
"917.25","21.9375","3008 33B2 DDD9 0140 0000 0060","5.71868037723767","-60.5","2021-03-29 21:11:41.47"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0060","5.743224069843841","-60.0","2021-03-29 21:11:41.494"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0060","5.7616318392984684","-60.0","2021-03-29 21:11:41.548"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0060","5.71868037723767","-60.0","2021-03-29 21:11:41.57"
"917.25","-9.75","3008 33B2 DDD9 0140 0000 0060","5.773903685601553","-60.0","2021-03-29 21:11:41.622"
"904.25","24.375","3008 33B2 DDD9 0140 0000 0060","3.3195344249845276","-60.5","2021-03-29 21:11:41.661"
"904.25","29.25","3008 33B2 DDD9 0140 0000 0060","3.3318062712876126","-60.0","2021-03-29 21:11:41.714"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.368621810196868","-60.5","2021-03-29 21:11:41.738"
"904.25","17.0625","3008 33B2 DDD9 0140 0000 0060","3.368621810196868","-60.5","2021-03-29 21:11:41.79"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.3318062712876126","-61.0","2021-03-29 21:11:41.813"
"911.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.043106935762236","-60.5","2021-03-29 21:11:41.867"
"911.75","36.5625","3008 33B2 DDD9 0140 0000 0060","0.9694758579437253","-60.5","2021-03-29 21:11:41.889"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0060","1.055378782065321","-60.5","2021-03-29 21:11:41.943"
"911.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.043106935762236","-60.5","2021-03-29 21:11:41.966"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0060","1.043106935762236","-60.5","2021-03-29 21:11:42.02"
"911.75","19.5","3008 33B2 DDD9 0140 0000 0060","1.0246991663076084","-60.5","2021-03-29 21:11:42.041"
"922.25","17.0625","3008 33B2 DDD9 0140 0000 0060","4.172427743048944","-60.5","2021-03-29 21:11:42.115"
"922.25","-21.9375","3008 33B2 DDD9 0140 0000 0060","4.221515128261284","-60.5","2021-03-29 21:11:42.137"
"922.25","17.0625","3008 33B2 DDD9 0140 0000 0060","4.129476280988146","-60.5","2021-03-29 21:11:42.192"
"922.25","12.1875","3008 33B2 DDD9 0140 0000 0060","4.135612204139688","-60.5","2021-03-29 21:11:42.215"
"924.75","21.9375","3008 33B2 DDD9 0140 0000 0060","3.3870295796514958","-60.5","2021-03-29 21:11:42.269"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0060","3.411573272257666","-60.5","2021-03-29 21:11:42.29"
"924.75","14.625","3008 33B2 DDD9 0140 0000 0060","3.3624858870453256","-60.5","2021-03-29 21:11:42.345"
"924.75","36.5625","3008 33B2 DDD9 0140 0000 0060","3.3624858870453256","-60.5","2021-03-29 21:11:42.368"
"924.75","36.5625","3008 33B2 DDD9 0140 0000 0060","3.3440781175906977","-60.5","2021-03-29 21:11:42.422"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0060","3.3747577333484107","-60.5","2021-03-29 21:11:42.444"
"924.25","24.375","3008 33B2 DDD9 0140 0000 0060","3.522019888985432","-60.0","2021-03-29 21:11:42.519"
"924.25","0.0","3008 33B2 DDD9 0140 0000 0060","3.54042765844006","-60.5","2021-03-29 21:11:42.542"
"924.25","43.9375","3008 33B2 DDD9 0140 0000 0060","3.509748042682347","-60.0","2021-03-29 21:11:42.594"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0060","3.5465635815916023","-60.5","2021-03-29 21:11:42.617"
"902.75","36.5625","3008 33B2 DDD9 0140 0000 0060","3.736777199289422","-60.5","2021-03-29 21:11:42.67"
"902.75","29.25","3008 33B2 DDD9 0140 0000 0060","3.773592738198677","-61.0","2021-03-29 21:11:42.692"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0060","3.80427235395639","-61.0","2021-03-29 21:11:42.747"
"902.75","36.5625","3008 33B2 DDD9 0140 0000 0060","3.773592738198677","-60.5","2021-03-29 21:11:42.768"
"902.75","17.0625","3008 33B2 DDD9 0140 0000 0060","3.80427235395639","-61.0","2021-03-29 21:11:42.823"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0060","3.810408277107933","-61.0","2021-03-29 21:11:42.845"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0060","3.706097583531709","-60.5","2021-03-29 21:11:42.924"
"923.75","31.6875","3008 33B2 DDD9 0140 0000 0060","3.6815538909255388","-60.5","2021-03-29 21:11:42.946"
"923.75","17.0625","3008 33B2 DDD9 0140 0000 0060","3.693825737228624","-60.5","2021-03-29 21:11:43.001"
"923.75","17.0625","3008 33B2 DDD9 0140 0000 0060","3.706097583531709","-60.5","2021-03-29 21:11:43.023"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.325359400733194","-60.5","2021-03-29 21:11:43.077"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.3130875544301088","-60.5","2021-03-29 21:11:43.098"
"910.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","1.368310862793992","-60.5","2021-03-29 21:11:43.152"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0060","1.3192234775816514","-60.5","2021-03-29 21:11:43.175"
"910.75","-4.875","3008 33B2 DDD9 0140 0000 0060","1.337631247036279","-60.5","2021-03-29 21:11:43.229"
"910.75","26.8125","3008 33B2 DDD9 0140 0000 0060","1.2946797849754812","-60.5","2021-03-29 21:11:43.251"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0060","5.896622148632405","-60.5","2021-03-29 21:11:43.33"
