"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.6872233929727672","-56.0","2021-03-29 21:12:40.451"
"911.25","-9.75","3008 33B2 DDD9 0140 0000 0060","0.705631162427395","-56.0","2021-03-29 21:12:40.472"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0060","0.6810874698212247","-56.0","2021-03-29 21:12:40.527"
"911.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","0.7117670855789375","-56.0","2021-03-29 21:12:40.548"
"912.25","17.0625","3008 33B2 DDD9 0140 0000 0060","0.37429131224409645","-56.0","2021-03-29 21:12:40.626"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.3865631585471816","-56.0","2021-03-29 21:12:40.648"
"912.25","19.5","3008 33B2 DDD9 0140 0000 0060","0.3620194659410113","-56.0","2021-03-29 21:12:40.703"
"912.25","17.0625","3008 33B2 DDD9 0140 0000 0060","0.35588354278946877","-56.0","2021-03-29 21:12:40.725"
"923.25","-9.75","3008 33B2 DDD9 0140 0000 0060","3.215223731408304","-56.5","2021-03-29 21:12:40.779"
"923.25","26.8125","3008 33B2 DDD9 0140 0000 0060","3.1661363461959633","-56.5","2021-03-29 21:12:40.802"
"923.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.2090878082567613","-56.5","2021-03-29 21:12:40.856"
"923.25","19.5","3008 33B2 DDD9 0140 0000 0060","3.160000423044421","-56.5","2021-03-29 21:12:40.879"
"923.25","14.625","3008 33B2 DDD9 0140 0000 0060","3.1784081924990484","-56.5","2021-03-29 21:12:40.932"
"923.25","24.375","3008 33B2 DDD9 0140 0000 0060","3.1784081924990484","-56.0","2021-03-29 21:12:40.955"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.9082721001297376","-55.5","2021-03-29 21:12:41.032"
"907.25","24.375","3008 33B2 DDD9 0140 0000 0060","1.902136176978195","-55.0","2021-03-29 21:12:41.054"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.9205439464328227","-55.0","2021-03-29 21:12:41.107"
"907.25","19.5","3008 33B2 DDD9 0140 0000 0060","1.9266798695843652","-55.5","2021-03-29 21:12:41.131"
"910.25","-4.875","3008 33B2 DDD9 0140 0000 0060","1.0062913968529805","-55.5","2021-03-29 21:12:41.183"
