"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.356505437595221","-53.0","2021-03-29 20:54:04.967"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0020","4.319689898685965","-53.0","2021-03-29 20:54:04.99"
"908.25","24.375","3008 33B2 DDD9 0140 0000 0020","1.3560390164909069","-53.5","2021-03-29 20:54:05.044"
"908.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.380582709097077","-53.5","2021-03-29 20:54:05.067"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.3989904785517047","-53.5","2021-03-29 20:54:05.121"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.3989904785517047","-53.5","2021-03-29 20:54:05.145"
"908.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.3744467859455345","-53.5","2021-03-29 20:54:05.198"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.3928545554001621","-53.5","2021-03-29 20:54:05.222"
"922.75","0.0","3008 33B2 DDD9 0140 0000 0020","2.9759227284981438","-53.0","2021-03-29 20:54:05.299"
"922.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.9636508821950587","-53.0","2021-03-29 20:54:05.321"
"922.75","19.5","3008 33B2 DDD9 0140 0000 0020","2.9268353432858034","-53.0","2021-03-29 20:54:05.375"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0020","2.9391071895888885","-53.0","2021-03-29 20:54:05.398"
"914.75","-9.75","3008 33B2 DDD9 0140 0000 0020","5.6143696836614465","-53.5","2021-03-29 20:54:05.453"
"914.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","5.6143696836614465","-54.0","2021-03-29 20:54:05.475"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.595961914206819","-53.5","2021-03-29 20:54:05.528"
"914.75","-19.5","3008 33B2 DDD9 0140 0000 0020","5.638913376267617","-53.5","2021-03-29 20:54:05.552"
"914.75","-4.875","3008 33B2 DDD9 0140 0000 0020","5.583690067903734","-53.5","2021-03-29 20:54:05.606"
"914.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.602097837358362","-53.5","2021-03-29 20:54:05.629"
"918.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.528311285838413","-53.0","2021-03-29 20:54:05.703"
"918.25","19.5","3008 33B2 DDD9 0140 0000 0020","4.485359823777615","-53.0","2021-03-29 20:54:05.727"
"918.25","31.6875","3008 33B2 DDD9 0140 0000 0020","4.466952054322987","-53.0","2021-03-29 20:54:05.78"
"918.25","12.1875","3008 33B2 DDD9 0140 0000 0020","4.503767593232243","-53.0","2021-03-29 20:54:05.802"
"926.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.8100973297050567","-52.5","2021-03-29 20:54:05.859"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.7978254834019713","-52.5","2021-03-29 20:54:05.882"
"926.25","20.75","3008 33B2 DDD9 0140 0000 0020","1.7855536370988863","-52.5","2021-03-29 20:54:05.934"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.7978254834019713","-52.5","2021-03-29 20:54:05.958"
"926.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.8100973297050567","-52.5","2021-03-29 20:54:06.012"
"926.25","24.375","3008 33B2 DDD9 0140 0000 0020","1.7794177139473437","-52.5","2021-03-29 20:54:06.036"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.0064468705544187","-53.5","2021-03-29 20:54:06.11"
"906.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.0371264863121317","-53.5","2021-03-29 20:54:06.133"
"906.25","0.0","3008 33B2 DDD9 0140 0000 0020","2.0064468705544187","-53.5","2021-03-29 20:54:06.187"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.0064468705544187","-53.5","2021-03-29 20:54:06.209"
"911.25","14.625","3008 33B2 DDD9 0140 0000 0020","0.37429131224409645","-53.5","2021-03-29 20:54:06.262"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.380427235395639","-53.0","2021-03-29 20:54:06.287"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0020","0.3865631585471816","-53.5","2021-03-29 20:54:06.34"
