"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"907.25","2.4375","3008 33B2 DDD9 0140 0000 0040","5.994796919057086","-54.5","2021-03-29 21:24:57.365"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0040","5.970253226450915","-54.0","2021-03-29 21:24:57.387"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0040","5.964117303299373","-54.5","2021-03-29 21:24:57.442"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0040","5.988660995905543","-54.0","2021-03-29 21:24:57.465"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0040","2.5402721847386216","-53.0","2021-03-29 21:24:57.536"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0040","2.552544031041707","-53.0","2021-03-29 21:24:57.559"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0040","2.5586799541932495","-52.5","2021-03-29 21:24:57.614"
"918.75","4.875","3008 33B2 DDD9 0140 0000 0040","2.5464081078901644","-52.5","2021-03-29 21:24:57.636"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0040","0.4479223900626072","-52.0","2021-03-29 21:24:57.692"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0040","0.4356505437595221","-52.0","2021-03-29 21:24:57.713"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0040","0.4295146206079795","-52.0","2021-03-29 21:24:57.768"
"925.75","29.25","3008 33B2 DDD9 0140 0000 0040","0.4049709280018093","-52.0","2021-03-29 21:24:57.791"
"925.75","0.0","3008 33B2 DDD9 0140 0000 0040","0.4540583132141498","-52.0","2021-03-29 21:24:57.844"
"925.75","25.625","3008 33B2 DDD9 0140 0000 0040","0.4172427743048944","-52.0","2021-03-29 21:24:57.868"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.6941366846315","-54.0","2021-03-29 21:24:57.938"
"908.25","14.625","3008 33B2 DDD9 0140 0000 0040","5.681864838328415","-54.0","2021-03-29 21:24:57.962"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0040","5.688000761479957","-54.0","2021-03-29 21:24:58.015"
"908.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.688000761479957","-54.0","2021-03-29 21:24:58.039"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","3.000466421104314","-53.5","2021-03-29 21:24:58.092"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0040","2.9943304979527716","-53.5","2021-03-29 21:24:58.115"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0040","3.018874190558942","-53.5","2021-03-29 21:24:58.17"
"917.25","21.9375","3008 33B2 DDD9 0140 0000 0040","2.9943304979527716","-53.5","2021-03-29 21:24:58.191"
"917.25","12.1875","3008 33B2 DDD9 0140 0000 0040","3.000466421104314","-53.5","2021-03-29 21:24:58.246"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.9943304979527716","-53.5","2021-03-29 21:24:58.269"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.5714182216006485","-54.0","2021-03-29 21:24:58.344"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.540738605842936","-54.0","2021-03-29 21:24:58.367"
