"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"923.25","19.5","3008 33B2 DDD9 0140 0000 0040","2.675262494072558","-54.5","2021-03-29 21:46:07.581"
"923.25","-2.875","3039 6062 C3A6 5282 410C 1941","0.5951845456996288","-69.5","2021-03-29 21:46:07.603"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0040","2.6384469551633027","-54.5","2021-03-29 21:46:07.615"
"911.25","14.625","3008 33B2 DDD9 0140 0000 0040","0.09203884727313846","-56.0","2021-03-29 21:46:07.67"
"911.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","0.12885438618239387","-56.0","2021-03-29 21:46:07.693"
"911.25","-3.875","3039 6062 C3A6 5282 410C 1941","5.50392306693368","-71.5","2021-03-29 21:46:07.705"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.07363107781851078","-56.0","2021-03-29 21:46:07.756"
"911.25","-3.5625","3039 6062 C3A6 5282 410C 1941","1.9082721001297376","-74.0","2021-03-29 21:46:07.776"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.0859029241215959","-56.0","2021-03-29 21:46:07.789"
"911.25","21.9375","3008 33B2 DDD9 0140 0000 0040","0.07976700097005335","-56.0","2021-03-29 21:46:07.842"
"916.75","-1.1875","3039 6062 C3A6 5282 410C 1941","0.39269908169872414","-72.0","2021-03-29 21:46:07.875"
"916.75","5.1875","3008 33B2 DDD9 0140 0000 0040","4.678641403051206","-55.5","2021-03-29 21:46:07.884"
"916.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.804427827657828","-55.5","2021-03-29 21:46:07.94"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0040","4.773748211900116","-55.5","2021-03-29 21:46:07.963"
"916.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.755340442445488","-56.0","2021-03-29 21:46:08.015"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.73693267299086","-55.5","2021-03-29 21:46:08.037"
"914.25","-17.0625","3008 33B2 DDD9 0140 0000 0040","5.491651220630596","-56.0","2021-03-29 21:46:08.092"
"914.25","-2.6875","3039 6062 C3A6 5282 410C 1941","1.4787574795217582","-71.5","2021-03-29 21:46:08.116"
"914.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.460971604872882","-56.0","2021-03-29 21:46:08.126"
"914.25","-4.0625","3039 6062 C3A6 5282 410C 1941","0.28225246497095796","-71.0","2021-03-29 21:46:08.141"
"914.25","-24.375","3039 6062 C3A6 5282 410C 1941","1.1474176293384597","-70.5","2021-03-29 21:46:08.187"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0040","5.436427912266712","-56.0","2021-03-29 21:46:08.189"
"914.25","24.375","3039 6062 C3A6 5282 410C 1941","6.050020227420969","-69.5","2021-03-29 21:46:08.21"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.460971604872882","-55.5","2021-03-29 21:46:08.211"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0040","5.43029198911517","-56.0","2021-03-29 21:46:08.264"
"914.25","-4.875","3039 6062 C3A6 5282 410C 1941","5.565282298449106","-72.0","2021-03-29 21:46:08.285"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0040","3.2581751934691017","-55.0","2021-03-29 21:46:08.316"
"921.25","31.6875","3008 33B2 DDD9 0140 0000 0040","3.2397674240144743","-55.0","2021-03-29 21:46:08.369"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0040","3.2643111166206444","-55.0","2021-03-29 21:46:08.393"
"921.25","23.1875","3008 33B2 DDD9 0140 0000 0040","3.2336315008629315","-55.0","2021-03-29 21:46:08.446"
"921.25","2.4375","3008 33B2 DDD9 0140 0000 0040","3.2765829629237295","-55.0","2021-03-29 21:46:08.469"
