"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"905.75","-0.375","3008 33B2 DDD9 0140 0000 0060","5.583690067903734","-63.5","2021-03-29 21:56:54.393"
"905.75","-0.0625","3008 33B2 DDD9 0140 0000 0060","5.553010452146021","-64.0","2021-03-29 21:56:54.418"
"905.75","-0.1875","3008 33B2 DDD9 0140 0000 0060","5.589825991055276","-64.0","2021-03-29 21:56:54.483"
"926.25","-39.0625","3008 33B2 DDD9 0140 0000 0060","5.853670686571607","-61.5","2021-03-29 21:56:54.6"
"926.25","0.25","3008 33B2 DDD9 0140 0000 0060","5.780039608753096","-62.0","2021-03-29 21:56:54.671"
"926.25","0.5","3008 33B2 DDD9 0140 0000 0060","5.7616318392984684","-62.0","2021-03-29 21:56:54.707"
"926.25","-0.1875","3008 33B2 DDD9 0140 0000 0060","5.8045833013592665","-62.0","2021-03-29 21:56:54.763"
"915.75","0.5625","3008 33B2 DDD9 0140 0000 0060","5.810719224510809","-63.0","2021-03-29 21:56:54.81"
"915.75","-0.375","3008 33B2 DDD9 0140 0000 0060","2.693670263527186","-62.5","2021-03-29 21:56:54.874"
"915.75","-0.5","3008 33B2 DDD9 0140 0000 0060","5.853670686571607","-63.0","2021-03-29 21:56:54.903"
"915.75","-0.375","3008 33B2 DDD9 0140 0000 0060","2.6875343403756435","-62.5","2021-03-29 21:56:54.965"
"924.75","0.125","3008 33B2 DDD9 0140 0000 0060","6.264777537724958","-62.5","2021-03-29 21:56:55.016"
"924.75","-0.0625","3008 33B2 DDD9 0140 0000 0060","0.01227184630308513","-62.5","2021-03-29 21:56:55.088"
"924.75","-0.125","3008 33B2 DDD9 0140 0000 0060","0.030679615757712823","-62.5","2021-03-29 21:56:55.115"
"903.75","-37.8125","3008 33B2 DDD9 0140 0000 0060","6.227961998815704","-63.5","2021-03-29 21:56:55.177"
"903.75","-12.1875","3008 33B2 DDD9 0140 0000 0060","6.240233845118788","-63.5","2021-03-29 21:56:55.2"
"903.75","-9.75","3008 33B2 DDD9 0140 0000 0060","6.1850105367549055","-63.0","2021-03-29 21:56:55.252"
"903.75","2.4375","3008 33B2 DDD9 0140 0000 0060","6.209554229361076","-63.5","2021-03-29 21:56:55.275"
"903.75","14.625","3008 33B2 DDD9 0140 0000 0060","6.166602767300278","-63.0","2021-03-29 21:56:55.328"
"903.75","17.0625","3008 33B2 DDD9 0140 0000 0060","6.19728238305799","-63.0","2021-03-29 21:56:55.351"
"922.75","0.5625","3008 33B2 DDD9 0140 0000 0060","0.619728238305799","-62.5","2021-03-29 21:56:55.434"
"922.75","0.0","3008 33B2 DDD9 0140 0000 0060","0.6504078540635119","-62.5","2021-03-29 21:56:55.453"
"922.75","-0.125","3008 33B2 DDD9 0140 0000 0060","0.6381360077604268","-62.5","2021-03-29 21:56:55.526"
"906.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.418020142812084","-63.5","2021-03-29 21:56:55.626"
"906.25","2.3125","3008 33B2 DDD9 0140 0000 0060","5.375068680751287","-64.5","2021-03-29 21:56:55.685"
"906.25","0.0625","3008 33B2 DDD9 0140 0000 0060","5.43029198911517","-63.5","2021-03-29 21:56:55.703"
"906.25","-0.1875","3008 33B2 DDD9 0140 0000 0060","5.448699758569798","-63.5","2021-03-29 21:56:55.779"
"927.25","5.1875","3008 33B2 DDD9 0140 0000 0060","5.411884219660542","-62.0","2021-03-29 21:56:55.798"
"927.25","0.625","3008 33B2 DDD9 0140 0000 0060","5.43029198911517","-62.0","2021-03-29 21:56:55.881"
"927.25","0.75","3008 33B2 DDD9 0140 0000 0060","5.436427912266712","-62.0","2021-03-29 21:56:55.914"
"927.25","-0.1875","3008 33B2 DDD9 0140 0000 0060","5.47937937432751","-62.0","2021-03-29 21:56:55.98"
"916.25","0.625","3008 33B2 DDD9 0140 0000 0060","2.4727770300716534","-62.5","2021-03-29 21:56:56.036"
"916.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","5.66959299202533","-62.5","2021-03-29 21:56:56.092"
"916.25","0.0625","3008 33B2 DDD9 0140 0000 0060","5.675728915176872","-63.0","2021-03-29 21:56:56.133"
"926.75","0.5625","3008 33B2 DDD9 0140 0000 0060","2.466641106920111","-62.5","2021-03-29 21:56:56.2"
"926.75","0.625","3008 33B2 DDD9 0140 0000 0060","5.595961914206819","-62.0","2021-03-29 21:56:56.237"
"926.75","-0.125","3008 33B2 DDD9 0140 0000 0060","5.626641529964532","-62.0","2021-03-29 21:56:56.307"
"926.75","-0.5","3008 33B2 DDD9 0140 0000 0060","5.64504929941916","-62.0","2021-03-29 21:56:56.337"
"926.75","-0.625","3008 33B2 DDD9 0140 0000 0060","5.651185222570702","-62.0","2021-03-29 21:56:56.399"
"925.25","0.375","3008 33B2 DDD9 0140 0000 0060","6.068427996875596","-62.0","2021-03-29 21:56:56.46"
"925.25","0.0625","3008 33B2 DDD9 0140 0000 0060","6.111379458936394","-62.0","2021-03-29 21:56:56.508"
"925.25","0.5","3008 33B2 DDD9 0140 0000 0060","6.068427996875596","-62.0","2021-03-29 21:56:56.548"
"919.25","0.25","3008 33B2 DDD9 0140 0000 0060","4.773748211900116","-63.0","2021-03-29 21:56:56.611"
"919.25","-0.375","3008 33B2 DDD9 0140 0000 0060","1.6873788666742053","-62.5","2021-03-29 21:56:56.651"
"919.25","-0.1875","3008 33B2 DDD9 0140 0000 0060","1.6873788666742053","-62.5","2021-03-29 21:56:56.711"
"919.25","-0.375","3008 33B2 DDD9 0140 0000 0060","1.6935147898257479","-62.5","2021-03-29 21:56:56.754"
"919.25","0.5","3008 33B2 DDD9 0140 0000 0060","1.6505633277649499","-62.5","2021-03-29 21:56:56.81"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0060","4.571262747899211","-64.0","2021-03-29 21:56:56.858"
"909.75","0.125","3008 33B2 DDD9 0140 0000 0060","4.565126824747668","-63.5","2021-03-29 21:56:56.919"
"909.75","0.0625","3008 33B2 DDD9 0140 0000 0060","4.546719055293041","-64.0","2021-03-29 21:56:56.949"
"909.75","-0.1875","3008 33B2 DDD9 0140 0000 0060","4.577398671050753","-64.0","2021-03-29 21:56:57.012"
"913.75","-0.125","3008 33B2 DDD9 0140 0000 0060","0.20248546400090464","-63.0","2021-03-29 21:56:57.13"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0060","3.3502140407422405","-63.0","2021-03-29 21:56:57.197"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.23930100291016002","-63.0","2021-03-29 21:56:57.221"
"902.75","24.375","3008 33B2 DDD9 0140 0000 0060","0.18407769454627693","-63.5","2021-03-29 21:56:57.275"
"902.75","17.0625","3008 33B2 DDD9 0140 0000 0060","0.1718058482431918","-63.0","2021-03-29 21:56:57.297"
"902.75","-17.0625","3008 33B2 DDD9 0140 0000 0060","0.23316507975861744","-63.0","2021-03-29 21:56:57.35"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.21475731030398976","-63.0","2021-03-29 21:56:57.373"
"921.75","0.1875","3008 33B2 DDD9 0140 0000 0060","0.9265243958829272","-63.0","2021-03-29 21:56:57.446"
"921.75","0.5","3008 33B2 DDD9 0140 0000 0060","0.9081166264282996","-63.0","2021-03-29 21:56:57.625"
"923.75","-0.0625","3008 33B2 DDD9 0140 0000 0060","0.3129320807286708","-62.5","2021-03-29 21:56:57.703"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0060","0.30679615757712825","-62.5","2021-03-29 21:56:57.816"
"904.25","36.5625","3008 33B2 DDD9 0140 0000 0060","5.939573610693203","-63.0","2021-03-29 21:56:57.859"
"904.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","6.025476534814799","-63.0","2021-03-29 21:56:57.883"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0060","6.007068765360171","-63.0","2021-03-29 21:56:57.934"
"904.25","7.3125","3008 33B2 DDD9 0140 0000 0060","5.994796919057086","-63.0","2021-03-29 21:56:57.958"
"904.25","-4.875","3008 33B2 DDD9 0140 0000 0060","6.000932842208628","-63.5","2021-03-29 21:56:58.01"
"904.25","-17.0625","3008 33B2 DDD9 0140 0000 0060","6.056156150572511","-63.0","2021-03-29 21:56:58.034"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.0","-63.0","2021-03-29 21:56:58.111"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0060","0.04908738521234052","-63.0","2021-03-29 21:56:58.132"
"903.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","0.018407769454627694","-63.0","2021-03-29 21:56:58.187"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0060","0.03681553890925539","-63.0","2021-03-29 21:56:58.21"
"907.75","-0.5625","3008 33B2 DDD9 0140 0000 0060","5.062136600022616","-64.0","2021-03-29 21:56:58.277"
"907.75","0.0","3008 33B2 DDD9 0140 0000 0060","5.074408446325701","-64.0","2021-03-29 21:56:58.309"
"907.75","-0.0625","3008 33B2 DDD9 0140 0000 0060","5.062136600022616","-64.0","2021-03-29 21:56:58.373"
"907.75","1.0625","3008 33B2 DDD9 0140 0000 0060","4.988505522204105","-64.0","2021-03-29 21:56:58.407"
"909.25","-0.1875","3008 33B2 DDD9 0140 0000 0060","4.6878452877785195","-64.0","2021-03-29 21:56:58.479"
"909.25","-0.75","3008 33B2 DDD9 0140 0000 0060","4.700117134081604","-64.0","2021-03-29 21:56:58.508"
"909.25","0.0625","3008 33B2 DDD9 0140 0000 0060","4.663301595172349","-64.0","2021-03-29 21:56:58.581"
"909.25","0.1875","3008 33B2 DDD9 0140 0000 0060","4.651029748869264","-64.0","2021-03-29 21:56:58.608"
"913.25","0.0","3008 33B2 DDD9 0140 0000 0060","0.3620194659410113","-63.0","2021-03-29 21:56:58.685"
"913.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","3.5036121195308043","-63.0","2021-03-29 21:56:58.716"
"913.25","-0.125","3008 33B2 DDD9 0140 0000 0060","3.5158839658338894","-63.0","2021-03-29 21:56:58.775"
"918.25","0.0625","3008 33B2 DDD9 0140 0000 0060","1.9696313316451632","-63.0","2021-03-29 21:56:58.895"
"918.25","-0.1875","3008 33B2 DDD9 0140 0000 0060","1.9573594853420782","-63.0","2021-03-29 21:56:58.958"
"918.25","-0.125","3008 33B2 DDD9 0140 0000 0060","1.9573594853420782","-63.0","2021-03-29 21:56:58.988"
"924.25","0.5625","3008 33B2 DDD9 0140 0000 0060","0.11658253987930872","-62.5","2021-03-29 21:56:59.159"
"924.25","0.1875","3008 33B2 DDD9 0140 0000 0060","0.14112623248547898","-62.5","2021-03-29 21:56:59.178"
"924.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","0.16566992509164924","-62.5","2021-03-29 21:56:59.245"
"906.75","-0.875","3008 33B2 DDD9 0140 0000 0060","5.301437602932776","-64.0","2021-03-29 21:56:59.301"
"906.75","0.0","3008 33B2 DDD9 0140 0000 0060","5.2768939103266055","-64.0","2021-03-29 21:56:59.354"
"906.75","0.8125","3008 33B2 DDD9 0140 0000 0060","5.240078371417351","-64.0","2021-03-29 21:56:59.395"
"906.75","0.5","3008 33B2 DDD9 0140 0000 0060","5.283029833478148","-64.0","2021-03-29 21:56:59.46"
"919.75","0.5","3008 33B2 DDD9 0140 0000 0060","1.5155730184310134","-63.0","2021-03-29 21:56:59.579"
"919.75","-0.25","3008 33B2 DDD9 0140 0000 0060","1.5278448647340985","-62.5","2021-03-29 21:56:59.651"
"915.25","-0.5625","3008 33B2 DDD9 0140 0000 0060","2.8532042654672924","-63.0","2021-03-29 21:56:59.701"
"915.25","-0.125","3008 33B2 DDD9 0140 0000 0060","2.8532042654672924","-63.0","2021-03-29 21:56:59.76"
"915.25","0.0","3008 33B2 DDD9 0140 0000 0060","2.8409324191642074","-63.0","2021-03-29 21:56:59.802"
"910.25","-0.5625","3008 33B2 DDD9 0140 0000 0060","4.454680208019902","-63.5","2021-03-29 21:56:59.957"
"910.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","4.442408361716817","-63.5","2021-03-29 21:56:59.985"
"910.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","4.399456899656019","-63.5","2021-03-29 21:57:00.05"
"917.75","-0.5","3008 33B2 DDD9 0140 0000 0060","2.1046216409791","-63.0","2021-03-29 21:57:00.113"
"917.75","0.0625","3008 33B2 DDD9 0140 0000 0060","2.086213871524472","-63.0","2021-03-29 21:57:00.173"
"920.75","4.25","3008 33B2 DDD9 0140 0000 0060","4.3411656297163645","-63.5","2021-03-29 21:57:00.273"
"920.75","-0.75","3008 33B2 DDD9 0140 0000 0060","1.2762720155208536","-63.0","2021-03-29 21:57:00.421"
"920.75","0.0625","3008 33B2 DDD9 0140 0000 0060","1.2578642460662257","-63.0","2021-03-29 21:57:00.458"
"920.25","0.8125","3008 33B2 DDD9 0140 0000 0060","1.337631247036279","-63.0","2021-03-29 21:57:00.617"
"920.25","-0.25","3008 33B2 DDD9 0140 0000 0060","1.3989904785517047","-63.0","2021-03-29 21:57:00.656"
"912.25","0.0","3008 33B2 DDD9 0140 0000 0060","3.834951969714103","-63.5","2021-03-29 21:57:00.712"
"912.25","0.125","3008 33B2 DDD9 0140 0000 0060","3.847223816017188","-63.5","2021-03-29 21:57:00.744"
"912.25","0.125","3008 33B2 DDD9 0140 0000 0060","3.7981364308048478","-63.5","2021-03-29 21:57:00.807"
"923.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","0.48473792897186263","-62.5","2021-03-29 21:57:00.931"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0060","0.4724660826687775","-62.5","2021-03-29 21:57:00.997"
"923.25","0.0625","3008 33B2 DDD9 0140 0000 0060","0.4724660826687775","-62.5","2021-03-29 21:57:01.03"
"923.25","-0.5","3008 33B2 DDD9 0140 0000 0060","0.4970097752749477","-62.5","2021-03-29 21:57:01.091"
"911.25","-0.125","3008 33B2 DDD9 0140 0000 0060","4.123340357836604","-63.5","2021-03-29 21:57:01.146"
"911.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","4.1172044346850605","-63.5","2021-03-29 21:57:01.209"
"911.25","0.5","3008 33B2 DDD9 0140 0000 0060","4.080388895775806","-63.5","2021-03-29 21:57:01.238"
"911.25","-0.125","3008 33B2 DDD9 0140 0000 0060","4.129476280988146","-63.5","2021-03-29 21:57:01.293"
"916.75","-0.875","3008 33B2 DDD9 0140 0000 0060","5.534602682691394","-63.0","2021-03-29 21:57:01.343"
"916.75","0.75","3008 33B2 DDD9 0140 0000 0060","2.3193789512830896","-63.0","2021-03-29 21:57:01.401"
"916.75","-0.0625","3008 33B2 DDD9 0140 0000 0060","2.36846633649543","-63.0","2021-03-29 21:57:01.433"
"916.75","0.0","3008 33B2 DDD9 0140 0000 0060","2.36846633649543","-63.0","2021-03-29 21:57:01.505"
"914.25","0.9375","3008 33B2 DDD9 0140 0000 0060","6.264777537724958","-63.0","2021-03-29 21:57:01.56"
"914.25","0.1875","3008 33B2 DDD9 0140 0000 0060","0.0","-63.0","2021-03-29 21:57:01.613"
"914.25","0.0625","3008 33B2 DDD9 0140 0000 0060","0.006135923151542565","-63.0","2021-03-29 21:57:01.649"
"914.25","0.5625","3008 33B2 DDD9 0140 0000 0060","6.277049384028044","-63.0","2021-03-29 21:57:01.712"
"921.25","0.75","3008 33B2 DDD9 0140 0000 0060","1.0615147052168636","-63.0","2021-03-29 21:57:01.763"
"921.25","-0.375","3008 33B2 DDD9 0140 0000 0060","1.1290098598838318","-63.0","2021-03-29 21:57:01.819"
"921.25","-0.0625","3008 33B2 DDD9 0140 0000 0060","1.1106020904292042","-63.0","2021-03-29 21:57:01.86"
"907.25","-0.5625","3008 33B2 DDD9 0140 0000 0060","5.178719139901925","-64.0","2021-03-29 21:57:01.946"
"907.25","-0.5625","3008 33B2 DDD9 0140 0000 0060","5.1725832167503825","-64.0","2021-03-29 21:57:01.967"
"907.25","-0.9375","3008 33B2 DDD9 0140 0000 0060","5.21553467881118","-64.0","2021-03-29 21:57:02.103"
"918.75","-0.5","3008 33B2 DDD9 0140 0000 0060","1.8346410223112268","-63.0","2021-03-29 21:57:02.164"
"918.75","0.25","3008 33B2 DDD9 0140 0000 0060","1.8162332528565992","-63.0","2021-03-29 21:57:02.222"
"925.75","-1.8125","3008 33B2 DDD9 0140 0000 0060","5.918097879662803","-62.5","2021-03-29 21:57:02.329"
"925.75","0.5","3008 33B2 DDD9 0140 0000 0060","5.927301764390117","-62.0","2021-03-29 21:57:02.475"
"908.25","-0.875","3008 33B2 DDD9 0140 0000 0060","4.9394181369917645","-64.0","2021-03-29 21:57:02.582"
"908.25","-0.5625","3008 33B2 DDD9 0140 0000 0060","4.914874444385594","-64.0","2021-03-29 21:57:02.654"
