"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"920.25","0.625","3008 33B2 DDD9 0140 0000 0020","4.908738521234052","-62.0","2021-03-29 21:50:42.236"
"920.25","0.375","3008 33B2 DDD9 0140 0000 0020","4.95168998329485","-62.0","2021-03-29 21:50:42.268"
"920.25","0.125","3008 33B2 DDD9 0140 0000 0020","4.945554060143307","-62.0","2021-03-29 21:50:42.331"
"912.25","32.9375","3008 33B2 DDD9 0140 0000 0020","1.1596894756415448","-61.5","2021-03-29 21:50:42.361"
"912.25","25.625","3008 33B2 DDD9 0140 0000 0020","1.2087768608538851","-61.5","2021-03-29 21:50:42.413"
"912.25","23.1875","3008 33B2 DDD9 0140 0000 0020","1.2087768608538851","-61.5","2021-03-29 21:50:42.436"
"912.25","-4.875","3008 33B2 DDD9 0140 0000 0020","1.227184630308513","-61.5","2021-03-29 21:50:42.49"
"912.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.2640001692177683","-61.5","2021-03-29 21:50:42.513"
"923.25","-0.0625","3008 33B2 DDD9 0140 0000 0020","4.09266074207889","-62.5","2021-03-29 21:50:42.664"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.576932249946439","-61.5","2021-03-29 21:50:42.764"
"911.25","37.8125","3008 33B2 DDD9 0140 0000 0020","1.4664856332186729","-60.5","2021-03-29 21:50:42.816"
"911.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.521708941582556","-61.5","2021-03-29 21:50:42.841"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.5462526341887264","-61.5","2021-03-29 21:50:42.893"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.5401167110371838","-61.5","2021-03-29 21:50:42.916"
"916.75","-59.8125","3008 33B2 DDD9 0140 0000 0020","6.240233845118788","-62.0","2021-03-29 21:50:42.995"
"916.75","-19.5","3008 33B2 DDD9 0140 0000 0020","6.092971689481767","-61.5","2021-03-29 21:50:43.019"
"916.75","-9.75","3008 33B2 DDD9 0140 0000 0020","6.111379458936394","-61.5","2021-03-29 21:50:43.073"
"916.75","-32.9375","3008 33B2 DDD9 0140 0000 0020","6.1420590746941075","-61.5","2021-03-29 21:50:43.096"
"914.25","52.4375","3008 33B2 DDD9 0140 0000 0020","0.5645049299419159","-62.5","2021-03-29 21:50:43.15"
"914.25","35.375","3008 33B2 DDD9 0140 0000 0020","0.5276893910326605","-61.5","2021-03-29 21:50:43.171"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0020","0.6013204688511713","-62.0","2021-03-29 21:50:43.226"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.6135923151542565","-61.5","2021-03-29 21:50:43.248"
"914.25","19.5","3008 33B2 DDD9 0140 0000 0020","0.5706408530934585","-62.0","2021-03-29 21:50:43.301"
"914.25","32.9375","3008 33B2 DDD9 0140 0000 0020","0.5829126993965437","-61.5","2021-03-29 21:50:43.324"
"921.25","-0.0625","3008 33B2 DDD9 0140 0000 0020","4.693981210930062","-62.5","2021-03-29 21:50:43.423"
"921.25","0.25","3008 33B2 DDD9 0140 0000 0020","4.657165672020807","-62.5","2021-03-29 21:50:43.446"
"921.25","0.125","3008 33B2 DDD9 0140 0000 0020","4.681709364626977","-62.5","2021-03-29 21:50:43.516"
"907.25","19.5","3008 33B2 DDD9 0140 0000 0020","2.718213956133356","-60.5","2021-03-29 21:50:43.549"
"907.25","32.9375","3008 33B2 DDD9 0140 0000 0020","2.730485802436441","-60.5","2021-03-29 21:50:43.601"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.742757648739526","-60.5","2021-03-29 21:50:43.624"
"907.25","19.5","3008 33B2 DDD9 0140 0000 0020","2.693670263527186","-60.5","2021-03-29 21:50:43.677"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.767301341345697","-60.5","2021-03-29 21:50:43.701"
"918.75","-4.875","3008 33B2 DDD9 0140 0000 0020","5.399612373357457","-62.0","2021-03-29 21:50:43.753"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.448699758569798","-62.0","2021-03-29 21:50:43.778"
"918.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.418020142812084","-62.0","2021-03-29 21:50:43.83"
"918.75","-25.625","3008 33B2 DDD9 0140 0000 0020","5.497787143782138","-62.0","2021-03-29 21:50:43.852"
"918.75","-19.5","3008 33B2 DDD9 0140 0000 0020","5.4671075280244255","-62.5","2021-03-29 21:50:43.907"
"918.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.43029198911517","-61.5","2021-03-29 21:50:43.929"
"925.75","0.125","3008 33B2 DDD9 0140 0000 0020","0.1227184630308513","-62.5","2021-03-29 21:50:44.104"
"925.75","0.0625","3008 33B2 DDD9 0140 0000 0020","0.09203884727313846","-62.5","2021-03-29 21:50:44.129"
"908.25","19.5","3008 33B2 DDD9 0140 0000 0020","2.411417798556228","-61.0","2021-03-29 21:50:44.182"
"908.25","28.0625","3008 33B2 DDD9 0140 0000 0020","2.3930100291016","-61.0","2021-03-29 21:50:44.204"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.442097414313941","-61.0","2021-03-29 21:50:44.257"
"908.25","35.375","3008 33B2 DDD9 0140 0000 0020","2.429825568010856","-61.5","2021-03-29 21:50:44.28"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.435961491162398","-61.0","2021-03-29 21:50:44.333"
"908.25","59.8125","3008 33B2 DDD9 0140 0000 0020","2.386874105950058","-61.5","2021-03-29 21:50:44.356"
"917.25","-28.0625","3008 33B2 DDD9 0140 0000 0020","6.013204688511713","-61.5","2021-03-29 21:50:44.437"
"917.25","20.75","3008 33B2 DDD9 0140 0000 0020","5.902758071783947","-62.0","2021-03-29 21:50:44.459"
"917.25","28.0625","3008 33B2 DDD9 0140 0000 0020","5.884350302329319","-61.5","2021-03-29 21:50:44.513"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.915029918087033","-61.5","2021-03-29 21:50:44.535"
"908.75","35.375","3008 33B2 DDD9 0140 0000 0020","2.2641556429192065","-61.0","2021-03-29 21:50:44.59"
"908.75","37.8125","3008 33B2 DDD9 0140 0000 0020","2.2580197197676637","-61.5","2021-03-29 21:50:44.612"
"908.75","30.5","3008 33B2 DDD9 0140 0000 0020","2.2641556429192065","-61.5","2021-03-29 21:50:44.666"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.3071071049800045","-61.0","2021-03-29 21:50:44.687"
"908.75","32.9375","3008 33B2 DDD9 0140 0000 0020","2.2580197197676637","-61.5","2021-03-29 21:50:44.742"
"908.75","14.625","3008 33B2 DDD9 0140 0000 0020","2.2948352586769194","-61.0","2021-03-29 21:50:44.764"
"910.75","-9.75","3008 33B2 DDD9 0140 0000 0020","1.748738098189631","-61.5","2021-03-29 21:50:44.842"
"910.75","28.0625","3008 33B2 DDD9 0140 0000 0020","1.748738098189631","-61.0","2021-03-29 21:50:44.864"
"910.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.7794177139473437","-61.5","2021-03-29 21:50:44.917"
"910.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.748738098189631","-61.0","2021-03-29 21:50:44.941"
"914.75","28.0625","3008 33B2 DDD9 0140 0000 0020","0.47860200582032003","-61.5","2021-03-29 21:50:44.992"
"914.75","32.9375","3008 33B2 DDD9 0140 0000 0020","0.4724660826687775","-61.0","2021-03-29 21:50:45.017"
"914.75","-4.875","3008 33B2 DDD9 0140 0000 0020","0.4970097752749477","-61.0","2021-03-29 21:50:45.069"
"914.75","32.9375","3008 33B2 DDD9 0140 0000 0020","0.4724660826687775","-61.5","2021-03-29 21:50:45.092"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.5154175447295755","-61.5","2021-03-29 21:50:45.146"
"914.75","-17.0625","3008 33B2 DDD9 0140 0000 0020","0.5154175447295755","-61.5","2021-03-29 21:50:45.168"
"912.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.1167380135807468","-61.0","2021-03-29 21:50:45.244"
"912.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.141281706186917","-61.0","2021-03-29 21:50:45.266"
"912.75","17.0625","3008 33B2 DDD9 0140 0000 0020","1.1228739367322893","-61.0","2021-03-29 21:50:45.319"
"912.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.141281706186917","-61.0","2021-03-29 21:50:45.343"
"922.25","-0.0625","3008 33B2 DDD9 0140 0000 0020","4.399456899656019","-62.5","2021-03-29 21:50:45.494"
"922.25","-0.125","3008 33B2 DDD9 0140 0000 0020","4.405592822807561","-62.5","2021-03-29 21:50:45.526"
"922.25","-0.25","3008 33B2 DDD9 0140 0000 0020","4.417864669110647","-62.5","2021-03-29 21:50:45.581"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.6079228131070282","-60.0","2021-03-29 21:50:45.618"
"904.75","42.6875","3008 33B2 DDD9 0140 0000 0020","3.54042765844006","-60.0","2021-03-29 21:50:45.671"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.6017868899554855","-60.0","2021-03-29 21:50:45.694"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.5772431973493153","-60.0","2021-03-29 21:50:45.747"
