"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0030","2.6445828783148455","-54.0","2021-04-03 23:59:49.161"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0030","2.6568547246179306","-53.5","2021-04-03 23:59:49.214"
"914.75","24.375","3008 33B2 DDD9 0140 0000 0030","2.6261751088602177","-53.5","2021-04-03 23:59:49.236"
"919.75","0.0","3008 33B2 DDD9 0140 0000 0030","1.3437671701878218","-53.5","2021-04-03 23:59:49.317"
"919.75","14.625","3008 33B2 DDD9 0140 0000 0030","1.3314953238847365","-53.5","2021-04-03 23:59:49.339"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.2946797849754812","-53.5","2021-04-03 23:59:49.393"
"919.75","19.5","3008 33B2 DDD9 0140 0000 0030","1.282407938672396","-53.5","2021-04-03 23:59:49.416"
"916.25","0.0","3008 33B2 DDD9 0140 0000 0030","2.2457478734645786","-54.0","2021-04-03 23:59:49.469"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0030","2.2334760271614935","-54.0","2021-04-03 23:59:49.491"
"916.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","2.2457478734645786","-54.0","2021-04-03 23:59:49.546"
"916.25","-12.1875","3008 33B2 DDD9 0140 0000 0030","2.2948352586769194","-54.0","2021-04-03 23:59:49.568"
"916.25","12.1875","3008 33B2 DDD9 0140 0000 0030","2.2396119503130363","-54.0","2021-04-03 23:59:49.621"
"916.25","24.375","3008 33B2 DDD9 0140 0000 0030","2.2027964114037806","-54.0","2021-04-03 23:59:49.644"
"909.75","14.625","3008 33B2 DDD9 0140 0000 0030","3.988350048502667","-54.5","2021-04-03 23:59:49.72"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0030","3.9944859716542096","-54.5","2021-04-03 23:59:49.743"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0030","4.0128937411088375","-54.5","2021-04-03 23:59:49.796"
"909.75","19.5","3008 33B2 DDD9 0140 0000 0030","3.9822141253511245","-54.5","2021-04-03 23:59:49.819"
