"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"914.25","21.9375","3008 33B2 DDD9 0140 0000 0040","4.06811704947272","-49.5","2021-04-03 23:48:02.926"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0040","4.080388895775806","-49.5","2021-04-03 23:48:02.949"
"904.25","17.0625","3008 33B2 DDD9 0140 0000 0040","0.46019423636569234","-50.5","2021-04-03 23:48:03.025"
"904.25","7.3125","3008 33B2 DDD9 0140 0000 0040","0.47860200582032003","-51.0","2021-04-03 23:48:03.046"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0040","0.47860200582032003","-50.5","2021-04-03 23:48:03.1"
"904.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.47860200582032003","-50.5","2021-04-03 23:48:03.123"
"917.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.0925052683774528","-50.0","2021-04-03 23:48:03.176"
"917.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.055689729468197","-50.0","2021-04-03 23:48:03.199"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0040","3.074097498922825","-50.0","2021-04-03 23:48:03.252"
"917.75","12.1875","3008 33B2 DDD9 0140 0000 0040","3.074097498922825","-50.0","2021-04-03 23:48:03.275"
"917.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.08636934522591","-50.0","2021-04-03 23:48:03.33"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0040","3.06182565261974","-50.0","2021-04-03 23:48:03.351"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.8407769454627694","-48.5","2021-04-03 23:48:03.43"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.846912868614312","-48.5","2021-04-03 23:48:03.453"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.8285050991596843","-48.5","2021-04-03 23:48:03.506"
"922.25","20.75","3008 33B2 DDD9 0140 0000 0040","1.8039614065535141","-48.5","2021-04-03 23:48:03.53"
"923.75","14.625","3008 33B2 DDD9 0140 0000 0040","1.3928545554001621","-48.5","2021-04-03 23:48:03.582"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.3928545554001621","-48.5","2021-04-03 23:48:03.604"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.3989904785517047","-48.5","2021-04-03 23:48:03.658"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.4173982480063325","-48.5","2021-04-03 23:48:03.682"
"923.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.380582709097077","-48.5","2021-04-03 23:48:03.737"
"923.75","24.375","3008 33B2 DDD9 0140 0000 0040","1.368310862793992","-48.5","2021-04-03 23:48:03.758"
"917.25","0.0","3008 33B2 DDD9 0140 0000 0040","3.215223731408304","-50.0","2021-04-03 23:48:03.833"
"917.25","-4.875","3008 33B2 DDD9 0140 0000 0040","3.227495577711389","-49.5","2021-04-03 23:48:03.856"
"917.25","12.1875","3008 33B2 DDD9 0140 0000 0040","3.1968159619536762","-49.5","2021-04-03 23:48:03.91"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0040","3.2029518851052186","-50.0","2021-04-03 23:48:03.933"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.755340442445488","-50.0","2021-04-03 23:48:03.986"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.755340442445488","-50.0","2021-04-03 23:48:04.008"
"911.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.76147636559703","-50.0","2021-04-03 23:48:04.063"
"911.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.773748211900116","-50.0","2021-04-03 23:48:04.086"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.773748211900116","-50.0","2021-04-03 23:48:04.138"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.767612288748572","-50.0","2021-04-03 23:48:04.161"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0040","5.8475347634200645","-50.5","2021-04-03 23:48:04.24"
"907.75","4.875","3008 33B2 DDD9 0140 0000 0040","5.859806609723149","-50.5","2021-04-03 23:48:04.263"
