"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.75","26.8125","3008 33B2 DDD9 0140 0000 0060","3.9944859716542096","-60.0","2021-04-03 23:49:48.413"
"922.75","19.5","3008 33B2 DDD9 0140 0000 0060","4.01902966426038","-60.0","2021-04-03 23:49:48.436"
"922.75","0.0","3008 33B2 DDD9 0140 0000 0060","4.06811704947272","-60.0","2021-04-03 23:49:48.49"
"922.75","14.625","3008 33B2 DDD9 0140 0000 0060","4.031301510563465","-60.0","2021-04-03 23:49:48.511"
"919.25","-19.5","3008 33B2 DDD9 0140 0000 0060","5.006913291658733","-59.5","2021-04-03 23:49:48.591"
"919.25","-19.5","3008 33B2 DDD9 0140 0000 0060","4.970097752749477","-59.5","2021-04-03 23:49:48.614"
"919.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.957825906446392","-59.5","2021-04-03 23:49:48.668"
"919.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.988505522204105","-59.5","2021-04-03 23:49:48.689"
"907.25","2.4375","3008 33B2 DDD9 0140 0000 0060","1.859184714917397","-59.5","2021-04-03 23:49:48.744"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.7978254834019713","-59.0","2021-04-03 23:49:48.767"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0060","1.8223691760081417","-59.5","2021-04-03 23:49:48.821"
"907.25","20.75","3008 33B2 DDD9 0140 0000 0060","1.8285050991596843","-59.0","2021-04-03 23:49:48.842"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0060","1.8039614065535141","-59.0","2021-04-03 23:49:48.897"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.7855536370988863","-59.0","2021-04-03 23:49:48.919"
"908.25","19.5","3008 33B2 DDD9 0140 0000 0060","1.5585244804918115","-60.0","2021-04-03 23:49:48.981"
"908.25","23.1875","3008 33B2 DDD9 0140 0000 0060","1.5953400194010667","-60.0","2021-04-03 23:49:49.002"
"908.25","31.6875","3008 33B2 DDD9 0140 0000 0060","1.5462526341887264","-59.5","2021-04-03 23:49:49.056"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0060","1.6014759425526093","-59.5","2021-04-03 23:49:49.079"
"908.25","12.1875","3008 33B2 DDD9 0140 0000 0060","1.5830681730979816","-59.5","2021-04-03 23:49:49.133"
"914.75","-31.6875","3008 33B2 DDD9 0140 0000 0060","6.17273869045182","-60.0","2021-04-03 23:49:49.17"
"914.75","17.0625","3008 33B2 DDD9 0140 0000 0060","6.086835766330224","-59.5","2021-04-03 23:49:49.224"
"914.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","6.105243535784852","-59.5","2021-04-03 23:49:49.247"
"914.75","0.0","3008 33B2 DDD9 0140 0000 0060","6.111379458936394","-59.5","2021-04-03 23:49:49.3"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0060","6.117515382087937","-59.5","2021-04-03 23:49:49.322"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.81056375080937","-60.0","2021-04-03 23:49:49.381"
"919.75","-9.75","3008 33B2 DDD9 0140 0000 0060","4.847379289718626","-59.5","2021-04-03 23:49:49.405"
"919.75","-4.875","3008 33B2 DDD9 0140 0000 0060","4.8351074434155406","-59.5","2021-04-03 23:49:49.459"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.822835597112456","-59.5","2021-04-03 23:49:49.482"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0060","4.828971520263998","-60.0","2021-04-03 23:49:49.534"
"916.25","12.1875","3008 33B2 DDD9 0140 0000 0060","5.700272607783043","-59.5","2021-04-03 23:49:49.58"
"916.25","20.75","3008 33B2 DDD9 0140 0000 0060","5.755495916146925","-60.0","2021-04-03 23:49:49.633"
"916.25","17.0625","3008 33B2 DDD9 0140 0000 0060","5.7616318392984684","-59.5","2021-04-03 23:49:49.656"
"916.25","-9.75","3008 33B2 DDD9 0140 0000 0060","5.792311455056181","-59.5","2021-04-03 23:49:49.71"
"916.25","-9.75","3008 33B2 DDD9 0140 0000 0060","5.737088146692298","-59.5","2021-04-03 23:49:49.732"
"909.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","1.227184630308513","-59.0","2021-04-03 23:49:49.808"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0060","1.2455923997631406","-59.5","2021-04-03 23:49:49.831"
"909.75","19.5","3008 33B2 DDD9 0140 0000 0060","1.2087768608538851","-59.0","2021-04-03 23:49:49.884"
"909.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.2026409377023426","-59.0","2021-04-03 23:49:49.907"
"905.75","19.5","3008 33B2 DDD9 0140 0000 0060","2.1353012567368124","-59.0","2021-04-03 23:49:49.968"
"905.75","7.3125","3008 33B2 DDD9 0140 0000 0060","2.1905245651006955","-59.0","2021-04-03 23:49:49.99"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","2.2089323345553233","-59.0","2021-04-03 23:49:50.042"
