"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"912.25","4.875","3008 33B2 DDD9 0140 0000 0020","5.700272607783043","-59.0","2021-04-03 23:29:43.935"
"912.25","-20.75","3008 33B2 DDD9 0140 0000 0020","5.792311455056181","-59.0","2021-04-03 23:29:43.989"
"912.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.724816300389213","-59.5","2021-04-03 23:29:44.012"
"915.75","19.5","3008 33B2 DDD9 0140 0000 0020","4.657165672020807","-60.0","2021-04-03 23:29:44.065"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.669437518323892","-60.0","2021-04-03 23:29:44.088"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0020","4.651029748869264","-59.5","2021-04-03 23:29:44.142"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0020","4.620350133111551","-59.5","2021-04-03 23:29:44.165"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.663301595172349","-60.0","2021-04-03 23:29:44.219"
"915.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.706253057233147","-60.0","2021-04-03 23:29:44.241"
"913.25","-17.0625","3008 33B2 DDD9 0140 0000 0020","5.473243451175968","-59.5","2021-04-03 23:29:44.313"
"913.25","20.75","3008 33B2 DDD9 0140 0000 0020","5.399612373357457","-59.5","2021-04-03 23:29:44.336"
"913.25","24.375","3008 33B2 DDD9 0140 0000 0020","5.375068680751287","-59.0","2021-04-03 23:29:44.389"
"913.25","7.3125","3008 33B2 DDD9 0140 0000 0020","5.418020142812084","-59.0","2021-04-03 23:29:44.412"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.221515128261284","-59.5","2021-04-03 23:29:44.465"
"917.25","36.5625","3008 33B2 DDD9 0140 0000 0020","4.154019973594316","-59.5","2021-04-03 23:29:44.487"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.2092432819582","-59.5","2021-04-03 23:29:44.542"
"917.25","19.5","3008 33B2 DDD9 0140 0000 0020","4.1601558967458585","-59.5","2021-04-03 23:29:44.565"
"917.25","46.375","3008 33B2 DDD9 0140 0000 0020","4.1601558967458585","-59.5","2021-04-03 23:29:44.619"
"917.25","19.5","3008 33B2 DDD9 0140 0000 0020","4.2092432819582","-59.0","2021-04-03 23:29:44.643"
"914.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","4.988505522204105","-60.0","2021-04-03 23:29:44.716"
"914.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.95168998329485","-59.5","2021-04-03 23:29:44.738"
"914.75","14.625","3008 33B2 DDD9 0140 0000 0020","4.963961829597935","-59.5","2021-04-03 23:29:44.793"
"914.75","14.625","3008 33B2 DDD9 0140 0000 0020","4.933282213840222","-59.5","2021-04-03 23:29:44.816"
"923.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.1475731030398975","-60.5","2021-04-03 23:29:44.876"
"923.75","14.625","3008 33B2 DDD9 0140 0000 0020","2.1475731030398975","-60.0","2021-04-03 23:29:44.898"
"923.75","34.125","3008 33B2 DDD9 0140 0000 0020","2.073942025221387","-60.5","2021-04-03 23:29:44.952"
"923.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.12916533358527","-60.5","2021-04-03 23:29:44.975"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.1353012567368124","-60.5","2021-04-03 23:29:45.029"
