"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"914.75","14.625","3008 33B2 DDD9 0140 0000 0030","0.07976700097005335","-56.0","2021-04-04 00:00:29.841"
"914.75","17.0625","3008 33B2 DDD9 0140 0000 0030","0.09817477042468103","-56.0","2021-04-04 00:00:29.862"
"919.75","26.8125","3008 33B2 DDD9 0140 0000 0030","5.019185137961818","-55.0","2021-04-04 00:00:29.916"
"919.75","0.0","3008 33B2 DDD9 0140 0000 0030","5.056000676871073","-55.0","2021-04-04 00:00:29.939"
"919.75","17.0625","3008 33B2 DDD9 0140 0000 0030","5.037592907416445","-55.0","2021-04-04 00:00:29.993"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","5.074408446325701","-55.0","2021-04-04 00:00:30.014"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","5.0682725231741586","-55.0","2021-04-04 00:00:30.067"
"919.75","-17.0625","3008 33B2 DDD9 0140 0000 0030","5.117359908386499","-55.0","2021-04-04 00:00:30.092"
"916.25","4.875","3008 33B2 DDD9 0140 0000 0030","6.013204688511713","-56.0","2021-04-04 00:00:30.169"
"916.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","6.037748381117884","-56.0","2021-04-04 00:00:30.192"
"916.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","6.013204688511713","-56.0","2021-04-04 00:00:30.245"
"916.25","7.3125","3008 33B2 DDD9 0140 0000 0030","5.976389149602458","-55.5","2021-04-04 00:00:30.268"
"909.75","21.9375","3008 33B2 DDD9 0140 0000 0030","1.4296700943094176","-56.5","2021-04-04 00:00:30.322"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.4542137869155878","-56.0","2021-04-04 00:00:30.344"
"909.75","-14.625","3008 33B2 DDD9 0140 0000 0030","1.4910293258248433","-56.5","2021-04-04 00:00:30.397"
"909.75","14.625","3008 33B2 DDD9 0140 0000 0030","1.4480778637640452","-56.0","2021-04-04 00:00:30.418"
"909.75","17.0625","3008 33B2 DDD9 0140 0000 0030","1.4358060174609601","-56.0","2021-04-04 00:00:30.472"
"909.75","19.5","3008 33B2 DDD9 0140 0000 0030","1.423534171157875","-56.0","2021-04-04 00:00:30.495"
"905.75","17.0625","3008 33B2 DDD9 0140 0000 0030","2.4605051837685683","-56.0","2021-04-04 00:00:30.569"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0030","2.497320722677824","-56.0","2021-04-04 00:00:30.592"
"905.75","17.0625","3008 33B2 DDD9 0140 0000 0030","2.466641106920111","-56.0","2021-04-04 00:00:30.645"
"905.75","12.1875","3008 33B2 DDD9 0140 0000 0030","2.4911847995262812","-56.5","2021-04-04 00:00:30.668"
"925.75","24.375","3008 33B2 DDD9 0140 0000 0030","3.356349963893783","-55.0","2021-04-04 00:00:30.729"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0030","3.4054373491061236","-55.0","2021-04-04 00:00:30.751"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0030","3.380893656499953","-55.0","2021-04-04 00:00:30.803"
"925.75","14.625","3008 33B2 DDD9 0140 0000 0030","3.3747577333484107","-55.0","2021-04-04 00:00:30.826"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0030","3.3624858870453256","-55.0","2021-04-04 00:00:30.88"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0030","3.399301425954581","-55.0","2021-04-04 00:00:30.903"
"927.25","24.375","3008 33B2 DDD9 0140 0000 0030","2.9329712664373457","-55.0","2021-04-04 00:00:30.975"
"927.25","34.125","3008 33B2 DDD9 0140 0000 0030","2.9206994201342606","-55.0","2021-04-04 00:00:31.0"
"927.25","19.5","3008 33B2 DDD9 0140 0000 0030","2.945243112740431","-55.0","2021-04-04 00:00:31.053"
"927.25","7.3125","3008 33B2 DDD9 0140 0000 0030","2.9636508821950587","-55.0","2021-04-04 00:00:31.076"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0030","3.773592738198677","-55.0","2021-04-04 00:00:31.127"
"924.25","34.125","3008 33B2 DDD9 0140 0000 0030","3.749049045592507","-55.5","2021-04-04 00:00:31.15"
"924.25","21.9375","3008 33B2 DDD9 0140 0000 0030","3.77972866135022","-55.5","2021-04-04 00:00:31.205"
"924.25","21.9375","3008 33B2 DDD9 0140 0000 0030","3.749049045592507","-55.5","2021-04-04 00:00:31.228"
"924.25","21.9375","3008 33B2 DDD9 0140 0000 0030","3.7551849687440497","-55.5","2021-04-04 00:00:31.281"
"924.25","26.8125","3008 33B2 DDD9 0140 0000 0030","3.749049045592507","-55.5","2021-04-04 00:00:31.305"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0030","4.828971520263998","-55.5","2021-04-04 00:00:31.383"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0030","4.8351074434155406","-55.5","2021-04-04 00:00:31.407"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0030","4.773748211900116","-55.0","2021-04-04 00:00:31.46"
"920.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","4.792155981354743","-55.5","2021-04-04 00:00:31.482"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0030","1.1780972450961724","-55.5","2021-04-04 00:00:31.535"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0030","1.1658253987930873","-56.0","2021-04-04 00:00:31.559"
"910.75","19.5","3008 33B2 DDD9 0140 0000 0030","1.1596894756415448","-56.0","2021-04-04 00:00:31.612"
"910.75","31.6875","3008 33B2 DDD9 0140 0000 0030","1.1228739367322893","-56.0","2021-04-04 00:00:31.635"
"910.75","24.375","3008 33B2 DDD9 0140 0000 0030","1.1474176293384597","-56.0","2021-04-04 00:00:31.687"
"910.75","26.8125","3008 33B2 DDD9 0140 0000 0030","1.141281706186917","-55.5","2021-04-04 00:00:31.711"
"926.25","24.375","3008 33B2 DDD9 0140 0000 0030","3.227495577711389","-55.0","2021-04-04 00:00:31.77"
"926.25","29.25","3008 33B2 DDD9 0140 0000 0030","3.1906800388021335","-55.0","2021-04-04 00:00:31.792"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0030","3.2704470397721868","-55.0","2021-04-04 00:00:31.848"
"926.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","3.2581751934691017","-55.5","2021-04-04 00:00:31.87"
"926.25","14.625","3008 33B2 DDD9 0140 0000 0030","3.2397674240144743","-55.0","2021-04-04 00:00:31.922"
"906.25","14.625","3008 33B2 DDD9 0140 0000 0030","2.3930100291016","-56.5","2021-04-04 00:00:31.963"
"906.25","14.625","3008 33B2 DDD9 0140 0000 0030","2.380738182798515","-56.5","2021-04-04 00:00:32.017"
"906.25","17.0625","3008 33B2 DDD9 0140 0000 0030","2.356194490192345","-56.0","2021-04-04 00:00:32.038"
"906.25","24.375","3008 33B2 DDD9 0140 0000 0030","2.356194490192345","-56.5","2021-04-04 00:00:32.093"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0030","2.380738182798515","-56.5","2021-04-04 00:00:32.115"
"915.75","29.25","3008 33B2 DDD9 0140 0000 0030","6.160466844148735","-56.5","2021-04-04 00:00:32.176"
"915.75","19.5","3008 33B2 DDD9 0140 0000 0030","6.1850105367549055","-56.5","2021-04-04 00:00:32.2"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0030","6.117515382087937","-56.0","2021-04-04 00:00:32.253"
"915.75","2.4375","3008 33B2 DDD9 0140 0000 0030","6.135923151542564","-56.0","2021-04-04 00:00:32.276"
"915.75","-14.625","3008 33B2 DDD9 0140 0000 0030","6.178874613603362","-56.0","2021-04-04 00:00:32.33"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0030","3.6754179677739964","-55.0","2021-04-04 00:00:32.37"
"924.75","29.25","3008 33B2 DDD9 0140 0000 0030","3.6324665057131984","-55.0","2021-04-04 00:00:32.424"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0030","3.6692820446224537","-55.0","2021-04-04 00:00:32.446"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0030","3.6999616603801666","-55.0","2021-04-04 00:00:32.5"
"924.75","17.0625","3008 33B2 DDD9 0140 0000 0030","3.6324665057131984","-55.0","2021-04-04 00:00:32.523"
"905.25","34.125","3008 33B2 DDD9 0140 0000 0030","2.5832236467994196","-56.0","2021-04-04 00:00:32.593"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0030","2.6445828783148455","-56.0","2021-04-04 00:00:32.616"
"905.25","21.9375","3008 33B2 DDD9 0140 0000 0030","2.5832236467994196","-56.0","2021-04-04 00:00:32.67"
"905.25","14.625","3008 33B2 DDD9 0140 0000 0030","2.60776733940559","-56.0","2021-04-04 00:00:32.693"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0030","4.669437518323892","-55.5","2021-04-04 00:00:32.751"
"921.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.663301595172349","-55.5","2021-04-04 00:00:32.774"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0030","4.620350133111551","-55.5","2021-04-04 00:00:32.828"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0030","4.6448938257177215","-55.5","2021-04-04 00:00:32.852"
"921.25","-9.75","3008 33B2 DDD9 0140 0000 0030","4.663301595172349","-55.5","2021-04-04 00:00:32.906"
"921.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.657165672020807","-55.5","2021-04-04 00:00:32.927"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0030","4.111068511533518","-55.0","2021-04-04 00:00:33.003"
"923.25","14.625","3008 33B2 DDD9 0140 0000 0030","4.0987966652304335","-55.0","2021-04-04 00:00:33.025"
"923.25","21.9375","3008 33B2 DDD9 0140 0000 0030","4.0558452031696355","-55.0","2021-04-04 00:00:33.08"
"923.25","12.1875","3008 33B2 DDD9 0140 0000 0030","4.06811704947272","-55.5","2021-04-04 00:00:33.102"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0030","2.742757648739526","-56.0","2021-04-04 00:00:33.156"
"904.75","9.75","3008 33B2 DDD9 0140 0000 0030","2.7550294950426117","-56.0","2021-04-04 00:00:33.179"
"904.75","17.0625","3008 33B2 DDD9 0140 0000 0030","2.742757648739526","-56.0","2021-04-04 00:00:33.231"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0030","2.748893571891069","-56.0","2021-04-04 00:00:33.255"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0030","2.736621725587984","-56.0","2021-04-04 00:00:33.308"
"904.75","17.0625","3008 33B2 DDD9 0140 0000 0030","2.742757648739526","-56.0","2021-04-04 00:00:33.331"
"921.75","12.1875","3008 33B2 DDD9 0140 0000 0030","4.534447208989955","-55.5","2021-04-04 00:00:33.407"
"921.75","12.1875","3008 33B2 DDD9 0140 0000 0030","4.528311285838413","-55.5","2021-04-04 00:00:33.429"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0030","4.485359823777615","-55.0","2021-04-04 00:00:33.485"
"921.75","0.0","3008 33B2 DDD9 0140 0000 0030","4.485359823777615","-55.0","2021-04-04 00:00:33.507"
"911.25","31.6875","3008 33B2 DDD9 0140 0000 0030","0.9878836273983529","-55.5","2021-04-04 00:00:33.561"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0030","1.0246991663076084","-56.0","2021-04-04 00:00:33.582"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0030","1.0185632431560658","-56.0","2021-04-04 00:00:33.636"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.0369710126106935","-56.0","2021-04-04 00:00:33.659"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0030","1.0737865515199487","-56.0","2021-04-04 00:00:33.711"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0030","1.0615147052168636","-56.0","2021-04-04 00:00:33.735"
"912.25","21.9375","3008 33B2 DDD9 0140 0000 0030","0.7853981633974483","-56.5","2021-04-04 00:00:33.811"
"912.25","14.625","3008 33B2 DDD9 0140 0000 0030","0.7976700097005334","-56.5","2021-04-04 00:00:33.833"
