"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"920.25","4.875","3008 33B2 DDD9 0140 0000 0040","3.2765829629237295","-45.0","2021-04-03 23:55:49.45"
"920.25","2.4375","3008 33B2 DDD9 0140 0000 0040","3.2765829629237295","-45.0","2021-04-03 23:55:49.472"
"916.75","17.0625","3008 33B2 DDD9 0140 0000 0040","4.196971435655114","-45.0","2021-04-03 23:55:49.526"
"916.75","19.5","3008 33B2 DDD9 0140 0000 0040","4.184699589352029","-45.0","2021-04-03 23:55:49.548"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.221515128261284","-45.5","2021-04-03 23:55:49.603"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.221515128261284","-45.5","2021-04-03 23:55:49.627"
"916.75","14.625","3008 33B2 DDD9 0140 0000 0040","4.196971435655114","-45.5","2021-04-03 23:55:49.679"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0040","4.227651051412827","-45.0","2021-04-03 23:55:49.702"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.9144080232812801","-44.5","2021-04-03 23:55:49.78"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.9205439464328227","-44.5","2021-04-03 23:55:49.804"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.902136176978195","-44.0","2021-04-03 23:55:49.858"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.902136176978195","-44.5","2021-04-03 23:55:49.88"
"912.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.246214294568893","-45.5","2021-04-03 23:55:49.933"
"912.75","12.1875","3008 33B2 DDD9 0140 0000 0040","5.2339424482658075","-45.5","2021-04-03 23:55:49.957"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0040","5.227806525114265","-45.5","2021-04-03 23:55:50.01"
"912.75","-4.875","3008 33B2 DDD9 0140 0000 0040","5.246214294568893","-45.5","2021-04-03 23:55:50.031"
"912.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.246214294568893","-45.5","2021-04-03 23:55:50.085"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0040","5.2339424482658075","-45.5","2021-04-03 23:55:50.108"
"914.25","-4.875","3008 33B2 DDD9 0140 0000 0040","4.847379289718626","-45.5","2021-04-03 23:55:50.184"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.841243366567084","-45.5","2021-04-03 23:55:50.207"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.859651136021712","-45.5","2021-04-03 23:55:50.259"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.841243366567084","-45.5","2021-04-03 23:55:50.283"
"904.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.1903690913992575","-45.5","2021-04-03 23:55:50.337"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.1965050145508","-45.5","2021-04-03 23:55:50.358"
"904.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.184233168247715","-46.0","2021-04-03 23:55:50.411"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0040","1.1719613219446299","-45.5","2021-04-03 23:55:50.436"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.2026409377023426","-45.5","2021-04-03 23:55:50.487"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.1965050145508","-45.5","2021-04-03 23:55:50.511"
"917.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.9760782021995817","-45.5","2021-04-03 23:55:50.592"
"917.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.9760782021995817","-45.5","2021-04-03 23:55:50.613"
"917.75","-4.875","3008 33B2 DDD9 0140 0000 0040","3.9822141253511245","-45.5","2021-04-03 23:55:50.667"
"917.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.9576704327449543","-45.5","2021-04-03 23:55:50.692"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0040","2.7120780329818137","-44.5","2021-04-03 23:55:50.746"
"922.25","14.625","3008 33B2 DDD9 0140 0000 0040","2.6813984172241008","-44.5","2021-04-03 23:55:50.768"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.6998061866787286","-44.5","2021-04-03 23:55:50.821"
"922.25","2.4375","3008 33B2 DDD9 0140 0000 0040","2.705942109830271","-44.5","2021-04-03 23:55:50.845"
"922.25","12.1875","3008 33B2 DDD9 0140 0000 0040","2.693670263527186","-44.5","2021-04-03 23:55:50.897"
"922.25","17.0625","3008 33B2 DDD9 0140 0000 0040","2.6813984172241008","-44.5","2021-04-03 23:55:50.92"
"923.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","2.356194490192345","-45.0","2021-04-03 23:55:50.998"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0040","2.337786720737717","-45.0","2021-04-03 23:55:51.02"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0040","2.2948352586769194","-45.0","2021-04-03 23:55:51.074"
"923.75","12.1875","3008 33B2 DDD9 0140 0000 0040","2.2886993355253766","-45.0","2021-04-03 23:55:51.097"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.0987966652304335","-45.5","2021-04-03 23:55:51.152"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.086524818927348","-45.5","2021-04-03 23:55:51.174"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","4.080388895775806","-45.5","2021-04-03 23:55:51.227"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0040","4.09266074207889","-45.5","2021-04-03 23:55:51.249"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","4.086524818927348","-45.5","2021-04-03 23:55:51.303"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.086524818927348","-45.5","2021-04-03 23:55:51.327"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0040","5.50392306693368","-46.0","2021-04-03 23:55:51.401"
"911.75","-4.875","3008 33B2 DDD9 0140 0000 0040","5.516194913236766","-46.0","2021-04-03 23:55:51.424"
"911.75","7.3125","3008 33B2 DDD9 0140 0000 0040","5.50392306693368","-46.0","2021-04-03 23:55:51.478"
"911.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.516194913236766","-46.0","2021-04-03 23:55:51.5"
"907.75","4.875","3008 33B2 DDD9 0140 0000 0040","0.2945243112740431","-45.5","2021-04-03 23:55:51.56"
"907.75","2.4375","3008 33B2 DDD9 0140 0000 0040","0.28838838812250056","-45.5","2021-04-03 23:55:51.582"
"907.75","4.875","3008 33B2 DDD9 0140 0000 0040","0.28838838812250056","-45.5","2021-04-03 23:55:51.636"
"907.75","7.3125","3008 33B2 DDD9 0140 0000 0040","0.28225246497095796","-45.5","2021-04-03 23:55:51.658"
"907.75","2.4375","3008 33B2 DDD9 0140 0000 0040","0.28838838812250056","-46.0","2021-04-03 23:55:51.71"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.28225246497095796","-45.5","2021-04-03 23:55:51.734"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.4848934026733007","-46.5","2021-04-03 23:55:51.773"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0040","1.4848934026733007","-46.5","2021-04-03 23:55:51.795"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0040","1.4542137869155878","-46.0","2021-04-03 23:55:51.847"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.4419419406125027","-46.0","2021-04-03 23:55:51.871"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.4419419406125027","-46.0","2021-04-03 23:55:51.924"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.4296700943094176","-46.0","2021-04-03 23:55:51.947"
"909.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","6.178874613603362","-46.0","2021-04-03 23:55:52.024"
"909.25","12.1875","3008 33B2 DDD9 0140 0000 0040","6.166602767300278","-46.0","2021-04-03 23:55:52.047"
"909.25","2.4375","3008 33B2 DDD9 0140 0000 0040","6.178874613603362","-46.0","2021-04-03 23:55:52.101"
"909.25","0.0","3008 33B2 DDD9 0140 0000 0040","6.178874613603362","-46.0","2021-04-03 23:55:52.122"
"926.75","-4.875","3008 33B2 DDD9 0140 0000 0040","1.533980787885641","-44.5","2021-04-03 23:55:52.184"
"926.75","0.0","3008 33B2 DDD9 0140 0000 0040","1.533980787885641","-45.0","2021-04-03 23:55:52.206"
"926.75","0.0","3008 33B2 DDD9 0140 0000 0040","1.521708941582556","-45.0","2021-04-03 23:55:52.258"
"926.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.4971652489763858","-45.0","2021-04-03 23:55:52.283"
"926.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.5033011721279284","-45.0","2021-04-03 23:55:52.335"
"926.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","1.5401167110371838","-45.0","2021-04-03 23:55:52.358"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0040","0.01227184630308513","-46.0","2021-04-03 23:55:52.43"
"908.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","0.03681553890925539","-46.0","2021-04-03 23:55:52.454"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","0.030679615757712823","-46.0","2021-04-03 23:55:52.507"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","0.03681553890925539","-46.0","2021-04-03 23:55:52.531"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0040","0.5706408530934585","-46.0","2021-04-03 23:55:52.584"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0040","0.5583690067903734","-46.0","2021-04-03 23:55:52.607"
"906.75","12.1875","3008 33B2 DDD9 0140 0000 0040","0.5460971604872883","-46.0","2021-04-03 23:55:52.661"
"906.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.5583690067903734","-46.0","2021-04-03 23:55:52.683"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0040","0.5583690067903734","-45.5","2021-04-03 23:55:52.737"
