"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"913.75","4.875","3008 33B2 DDD9 0140 0000 0060","4.792155981354743","-54.0","2021-04-03 23:37:14.196"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0060","4.798291904506286","-53.5","2021-04-03 23:37:14.219"
"918.75","24.375","3008 33B2 DDD9 0140 0000 0060","3.2336315008629315","-54.5","2021-04-03 23:37:14.297"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0060","3.2643111166206444","-54.5","2021-04-03 23:37:14.321"
"918.75","9.75","3008 33B2 DDD9 0140 0000 0060","3.2520392703175593","-54.0","2021-04-03 23:37:14.373"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0060","3.2643111166206444","-54.5","2021-04-03 23:37:14.397"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0060","4.933282213840222","-53.5","2021-04-03 23:37:14.449"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0060","4.945554060143307","-53.5","2021-04-03 23:37:14.473"
"913.25","12.1875","3008 33B2 DDD9 0140 0000 0060","4.933282213840222","-53.5","2021-04-03 23:37:14.526"
"913.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","4.95168998329485","-53.5","2021-04-03 23:37:14.549"
"913.25","-4.875","3008 33B2 DDD9 0140 0000 0060","4.970097752749477","-53.5","2021-04-03 23:37:14.603"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0060","4.9394181369917645","-53.5","2021-04-03 23:37:14.626"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.872078456026235","-53.5","2021-04-03 23:37:14.699"
"910.25","26.8125","3008 33B2 DDD9 0140 0000 0060","5.835262917116979","-53.5","2021-04-03 23:37:14.722"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.878214379177777","-53.5","2021-04-03 23:37:14.775"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0060","5.872078456026235","-53.5","2021-04-03 23:37:14.799"
"922.75","7.3125","3008 33B2 DDD9 0140 0000 0060","2.043262409463674","-54.0","2021-04-03 23:37:14.851"
"922.75","7.3125","3008 33B2 DDD9 0140 0000 0060","2.030990563160589","-54.0","2021-04-03 23:37:14.876"
"922.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.030990563160589","-54.0","2021-04-03 23:37:14.928"
"922.75","9.75","3008 33B2 DDD9 0140 0000 0060","2.024854640009046","-54.0","2021-04-03 23:37:14.95"
"922.75","12.1875","3008 33B2 DDD9 0140 0000 0060","2.018718716857504","-54.0","2021-04-03 23:37:15.006"
"922.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.0493983326152168","-54.0","2021-04-03 23:37:15.028"
"919.25","21.9375","3008 33B2 DDD9 0140 0000 0060","3.153864499892878","-54.5","2021-04-03 23:37:15.105"
"919.25","12.1875","3008 33B2 DDD9 0140 0000 0060","3.1354567304382504","-54.5","2021-04-03 23:37:15.127"
"919.25","2.4375","3008 33B2 DDD9 0140 0000 0060","3.117048960983623","-54.5","2021-04-03 23:37:15.182"
"919.25","25.625","3008 33B2 DDD9 0140 0000 0060","3.0925052683774528","-54.5","2021-04-03 23:37:15.205"
"907.25","19.5","3008 33B2 DDD9 0140 0000 0060","0.4663301595172349","-53.5","2021-04-03 23:37:15.259"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0060","0.4724660826687775","-53.5","2021-04-03 23:37:15.283"
"907.25","0.0","3008 33B2 DDD9 0140 0000 0060","0.47860200582032003","-53.5","2021-04-03 23:37:15.336"
"907.25","2.4375","3008 33B2 DDD9 0140 0000 0060","0.4663301595172349","-53.5","2021-04-03 23:37:15.358"
"907.25","24.375","3008 33B2 DDD9 0140 0000 0060","0.4540583132141498","-53.5","2021-04-03 23:37:15.413"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0060","0.4908738521234052","-53.5","2021-04-03 23:37:15.436"
"908.25","2.4375","3008 33B2 DDD9 0140 0000 0060","0.18407769454627693","-53.5","2021-04-03 23:37:15.511"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.18407769454627693","-54.0","2021-04-03 23:37:15.533"
"908.25","17.0625","3008 33B2 DDD9 0140 0000 0060","0.16566992509164924","-54.0","2021-04-03 23:37:15.588"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0060","0.17794177139473438","-54.0","2021-04-03 23:37:15.611"
"914.75","14.625","3008 33B2 DDD9 0140 0000 0060","4.473087977474529","-53.5","2021-04-03 23:37:15.67"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0060","4.466952054322987","-54.0","2021-04-03 23:37:15.691"
"914.75","17.0625","3008 33B2 DDD9 0140 0000 0060","4.466952054322987","-54.0","2021-04-03 23:37:15.746"
"914.75","-4.875","3008 33B2 DDD9 0140 0000 0060","4.4976316700806995","-54.0","2021-04-03 23:37:15.77"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0060","4.485359823777615","-54.0","2021-04-03 23:37:15.823"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0060","4.479223900626073","-54.0","2021-04-03 23:37:15.846"
"919.75","19.5","3008 33B2 DDD9 0140 0000 0060","2.9391071895888885","-54.5","2021-04-03 23:37:15.921"
"919.75","19.5","3008 33B2 DDD9 0140 0000 0060","2.9329712664373457","-54.5","2021-04-03 23:37:15.944"
"919.75","37.8125","3008 33B2 DDD9 0140 0000 0060","2.9206994201342606","-54.5","2021-04-03 23:37:15.997"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.9575149590435164","-54.5","2021-04-03 23:37:16.021"
"916.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.037437433715008","-54.0","2021-04-03 23:37:16.074"
"916.25","19.5","3008 33B2 DDD9 0140 0000 0060","4.01902966426038","-54.5","2021-04-03 23:37:16.096"
"916.25","28.0625","3008 33B2 DDD9 0140 0000 0060","4.037437433715008","-54.0","2021-04-03 23:37:16.151"
"916.25","4.875","3008 33B2 DDD9 0140 0000 0060","4.04357335686655","-54.0","2021-04-03 23:37:16.174"
"916.25","7.3125","3008 33B2 DDD9 0140 0000 0060","4.049709280018092","-54.0","2021-04-03 23:37:16.225"
"916.25","25.625","3008 33B2 DDD9 0140 0000 0060","4.01902966426038","-54.0","2021-04-03 23:37:16.249"
"909.75","4.875","3008 33B2 DDD9 0140 0000 0060","6.007068765360171","-54.0","2021-04-03 23:37:16.327"
"909.75","-4.875","3008 33B2 DDD9 0140 0000 0060","6.043884304269426","-53.5","2021-04-03 23:37:16.35"
"909.75","4.875","3008 33B2 DDD9 0140 0000 0060","6.031612457966341","-53.5","2021-04-03 23:37:16.404"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0060","6.043884304269426","-53.5","2021-04-03 23:37:16.425"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.9019807032767571","-53.5","2021-04-03 23:37:16.485"
"905.75","12.1875","3008 33B2 DDD9 0140 0000 0060","0.8958447801252144","-53.5","2021-04-03 23:37:16.508"
"905.75","-4.875","3008 33B2 DDD9 0140 0000 0060","0.9142525495798421","-53.5","2021-04-03 23:37:16.562"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0060","0.9326603190344698","-53.5","2021-04-03 23:37:16.585"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0060","0.8958447801252144","-53.0","2021-04-03 23:37:16.638"
"905.75","7.3125","3008 33B2 DDD9 0140 0000 0060","0.9265243958829272","-53.5","2021-04-03 23:37:16.659"
"925.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.1780972450961724","-54.5","2021-04-03 23:37:16.742"
"925.75","-2.4375","3008 33B2 DDD9 0140 0000 0060","1.1965050145508","-54.5","2021-04-03 23:37:16.765"
"925.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.1474176293384597","-54.0","2021-04-03 23:37:16.819"
"925.75","9.75","3008 33B2 DDD9 0140 0000 0060","1.1535535524900022","-54.5","2021-04-03 23:37:16.84"
"927.25","2.4375","3008 33B2 DDD9 0140 0000 0060","0.6872233929727672","-55.0","2021-04-03 23:37:16.896"
"927.25","19.5","3008 33B2 DDD9 0140 0000 0060","0.6504078540635119","-55.0","2021-04-03 23:37:16.917"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.6872233929727672","-55.0","2021-04-03 23:37:16.971"
"927.25","14.625","3008 33B2 DDD9 0140 0000 0060","0.6749515466696822","-55.0","2021-04-03 23:37:16.995"
"927.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.705631162427395","-55.0","2021-04-03 23:37:17.048"
"927.25","20.75","3008 33B2 DDD9 0140 0000 0060","0.6565437772150544","-55.0","2021-04-03 23:37:17.071"
"924.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.564660403643354","-54.5","2021-04-03 23:37:17.151"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.576932249946439","-54.5","2021-04-03 23:37:17.172"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.5892040962495242","-54.5","2021-04-03 23:37:17.228"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.5830681730979816","-54.5","2021-04-03 23:37:17.25"
"920.75","17.0625","3008 33B2 DDD9 0140 0000 0060","2.6200391857086753","-54.0","2021-04-03 23:37:17.304"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0060","2.6384469551633027","-54.0","2021-04-03 23:37:17.327"
"920.75","17.0625","3008 33B2 DDD9 0140 0000 0060","2.6261751088602177","-54.0","2021-04-03 23:37:17.381"
"920.75","31.6875","3008 33B2 DDD9 0140 0000 0060","2.6261751088602177","-54.0","2021-04-03 23:37:17.403"
"920.75","17.0625","3008 33B2 DDD9 0140 0000 0060","2.6384469551633027","-54.0","2021-04-03 23:37:17.457"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0060","2.6691265709210157","-54.0","2021-04-03 23:37:17.48"
"910.75","4.875","3008 33B2 DDD9 0140 0000 0060","5.71868037723767","-54.0","2021-04-03 23:37:17.554"
"910.75","19.5","3008 33B2 DDD9 0140 0000 0060","5.688000761479957","-53.5","2021-04-03 23:37:17.578"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0060","5.706408530934585","-53.5","2021-04-03 23:37:17.632"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0060","5.71868037723767","-53.5","2021-04-03 23:37:17.654"
"926.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.012427320004523","-54.5","2021-04-03 23:37:17.709"
"926.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.9940195505498954","-54.5","2021-04-03 23:37:17.731"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0060","0.9878836273983529","-54.0","2021-04-03 23:37:17.784"
"926.25","4.875","3008 33B2 DDD9 0140 0000 0060","1.0062913968529805","-54.5","2021-04-03 23:37:17.808"
"926.25","14.625","3008 33B2 DDD9 0140 0000 0060","0.9817477042468103","-54.5","2021-04-03 23:37:17.861"
"926.25","32.9375","3008 33B2 DDD9 0140 0000 0060","0.9326603190344698","-54.5","2021-04-03 23:37:17.885"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0060","0.7424467013366504","-53.5","2021-04-03 23:37:17.961"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0060","0.7731263170943632","-54.0","2021-04-03 23:37:17.983"
"906.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","0.7731263170943632","-54.0","2021-04-03 23:37:18.037"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0060","0.7669903939428205","-54.0","2021-04-03 23:37:18.061"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0060","4.184699589352029","-53.5","2021-04-03 23:37:18.119"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0060","4.184699589352029","-54.0","2021-04-03 23:37:18.141"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0060","4.184699589352029","-54.0","2021-04-03 23:37:18.195"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0060","4.184699589352029","-54.0","2021-04-03 23:37:18.218"
"915.75","2.4375","3008 33B2 DDD9 0140 0000 0060","4.190835512503572","-53.5","2021-04-03 23:37:18.272"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0060","4.184699589352029","-54.0","2021-04-03 23:37:18.294"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0060","1.4419419406125027","-54.5","2021-04-03 23:37:18.375"
"924.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.4358060174609601","-54.5","2021-04-03 23:37:18.398"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0060","1.4603497100671303","-54.5","2021-04-03 23:37:18.452"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0060","1.4603497100671303","-54.5","2021-04-03 23:37:18.475"
"905.25","-2.4375","3008 33B2 DDD9 0140 0000 0060","1.0676506283684062","-53.0","2021-04-03 23:37:18.527"
"905.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","1.0737865515199487","-53.0","2021-04-03 23:37:18.552"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.0615147052168636","-53.0","2021-04-03 23:37:18.604"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0060","1.0799224746714913","-53.0","2021-04-03 23:37:18.627"
"905.25","-7.3125","3008 33B2 DDD9 0140 0000 0060","1.086058397823034","-53.0","2021-04-03 23:37:18.68"
"905.25","-12.1875","3008 33B2 DDD9 0140 0000 0060","1.0676506283684062","-53.0","2021-04-03 23:37:18.702"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.497320722677824","-54.0","2021-04-03 23:37:18.78"
"921.25","14.625","3008 33B2 DDD9 0140 0000 0060","2.4911847995262812","-54.0","2021-04-03 23:37:18.804"
"921.25","17.0625","3008 33B2 DDD9 0140 0000 0060","2.4911847995262812","-54.0","2021-04-03 23:37:18.857"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0060","2.4850488763747385","-54.0","2021-04-03 23:37:18.88"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.8775924843720249","-54.0","2021-04-03 23:37:18.934"
"923.25","17.0625","3008 33B2 DDD9 0140 0000 0060","1.8714565612204823","-54.0","2021-04-03 23:37:18.957"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0060","1.8714565612204823","-54.0","2021-04-03 23:37:19.011"
"923.25","14.625","3008 33B2 DDD9 0140 0000 0060","1.8775924843720249","-54.0","2021-04-03 23:37:19.033"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0060","1.8653206380689396","-54.0","2021-04-03 23:37:19.087"
"923.25","9.75","3008 33B2 DDD9 0140 0000 0060","1.8837284075235674","-54.0","2021-04-03 23:37:19.11"
"904.75","14.625","3008 33B2 DDD9 0140 0000 0060","1.1903690913992575","-53.0","2021-04-03 23:37:19.187"
"904.75","19.5","3008 33B2 DDD9 0140 0000 0060","1.1903690913992575","-53.0","2021-04-03 23:37:19.21"
