"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.718524903536232","-48.5","2021-04-03 23:58:55.661"
"908.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.700117134081604","-48.5","2021-04-03 23:58:55.686"
"908.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.71238898038469","-48.5","2021-04-03 23:58:55.737"
"908.75","0.0","3008 33B2 DDD9 0140 0000 0020","4.718524903536232","-48.5","2021-04-03 23:58:55.761"
"906.75","9.75","3008 33B2 DDD9 0140 0000 0020","5.289165756629691","-48.0","2021-04-03 23:58:55.821"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.2768939103266055","-47.5","2021-04-03 23:58:55.842"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.2768939103266055","-48.0","2021-04-03 23:58:55.897"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.283029833478148","-48.0","2021-04-03 23:58:55.919"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.289165756629691","-48.0","2021-04-03 23:58:55.972"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.9205439464328227","-48.5","2021-04-03 23:58:56.019"
"918.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.9266798695843652","-48.5","2021-04-03 23:58:56.072"
"918.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.9082721001297376","-48.5","2021-04-03 23:58:56.095"
"918.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.9082721001297376","-48.5","2021-04-03 23:58:56.148"
"918.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.8960002538266525","-48.5","2021-04-03 23:58:56.172"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.2086213871524472","-47.5","2021-04-03 23:58:56.249"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0020","0.21475731030398976","-48.0","2021-04-03 23:58:56.271"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0020","0.22089323345553233","-48.0","2021-04-03 23:58:56.323"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.22089323345553233","-48.0","2021-04-03 23:58:56.347"
"915.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.779573187648782","-48.0","2021-04-03 23:58:56.4"
"915.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.761165418194154","-48.0","2021-04-03 23:58:56.424"
"915.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.761165418194154","-48.0","2021-04-03 23:58:56.476"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0020","2.773437264497239","-48.0","2021-04-03 23:58:56.499"
"915.25","17.0625","3008 33B2 DDD9 0140 0000 0020","2.761165418194154","-48.0","2021-04-03 23:58:56.553"
"915.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.761165418194154","-48.0","2021-04-03 23:58:56.575"
"913.75","7.3125","3008 33B2 DDD9 0140 0000 0020","3.2397674240144743","-48.5","2021-04-03 23:58:56.652"
"913.75","7.3125","3008 33B2 DDD9 0140 0000 0020","3.2459033471660166","-48.5","2021-04-03 23:58:56.676"
"913.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.2336315008629315","-48.5","2021-04-03 23:58:56.728"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0020","3.2459033471660166","-48.5","2021-04-03 23:58:56.751"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.7855536370988863","-48.5","2021-04-03 23:58:56.804"
"918.75","9.75","3008 33B2 DDD9 0140 0000 0020","1.7794177139473437","-48.5","2021-04-03 23:58:56.827"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.7732817907958012","-48.5","2021-04-03 23:58:56.88"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.7855536370988863","-48.5","2021-04-03 23:58:56.902"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.7916895602504288","-48.5","2021-04-03 23:58:56.957"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.7671458676442586","-48.5","2021-04-03 23:58:56.98"
"913.25","9.75","3008 33B2 DDD9 0140 0000 0020","3.399301425954581","-48.0","2021-04-03 23:58:57.056"
"913.25","12.1875","3008 33B2 DDD9 0140 0000 0020","3.411573272257666","-48.0","2021-04-03 23:58:57.078"
"913.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.399301425954581","-48.0","2021-04-03 23:58:57.131"
"913.25","17.0625","3008 33B2 DDD9 0140 0000 0020","3.393165502803038","-48.0","2021-04-03 23:58:57.154"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.301282129231338","-48.0","2021-04-03 23:58:57.213"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.313553975534423","-48.0","2021-04-03 23:58:57.237"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.301282129231338","-48.0","2021-04-03 23:58:57.289"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.301282129231338","-48.0","2021-04-03 23:58:57.311"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.301282129231338","-48.0","2021-04-03 23:58:57.365"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.3074180523828804","-48.0","2021-04-03 23:58:57.388"
"922.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.619728238305799","-49.0","2021-04-03 23:58:57.465"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.619728238305799","-49.0","2021-04-03 23:58:57.486"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.6258641614573416","-49.5","2021-04-03 23:58:57.541"
"922.75","14.625","3008 33B2 DDD9 0140 0000 0020","0.6135923151542565","-49.0","2021-04-03 23:58:57.563"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.6382914814618648","-49.0","2021-04-03 23:58:57.618"
"919.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.6198837120072371","-49.0","2021-04-03 23:58:57.64"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.6321555583103222","-49.0","2021-04-03 23:58:57.693"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.6321555583103222","-49.0","2021-04-03 23:58:57.716"
"919.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.6382914814618648","-49.0","2021-04-03 23:58:57.769"
"919.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.6382914814618648","-49.0","2021-04-03 23:58:57.793"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0020","5.160311370447297","-48.0","2021-04-03 23:58:57.87"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0020","5.160311370447297","-47.5","2021-04-03 23:58:57.891"
"907.25","0.0","3008 33B2 DDD9 0140 0000 0020","5.1725832167503825","-47.5","2021-04-03 23:58:57.945"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0020","5.148039524144211","-48.0","2021-04-03 23:58:57.969"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0020","4.884194828627882","-48.0","2021-04-03 23:58:58.027"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.878058905476339","-48.0","2021-04-03 23:58:58.05"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.878058905476339","-48.0","2021-04-03 23:58:58.104"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.878058905476339","-48.0","2021-04-03 23:58:58.126"
"908.25","-4.875","3008 33B2 DDD9 0140 0000 0020","4.884194828627882","-48.0","2021-04-03 23:58:58.18"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.884194828627882","-48.0","2021-04-03 23:58:58.202"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.9145634969827183","-48.5","2021-04-03 23:58:58.279"
"914.75","14.625","3008 33B2 DDD9 0140 0000 0020","2.9206994201342606","-48.5","2021-04-03 23:58:58.302"
"914.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.9268353432858034","-48.5","2021-04-03 23:58:58.355"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.9206994201342606","-48.5","2021-04-03 23:58:58.377"
"919.75","-4.875","3008 33B2 DDD9 0140 0000 0020","1.533980787885641","-49.5","2021-04-03 23:58:58.431"
"919.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.4971652489763858","-49.0","2021-04-03 23:58:58.453"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.4971652489763858","-49.0","2021-04-03 23:58:58.507"
"919.75","0.0","3008 33B2 DDD9 0140 0000 0020","1.5033011721279284","-49.0","2021-04-03 23:58:58.531"
"919.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.5033011721279284","-49.0","2021-04-03 23:58:58.585"
"919.75","17.0625","3008 33B2 DDD9 0140 0000 0020","1.4726215563702154","-49.0","2021-04-03 23:58:58.606"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.466641106920111","-48.5","2021-04-03 23:58:58.68"
"916.25","0.0","3008 33B2 DDD9 0140 0000 0020","2.497320722677824","-48.5","2021-04-03 23:58:58.702"
"916.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.4605051837685683","-48.5","2021-04-03 23:58:58.756"
"916.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.478912953223196","-48.5","2021-04-03 23:58:58.777"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0020","4.454680208019902","-48.0","2021-04-03 23:58:58.832"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.448544284868359","-48.0","2021-04-03 23:58:58.854"
"909.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","4.479223900626073","-48.0","2021-04-03 23:58:58.907"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.454680208019902","-48.0","2021-04-03 23:58:58.929"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.454680208019902","-48.0","2021-04-03 23:58:58.983"
"909.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.460816131171445","-48.0","2021-04-03 23:58:59.007"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.6143696836614465","-48.0","2021-04-03 23:58:59.082"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.620505606812989","-48.0","2021-04-03 23:58:59.105"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.632777453116074","-48.0","2021-04-03 23:58:59.144"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.632777453116074","-48.0","2021-04-03 23:58:59.165"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.626641529964532","-48.0","2021-04-03 23:58:59.219"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.988660995905543","-49.0","2021-04-03 23:58:59.256"
"925.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.994796919057086","-49.0","2021-04-03 23:58:59.309"
"925.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.994796919057086","-49.0","2021-04-03 23:58:59.331"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.988660995905543","-48.5","2021-04-03 23:58:59.385"
"925.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.988660995905543","-49.0","2021-04-03 23:58:59.409"
"927.25","-9.75","3008 33B2 DDD9 0140 0000 0020","5.546874528994478","-49.0","2021-04-03 23:58:59.488"
"927.25","19.5","3008 33B2 DDD9 0140 0000 0020","5.522330836388308","-49.0","2021-04-03 23:58:59.509"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.540738605842936","-49.0","2021-04-03 23:58:59.564"
"927.25","7.3125","3008 33B2 DDD9 0140 0000 0020","5.522330836388308","-49.0","2021-04-03 23:58:59.587"
"924.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","0.18407769454627693","-49.0","2021-04-03 23:58:59.639"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.17794177139473438","-49.0","2021-04-03 23:58:59.663"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0020","0.17794177139473438","-49.0","2021-04-03 23:58:59.718"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0020","0.17794177139473438","-49.0","2021-04-03 23:58:59.739"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.17794177139473438","-48.5","2021-04-03 23:58:59.792"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0020","0.18407769454627693","-49.0","2021-04-03 23:58:59.817"
"920.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.1965050145508","-48.5","2021-04-03 23:58:59.889"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0020","1.214912784005428","-48.5","2021-04-03 23:58:59.913"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.2087768608538851","-48.5","2021-04-03 23:58:59.965"
"920.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.1903690913992575","-49.0","2021-04-03 23:58:59.987"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.172427743048944","-48.0","2021-04-03 23:59:00.041"
"910.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.1601558967458585","-48.0","2021-04-03 23:59:00.063"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","4.1601558967458585","-48.0","2021-04-03 23:59:00.117"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.1601558967458585","-48.0","2021-04-03 23:59:00.14"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0020","4.178563666200486","-48.0","2021-04-03 23:59:00.178"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0020","4.178563666200486","-48.0","2021-04-03 23:59:00.202"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.841398840268521","-49.0","2021-04-03 23:59:00.257"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0020","5.816855147662351","-48.5","2021-04-03 23:59:00.278"
"926.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.835262917116979","-48.5","2021-04-03 23:59:00.333"
"926.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.835262917116979","-48.5","2021-04-03 23:59:00.355"
"926.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.835262917116979","-48.5","2021-04-03 23:59:00.409"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.835262917116979","-48.5","2021-04-03 23:59:00.432"
"906.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.4671075280244255","-48.0","2021-04-03 23:59:00.508"
"906.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.4671075280244255","-48.0","2021-04-03 23:59:00.53"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.45483568172134","-48.0","2021-04-03 23:59:00.583"
"906.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.460971604872882","-48.0","2021-04-03 23:59:00.605"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0020","2.60776733940559","-48.0","2021-04-03 23:59:00.659"
"915.75","2.4375","3008 33B2 DDD9 0140 0000 0020","2.6200391857086753","-48.0","2021-04-03 23:59:00.683"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.6139032625571326","-48.5","2021-04-03 23:59:00.736"
"915.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.6200391857086753","-48.0","2021-04-03 23:59:00.758"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.6200391857086753","-48.5","2021-04-03 23:59:00.811"
"915.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.6384469551633027","-48.0","2021-04-03 23:59:00.834"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.02454369260617026","-49.5","2021-04-03 23:59:00.911"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.02454369260617026","-49.0","2021-04-03 23:59:00.936"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.02454369260617026","-49.5","2021-04-03 23:59:00.988"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.02454369260617026","-49.5","2021-04-03 23:59:01.011"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0020","5.743224069843841","-47.5","2021-04-03 23:59:01.065"
"905.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.767767762450011","-47.5","2021-04-03 23:59:01.086"
"905.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.7616318392984684","-47.5","2021-04-03 23:59:01.141"
"905.25","-4.875","3008 33B2 DDD9 0140 0000 0020","5.755495916146925","-47.5","2021-04-03 23:59:01.163"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0020","5.7616318392984684","-48.0","2021-04-03 23:59:01.216"
"905.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.755495916146925","-47.5","2021-04-03 23:59:01.238"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.0799224746714913","-49.0","2021-04-03 23:59:01.316"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.0676506283684062","-48.5","2021-04-03 23:59:01.339"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.0799224746714913","-49.0","2021-04-03 23:59:01.394"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.0676506283684062","-49.0","2021-04-03 23:59:01.416"
"923.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.4724660826687775","-49.0","2021-04-03 23:59:01.469"
"923.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.4724660826687775","-49.0","2021-04-03 23:59:01.492"
"923.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.48473792897186263","-49.0","2021-04-03 23:59:01.545"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0020","0.48473792897186263","-49.0","2021-04-03 23:59:01.568"
"923.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.4663301595172349","-49.0","2021-04-03 23:59:01.622"
"923.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.48473792897186263","-49.0","2021-04-03 23:59:01.645"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.9088939949354895","-47.5","2021-04-03 23:59:01.722"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.890486225480862","-47.5","2021-04-03 23:59:01.744"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.890486225480862","-47.5","2021-04-03 23:59:01.798"
"904.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.915029918087033","-47.5","2021-04-03 23:59:01.82"
"921.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.9142525495798421","-49.0","2021-04-03 23:59:01.874"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.9387962421860124","-49.0","2021-04-03 23:59:01.897"
"921.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.9326603190344698","-49.0","2021-04-03 23:59:01.95"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.9510680884890975","-49.0","2021-04-03 23:59:01.974"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.9326603190344698","-49.0","2021-04-03 23:59:02.026"
"921.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.9572040116406401","-49.0","2021-04-03 23:59:02.051"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.006757817957295","-48.5","2021-04-03 23:59:02.127"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.0128937411088375","-48.5","2021-04-03 23:59:02.147"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.0128937411088375","-48.5","2021-04-03 23:59:02.202"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.000621894805752","-48.5","2021-04-03 23:59:02.224"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0020","3.6999616603801666","-48.5","2021-04-03 23:59:02.278"
"912.25","14.625","3008 33B2 DDD9 0140 0000 0020","3.6999616603801666","-48.5","2021-04-03 23:59:02.3"
"912.25","23.1875","3008 33B2 DDD9 0140 0000 0020","3.693825737228624","-48.5","2021-04-03 23:59:02.354"
"912.25","14.625","3008 33B2 DDD9 0140 0000 0020","3.6999616603801666","-48.5","2021-04-03 23:59:02.377"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.706097583531709","-48.5","2021-04-03 23:59:02.43"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0020","3.7122335066832517","-48.5","2021-04-03 23:59:02.453"
"903.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","6.22182607566416","-48.5","2021-04-03 23:59:02.53"
"903.75","7.3125","3008 33B2 DDD9 0140 0000 0020","6.191146459906448","-48.5","2021-04-03 23:59:02.552"
"903.75","0.0","3008 33B2 DDD9 0140 0000 0020","6.209554229361076","-48.5","2021-04-03 23:59:02.606"
"903.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","6.227961998815704","-48.0","2021-04-03 23:59:02.628"
"920.25","19.5","3008 33B2 DDD9 0140 0000 0020","1.337631247036279","-49.0","2021-04-03 23:59:02.688"
"920.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.3437671701878218","-49.0","2021-04-03 23:59:02.711"
"920.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.3621749396424494","-49.0","2021-04-03 23:59:02.765"
"920.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.3437671701878218","-49.0","2021-04-03 23:59:02.788"
"920.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.3437671701878218","-48.5","2021-04-03 23:59:02.84"
"920.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.337631247036279","-49.0","2021-04-03 23:59:02.863"
"916.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.350058567040802","-49.0","2021-04-03 23:59:02.94"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.337786720737717","-49.0","2021-04-03 23:59:02.961"
"916.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.3316507975861747","-49.0","2021-04-03 23:59:03.015"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.3193789512830896","-49.0","2021-04-03 23:59:03.039"
"925.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","6.1850105367549055","-49.5","2021-04-03 23:59:03.092"
