"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.75","62.25","E200 001D 1910 0116 1310 566E","6.013204688511713","-64.5","2021-04-10 14:29:14.246"
"924.75","-43.9375","3008 33B2 DDD9 0140 0000 0600","5.074408446325701","-52.5","2021-04-10 14:29:14.248"
"924.75","-7.3125","3008 33B2 DDD9 0140 0000 0600","5.00077736850719","-53.0","2021-04-10 14:29:14.304"
"924.75","4.875","E200 001D 1910 0116 1310 566E","6.17273869045182","-63.5","2021-04-10 14:29:14.305"
"924.75","9.75","3008 33B2 DDD9 0140 0000 0600","4.95168998329485","-53.0","2021-04-10 14:29:14.367"
"924.75","6.1875","E200 001D 1910 0116 1310 566E","5.964117303299373","-65.5","2021-04-10 14:29:14.372"
"906.25","-9.75","3008 33B2 DDD9 0140 0000 0600","4.0128937411088375","-56.0","2021-04-10 14:29:14.41"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0600","4.049709280018092","-56.5","2021-04-10 14:29:14.434"
"906.25","14.625","3008 33B2 DDD9 0140 0000 0600","4.000621894805752","-56.5","2021-04-10 14:29:14.487"
"906.25","12.1875","3008 33B2 DDD9 0140 0000 0600","3.9944859716542096","-56.5","2021-04-10 14:29:14.51"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0600","3.9638063558964967","-56.5","2021-04-10 14:29:14.565"
"906.25","47.5625","3008 33B2 DDD9 0140 0000 0600","3.9085830475326135","-56.0","2021-04-10 14:29:14.587"
"926.75","25.625","E200 001D 1910 0116 1310 566E","4.878058905476339","-65.0","2021-04-10 14:29:14.652"
"926.75","-7.3125","3008 33B2 DDD9 0140 0000 0600","4.381049130201391","-53.0","2021-04-10 14:29:14.654"
"926.75","-117.1875","E200 001D 1910 0116 1310 566E","5.019185137961818","-64.0","2021-04-10 14:29:14.675"
"926.75","7.3125","3008 33B2 DDD9 0140 0000 0600","4.3074180523828804","-53.5","2021-04-10 14:29:14.676"
"926.75","9.75","3008 33B2 DDD9 0140 0000 0600","4.3074180523828804","-53.0","2021-04-10 14:29:14.73"
"926.75","0.0","E200 001D 1910 0116 1310 566E","4.871922982324796","-65.5","2021-04-10 14:29:14.748"
"926.75","-106.1875","E200 001D 1910 0116 1310 566E","5.0682725231741586","-64.5","2021-04-10 14:29:14.78"
"926.75","-17.0625","3008 33B2 DDD9 0140 0000 0600","4.338097668140593","-53.5","2021-04-10 14:29:14.781"
"905.75","7.3125","3008 33B2 DDD9 0140 0000 0600","4.123340357836604","-56.5","2021-04-10 14:29:14.834"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0600","4.1601558967458585","-56.5","2021-04-10 14:29:14.856"
"905.75","-20.75","3008 33B2 DDD9 0140 0000 0600","4.190835512503572","-56.5","2021-04-10 14:29:14.91"
"905.75","-4.875","3008 33B2 DDD9 0140 0000 0600","4.154019973594316","-56.5","2021-04-10 14:29:14.931"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0600","4.129476280988146","-56.0","2021-04-10 14:29:14.984"
"905.75","-4.875","3008 33B2 DDD9 0140 0000 0600","4.135612204139688","-56.0","2021-04-10 14:29:15.007"
"912.25","21.9375","3008 33B2 DDD9 0140 0000 0600","2.3193789512830896","-55.5","2021-04-10 14:29:15.084"
