"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"919.25","34.125","E200 001D 1910 0116 1310 566E","3.1354567304382504","-66.5","2021-04-10 11:50:46.542"
"919.25","12.1875","3008 33B2 DDD9 0140 0000 0400","3.859495662320273","-48.0","2021-04-10 11:50:46.545"
"919.25","12.1875","3008 33B2 DDD9 0140 0000 0400","3.859495662320273","-47.5","2021-04-10 11:50:46.569"
"919.25","-28.0625","E200 001D 1910 0116 1310 566E","3.2888548092268146","-67.5","2021-04-10 11:50:46.571"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0400","0.4479223900626072","-47.0","2021-04-10 11:50:46.612"
"910.25","2.125","E200 001D 1910 0116 1310 566E","1.5155730184310134","-69.0","2021-04-10 11:50:46.633"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0400","0.4356505437595221","-47.0","2021-04-10 11:50:46.646"
"910.25","3.25","E200 001D 1910 0116 1310 566E","4.657165672020807","-69.0","2021-04-10 11:50:46.662"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0400","0.4111068511533518","-47.0","2021-04-10 11:50:46.708"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0400","0.42337869745643697","-47.0","2021-04-10 11:50:46.731"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0400","0.4356505437595221","-47.0","2021-04-10 11:50:46.784"
"910.25","1.25","E200 001D 1910 0116 1310 566E","1.4848934026733007","-67.5","2021-04-10 11:50:46.796"
"922.75","20.75","3008 33B2 DDD9 0140 0000 0400","2.6384469551633027","-47.0","2021-04-10 11:50:46.831"
"922.75","-23.1875","E200 001D 1910 0116 1310 566E","1.4848934026733007","-65.0","2021-04-10 11:50:46.888"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0400","2.662990647769473","-47.0","2021-04-10 11:50:46.889"
"922.75","7.3125","3008 33B2 DDD9 0140 0000 0400","2.6875343403756435","-47.5","2021-04-10 11:50:46.914"
"922.75","-5.4375","E200 001D 1910 0118 1310 566F","0.7853981633974483","-71.5","2021-04-10 11:50:46.921"
"922.75","-6.9375","E200 001D 1910 0116 1310 566E","1.3621749396424494","-66.5","2021-04-10 11:50:46.924"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0400","2.6813984172241008","-47.0","2021-04-10 11:50:46.965"
"922.75","-9.75","E200 001D 1910 0116 1310 566E","1.3560390164909069","-65.0","2021-04-10 11:50:46.966"
"922.75","7.3125","3008 33B2 DDD9 0140 0000 0400","2.6691265709210157","-47.0","2021-04-10 11:50:46.991"
"922.75","46.375","E200 001D 1910 0116 1310 566E","1.3744467859455345","-65.5","2021-04-10 11:50:46.993"
"923.25","-20.75","E200 001D 1910 0116 1310 566E","1.1106020904292042","-66.0","2021-04-10 11:50:47.066"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0400","2.521864415283994","-47.5","2021-04-10 11:50:47.067"
"923.25","43.9375","E200 001D 1910 0116 1310 566E","0.8835729338221293","-66.0","2021-04-10 11:50:47.099"
"923.25","9.75","3008 33B2 DDD9 0140 0000 0400","2.5034566458293663","-47.5","2021-04-10 11:50:47.101"
"923.25","31.6875","3008 33B2 DDD9 0140 0000 0400","2.4911847995262812","-47.5","2021-04-10 11:50:47.155"
"923.25","46.375","E200 001D 1910 0116 1310 566E","0.8406214717613314","-64.5","2021-04-10 11:50:47.158"
"923.25","-17.0625","3008 33B2 DDD9 0140 0000 0400","2.5341362615870793","-47.5","2021-04-10 11:50:47.182"
"923.25","85.4375","E200 001D 1910 0116 1310 566E","0.859029241215959","-65.5","2021-04-10 11:50:47.182"
"911.75","17.0625","3008 33B2 DDD9 0140 0000 0400","6.191146459906448","-47.5","2021-04-10 11:50:47.236"
"911.75","96.375","E200 001D 1910 0116 1310 566E","0.4724660826687775","-67.5","2021-04-10 11:50:47.237"
"911.75","24.375","3008 33B2 DDD9 0140 0000 0400","6.17273869045182","-47.5","2021-04-10 11:50:47.259"
"911.75","167.1875","E200 001D 1910 0116 1310 566E","0.30679615757712825","-67.0","2021-04-10 11:50:47.26"
"911.75","14.625","3008 33B2 DDD9 0140 0000 0400","6.209554229361076","-47.5","2021-04-10 11:50:47.312"
"911.75","-2.125","E200 001D 1910 0116 1310 566E","0.7301748550335652","-67.0","2021-04-10 11:50:47.325"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0400","6.227961998815704","-47.5","2021-04-10 11:50:47.343"
"911.75","73.1875","E200 001D 1910 0116 1310 566E","0.5583690067903734","-66.5","2021-04-10 11:50:47.345"
"911.75","14.625","3008 33B2 DDD9 0140 0000 0400","6.191146459906448","-47.5","2021-04-10 11:50:47.396"
"911.75","43.9375","E200 001D 1910 0116 1310 566E","0.5767767762450011","-69.0","2021-04-10 11:50:47.398"
"911.75","73.1875","E200 001D 1910 0116 1310 566E","0.5583690067903734","-67.5","2021-04-10 11:50:47.42"
"911.75","-4.875","3008 33B2 DDD9 0140 0000 0400","6.22182607566416","-47.5","2021-04-10 11:50:47.421"
"903.75","-7.3125","3008 33B2 DDD9 0140 0000 0400","2.313243028131547","-48.5","2021-04-10 11:50:47.49"
"903.75","4.875","3008 33B2 DDD9 0140 0000 0400","2.2764274892222915","-48.5","2021-04-10 11:50:47.511"
"903.75","2.4375","3008 33B2 DDD9 0140 0000 0400","2.282563412373834","-48.5","2021-04-10 11:50:47.564"
"903.75","-9.75","3008 33B2 DDD9 0140 0000 0400","2.3071071049800045","-48.5","2021-04-10 11:50:47.587"
"915.75","4.875","3008 33B2 DDD9 0140 0000 0400","4.92714629068868","-47.0","2021-04-10 11:50:47.646"
"915.75","12.1875","3008 33B2 DDD9 0140 0000 0400","4.921010367537137","-47.0","2021-04-10 11:50:47.669"
"915.75","9.75","E200 001D 1910 0116 1310 566E","4.749204519293945","-68.5","2021-04-10 11:50:47.721"
"915.75","0.0","3008 33B2 DDD9 0140 0000 0400","4.933282213840222","-47.0","2021-04-10 11:50:47.722"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0400","4.9394181369917645","-47.0","2021-04-10 11:50:47.743"
"915.75","59.8125","E200 001D 1910 0116 1310 566E","4.76147636559703","-67.0","2021-04-10 11:50:47.745"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0400","4.945554060143307","-47.0","2021-04-10 11:50:47.785"
"915.75","145.25","E200 001D 1910 0116 1310 566E","4.399456899656019","-67.5","2021-04-10 11:50:47.786"
"915.75","-7.3125","3008 33B2 DDD9 0140 0000 0400","4.9823695990525625","-47.0","2021-04-10 11:50:47.809"
"915.75","-36.5625","E200 001D 1910 0116 1310 566E","4.92714629068868","-67.5","2021-04-10 11:50:47.81"
"925.75","-9.75","3008 33B2 DDD9 0140 0000 0400","1.748738098189631","-48.0","2021-04-10 11:50:47.852"
"925.75","18.25","E200 001D 1910 0116 1310 566E","5.6143696836614465","-65.0","2021-04-10 11:50:47.854"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0400","1.736466251886546","-47.5","2021-04-10 11:50:47.884"
"925.75","7.3125","E200 001D 1910 0116 1310 566E","5.595961914206819","-63.5","2021-04-10 11:50:47.885"
"925.75","46.375","E200 001D 1910 0116 1310 566E","5.626641529964532","-65.0","2021-04-10 11:50:47.937"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0400","1.705786636128833","-48.0","2021-04-10 11:50:47.938"
"925.75","-12.1875","3008 33B2 DDD9 0140 0000 0400","1.736466251886546","-48.0","2021-04-10 11:50:47.968"
"925.75","145.25","E200 001D 1910 0116 1310 566E","5.424156065963627","-65.5","2021-04-10 11:50:47.969"
"925.75","-2.4375","3008 33B2 DDD9 0140 0000 0400","1.6935147898257479","-48.0","2021-04-10 11:50:48.023"
"925.75","-0.5625","E200 001D 1910 0116 1310 566E","5.663457068873787","-64.5","2021-04-10 11:50:48.035"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0400","0.09203884727313846","-47.5","2021-04-10 11:50:48.076"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0400","0.09203884727313846","-47.5","2021-04-10 11:50:48.128"
"911.25","-2.4375","3008 33B2 DDD9 0140 0000 0400","0.1043106935762236","-47.5","2021-04-10 11:50:48.155"
"911.25","-2.5625","E200 001D 1910 0116 1310 566E","1.0983302441261191","-68.0","2021-04-10 11:50:48.179"
"911.25","-2.4375","3008 33B2 DDD9 0140 0000 0400","0.11044661672776616","-47.5","2021-04-10 11:50:48.217"
"911.25","-1.25","E200 001D 1910 0116 1310 566E","1.0492428589137786","-67.5","2021-04-10 11:50:48.231"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0400","0.0859029241215959","-47.5","2021-04-10 11:50:48.248"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0400","0.25770877236478773","-47.0","2021-04-10 11:50:48.31"
"910.75","0.0","3008 33B2 DDD9 0140 0000 0400","0.25157284921324513","-47.0","2021-04-10 11:50:48.32"
"910.75","-0.4375","E200 001D 1910 0116 1310 566E","1.3437671701878218","-67.5","2021-04-10 11:50:48.336"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0400","0.25157284921324513","-47.0","2021-04-10 11:50:48.382"
"910.75","-7.3125","3008 33B2 DDD9 0140 0000 0400","0.2761165418194154","-47.0","2021-04-10 11:50:48.405"
