"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"915.25","-24.375","3008 33B2 DDD9 0140 0000 0100","5.896622148632405","-59.5","2021-04-10 11:55:43.565"
"915.25","-0.25","E200 001D 1910 0116 1310 566E","5.129631754689584","-66.0","2021-04-10 11:55:43.587"
"915.25","109.8125","3008 33B2 DDD9 0140 0000 0100","5.706408530934585","-59.0","2021-04-10 11:55:43.605"
"915.25","2.4375","E200 001D 1910 0116 1310 566E","5.037592907416445","-67.0","2021-04-10 11:55:43.606"
"920.75","-25.625","E200 001D 1910 0116 1310 566E","2.5034566458293663","-66.0","2021-04-10 11:55:43.663"
"920.75","-26.8125","3008 33B2 DDD9 0140 0000 0100","4.503767593232243","-58.5","2021-04-10 11:55:43.664"
"920.75","46.375","3008 33B2 DDD9 0140 0000 0100","4.246058820867455","-59.0","2021-04-10 11:55:43.686"
"920.75","-146.4375","E200 001D 1910 0116 1310 566E","2.84706834231575","-65.0","2021-04-10 11:55:43.687"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0100","4.430136515413731","-58.0","2021-04-10 11:55:43.743"
"920.75","31.6875","E200 001D 1910 0116 1310 566E","2.521864415283994","-66.5","2021-04-10 11:55:43.746"
"920.75","-48.8125","3008 33B2 DDD9 0140 0000 0100","4.522175362686871","-59.0","2021-04-10 11:55:43.771"
"920.75","1.9375","E200 001D 1910 0116 1310 566E","5.43029198911517","-64.5","2021-04-10 11:55:43.783"
"920.25","9.75","3008 33B2 DDD9 0140 0000 0100","4.583534594202296","-58.0","2021-04-10 11:55:43.886"
"920.25","0.5625","E200 001D 1910 0116 1310 566E","5.872078456026235","-66.5","2021-04-10 11:55:43.895"
"920.25","206.25","E200 001D 1910 0116 1310 566E","2.356194490192345","-66.0","2021-04-10 11:55:43.917"
"920.25","14.625","3008 33B2 DDD9 0140 0000 0100","4.516039439535327","-59.0","2021-04-10 11:55:43.918"
"920.25","-29.25","3008 33B2 DDD9 0140 0000 0100","4.669437518323892","-58.0","2021-04-10 11:55:43.959"
"920.25","-101.3125","E200 001D 1910 0116 1310 566E","2.9145634969827183","-64.5","2021-04-10 11:55:43.96"
"920.25","4.875","3008 33B2 DDD9 0140 0000 0100","4.657165672020807","-58.5","2021-04-10 11:55:43.993"
"920.25","167.1875","E200 001D 1910 0116 1310 566E","2.3316507975861747","-64.0","2021-04-10 11:55:43.994"
"920.25","21.9375","3008 33B2 DDD9 0140 0000 0100","4.620350133111551","-58.5","2021-04-10 11:55:44.049"
"920.25","29.25","E200 001D 1910 0116 1310 566E","2.5770877236478773","-66.5","2021-04-10 11:55:44.05"
"920.25","59.8125","E200 001D 1910 0116 1310 566E","2.5402721847386216","-64.5","2021-04-10 11:55:44.076"
"906.25","-31.6875","3008 33B2 DDD9 0140 0000 0100","2.0493983326152168","-61.0","2021-04-10 11:55:44.084"
"906.25","51.25","3008 33B2 DDD9 0140 0000 0100","2.018718716857504","-61.0","2021-04-10 11:55:44.137"
"906.25","104.9375","3008 33B2 DDD9 0140 0000 0100","1.718058482431918","-60.5","2021-04-10 11:55:44.16"
"906.25","41.5","3008 33B2 DDD9 0140 0000 0100","1.9144080232812801","-61.5","2021-04-10 11:55:44.212"
"906.25","14.625","3008 33B2 DDD9 0140 0000 0100","2.012582793705961","-61.0","2021-04-10 11:55:44.236"
"919.25","29.25","3008 33B2 DDD9 0140 0000 0100","4.822835597112456","-59.5","2021-04-10 11:55:44.288"
"919.25","-20.75","E200 001D 1910 0116 1310 566E","3.3318062712876126","-65.5","2021-04-10 11:55:44.289"
"919.25","-29.25","3008 33B2 DDD9 0140 0000 0100","4.963961829597935","-58.5","2021-04-10 11:55:44.311"
"919.25","70.75","E200 001D 1910 0116 1310 566E","3.11091303783208","-65.5","2021-04-10 11:55:44.312"
"919.25","25.625","E200 001D 1910 0116 1310 566E","3.1784081924990484","-64.5","2021-04-10 11:55:44.365"
"919.25","56.125","3008 33B2 DDD9 0140 0000 0100","4.816699673960914","-59.5","2021-04-10 11:55:44.366"
"919.25","185.5","E200 001D 1910 0116 1310 566E","2.742757648739526","-66.0","2021-04-10 11:55:44.387"
"919.25","17.0625","3008 33B2 DDD9 0140 0000 0100","4.7860200582032","-59.0","2021-04-10 11:55:44.389"
"919.25","41.5","3008 33B2 DDD9 0140 0000 0100","4.73693267299086","-59.0","2021-04-10 11:55:44.445"
"919.25","-7.3125","E200 001D 1910 0116 1310 566E","3.2949907323783574","-67.0","2021-04-10 11:55:44.445"
"919.25","4.875","3008 33B2 DDD9 0140 0000 0100","4.890330751779424","-59.0","2021-04-10 11:55:44.467"
"919.25","107.375","E200 001D 1910 0116 1310 566E","3.074097498922825","-66.5","2021-04-10 11:55:44.468"
"910.25","92.75","3008 33B2 DDD9 0140 0000 0100","0.9142525495798421","-61.0","2021-04-10 11:55:44.509"
"910.25","-0.8125","E200 001D 1910 0116 1310 566E","1.8653206380689396","-67.0","2021-04-10 11:55:44.532"
"910.25","-75.625","3008 33B2 DDD9 0140 0000 0100","1.2578642460662257","-60.5","2021-04-10 11:55:44.549"
"910.25","0.0","E200 001D 1910 0116 1310 566E","1.748738098189631","-67.0","2021-04-10 11:55:44.561"
"910.25","-56.125","3008 33B2 DDD9 0140 0000 0100","1.2087768608538851","-59.5","2021-04-10 11:55:44.611"
"910.25","0.125","E200 001D 1910 0116 1310 566E","1.736466251886546","-67.0","2021-04-10 11:55:44.634"
"910.25","97.625","3008 33B2 DDD9 0140 0000 0100","0.8406214717613314","-60.0","2021-04-10 11:55:44.643"
"910.25","-80.5625","3008 33B2 DDD9 0140 0000 0100","1.0492428589137786","-59.5","2021-04-10 11:55:44.697"
"922.75","128.125","E200 001D 1910 0116 1310 566E","0.9694758579437253","-63.5","2021-04-10 11:55:44.731"
"922.75","34.125","3008 33B2 DDD9 0140 0000 0100","3.7122335066832517","-58.5","2021-04-10 11:55:44.733"
"922.75","-21.9375","3008 33B2 DDD9 0140 0000 0100","3.8288160465625602","-59.0","2021-04-10 11:55:44.834"
"922.75","54.875","E200 001D 1910 0116 1310 566E","1.2455923997631406","-65.5","2021-04-10 11:55:44.835"
"922.75","19.5","3008 33B2 DDD9 0140 0000 0100","3.785864584501762","-59.0","2021-04-10 11:55:44.845"
"922.75","-52.4375","E200 001D 1910 0116 1310 566E","1.533980787885641","-65.0","2021-04-10 11:55:44.846"
"922.75","122.0625","3008 33B2 DDD9 0140 0000 0100","3.56497135104623","-59.0","2021-04-10 11:55:44.899"
"922.75","48.8125","E200 001D 1910 0116 1310 566E","1.227184630308513","-65.5","2021-04-10 11:55:44.9"
"923.25","24.375","3008 33B2 DDD9 0140 0000 0100","3.6815538909255388","-58.5","2021-04-10 11:55:44.944"
"923.25","0.25","E200 001D 1910 0116 1310 566E","1.043106935762236","-64.0","2021-04-10 11:55:44.961"
"923.25","-13.375","E200 001D 1910 0116 1310 566E","1.012427320004523","-64.5","2021-04-10 11:55:45.009"
"923.25","-36.5625","3008 33B2 DDD9 0140 0000 0100","3.7429131224409646","-59.0","2021-04-10 11:55:45.011"
"923.25","34.125","E200 001D 1910 0116 1310 566E","1.0185632431560658","-65.0","2021-04-10 11:55:45.034"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0100","3.6324665057131984","-58.0","2021-04-10 11:55:45.034"
"923.25","-1.9375","E200 001D 1910 0118 1310 566F","3.810408277107933","-71.0","2021-04-10 11:55:45.048"
"911.75","-50.0","E200 001D 1910 0116 1310 566E","0.7976700097005334","-65.5","2021-04-10 11:55:45.104"
"911.75","-7.3125","3008 33B2 DDD9 0140 0000 0100","0.5829126993965437","-60.5","2021-04-10 11:55:45.106"
"911.75","107.375","3008 33B2 DDD9 0140 0000 0100","0.6135923151542565","-60.0","2021-04-10 11:55:45.127"
"911.75","-62.25","E200 001D 1910 0116 1310 566E","0.9940195505498954","-67.5","2021-04-10 11:55:45.128"
"911.75","-39.0625","E200 001D 1910 0116 1310 566E","0.8406214717613314","-67.5","2021-04-10 11:55:45.179"
"911.75","70.75","3008 33B2 DDD9 0140 0000 0100","0.4049709280018093","-60.0","2021-04-10 11:55:45.18"
"911.75","12.1875","3008 33B2 DDD9 0140 0000 0100","0.5890486225480862","-60.5","2021-04-10 11:55:45.202"
"911.75","106.1875","E200 001D 1910 0116 1310 566E","0.6504078540635119","-67.5","2021-04-10 11:55:45.202"
"911.75","-34.125","E200 001D 1910 0116 1310 566E","1.0492428589137786","-67.5","2021-04-10 11:55:45.256"
"911.75","75.625","3008 33B2 DDD9 0140 0000 0100","0.5031456984264903","-60.5","2021-04-10 11:55:45.257"
"911.75","-13.375","E200 001D 1910 0116 1310 566E","0.7915340865489908","-67.0","2021-04-10 11:55:45.279"
"911.75","-7.3125","3008 33B2 DDD9 0140 0000 0100","0.6994952392758523","-60.5","2021-04-10 11:55:45.28"
"903.75","-24.375","3008 33B2 DDD9 0140 0000 0100","2.4850488763747385","-61.5","2021-04-10 11:55:45.356"
"903.75","-36.5625","3008 33B2 DDD9 0140 0000 0100","2.478912953223196","-62.0","2021-04-10 11:55:45.377"
"903.75","29.25","3008 33B2 DDD9 0140 0000 0100","2.3930100291016","-61.5","2021-04-10 11:55:45.431"
"903.75","-26.8125","3008 33B2 DDD9 0140 0000 0100","2.5157284921324514","-62.0","2021-04-10 11:55:45.454"
"915.75","-14.625","3008 33B2 DDD9 0140 0000 0100","5.853670686571607","-59.5","2021-04-10 11:55:45.512"
"915.75","-206.25","E200 001D 1910 0116 1310 566E","5.209398755659637","-66.5","2021-04-10 11:55:45.514"
