"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"909.75","39.0625","3008 33B2 DDD9 0140 0000 0100","2.0064468705544187","-57.5","2021-04-10 11:57:29.266"
"909.75","36.5625","3008 33B2 DDD9 0140 0000 0100","2.0064468705544187","-57.5","2021-04-10 11:57:29.321"
"909.75","-4.875","3008 33B2 DDD9 0140 0000 0100","2.1046216409791","-57.5","2021-04-10 11:57:29.342"
"909.75","-2.1875","E200 001D 1910 0116 1310 566E","2.2089323345553233","-68.5","2021-04-10 11:57:29.364"
"909.75","41.5","3008 33B2 DDD9 0140 0000 0100","1.9880391010997909","-57.5","2021-04-10 11:57:29.407"
"916.75","6.6875","3008 33B2 DDD9 0140 0000 0100","6.12365130523948","-58.0","2021-04-10 11:57:29.439"
"916.75","0.0","3008 33B2 DDD9 0140 0000 0100","6.2034183062095325","-58.5","2021-04-10 11:57:29.502"
"916.75","-9.75","3008 33B2 DDD9 0140 0000 0100","6.240233845118788","-57.5","2021-04-10 11:57:29.523"
"916.75","-12.1875","3008 33B2 DDD9 0140 0000 0100","6.215690152512618","-58.0","2021-04-10 11:57:29.577"
"916.75","418.6875","E200 001D 1910 0116 1310 566E","4.129476280988146","-66.0","2021-04-10 11:57:29.578"
"916.75","-57.3125","E200 001D 1910 0116 1310 566E","4.798291904506286","-68.0","2021-04-10 11:57:29.599"
"916.75","19.5","3008 33B2 DDD9 0140 0000 0100","6.117515382087937","-59.0","2021-04-10 11:57:29.601"
"904.75","-63.4375","3008 33B2 DDD9 0140 0000 0100","3.7429131224409646","-57.5","2021-04-10 11:57:29.652"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0100","3.5772431973493153","-58.5","2021-04-10 11:57:29.675"
"904.75","46.375","3008 33B2 DDD9 0140 0000 0100","3.4913402732277192","-58.5","2021-04-10 11:57:29.728"
"904.75","17.0625","3008 33B2 DDD9 0140 0000 0100","3.4913402732277192","-58.5","2021-04-10 11:57:29.75"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0100","3.5772431973493153","-58.0","2021-04-10 11:57:29.803"
"904.75","24.375","3008 33B2 DDD9 0140 0000 0100","3.5465635815916023","-58.5","2021-04-10 11:57:29.824"
"908.75","-12.1875","3008 33B2 DDD9 0140 0000 0100","2.442097414313941","-58.0","2021-04-10 11:57:29.876"
"908.75","53.6875","3008 33B2 DDD9 0140 0000 0100","2.270291566070749","-58.0","2021-04-10 11:57:29.9"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0100","2.3746022596469727","-58.0","2021-04-10 11:57:29.952"
"908.75","-17.0625","3008 33B2 DDD9 0140 0000 0100","2.442097414313941","-58.5","2021-04-10 11:57:29.976"
"908.75","26.8125","3008 33B2 DDD9 0140 0000 0100","2.2764274892222915","-57.5","2021-04-10 11:57:30.028"
"908.75","36.5625","3008 33B2 DDD9 0140 0000 0100","2.423689644859313","-58.0","2021-04-10 11:57:30.061"
"918.25","231.875","E200 001D 1910 0116 1310 566E","3.32567034813607","-65.0","2021-04-10 11:57:30.124"
"918.25","48.8125","3008 33B2 DDD9 0140 0000 0100","5.651185222570702","-57.5","2021-04-10 11:57:30.126"
"918.25","29.25","3008 33B2 DDD9 0140 0000 0100","5.700272607783043","-58.0","2021-04-10 11:57:30.149"
"918.25","13.375","E200 001D 1910 0116 1310 566E","3.5833791205008576","-65.0","2021-04-10 11:57:30.152"
"918.25","19.5","3008 33B2 DDD9 0140 0000 0100","5.681864838328415","-58.0","2021-04-10 11:57:30.203"
"918.25","36.5625","E200 001D 1910 0116 1310 566E","3.7429131224409646","-66.5","2021-04-10 11:57:30.203"
"918.25","70.75","3008 33B2 DDD9 0140 0000 0100","5.589825991055276","-58.0","2021-04-10 11:57:30.216"
"918.25","-1.8125","E200 001D 1910 0116 1310 566E","0.7485826244881929","-68.0","2021-04-10 11:57:30.238"
"909.25","12.1875","3008 33B2 DDD9 0140 0000 0100","2.2457478734645786","-58.0","2021-04-10 11:57:30.282"
"909.25","-0.5625","E200 001D 1910 0116 1310 566E","2.466641106920111","-67.5","2021-04-10 11:57:30.301"
"909.25","0.0","3008 33B2 DDD9 0140 0000 0100","2.270291566070749","-58.0","2021-04-10 11:57:30.314"
"909.25","9.75","3008 33B2 DDD9 0140 0000 0100","2.227340104009951","-58.0","2021-04-10 11:57:30.372"
"909.25","17.0625","3008 33B2 DDD9 0140 0000 0100","2.172116795646068","-57.5","2021-04-10 11:57:30.4"
"909.25","4.875","3008 33B2 DDD9 0140 0000 0100","2.2089323345553233","-57.5","2021-04-10 11:57:30.455"
"925.25","-0.9375","E200 001D 1910 0118 1310 566F","2.2027964114037806","-68.0","2021-04-10 11:57:30.498"
"925.25","19.5","3008 33B2 DDD9 0140 0000 0100","3.4606606574700063","-58.0","2021-04-10 11:57:30.514"
"925.25","-10.9375","E200 001D 1910 0116 1310 566E","5.902758071783947","-65.5","2021-04-10 11:57:30.515"
"925.25","14.625","3008 33B2 DDD9 0140 0000 0100","3.442252888015379","-58.5","2021-04-10 11:57:30.596"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0100","3.5342917352885173","-59.0","2021-04-10 11:57:30.619"
"925.25","70.75","E200 001D 1910 0116 1310 566E","5.994796919057086","-65.0","2021-04-10 11:57:30.621"
"925.25","18.625","E200 001D 1910 0118 1310 566F","5.252350217720435","-71.5","2021-04-10 11:57:30.628"
"925.25","-12.1875","3008 33B2 DDD9 0140 0000 0100","3.5588354278946874","-59.0","2021-04-10 11:57:30.665"
"925.25","-161.125","E200 001D 1910 0116 1310 566E","0.18407769454627693","-64.0","2021-04-10 11:57:30.667"
"917.75","31.6875","3008 33B2 DDD9 0140 0000 0100","5.810719224510809","-58.0","2021-04-10 11:57:30.717"
"917.75","0.4375","E200 001D 1910 0116 1310 566E","0.9203884727313847","-66.0","2021-04-10 11:57:30.73"
"917.75","34.125","3008 33B2 DDD9 0140 0000 0100","5.749359992995383","-57.5","2021-04-10 11:57:30.78"
"917.75","0.0625","E200 001D 1910 0116 1310 566E","4.06811704947272","-68.0","2021-04-10 11:57:30.793"
"917.75","48.8125","3008 33B2 DDD9 0140 0000 0100","5.780039608753096","-58.5","2021-04-10 11:57:30.812"
"917.75","2.625","E200 001D 1910 0116 1310 566E","0.8099418560036186","-65.5","2021-04-10 11:57:30.825"
"917.75","-31.6875","3008 33B2 DDD9 0140 0000 0100","5.939573610693203","-57.0","2021-04-10 11:57:30.874"
"917.75","-7.3125","E200 001D 1910 0116 1310 566E","3.8840393549264434","-66.5","2021-04-10 11:57:30.876"
"914.25","14.625","3008 33B2 DDD9 0140 0000 0100","0.662679700366597","-58.5","2021-04-10 11:57:30.911"
"914.25","-294.1875","E200 001D 1910 0116 1310 566E","6.111379458936394","-65.0","2021-04-10 11:57:30.912"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0100","0.6565437772150544","-58.5","2021-04-10 11:57:30.962"
"914.25","64.6875","E200 001D 1910 0116 1310 566E","5.5714182216006485","-67.0","2021-04-10 11:57:30.964"
"914.25","78.125","E200 001D 1910 0116 1310 566E","5.632777453116074","-66.5","2021-04-10 11:57:30.989"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0100","0.7179030087304801","-59.0","2021-04-10 11:57:30.99"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0100","0.6565437772150544","-58.0","2021-04-10 11:57:31.04"
"914.25","-103.75","E200 001D 1910 0116 1310 566E","5.835262917116979","-67.5","2021-04-10 11:57:31.042"
"914.25","-29.25","3008 33B2 DDD9 0140 0000 0100","0.7117670855789375","-58.0","2021-04-10 11:57:31.077"
"914.25","-1.0625","E200 001D 1910 0116 1310 566E","5.780039608753096","-66.5","2021-04-10 11:57:31.09"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0100","5.970253226450915","-58.0","2021-04-10 11:57:31.15"
"917.25","3.6875","E200 001D 1910 0116 1310 566E","0.9694758579437253","-68.0","2021-04-10 11:57:31.172"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0100","6.025476534814799","-57.5","2021-04-10 11:57:31.183"
"917.25","0.625","E200 001D 1910 0116 1310 566E","1.0615147052168636","-68.0","2021-04-10 11:57:31.21"
