"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.75","-43.9375","E200 001D 1910 0116 1310 566E","2.086213871524472","-64.0","2021-04-10 11:43:13.285"
"921.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.822835597112456","-45.5","2021-04-10 11:43:13.286"
"921.75","-0.5","E200 001D 1910 0118 1310 566F","4.601942363656923","-66.5","2021-04-10 11:43:13.296"
"921.75","-70.75","E200 001D 1910 0116 1310 566E","2.227340104009951","-65.0","2021-04-10 11:43:13.347"
"921.75","-4.875","3008 33B2 DDD9 0140 0000 0040","4.822835597112456","-45.5","2021-04-10 11:43:13.349"
"921.75","-0.1875","E200 001D 1910 0118 1310 566F","4.534447208989955","-70.0","2021-04-10 11:43:13.387"
"921.75","21.9375","3008 33B2 DDD9 0140 0000 0040","4.743068596142402","-45.5","2021-04-10 11:43:13.395"
"921.75","-1.4375","E200 001D 1910 0116 1310 566E","2.0371264863121317","-64.0","2021-04-10 11:43:13.423"
"921.75","-0.75","E200 001D 1910 0118 1310 566F","4.577398671050753","-70.5","2021-04-10 11:43:13.449"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0040","4.037437433715008","-45.5","2021-04-10 11:43:13.493"
"902.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.049709280018092","-45.0","2021-04-10 11:43:13.517"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.037437433715008","-45.5","2021-04-10 11:43:13.568"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.037437433715008","-45.5","2021-04-10 11:43:13.591"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0040","4.031301510563465","-45.5","2021-04-10 11:43:13.645"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0040","4.04357335686655","-45.5","2021-04-10 11:43:13.668"
"926.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.497476196379262","-46.0","2021-04-10 11:43:13.744"
"926.75","9.75","E200 001D 1910 0116 1310 566E","5.344389064993574","-64.5","2021-04-10 11:43:13.746"
"926.75","0.9375","E200 001D 1910 0118 1310 566F","1.3008157081270237","-69.5","2021-04-10 11:43:13.826"
"926.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.509748042682347","-46.0","2021-04-10 11:43:13.832"
"926.75","68.3125","E200 001D 1910 0116 1310 566E","5.190990986205009","-66.0","2021-04-10 11:43:13.834"
"926.75","-2.0","E200 001D 1910 0118 1310 566F","1.5155730184310134","-69.0","2021-04-10 11:43:13.852"
"915.25","-98.875","E200 001D 1910 0116 1310 566E","5.399612373357457","-66.5","2021-04-10 11:43:13.898"
"915.25","19.5","3008 33B2 DDD9 0140 0000 0040","0.25157284921324513","-45.0","2021-04-10 11:43:13.9"
"915.25","4.875","3008 33B2 DDD9 0140 0000 0040","0.28225246497095796","-45.0","2021-04-10 11:43:13.921"
"915.25","153.75","E200 001D 1910 0116 1310 566E","4.749204519293945","-64.0","2021-04-10 11:43:13.922"
"915.25","-9.75","3008 33B2 DDD9 0140 0000 0040","0.2699806186678728","-45.0","2021-04-10 11:43:13.973"
"915.25","4.875","E200 001D 1910 0116 1310 566E","5.178719139901925","-67.0","2021-04-10 11:43:13.975"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.25770877236478773","-45.0","2021-04-10 11:43:13.996"
"915.25","23.1875","E200 001D 1910 0116 1310 566E","5.344389064993574","-67.5","2021-04-10 11:43:13.997"
"915.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","0.30066023442558565","-45.0","2021-04-10 11:43:14.038"
"915.25","-166.0","E200 001D 1910 0116 1310 566E","5.749359992995383","-66.5","2021-04-10 11:43:14.039"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.2761165418194154","-45.5","2021-04-10 11:43:14.062"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.062136600022616","-45.0","2021-04-10 11:43:14.115"
"920.75","31.6875","E200 001D 1910 0116 1310 566E","2.466641106920111","-65.0","2021-04-10 11:43:14.116"
"920.75","6.5625","E200 001D 1910 0118 1310 566F","5.080544369477243","-71.0","2021-04-10 11:43:14.123"
"920.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.080544369477243","-45.5","2021-04-10 11:43:14.13"
"920.75","75.625","E200 001D 1910 0116 1310 566E","2.411417798556228","-65.5","2021-04-10 11:43:14.131"
"920.75","-0.0625","E200 001D 1910 0118 1310 566F","5.006913291658733","-71.0","2021-04-10 11:43:14.194"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0040","5.019185137961818","-45.0","2021-04-10 11:43:14.234"
"920.75","83.0","E200 001D 1910 0116 1310 566E","2.3071071049800045","-63.0","2021-04-10 11:43:14.235"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.056000676871073","-45.0","2021-04-10 11:43:14.266"
"920.75","128.125","E200 001D 1910 0116 1310 566E","2.184388641949153","-63.0","2021-04-10 11:43:14.267"
"920.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.197126909356553","-45.0","2021-04-10 11:43:14.32"
"920.25","50.0","E200 001D 1910 0116 1310 566E","2.509592568980909","-65.5","2021-04-10 11:43:14.321"
"920.25","2.4375","3008 33B2 DDD9 0140 0000 0040","5.1725832167503825","-45.0","2021-04-10 11:43:14.342"
"920.25","-2.4375","E200 001D 1910 0116 1310 566E","2.7550294950426117","-65.0","2021-04-10 11:43:14.344"
"920.25","146.4375","E200 001D 1910 0116 1310 566E","2.435961491162398","-63.5","2021-04-10 11:43:14.385"
"920.25","0.0","3008 33B2 DDD9 0140 0000 0040","5.190990986205009","-45.0","2021-04-10 11:43:14.386"
"920.25","1.1875","E200 001D 1910 0118 1310 566F","5.411884219660542","-71.0","2021-04-10 11:43:14.406"
"920.25","29.25","E200 001D 1910 0116 1310 566E","2.705942109830271","-65.5","2021-04-10 11:43:14.42"
"920.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.190990986205009","-45.0","2021-04-10 11:43:14.421"
"920.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.197126909356553","-45.0","2021-04-10 11:43:14.487"
"920.25","-67.125","E200 001D 1910 0116 1310 566E","3.000466421104314","-65.0","2021-04-10 11:43:14.487"
"920.25","4.875","3008 33B2 DDD9 0140 0000 0040","5.209398755659637","-45.0","2021-04-10 11:43:14.496"
"920.25","-25.625","E200 001D 1910 0116 1310 566E","2.9022916506796332","-65.5","2021-04-10 11:43:14.497"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.945243112740431","-45.0","2021-04-10 11:43:14.583"
"906.25","19.5","3008 33B2 DDD9 0140 0000 0040","2.9145634969827183","-45.0","2021-04-10 11:43:14.605"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.9391071895888885","-45.0","2021-04-10 11:43:14.657"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.9575149590435164","-45.0","2021-04-10 11:43:14.68"
"919.25","-14.625","3008 33B2 DDD9 0140 0000 0040","5.497787143782138","-45.5","2021-04-10 11:43:14.74"
"919.25","96.375","E200 001D 1910 0116 1310 566E","3.1354567304382504","-64.5","2021-04-10 11:43:14.741"
"919.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.4671075280244255","-45.5","2021-04-10 11:43:14.762"
"919.25","41.5","E200 001D 1910 0116 1310 566E","3.380893656499953","-65.0","2021-04-10 11:43:14.763"
"919.25","-9.75","3008 33B2 DDD9 0140 0000 0040","5.485515297479052","-46.0","2021-04-10 11:43:14.827"
"919.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.45483568172134","-45.5","2021-04-10 11:43:14.838"
"919.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.47937937432751","-45.5","2021-04-10 11:43:14.891"
"919.25","7.3125","E200 001D 1910 0116 1310 566E","3.393165502803038","-65.0","2021-04-10 11:43:14.892"
"919.25","2.4375","3008 33B2 DDD9 0140 0000 0040","5.442563835418255","-45.5","2021-04-10 11:43:14.913"
"919.25","75.625","E200 001D 1910 0116 1310 566E","3.3440781175906977","-65.5","2021-04-10 11:43:14.916"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.705786636128833","-44.5","2021-04-10 11:43:14.99"
"910.25","-70.75","E200 001D 1910 0116 1310 566E","1.8775924843720249","-68.5","2021-04-10 11:43:14.992"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.718058482431918","-44.5","2021-04-10 11:43:15.013"
"910.25","-73.1875","E200 001D 1910 0116 1310 566E","1.9573594853420782","-68.0","2021-04-10 11:43:15.015"
"910.25","-9.75","3008 33B2 DDD9 0140 0000 0040","1.748738098189631","-44.5","2021-04-10 11:43:15.067"
"910.25","325.875","E200 001D 1910 0116 1310 566E","1.0676506283684062","-67.5","2021-04-10 11:43:15.068"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.7119225592803755","-44.5","2021-04-10 11:43:15.09"
"910.25","68.3125","E200 001D 1910 0116 1310 566E","1.8530487917658545","-67.5","2021-04-10 11:43:15.091"
"922.75","151.3125","E200 001D 1910 0116 1310 566E","1.0246991663076084","-63.0","2021-04-10 11:43:15.145"
"922.75","19.5","3008 33B2 DDD9 0140 0000 0040","4.503767593232243","-45.5","2021-04-10 11:43:15.146"
"922.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.540583132141498","-46.0","2021-04-10 11:43:15.167"
"922.75","133.0","E200 001D 1910 0116 1310 566E","1.0246991663076084","-64.0","2021-04-10 11:43:15.169"
"922.75","1.0625","E200 001D 1910 0118 1310 566F","3.8840393549264434","-70.0","2021-04-10 11:43:15.193"
"922.75","-29.25","E200 001D 1910 0116 1310 566E","1.5462526341887264","-63.5","2021-04-10 11:43:15.237"
"922.75","-4.875","3008 33B2 DDD9 0140 0000 0040","4.583534594202296","-45.5","2021-04-10 11:43:15.237"
"922.75","-31.6875","E200 001D 1910 0116 1310 566E","1.5033011721279284","-65.0","2021-04-10 11:43:15.26"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.503767593232243","-46.0","2021-04-10 11:43:15.261"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.534447208989955","-46.0","2021-04-10 11:43:15.315"
"922.75","-142.8125","E200 001D 1910 0116 1310 566E","1.6444274046134073","-65.0","2021-04-10 11:43:15.316"
"922.75","-0.0625","E200 001D 1910 0118 1310 566F","0.9081166264282996","-70.0","2021-04-10 11:43:15.339"
"923.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.454680208019902","-45.5","2021-04-10 11:43:15.36"
"923.25","-45.125","E200 001D 1910 0118 1310 566F","0.6994952392758523","-69.5","2021-04-10 11:43:15.36"
"923.25","-41.5","E200 001D 1910 0116 1310 566E","1.1596894756415448","-62.5","2021-04-10 11:43:15.362"
"923.25","-36.5625","E200 001D 1910 0116 1310 566E","1.1965050145508","-64.0","2021-04-10 11:43:15.416"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.442408361716817","-45.5","2021-04-10 11:43:15.418"
"923.25","2.9375","E200 001D 1910 0118 1310 566F","3.650874275167826","-70.0","2021-04-10 11:43:15.428"
"923.25","-4.875","3008 33B2 DDD9 0140 0000 0040","4.4362724385652745","-45.5","2021-04-10 11:43:15.45"
"923.25","7.3125","E200 001D 1910 0116 1310 566E","1.0615147052168636","-63.0","2021-04-10 11:43:15.45"
"923.25","4.875","E200 001D 1910 0118 1310 566F","0.2454369260617026","-69.5","2021-04-10 11:43:15.511"
"911.75","-15.8125","E200 001D 1910 0116 1310 566E","0.9326603190344698","-67.5","2021-04-10 11:43:15.555"
"911.75","9.75","3008 33B2 DDD9 0140 0000 0040","1.2762720155208536","-44.5","2021-04-10 11:43:15.556"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0040","1.2946797849754812","-44.5","2021-04-10 11:43:15.578"
"911.75","-498.0","E200 001D 1910 0116 1310 566E","2.0923497946760143","-66.5","2021-04-10 11:43:15.579"
"911.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.2455923997631406","-44.5","2021-04-10 11:43:15.633"
"911.75","124.5","E200 001D 1910 0116 1310 566E","0.5399612373357456","-66.0","2021-04-10 11:43:15.634"
"911.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.2578642460662257","-44.5","2021-04-10 11:43:15.656"
"911.75","0.25","E200 001D 1910 0116 1310 566E","0.8283496254582462","-67.0","2021-04-10 11:43:15.678"
"911.75","89.0625","E200 001D 1910 0116 1310 566E","0.6504078540635119","-65.5","2021-04-10 11:43:15.717"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.2517283229146832","-44.5","2021-04-10 11:43:15.718"
"911.75","12.1875","3008 33B2 DDD9 0140 0000 0040","1.2517283229146832","-44.5","2021-04-10 11:43:15.741"
"911.75","29.25","E200 001D 1910 0116 1310 566E","0.8897088569736719","-67.5","2021-04-10 11:43:15.742"
"903.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.706097583531709","-45.0","2021-04-10 11:43:15.808"
"903.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.730641276137879","-45.0","2021-04-10 11:43:15.83"
"903.75","9.75","3008 33B2 DDD9 0140 0000 0040","3.724505352986337","-45.0","2021-04-10 11:43:15.885"
"903.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.706097583531709","-45.5","2021-04-10 11:43:15.907"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0040","0.12885438618239387","-45.5","2021-04-10 11:43:15.96"
"915.75","41.5","E200 001D 1910 0116 1310 566E","4.92714629068868","-67.5","2021-04-10 11:43:15.983"
"915.75","4.875","3008 33B2 DDD9 0140 0000 0040","0.14112623248547898","-45.0","2021-04-10 11:43:15.984"
"915.75","2.4375","3008 33B2 DDD9 0140 0000 0040","0.1349903093339364","-45.5","2021-04-10 11:43:16.037"
