"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"909.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","0.944932165337555","-49.0","2021-04-10 11:49:57.256"
"909.75","0.1875","E200 001D 1910 0116 1310 566E","1.9880391010997909","-67.5","2021-04-10 11:49:57.279"
"909.75","14.625","3008 33B2 DDD9 0140 0000 0020","0.9326603190344698","-49.0","2021-04-10 11:49:57.322"
"909.75","2.875","E200 001D 1910 0116 1310 566E","1.945087639038993","-68.5","2021-04-10 11:49:57.334"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.944932165337555","-49.0","2021-04-10 11:49:57.354"
"916.75","26.5","E200 001D 1910 0116 1310 566E","1.0799224746714913","-67.5","2021-04-10 11:49:57.367"
"916.75","12.1875","3008 33B2 DDD9 0140 0000 0020","5.0682725231741586","-48.5","2021-04-10 11:49:57.423"
"916.75","-3.25","E200 001D 1910 0116 1310 566E","1.1965050145508","-69.0","2021-04-10 11:49:57.432"
"916.75","23.1875","E200 001D 1910 0116 1310 566E","4.295146206079795","-67.0","2021-04-10 11:49:57.438"
"916.75","28.0625","3008 33B2 DDD9 0140 0000 0020","5.074408446325701","-49.0","2021-04-10 11:49:57.439"
"916.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.080544369477243","-48.5","2021-04-10 11:49:57.492"
"916.75","-122.0625","E200 001D 1910 0116 1310 566E","4.381049130201391","-67.0","2021-04-10 11:49:57.494"
"916.75","-14.625","3008 33B2 DDD9 0140 0000 0020","5.092816215780329","-48.5","2021-04-10 11:49:57.516"
"916.75","2.5","E200 001D 1910 0116 1310 566E","4.301282129231338","-68.5","2021-04-10 11:49:57.532"
"904.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.3930100291016","-50.0","2021-04-10 11:49:57.578"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.36846633649543","-50.5","2021-04-10 11:49:57.599"
"904.75","21.9375","3008 33B2 DDD9 0140 0000 0020","2.3439226438892597","-50.5","2021-04-10 11:49:57.654"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.3746022596469727","-50.5","2021-04-10 11:49:57.675"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0020","2.3930100291016","-50.5","2021-04-10 11:49:57.728"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.3930100291016","-50.5","2021-04-10 11:49:57.75"
"908.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.2640001692177683","-49.0","2021-04-10 11:49:57.807"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.2640001692177683","-49.0","2021-04-10 11:49:57.833"
"908.75","30.5","3008 33B2 DDD9 0140 0000 0020","1.239456476611598","-49.0","2021-04-10 11:49:57.886"
"908.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","1.2946797849754812","-49.0","2021-04-10 11:49:57.907"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.282407938672396","-49.0","2021-04-10 11:49:57.959"
"918.25","57.3125","E200 001D 1910 0116 1310 566E","3.436116964863836","-65.0","2021-04-10 11:49:57.979"
"918.25","-9.75","3008 33B2 DDD9 0140 0000 0020","4.638757902566179","-49.0","2021-04-10 11:49:58.0"
"918.25","0.75","E200 001D 1910 0116 1310 566E","0.521553467881118","-68.0","2021-04-10 11:49:58.02"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.632621979414636","-49.0","2021-04-10 11:49:58.064"
"918.25","-50.0","E200 001D 1910 0116 1310 566E","3.5833791205008576","-67.5","2021-04-10 11:49:58.066"
"918.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.6448938257177215","-49.0","2021-04-10 11:49:58.094"
"918.25","17.0625","3008 33B2 DDD9 0140 0000 0020","4.601942363656923","-49.0","2021-04-10 11:49:58.149"
"909.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.1290098598838318","-49.0","2021-04-10 11:49:58.199"
"909.25","0.0","E200 001D 1910 0116 1310 566E","2.405281875404685","-70.0","2021-04-10 11:49:58.214"
"909.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.086058397823034","-49.0","2021-04-10 11:49:58.262"
"909.25","0.5","E200 001D 1910 0116 1310 566E","2.3930100291016","-69.5","2021-04-10 11:49:58.282"
"909.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.0983302441261191","-49.0","2021-04-10 11:49:58.296"
"909.25","-0.4375","E200 001D 1910 0116 1310 566E","2.4605051837685683","-70.5","2021-04-10 11:49:58.315"
"909.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.1044661672776617","-49.0","2021-04-10 11:49:58.361"
"909.25","0.5","E200 001D 1910 0116 1310 566E","2.405281875404685","-69.5","2021-04-10 11:49:58.371"
"925.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","2.36846633649543","-49.0","2021-04-10 11:49:58.419"
"925.25","-9.75","E200 001D 1910 0116 1310 566E","5.939573610693203","-63.5","2021-04-10 11:49:58.421"
"925.25","-1.1875","E200 001D 1910 0118 1310 566F","5.227806525114265","-71.5","2021-04-10 11:49:58.427"
"925.25","-107.375","E200 001D 1910 0116 1310 566E","6.105243535784852","-66.5","2021-04-10 11:49:58.466"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0020","2.386874105950058","-49.0","2021-04-10 11:49:58.467"
"925.25","21.9375","3008 33B2 DDD9 0140 0000 0020","2.3316507975861747","-49.5","2021-04-10 11:49:58.515"
"925.25","-46.375","E200 001D 1910 0116 1310 566E","6.12365130523948","-66.5","2021-04-10 11:49:58.516"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0020","2.405281875404685","-49.5","2021-04-10 11:49:58.566"
"925.25","83.0","E200 001D 1910 0116 1310 566E","6.037748381117884","-65.5","2021-04-10 11:49:58.569"
"917.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.792155981354743","-49.0","2021-04-10 11:49:58.614"
"917.75","1.75","E200 001D 1910 0116 1310 566E","0.6381360077604268","-68.0","2021-04-10 11:49:58.638"
"917.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.7860200582032","-49.0","2021-04-10 11:49:58.677"
"917.75","133.0","E200 001D 1910 0116 1310 566E","3.5772431973493153","-66.0","2021-04-10 11:49:58.678"
"917.75","-91.5","E200 001D 1910 0116 1310 566E","4.104932588381976","-68.5","2021-04-10 11:49:58.688"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0020","4.749204519293945","-49.0","2021-04-10 11:49:58.688"
"917.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.7860200582032","-49.0","2021-04-10 11:49:58.73"
"917.75","46.375","E200 001D 1910 0116 1310 566E","3.8717675086233583","-68.5","2021-04-10 11:49:58.731"
"917.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.7860200582032","-49.0","2021-04-10 11:49:58.754"
"917.75","213.5625","E200 001D 1910 0116 1310 566E","3.3502140407422405","-67.0","2021-04-10 11:49:58.754"
