"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.25","-19.5","3008 33B2 DDD9 0140 0000 0300","4.430136515413731","-47.0","2021-04-10 11:53:14.531"
"917.25","48.8125","E200 001D 1910 0116 1310 566E","4.129476280988146","-67.5","2021-04-10 11:53:14.533"
"917.25","-12.1875","3008 33B2 DDD9 0140 0000 0300","4.411728745959104","-47.0","2021-04-10 11:53:14.584"
"917.25","0.875","E200 001D 1910 0116 1310 566E","0.944932165337555","-65.5","2021-04-10 11:53:14.597"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0300","4.362641360746763","-47.0","2021-04-10 11:53:14.617"
"917.25","-4.25","E200 001D 1910 0116 1310 566E","1.1535535524900022","-68.5","2021-04-10 11:53:14.621"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","4.387185053352934","-47.0","2021-04-10 11:53:14.661"
"917.25","-43.9375","E200 001D 1910 0116 1310 566E","4.135612204139688","-67.5","2021-04-10 11:53:14.662"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","4.381049130201391","-47.0","2021-04-10 11:53:14.688"
"917.25","-7.3125","E200 001D 1910 0116 1310 566E","4.301282129231338","-68.0","2021-04-10 11:53:14.689"
"926.25","-3.75","E200 001D 1910 0118 1310 566F","4.755340442445488","-72.5","2021-04-10 11:53:14.719"
"926.25","68.3125","E200 001D 1910 0116 1310 566E","5.270757987175063","-65.0","2021-04-10 11:53:14.761"
"926.25","4.875","3008 33B2 DDD9 0140 0000 0300","1.4296700943094176","-47.5","2021-04-10 11:53:14.761"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0300","1.41126232485479","-47.5","2021-04-10 11:53:14.798"
"926.25","-48.8125","E200 001D 1910 0116 1310 566E","5.399612373357457","-66.5","2021-04-10 11:53:14.8"
"926.25","-4.875","3008 33B2 DDD9 0140 0000 0300","1.4603497100671303","-47.0","2021-04-10 11:53:14.852"
"926.25","-93.9375","E200 001D 1910 0116 1310 566E","5.497787143782138","-65.0","2021-04-10 11:53:14.853"
"926.25","-7.3125","3008 33B2 DDD9 0140 0000 0300","1.4664856332186729","-47.0","2021-04-10 11:53:14.88"
"926.25","-10.9375","E200 001D 1910 0116 1310 566E","5.344389064993574","-65.0","2021-04-10 11:53:14.88"
"905.75","14.625","3008 33B2 DDD9 0140 0000 0300","1.564660403643354","-49.5","2021-04-10 11:53:14.933"
"905.75","17.0625","3008 33B2 DDD9 0140 0000 0300","1.5585244804918115","-49.5","2021-04-10 11:53:14.955"
"905.75","14.625","3008 33B2 DDD9 0140 0000 0300","1.533980787885641","-49.0","2021-04-10 11:53:15.008"
"905.75","21.9375","3008 33B2 DDD9 0140 0000 0300","1.5462526341887264","-49.5","2021-04-10 11:53:15.031"
"905.75","36.5625","3008 33B2 DDD9 0140 0000 0300","1.5155730184310134","-49.5","2021-04-10 11:53:15.083"
"905.75","26.8125","3008 33B2 DDD9 0140 0000 0300","1.5278448647340985","-49.5","2021-04-10 11:53:15.105"
"906.75","21.9375","3008 33B2 DDD9 0140 0000 0300","1.282407938672396","-49.0","2021-04-10 11:53:15.157"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0300","1.325359400733194","-49.0","2021-04-10 11:53:15.179"
"906.75","17.0625","3008 33B2 DDD9 0140 0000 0300","1.2885438618239387","-49.0","2021-04-10 11:53:15.233"
"906.75","17.0625","3008 33B2 DDD9 0140 0000 0300","1.2762720155208536","-49.0","2021-04-10 11:53:15.255"
"906.75","14.625","3008 33B2 DDD9 0140 0000 0300","1.3008157081270237","-48.5","2021-04-10 11:53:15.308"
"906.75","9.75","3008 33B2 DDD9 0140 0000 0300","1.2885438618239387","-49.0","2021-04-10 11:53:15.33"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0300","2.730485802436441","-47.0","2021-04-10 11:53:15.397"
"922.25","0.0","E200 001D 1910 0116 1310 566E","1.5155730184310134","-64.5","2021-04-10 11:53:15.398"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0300","2.736621725587984","-46.5","2021-04-10 11:53:15.419"
"922.25","62.25","E200 001D 1910 0116 1310 566E","1.552388557340269","-65.0","2021-04-10 11:53:15.421"
"922.25","14.625","3008 33B2 DDD9 0140 0000 0300","2.7120780329818137","-47.0","2021-04-10 11:53:15.474"
"922.25","-0.125","E200 001D 1910 0116 1310 566E","1.6137477888556946","-64.5","2021-04-10 11:53:15.498"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0300","2.7120780329818137","-47.0","2021-04-10 11:53:15.506"
"922.25","91.5","E200 001D 1910 0116 1310 566E","1.4296700943094176","-65.0","2021-04-10 11:53:15.508"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0300","3.890175278077986","-47.5","2021-04-10 11:53:15.563"
"918.75","1.0625","E200 001D 1910 0116 1310 566E","0.28838838812250056","-68.0","2021-04-10 11:53:15.584"
"918.75","-9.75","3008 33B2 DDD9 0140 0000 0300","3.8963112012295285","-47.5","2021-04-10 11:53:15.597"
"918.75","1.625","E200 001D 1910 0116 1310 566E","3.429981041712294","-68.0","2021-04-10 11:53:15.607"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0300","3.890175278077986","-47.5","2021-04-10 11:53:15.659"
"918.75","62.25","E200 001D 1910 0116 1310 566E","3.3502140407422405","-66.5","2021-04-10 11:53:15.66"
"918.75","-9.75","3008 33B2 DDD9 0140 0000 0300","3.902447124381071","-47.5","2021-04-10 11:53:15.681"
"918.75","48.8125","E200 001D 1910 0116 1310 566E","3.368621810196868","-67.0","2021-04-10 11:53:15.684"
"918.75","54.875","E200 001D 1910 0116 1310 566E","3.2581751934691017","-65.5","2021-04-10 11:53:15.736"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 0300","3.865631585471816","-47.5","2021-04-10 11:53:15.736"
"907.25","12.1875","3008 33B2 DDD9 0140 0000 0300","1.141281706186917","-48.5","2021-04-10 11:53:15.78"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0300","1.1903690913992575","-48.5","2021-04-10 11:53:15.833"
"907.25","7.3125","3008 33B2 DDD9 0140 0000 0300","1.1719613219446299","-48.5","2021-04-10 11:53:15.854"
"907.25","17.0625","3008 33B2 DDD9 0140 0000 0300","1.1780972450961724","-48.5","2021-04-10 11:53:15.906"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0300","1.184233168247715","-48.5","2021-04-10 11:53:15.929"
"913.75","124.5","E200 001D 1910 0116 1310 566E","5.50392306693368","-67.5","2021-04-10 11:53:15.962"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0300","5.418020142812084","-47.5","2021-04-10 11:53:16.015"
"913.75","-9.75","E200 001D 1910 0116 1310 566E","5.896622148632405","-68.0","2021-04-10 11:53:16.017"
"913.75","-4.875","3008 33B2 DDD9 0140 0000 0300","5.424156065963627","-47.5","2021-04-10 11:53:16.028"
"913.75","-15.8125","E200 001D 1910 0116 1310 566E","5.8659425328746915","-68.0","2021-04-10 11:53:16.028"
"913.75","-2.4375","3008 33B2 DDD9 0140 0000 0300","5.47937937432751","-47.5","2021-04-10 11:53:16.08"
"913.75","70.75","E200 001D 1910 0116 1310 566E","5.749359992995383","-66.0","2021-04-10 11:53:16.082"
"913.75","-48.8125","E200 001D 1910 0116 1310 566E","5.93343768754166","-68.0","2021-04-10 11:53:16.107"
"913.75","-34.125","3008 33B2 DDD9 0140 0000 0300","5.485515297479052","-47.5","2021-04-10 11:53:16.107"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0300","2.1353012567368124","-49.5","2021-04-10 11:53:16.164"
"903.25","19.5","3008 33B2 DDD9 0140 0000 0300","2.0923497946760143","-49.5","2021-04-10 11:53:16.186"
"903.25","17.0625","3008 33B2 DDD9 0140 0000 0300","2.098485717827557","-49.5","2021-04-10 11:53:16.239"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0300","2.12916533358527","-49.5","2021-04-10 11:53:16.259"
"903.25","0.0","3008 33B2 DDD9 0140 0000 0300","2.116893487282185","-49.5","2021-04-10 11:53:16.317"
"903.25","-9.75","3008 33B2 DDD9 0140 0000 0300","2.1659808724945253","-49.5","2021-04-10 11:53:16.337"
"919.75","7.3125","3008 33B2 DDD9 0140 0000 0300","3.5772431973493153","-47.0","2021-04-10 11:53:16.4"
"919.75","4.875","E200 001D 1910 0116 1310 566E","3.06182565261974","-67.0","2021-04-10 11:53:16.401"
"919.75","12.1875","3008 33B2 DDD9 0140 0000 0300","3.5711072741977725","-47.0","2021-04-10 11:53:16.422"
"919.75","13.375","E200 001D 1910 0116 1310 566E","2.890019804376548","-66.5","2021-04-10 11:53:16.423"
"919.75","20.75","3008 33B2 DDD9 0140 0000 0300","3.54042765844006","-47.0","2021-04-10 11:53:16.476"
"919.75","48.8125","E200 001D 1910 0116 1310 566E","2.773437264497239","-67.0","2021-04-10 11:53:16.477"
"919.75","9.75","3008 33B2 DDD9 0140 0000 0300","3.552699504743145","-47.0","2021-04-10 11:53:16.499"
"919.75","-67.125","E200 001D 1910 0116 1310 566E","3.2213596545598464","-67.0","2021-04-10 11:53:16.501"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0300","1.6873788666742053","-49.5","2021-04-10 11:53:16.563"
"905.25","39.0625","3008 33B2 DDD9 0140 0000 0300","1.6137477888556946","-49.0","2021-04-10 11:53:16.585"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0300","1.6873788666742053","-49.5","2021-04-10 11:53:16.638"
"905.25","-9.75","3008 33B2 DDD9 0140 0000 0300","1.718058482431918","-49.5","2021-04-10 11:53:16.66"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0300","1.6751070203711202","-49.5","2021-04-10 11:53:16.713"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0300","1.6935147898257479","-49.0","2021-04-10 11:53:16.735"
"924.25","-25.625","E200 001D 1910 0116 1310 566E","0.3436116964863836","-65.0","2021-04-10 11:53:16.816"
"924.25","-7.3125","3008 33B2 DDD9 0140 0000 0300","2.0923497946760143","-47.0","2021-04-10 11:53:16.817"
"924.25","142.8125","E200 001D 1910 0116 1310 566E","0.03681553890925539","-64.0","2021-04-10 11:53:16.84"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0300","2.086213871524472","-47.0","2021-04-10 11:53:16.841"
"924.25","19.5","3008 33B2 DDD9 0140 0000 0300","2.018718716857504","-47.0","2021-04-10 11:53:16.895"
"924.25","-0.4375","E200 001D 1910 0116 1310 566E","0.42337869745643697","-65.5","2021-04-10 11:53:16.919"
"924.25","-70.75","E200 001D 1910 0116 1310 566E","0.7915340865489908","-64.0","2021-04-10 11:53:16.948"
"924.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","2.073942025221387","-46.5","2021-04-10 11:53:16.95"
"912.75","-4.875","3008 33B2 DDD9 0140 0000 0300","5.737088146692298","-47.5","2021-04-10 11:53:17.014"
"912.75","0.875","E200 001D 1910 0116 1310 566E","0.1349903093339364","-66.0","2021-04-10 11:53:17.027"
"912.75","-12.1875","3008 33B2 DDD9 0140 0000 0300","5.749359992995383","-47.5","2021-04-10 11:53:17.047"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0300","5.737088146692298","-47.5","2021-04-10 11:53:17.098"
"912.75","17.0625","3008 33B2 DDD9 0140 0000 0300","5.706408530934585","-47.5","2021-04-10 11:53:17.121"
"912.75","-23.1875","E200 001D 1910 0116 1310 566E","0.14726215563702155","-67.5","2021-04-10 11:53:17.122"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0300","3.0495538063166547","-47.5","2021-04-10 11:53:17.174"
"921.25","29.25","E200 001D 1910 0116 1310 566E","2.313243028131547","-64.0","2021-04-10 11:53:17.176"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0300","3.043417883165112","-47.5","2021-04-10 11:53:17.201"
"921.25","25.625","E200 001D 1910 0116 1310 566E","2.055534255766759","-64.0","2021-04-10 11:53:17.203"
"921.25","0.0","3008 33B2 DDD9 0140 0000 0300","3.0802334220743677","-47.5","2021-04-10 11:53:17.257"
"921.25","59.8125","E200 001D 1910 0116 1310 566E","1.859184714917397","-64.0","2021-04-10 11:53:17.259"
"921.25","25.625","3008 33B2 DDD9 0140 0000 0300","3.018874190558942","-47.5","2021-04-10 11:53:17.279"
"921.25","15.8125","E200 001D 1910 0116 1310 566E","2.1230294104337273","-64.5","2021-04-10 11:53:17.28"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0300","3.055689729468197","-47.5","2021-04-10 11:53:17.335"
"921.25","-0.75","E200 001D 1910 0116 1310 566E","2.073942025221387","-66.5","2021-04-10 11:53:17.357"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0300","1.043106935762236","-48.0","2021-04-10 11:53:17.396"
"907.75","12.1875","3008 33B2 DDD9 0140 0000 0300","1.030835089459151","-48.5","2021-04-10 11:53:17.448"
"907.75","26.8125","3008 33B2 DDD9 0140 0000 0300","1.030835089459151","-48.5","2021-04-10 11:53:17.471"
"907.75","7.3125","3008 33B2 DDD9 0140 0000 0300","1.0492428589137786","-48.5","2021-04-10 11:53:17.525"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0300","1.043106935762236","-48.5","2021-04-10 11:53:17.546"
"913.25","43.9375","E200 001D 1910 0116 1310 566E","6.1850105367549055","-70.0","2021-04-10 11:53:17.572"
"913.25","9.75","3008 33B2 DDD9 0140 0000 0300","5.553010452146021","-47.5","2021-04-10 11:53:17.611"
"913.25","190.375","E200 001D 1910 0116 1310 566E","5.835262917116979","-66.5","2021-04-10 11:53:17.613"
"913.25","-29.25","E200 001D 1910 0116 1310 566E","0.04295146206079795","-69.0","2021-04-10 11:53:17.633"
"913.25","2.4375","3008 33B2 DDD9 0140 0000 0300","5.602097837358362","-47.5","2021-04-10 11:53:17.635"
"913.25","-19.5","3008 33B2 DDD9 0140 0000 0300","5.64504929941916","-47.5","2021-04-10 11:53:17.688"
"913.25","57.3125","E200 001D 1910 0116 1310 566E","6.013204688511713","-67.5","2021-04-10 11:53:17.688"
"913.25","17.0625","3008 33B2 DDD9 0140 0000 0300","5.559146375297564","-47.5","2021-04-10 11:53:17.709"
"913.25","1.5625","E200 001D 1910 0116 1310 566E","6.080699843178682","-66.0","2021-04-10 11:53:17.722"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0300","1.88986433067511","-46.5","2021-04-10 11:53:17.772"
"924.75","-52.4375","E200 001D 1910 0116 1310 566E","0.3436116964863836","-64.0","2021-04-10 11:53:17.797"
"924.75","0.0","3008 33B2 DDD9 0140 0000 0300","1.9266798695843652","-46.5","2021-04-10 11:53:17.798"
"924.75","0.0","3008 33B2 DDD9 0140 0000 0300","1.9205439464328227","-46.5","2021-04-10 11:53:17.85"
"924.75","-48.8125","E200 001D 1910 0116 1310 566E","0.1902136176978195","-65.0","2021-04-10 11:53:17.85"
"924.75","14.625","3008 33B2 DDD9 0140 0000 0300","1.8837284075235674","-46.5","2021-04-10 11:53:17.896"
"924.75","-52.4375","E200 001D 1910 0116 1310 566E","0.2086213871524472","-64.0","2021-04-10 11:53:17.897"
"924.75","0.0","3008 33B2 DDD9 0140 0000 0300","1.9266798695843652","-46.5","2021-04-10 11:53:17.952"
"904.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","1.9266798695843652","-49.5","2021-04-10 11:53:17.995"
"904.25","-7.3125","3008 33B2 DDD9 0140 0000 0300","1.932815792735908","-49.5","2021-04-10 11:53:18.047"
"904.25","7.3125","3008 33B2 DDD9 0140 0000 0300","1.8960002538266525","-49.0","2021-04-10 11:53:18.07"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0300","1.9082721001297376","-49.0","2021-04-10 11:53:18.123"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0300","1.9205439464328227","-49.5","2021-04-10 11:53:18.144"
"912.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","5.896622148632405","-47.5","2021-04-10 11:53:18.22"
"912.25","-2.4375","E200 001D 1910 0116 1310 566E","0.5399612373357456","-66.5","2021-04-10 11:53:18.232"
"912.25","-36.5625","E200 001D 1910 0116 1310 566E","0.4356505437595221","-68.0","2021-04-10 11:53:18.251"
"912.25","0.0","3008 33B2 DDD9 0140 0000 0300","5.890486225480862","-47.5","2021-04-10 11:53:18.251"
"912.25","4.875","3008 33B2 DDD9 0140 0000 0300","5.902758071783947","-47.5","2021-04-10 11:53:18.307"
"912.25","-75.625","E200 001D 1910 0116 1310 566E","0.28838838812250056","-67.5","2021-04-10 11:53:18.309"
"912.25","-83.0","E200 001D 1910 0116 1310 566E","0.5767767762450011","-67.5","2021-04-10 11:53:18.329"
"912.25","4.875","3008 33B2 DDD9 0140 0000 0300","5.884350302329319","-47.5","2021-04-10 11:53:18.331"
"927.25","7.3125","3008 33B2 DDD9 0140 0000 0300","1.1290098598838318","-47.0","2021-04-10 11:53:18.382"
"927.25","4.875","E200 001D 1910 0116 1310 566E","4.73693267299086","-66.0","2021-04-10 11:53:18.385"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","1.1167380135807468","-47.0","2021-04-10 11:53:18.411"
"927.25","-25.625","E200 001D 1910 0116 1310 566E","5.006913291658733","-65.5","2021-04-10 11:53:18.412"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","1.1535535524900022","-47.0","2021-04-10 11:53:18.465"
"927.25","126.9375","E200 001D 1910 0116 1310 566E","4.626486056263094","-65.0","2021-04-10 11:53:18.466"
"927.25","-87.875","E200 001D 1910 0116 1310 566E","4.878058905476339","-65.5","2021-04-10 11:53:18.49"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","1.1290098598838318","-47.0","2021-04-10 11:53:18.492"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0300","1.1351457830353744","-47.0","2021-04-10 11:53:18.546"
"927.25","-87.875","E200 001D 1910 0116 1310 566E","4.908738521234052","-66.0","2021-04-10 11:53:18.548"
"916.25","14.625","3008 33B2 DDD9 0140 0000 0300","4.663301595172349","-47.5","2021-04-10 11:53:18.604"
"916.25","-23.1875","E200 001D 1910 0116 1310 566E","4.552854978444583","-67.5","2021-04-10 11:53:18.606"
"916.25","-7.3125","3008 33B2 DDD9 0140 0000 0300","4.6878452877785195","-47.5","2021-04-10 11:53:18.657"
"916.25","-1.5","E200 001D 1910 0116 1310 566E","4.779884135051658","-68.5","2021-04-10 11:53:18.675"
"916.25","119.625","E200 001D 1910 0116 1310 566E","4.479223900626073","-67.0","2021-04-10 11:53:18.691"
"916.25","12.1875","3008 33B2 DDD9 0140 0000 0300","4.669437518323892","-47.5","2021-04-10 11:53:18.692"
"916.25","0.0","3008 33B2 DDD9 0140 0000 0300","4.700117134081604","-48.0","2021-04-10 11:53:18.744"
"916.25","2.4375","E200 001D 1910 0116 1310 566E","4.608078286808466","-68.0","2021-04-10 11:53:18.745"
"916.25","-4.875","3008 33B2 DDD9 0140 0000 0300","4.700117134081604","-47.5","2021-04-10 11:53:18.756"
"916.25","46.375","E200 001D 1910 0116 1310 566E","4.405592822807561","-69.0","2021-04-10 11:53:18.757"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0300","5.111223985234957","-47.5","2021-04-10 11:53:18.809"
"914.75","-1.3125","E200 001D 1910 0116 1310 566E","5.289165756629691","-68.0","2021-04-10 11:53:18.828"
"914.75","-7.3125","3008 33B2 DDD9 0140 0000 0300","5.117359908386499","-47.0","2021-04-10 11:53:18.843"
"914.75","89.0625","E200 001D 1910 0116 1310 566E","5.283029833478148","-66.0","2021-04-10 11:53:18.844"
"914.75","17.0625","3008 33B2 DDD9 0140 0000 0300","5.092816215780329","-47.0","2021-04-10 11:53:18.896"
"914.75","-163.5625","E200 001D 1910 0116 1310 566E","5.915029918087033","-66.5","2021-04-10 11:53:18.896"
"914.75","23.1875","E200 001D 1910 0116 1310 566E","5.368932757599744","-68.5","2021-04-10 11:53:18.917"
"914.75","19.5","3008 33B2 DDD9 0140 0000 0300","5.092816215780329","-47.0","2021-04-10 11:53:18.918"
"914.75","9.75","3008 33B2 DDD9 0140 0000 0300","5.117359908386499","-47.0","2021-04-10 11:53:18.971"
"914.75","-36.5625","E200 001D 1910 0116 1310 566E","5.448699758569798","-68.0","2021-04-10 11:53:18.972"
"914.75","-29.25","E200 001D 1910 0116 1310 566E","5.338253141842031","-67.5","2021-04-10 11:53:18.994"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0300","5.117359908386499","-47.0","2021-04-10 11:53:18.996"
"908.25","12.1875","3008 33B2 DDD9 0140 0000 0300","0.8835729338221293","-48.5","2021-04-10 11:53:19.063"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0300","0.9265243958829272","-48.5","2021-04-10 11:53:19.088"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0300","0.8897088569736719","-48.5","2021-04-10 11:53:19.139"
"908.25","14.625","3008 33B2 DDD9 0140 0000 0300","0.8835729338221293","-48.5","2021-04-10 11:53:19.162"
"921.75","2.4375","3008 33B2 DDD9 0140 0000 0300","2.9022916506796332","-46.5","2021-04-10 11:53:19.215"
"921.75","-28.0625","E200 001D 1910 0116 1310 566E","1.9389517158874505","-65.5","2021-04-10 11:53:19.217"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0300","2.8838838812250054","-47.0","2021-04-10 11:53:19.226"
"921.75","13.375","E200 001D 1910 0116 1310 566E","1.945087639038993","-66.0","2021-04-10 11:53:19.228"
"921.75","68.3125","E200 001D 1910 0116 1310 566E","1.8407769454627694","-64.5","2021-04-10 11:53:19.28"
"921.75","19.5","3008 33B2 DDD9 0140 0000 0300","2.859340188618835","-47.0","2021-04-10 11:53:19.282"
"921.75","-9.75","E200 001D 1910 0116 1310 566E","1.88986433067511","-63.0","2021-04-10 11:53:19.303"
"921.75","-9.75","3008 33B2 DDD9 0140 0000 0300","2.9268353432858034","-47.0","2021-04-10 11:53:19.305"
"921.75","0.0","3008 33B2 DDD9 0140 0000 0300","2.9022916506796332","-47.0","2021-04-10 11:53:19.358"
"921.75","-130.5625","E200 001D 1910 0116 1310 566E","2.1230294104337273","-64.5","2021-04-10 11:53:19.359"
"921.75","83.0","E200 001D 1910 0116 1310 566E","1.761009944492716","-64.0","2021-04-10 11:53:19.382"
"921.75","7.3125","3008 33B2 DDD9 0140 0000 0300","2.9084275738311756","-47.0","2021-04-10 11:53:19.383"
"902.75","-2.4375","3008 33B2 DDD9 0140 0000 0300","2.2580197197676637","-50.0","2021-04-10 11:53:19.438"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0300","2.2518837966161214","-49.5","2021-04-10 11:53:19.459"
"902.75","12.1875","3008 33B2 DDD9 0140 0000 0300","2.2457478734645786","-50.0","2021-04-10 11:53:19.512"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0300","2.2396119503130363","-50.0","2021-04-10 11:53:19.536"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0300","2.227340104009951","-50.0","2021-04-10 11:53:19.589"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0300","2.2580197197676637","-50.0","2021-04-10 11:53:19.61"
"926.75","-2.4375","3008 33B2 DDD9 0140 0000 0300","1.282407938672396","-47.0","2021-04-10 11:53:19.669"
"926.75","-48.8125","E200 001D 1910 0116 1310 566E","5.270757987175063","-65.0","2021-04-10 11:53:19.671"
"926.75","17.0625","3008 33B2 DDD9 0140 0000 0300","1.2333205534600555","-47.5","2021-04-10 11:53:19.72"
"926.75","-20.75","E200 001D 1910 0116 1310 566E","5.1725832167503825","-65.0","2021-04-10 11:53:19.721"
"926.75","12.1875","3008 33B2 DDD9 0140 0000 0300","1.2578642460662257","-47.0","2021-04-10 11:53:19.779"
"926.75","1.625","E200 001D 1910 0116 1310 566E","5.006913291658733","-66.0","2021-04-10 11:53:19.802"
"926.75","9.75","3008 33B2 DDD9 0140 0000 0300","1.2578642460662257","-47.5","2021-04-10 11:53:19.814"
"926.75","0.4375","E200 001D 1910 0116 1310 566E","5.135767677841127","-66.0","2021-04-10 11:53:19.829"
"915.25","-106.1875","E200 001D 1910 0116 1310 566E","5.21553467881118","-68.0","2021-04-10 11:53:19.889"
"915.25","0.0","3008 33B2 DDD9 0140 0000 0300","4.97623367590102","-47.0","2021-04-10 11:53:19.89"
"915.25","-400.375","E200 001D 1910 0116 1310 566E","4.755340442445488","-67.0","2021-04-10 11:53:19.926"
