"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0040","5.792311455056181","-46.5","2021-04-10 23:41:25.808"
"917.25","-0.0625","E280 1160 6000 0207 A652 4164","1.509437095279471","-71.0","2021-04-10 23:41:25.822"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0040","5.810719224510809","-46.0","2021-04-10 23:41:25.841"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0040","5.798447378207723","-46.0","2021-04-10 23:41:25.893"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.810719224510809","-46.5","2021-04-10 23:41:25.916"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0040","4.896466674930966","-46.5","2021-04-10 23:41:25.986"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.908738521234052","-46.5","2021-04-10 23:41:26.008"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.908738521234052","-46.5","2021-04-10 23:41:26.06"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0040","4.902602598082509","-46.5","2021-04-10 23:41:26.082"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0040","1.552388557340269","-46.5","2021-04-10 23:41:26.137"
"910.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.5830681730979816","-46.5","2021-04-10 23:41:26.158"
"910.25","2.9375","E280 1160 6000 0207 A652 4164","4.890330751779424","-70.0","2021-04-10 23:41:26.18"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.5707963267948966","-46.5","2021-04-10 23:41:26.233"
"910.25","-0.0625","E280 1160 6000 0207 A652 4164","5.227806525114265","-70.5","2021-04-10 23:41:26.252"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.5707963267948966","-46.5","2021-04-10 23:41:26.265"
"910.25","-0.0625","E280 1160 6000 0207 A652 4164","5.2768939103266055","-70.0","2021-04-10 23:41:26.281"
"903.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.663146121470911","-47.5","2021-04-10 23:41:26.338"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0040","3.6692820446224537","-47.5","2021-04-10 23:41:26.358"
"903.25","23.1875","3008 33B2 DDD9 0140 0000 0040","3.6570101983193686","-47.5","2021-04-10 23:41:26.413"
"903.25","0.25","E280 1160 6000 0207 A652 4164","4.878058905476339","-68.0","2021-04-10 23:41:26.429"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0040","3.663146121470911","-47.5","2021-04-10 23:41:26.447"
"903.25","-0.0625","E280 1160 6000 0207 A652 4164","5.209398755659637","-68.0","2021-04-10 23:41:26.458"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0040","3.6754179677739964","-47.5","2021-04-10 23:41:26.508"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.3989904785517047","-46.0","2021-04-10 23:41:26.54"
"910.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.4296700943094176","-46.5","2021-04-10 23:41:26.593"
"910.75","0.8125","E280 1160 6000 0207 A652 4164","5.043728830567988","-70.0","2021-04-10 23:41:26.609"
"910.75","19.5","3008 33B2 DDD9 0140 0000 0040","1.3989904785517047","-46.5","2021-04-10 23:41:26.626"
"910.75","24.375","3008 33B2 DDD9 0140 0000 0040","1.4051264017032472","-46.5","2021-04-10 23:41:26.68"
"910.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.4480778637640452","-46.5","2021-04-10 23:41:26.701"
