"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.25","128.125","E200 001D 1910 0116 1310 566E","2.4605051837685683","-65.5","2021-04-10 23:32:49.45"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.454369260617026","-44.0","2021-04-10 23:32:49.45"
"917.75","0.4375","E280 1160 6000 0207 A652 4164","1.761009944492716","-69.5","2021-04-10 23:32:49.527"
"917.75","0.0","3008 33B2 DDD9 0140 0000 0020","3.9760782021995817","-44.0","2021-04-10 23:32:49.564"
"917.75","-114.6875","E280 1160 6000 0207 A652 4164","1.9512235621905356","-69.0","2021-04-10 23:32:49.565"
"917.75","-46.375","E200 001D 1910 0116 1310 566E","5.473243451175968","-63.5","2021-04-10 23:32:49.566"
"917.75","-1.5","E200 001D 1910 0122 1310 5F19","6.129787228391022","-71.5","2021-04-10 23:32:49.576"
"917.75","0.0","3008 33B2 DDD9 0140 0000 0020","3.9699422790480394","-44.0","2021-04-10 23:32:49.598"
"917.75","15.8125","E200 001D 1910 0116 1310 566E","5.2768939103266055","-64.0","2021-04-10 23:32:49.599"
"917.75","115.9375","E280 1160 6000 0207 A652 4164","1.5953400194010667","-68.5","2021-04-10 23:32:49.6"
"917.75","3.625","E200 001D 1910 0122 1310 5F19","5.957981380147831","-73.0","2021-04-10 23:32:49.622"
"917.75","2.4375","3008 33B2 DDD9 0140 0000 0020","3.933126740138784","-44.0","2021-04-10 23:32:49.662"
"917.75","43.9375","E280 1160 6000 0207 A652 4164","1.7732817907958012","-68.0","2021-04-10 23:32:49.663"
"917.75","48.8125","E200 001D 1910 0116 1310 566E","5.148039524144211","-64.0","2021-04-10 23:32:49.664"
"917.75","-0.9375","E200 001D 1910 0122 1310 5F19","2.8716120349219203","-72.0","2021-04-10 23:32:49.683"
"917.75","2.4375","3008 33B2 DDD9 0140 0000 0020","3.933126740138784","-44.0","2021-04-10 23:32:49.698"
"917.75","43.9375","E200 001D 1910 0116 1310 566E","5.21553467881118","-64.0","2021-04-10 23:32:49.699"
"917.75","0.625","E280 1160 6000 0207 A652 4164","1.8039614065535141","-67.5","2021-04-10 23:32:49.709"
"918.25","21.625","E200 001D 1910 0118 1310 566F","4.651029748869264","-69.0","2021-04-10 23:32:49.721"
"918.25","-2.3125","E200 001D 1910 0122 1310 5F19","5.902758071783947","-72.5","2021-04-10 23:32:49.77"
"918.25","17.0625","E280 1160 6000 0207 A652 4164","1.6198837120072371","-69.5","2021-04-10 23:32:49.807"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0020","3.767456815047135","-44.0","2021-04-10 23:32:49.808"
"918.25","7.3125","E200 001D 1910 0116 1310 566E","5.049864753719531","-64.0","2021-04-10 23:32:49.809"
"918.25","-0.0625","E200 001D 1910 0122 1310 5F19","2.6998061866787286","-73.5","2021-04-10 23:32:49.824"
"918.25","20.75","E200 001D 1910 0116 1310 566E","5.074408446325701","-64.0","2021-04-10 23:32:49.842"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.773592738198677","-44.0","2021-04-10 23:32:49.843"
"918.25","109.8125","E280 1160 6000 0207 A652 4164","1.4173982480063325","-66.5","2021-04-10 23:32:49.844"
"918.25","0.375","E200 001D 1910 0122 1310 5F19","6.105243535784852","-73.5","2021-04-10 23:32:49.859"
"918.25","50.0","E200 001D 1910 0116 1310 566E","4.9394181369917645","-64.5","2021-04-10 23:32:49.905"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0020","3.767456815047135","-44.0","2021-04-10 23:32:49.907"
"918.25","-26.8125","E280 1160 6000 0207 A652 4164","1.4051264017032472","-67.0","2021-04-10 23:32:49.908"
"919.75","-0.5625","E200 001D 1910 0118 1310 566F","4.083456857351576","-70.0","2021-04-10 23:32:49.929"
"919.75","-151.3125","E200 001D 1910 0116 1310 566E","4.534447208989955","-64.0","2021-04-10 23:32:49.96"
"919.75","0.0","3008 33B2 DDD9 0140 0000 0020","3.2765829629237295","-44.0","2021-04-10 23:32:49.961"
"919.75","-2.6875","E280 1160 6000 0207 A652 4164","0.6320000846088841","-69.5","2021-04-10 23:32:49.982"
"919.75","7.3125","3008 33B2 DDD9 0140 0000 0020","3.2643111166206444","-44.0","2021-04-10 23:32:50.025"
"919.75","-28.0625","E200 001D 1910 0116 1310 566E","4.246058820867455","-65.0","2021-04-10 23:32:50.026"
"919.75","3.8125","E280 1160 6000 0207 A652 4164","0.3190680038802134","-69.0","2021-04-10 23:32:50.038"
"919.75","-2.125","E200 001D 1910 0122 1310 5F19","2.0064468705544187","-73.5","2021-04-10 23:32:50.068"
"919.75","4.875","3008 33B2 DDD9 0140 0000 0020","3.2765829629237295","-44.0","2021-04-10 23:32:50.075"
"919.75","-41.5","E200 001D 1910 0116 1310 566E","4.215379205109742","-64.0","2021-04-10 23:32:50.076"
"919.75","1.1875","E280 1160 6000 0207 A652 4164","0.5706408530934585","-70.5","2021-04-10 23:32:50.092"
"919.75","0.5","E200 001D 1910 0118 1310 566F","0.9203884727313847","-69.5","2021-04-10 23:32:50.105"
"906.75","-9.75","E200 001D 1910 0116 1310 566E","5.221670601962723","-63.5","2021-04-10 23:32:50.178"
"906.75","-131.8125","E200 001D 1910 0119 1310 5A03","4.908738521234052","-67.5","2021-04-10 23:32:50.179"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.0921943209745766","-44.5","2021-04-10 23:32:50.18"
"906.75","41.5","E280 1160 6000 0207 A652 4164","2.110757564130642","-66.0","2021-04-10 23:32:50.181"
"906.75","7.3125","E280 1160 6000 0207 A652 4164","2.1659808724945253","-66.0","2021-04-10 23:32:50.202"
"906.75","-69.5625","E200 001D 1910 0119 1310 5A03","4.608078286808466","-68.5","2021-04-10 23:32:50.203"
"906.75","-64.6875","E200 001D 1910 0116 1310 566E","5.332117218690489","-64.0","2021-04-10 23:32:50.204"
"906.75","0.0","3008 33B2 DDD9 0140 0000 0020","1.1167380135807468","-44.5","2021-04-10 23:32:50.205"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.1167380135807468","-44.5","2021-04-10 23:32:50.26"
"906.75","-36.5625","E280 1160 6000 0207 A652 4164","2.282563412373834","-65.5","2021-04-10 23:32:50.261"
"906.75","-10.9375","E200 001D 1910 0116 1310 566E","5.258486140871978","-63.5","2021-04-10 23:32:50.261"
"906.75","41.5","E280 1160 6000 0207 A652 4164","2.1659808724945253","-64.5","2021-04-10 23:32:50.283"
"906.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.0921943209745766","-44.0","2021-04-10 23:32:50.285"
