"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.601942363656923","-47.0","2021-04-10 23:38:50.844"
"916.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.614214209960009","-47.0","2021-04-10 23:38:50.867"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.601942363656923","-47.0","2021-04-10 23:38:50.92"
"916.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.608078286808466","-47.0","2021-04-10 23:38:50.942"
"914.25","14.625","3008 33B2 DDD9 0140 0000 0020","5.2339424482658075","-46.5","2021-04-10 23:38:51.002"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0020","5.252350217720435","-46.5","2021-04-10 23:38:51.025"
"914.25","17.0625","3008 33B2 DDD9 0140 0000 0020","5.227806525114265","-46.5","2021-04-10 23:38:51.077"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.258486140871978","-47.0","2021-04-10 23:38:51.1"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0020","5.246214294568893","-47.0","2021-04-10 23:38:51.155"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0020","5.252350217720435","-47.0","2021-04-10 23:38:51.178"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.9696313316451632","-47.5","2021-04-10 23:38:51.253"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.9757672547967058","-47.5","2021-04-10 23:38:51.275"
"924.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.9696313316451632","-47.5","2021-04-10 23:38:51.33"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.9819031779482483","-47.5","2021-04-10 23:38:51.353"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","6.22182607566416","-47.5","2021-04-10 23:38:51.406"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0020","6.215690152512618","-47.5","2021-04-10 23:38:51.428"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","6.215690152512618","-47.5","2021-04-10 23:38:51.482"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","6.215690152512618","-47.5","2021-04-10 23:38:51.504"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0020","6.22182607566416","-47.5","2021-04-10 23:38:51.558"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0020","6.240233845118788","-47.5","2021-04-10 23:38:51.582"
"927.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.0615147052168636","-48.5","2021-04-10 23:38:51.654"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.0737865515199487","-48.5","2021-04-10 23:38:51.677"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.0799224746714913","-48.0","2021-04-10 23:38:51.731"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.0799224746714913","-48.5","2021-04-10 23:38:51.754"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.7241944055834606","-48.0","2021-04-10 23:38:51.807"
"905.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.7119225592803755","-48.0","2021-04-10 23:38:51.831"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.7426021750380885","-48.0","2021-04-10 23:38:51.883"
"905.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.7241944055834606","-48.0","2021-04-10 23:38:51.906"
"905.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.7241944055834606","-48.0","2021-04-10 23:38:51.96"
"905.25","-0.8125","E280 1160 6000 0207 A652 4164","0.8651651643675016","-70.5","2021-04-10 23:38:51.977"
"905.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.736466251886546","-48.0","2021-04-10 23:38:51.992"
"905.75","17.0625","3008 33B2 DDD9 0140 0000 0020","1.576932249946439","-48.5","2021-04-10 23:38:52.061"
"905.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.5953400194010667","-48.5","2021-04-10 23:38:52.084"
"905.75","1.125","E280 1160 6000 0207 A652 4164","0.5154175447295755","-71.0","2021-04-10 23:38:52.096"
"905.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.5892040962495242","-48.5","2021-04-10 23:38:52.147"
"905.75","17.0625","3008 33B2 DDD9 0140 0000 0020","1.5830681730979816","-48.0","2021-04-10 23:38:52.171"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.270602513473625","-46.5","2021-04-10 23:38:52.223"
"917.25","19.5","3008 33B2 DDD9 0140 0000 0020","4.25833066717054","-47.0","2021-04-10 23:38:52.247"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.289010282928253","-47.0","2021-04-10 23:38:52.299"
"917.25","12.1875","3008 33B2 DDD9 0140 0000 0020","4.28287435977671","-46.5","2021-04-10 23:38:52.324"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.276738436625168","-47.0","2021-04-10 23:38:52.377"
"917.25","0.0","3008 33B2 DDD9 0140 0000 0020","4.289010282928253","-47.0","2021-04-10 23:38:52.4"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0020","3.104777114680538","-47.5","2021-04-10 23:38:52.471"
"920.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","3.141592653589793","-48.0","2021-04-10 23:38:52.494"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0020","3.1231848841351653","-47.5","2021-04-10 23:38:52.548"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0020","3.104777114680538","-48.0","2021-04-10 23:38:52.572"
"910.25","24.375","3008 33B2 DDD9 0140 0000 0020","0.23930100291016002","-47.5","2021-04-10 23:38:52.625"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0020","0.25770877236478773","-47.0","2021-04-10 23:38:52.647"
"910.25","21.9375","3008 33B2 DDD9 0140 0000 0020","0.25157284921324513","-47.0","2021-04-10 23:38:52.702"
"910.25","21.9375","3008 33B2 DDD9 0140 0000 0020","0.25770877236478773","-47.5","2021-04-10 23:38:52.724"
"910.25","21.9375","3008 33B2 DDD9 0140 0000 0020","0.25157284921324513","-47.5","2021-04-10 23:38:52.777"
"910.25","21.9375","3008 33B2 DDD9 0140 0000 0020","0.2454369260617026","-47.5","2021-04-10 23:38:52.801"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.270291566070749","-48.5","2021-04-10 23:38:52.875"
"903.25","17.0625","3008 33B2 DDD9 0140 0000 0020","2.2580197197676637","-48.5","2021-04-10 23:38:52.898"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.2580197197676637","-48.5","2021-04-10 23:38:52.952"
"903.25","17.0625","3008 33B2 DDD9 0140 0000 0020","2.2641556429192065","-48.5","2021-04-10 23:38:52.975"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.1043106935762236","-47.5","2021-04-10 23:38:53.029"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.1043106935762236","-47.5","2021-04-10 23:38:53.052"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.11044661672776616","-47.5","2021-04-10 23:38:53.106"
