"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.5034566458293663","-48.0","2021-04-10 23:37:21.291"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.35588354278946877","-47.0","2021-04-10 23:37:21.361"
"910.75","0.0625","E280 1160 6000 0207 A652 4164","1.282407938672396","-71.5","2021-04-10 23:37:21.383"
"910.75","21.9375","3008 33B2 DDD9 0140 0000 0020","0.34974761963792617","-47.0","2021-04-10 23:37:21.395"
"910.75","0.8125","E280 1160 6000 0207 A652 4164","1.5155730184310134","-71.0","2021-04-10 23:37:21.408"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0020","0.3436116964863836","-47.0","2021-04-10 23:37:21.458"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.3436116964863836","-47.0","2021-04-10 23:37:21.482"
"912.75","17.0625","3008 33B2 DDD9 0140 0000 0020","5.964117303299373","-47.0","2021-04-10 23:37:21.534"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.976389149602458","-46.5","2021-04-10 23:37:21.557"
"912.75","9.75","3008 33B2 DDD9 0140 0000 0020","5.988660995905543","-47.0","2021-04-10 23:37:21.612"
"912.75","-0.875","E280 1160 6000 0207 A652 4164","0.5767767762450011","-72.0","2021-04-10 23:37:21.638"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.976389149602458","-47.0","2021-04-10 23:37:21.644"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.988660995905543","-46.5","2021-04-10 23:37:21.698"
"912.75","12.1875","3008 33B2 DDD9 0140 0000 0020","5.964117303299373","-47.0","2021-04-10 23:37:21.721"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0020","4.049709280018092","-47.0","2021-04-10 23:37:21.783"
"918.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.0558452031696355","-47.0","2021-04-10 23:37:21.805"
"918.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.061981126321178","-47.0","2021-04-10 23:37:21.861"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.0558452031696355","-47.0","2021-04-10 23:37:21.884"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.9941750242513334","-48.0","2021-04-10 23:37:21.936"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.012582793705961","-47.5","2021-04-10 23:37:21.96"
"925.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.012582793705961","-47.5","2021-04-10 23:37:22.013"
"925.25","19.5","3008 33B2 DDD9 0140 0000 0020","1.9880391010997909","-47.5","2021-04-10 23:37:22.037"
"925.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.9941750242513334","-47.5","2021-04-10 23:37:22.091"
"925.25","19.5","3008 33B2 DDD9 0140 0000 0020","1.9819031779482483","-47.5","2021-04-10 23:37:22.112"
"923.75","19.5","3008 33B2 DDD9 0140 0000 0020","2.423689644859313","-47.5","2021-04-10 23:37:22.191"
"923.75","14.625","3008 33B2 DDD9 0140 0000 0020","2.435961491162398","-48.0","2021-04-10 23:37:22.213"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.423689644859313","-48.0","2021-04-10 23:37:22.267"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.454369260617026","-48.0","2021-04-10 23:37:22.288"
"908.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.0983302441261191","-47.5","2021-04-10 23:37:22.343"
"908.25","21.9375","3008 33B2 DDD9 0140 0000 0020","1.1044661672776617","-47.5","2021-04-10 23:37:22.367"
"908.25","19.5","3008 33B2 DDD9 0140 0000 0020","1.0983302441261191","-47.5","2021-04-10 23:37:22.42"
"908.25","19.5","3008 33B2 DDD9 0140 0000 0020","1.0983302441261191","-47.5","2021-04-10 23:37:22.444"
"908.25","26.8125","3008 33B2 DDD9 0140 0000 0020","1.086058397823034","-47.5","2021-04-10 23:37:22.498"
"908.25","26.8125","3008 33B2 DDD9 0140 0000 0020","1.0983302441261191","-47.5","2021-04-10 23:37:22.52"
"926.25","14.625","3008 33B2 DDD9 0140 0000 0020","1.6996507129772904","-48.0","2021-04-10 23:37:22.597"
"926.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.6996507129772904","-48.0","2021-04-10 23:37:22.62"
