"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.25","-4.875","3008 33B2 DDD9 0140 0000 0020","4.73693267299086","-45.0","2021-04-10 23:52:46.52"
"924.25","-14.625","3008 33B2 DDD9 0140 0000 0020","4.773748211900116","-45.0","2021-04-10 23:52:46.547"
"911.25","0.0","E200 001D 1910 0119 1310 5A03","0.42337869745643697","-69.0","2021-04-10 23:52:46.575"
"911.25","-53.6875","E280 1160 6000 0207 A652 4164","4.276738436625168","-64.5","2021-04-10 23:52:46.621"
"911.25","-10.9375","E200 001D 1910 0116 1310 566E","2.6261751088602177","-65.0","2021-04-10 23:52:46.622"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.0923497946760143","-42.5","2021-04-10 23:52:46.623"
"911.25","2.125","E200 001D 1910 0119 1310 5A03","0.30679615757712825","-69.0","2021-04-10 23:52:46.635"
"911.25","23.1875","E200 001D 1910 0116 1310 566E","2.779573187648782","-65.0","2021-04-10 23:52:46.654"
"911.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.061670178918302","-43.0","2021-04-10 23:52:46.655"
"911.25","119.625","E280 1160 6000 0207 A652 4164","3.724505352986337","-62.5","2021-04-10 23:52:46.656"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0020","2.098485717827557","-43.0","2021-04-10 23:52:46.708"
"911.25","36.5625","E280 1160 6000 0207 A652 4164","4.104932588381976","-64.5","2021-04-10 23:52:46.71"
"911.25","-43.9375","E200 001D 1910 0116 1310 566E","2.7550294950426117","-65.0","2021-04-10 23:52:46.711"
"911.25","37.8125","E280 1160 6000 0207 A652 4164","3.9638063558964967","-64.0","2021-04-10 23:52:46.731"
"911.25","137.9375","E200 001D 1910 0116 1310 566E","2.5402721847386216","-64.0","2021-04-10 23:52:46.733"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.086213871524472","-43.0","2021-04-10 23:52:46.734"
"927.25","0.0","3008 33B2 DDD9 0140 0000 0020","3.9576704327449543","-45.0","2021-04-10 23:52:46.799"
