"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"908.75","7.3125","3008 33B2 DDD9 0140 0000 1000","0.6442719309119693","-46.0","2021-04-10 23:24:38.687"
"908.75","13.375","E200 001D 1910 0116 1310 566E","3.9392626632903265","-63.5","2021-04-10 23:24:38.688"
"908.75","-1.5","E280 1160 6000 0207 A652 4164","1.2762720155208536","-72.5","2021-04-10 23:24:38.703"
"915.75","-34.125","E200 001D 1910 0116 1310 566E","0.16566992509164924","-64.0","2021-04-10 23:24:38.749"
"915.75","14.625","3008 33B2 DDD9 0140 0000 1000","4.608078286808466","-45.5","2021-04-10 23:24:38.751"
"915.75","-0.5625","E280 1160 6000 0207 A652 4164","0.1349903093339364","-72.5","2021-04-10 23:24:38.768"
"915.75","15.8125","E200 001D 1910 0116 1310 566E","6.240233845118788","-64.5","2021-04-10 23:24:38.784"
"915.75","17.0625","3008 33B2 DDD9 0140 0000 1000","4.571262747899211","-45.5","2021-04-10 23:24:38.786"
"915.75","1.8125","E280 1160 6000 0207 A652 4164","6.252505691421874","-73.5","2021-04-10 23:24:38.803"
"915.75","0.0","3008 33B2 DDD9 0140 0000 1000","4.608078286808466","-45.0","2021-04-10 23:24:38.85"
"915.75","29.25","E200 001D 1910 0116 1310 566E","6.277049384028044","-64.0","2021-04-10 23:24:38.85"
"915.75","0.375","E280 1160 6000 0207 A652 4164","0.1349903093339364","-71.0","2021-04-10 23:24:38.866"
"915.75","-15.8125","E200 001D 1910 0116 1310 566E","0.09817477042468103","-65.0","2021-04-10 23:24:38.884"
"915.75","-9.75","3008 33B2 DDD9 0140 0000 1000","4.626486056263094","-45.0","2021-04-10 23:24:38.885"
"915.75","4.6875","E200 001D 1910 0122 1310 5F19","4.0128937411088375","-74.0","2021-04-10 23:24:38.897"
"915.75","-2.125","E280 1160 6000 0207 A652 4164","0.2699806186678728","-71.0","2021-04-10 23:24:38.912"
"902.75","46.375","E200 001D 1910 0119 1310 5A03","0.619728238305799","-68.0","2021-04-10 23:24:38.957"
"902.75","-151.3125","E280 1160 6000 0207 A652 4164","5.160311370447297","-69.5","2021-04-10 23:24:38.957"
"902.75","-2.4375","E200 001D 1910 0116 1310 566E","1.6137477888556946","-66.0","2021-04-10 23:24:38.958"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 1000","2.3439226438892597","-47.5","2021-04-10 23:24:38.959"
"902.75","9.75","3008 33B2 DDD9 0140 0000 1000","2.3439226438892597","-47.5","2021-04-10 23:24:38.982"
"902.75","-36.5625","E200 001D 1910 0116 1310 566E","1.662835174068035","-65.5","2021-04-10 23:24:38.983"
"902.75","-29.25","E200 001D 1910 0119 1310 5A03","0.7976700097005334","-67.0","2021-04-10 23:24:38.985"
"902.75","-0.0625","E280 1160 6000 0207 A652 4164","5.086680292628786","-70.0","2021-04-10 23:24:39.006"
"902.75","-263.625","E200 001D 1910 0119 1310 5A03","1.282407938672396","-68.0","2021-04-10 23:24:39.049"
"902.75","-70.75","E200 001D 1910 0116 1310 566E","1.7241944055834606","-65.0","2021-04-10 23:24:39.05"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 1000","2.356194490192345","-47.5","2021-04-10 23:24:39.051"
"902.75","129.375","E280 1160 6000 0207 A652 4164","4.528311285838413","-70.0","2021-04-10 23:24:39.051"
"902.75","87.875","E200 001D 1910 0116 1310 566E","1.509437095279471","-66.0","2021-04-10 23:24:39.074"
"902.75","9.75","3008 33B2 DDD9 0140 0000 1000","2.350058567040802","-47.5","2021-04-10 23:24:39.075"
"902.75","58.5625","E200 001D 1910 0119 1310 5A03","0.4724660826687775","-67.5","2021-04-10 23:24:39.076"
"902.75","1.0625","E280 1160 6000 0207 A652 4164","4.6878452877785195","-71.5","2021-04-10 23:24:39.1"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 1000","2.356194490192345","-47.5","2021-04-10 23:24:39.137"
"902.75","54.875","E200 001D 1910 0116 1310 566E","1.533980787885641","-66.5","2021-04-10 23:24:39.138"
