"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"912.75","68.3125","E200 001D 1910 0116 1310 566E","1.521708941582556","-63.5","2021-04-10 23:28:11.644"
"912.75","2.4375","3008 33B2 DDD9 0140 0000 2000","3.6017868899554855","-49.5","2021-04-10 23:28:11.646"
"912.75","0.8125","E280 1160 6000 0207 A652 4164","5.21553467881118","-69.5","2021-04-10 23:28:11.664"
"912.75","-1.3125","E200 001D 1910 0122 1310 5F19","5.822991070813893","-74.0","2021-04-10 23:28:11.693"
"912.75","17.0625","3008 33B2 DDD9 0140 0000 2000","3.5833791205008576","-49.5","2021-04-10 23:28:11.733"
"912.75","0.0625","E200 001D 1910 0116 1310 566E","1.5953400194010667","-64.0","2021-04-10 23:28:11.743"
"912.75","2.0","E280 1160 6000 0207 A652 4164","5.270757987175063","-70.0","2021-04-10 23:28:11.754"
"918.75","-36.5625","E200 001D 1910 0116 1310 566E","4.792155981354743","-64.0","2021-04-10 23:28:11.827"
"918.75","21.9375","3008 33B2 DDD9 0140 0000 2000","1.5830681730979816","-51.0","2021-04-10 23:28:11.828"
"918.75","-3.0","E280 1160 6000 0207 A652 4164","4.933282213840222","-72.5","2021-04-10 23:28:11.854"
"918.75","7.3125","3008 33B2 DDD9 0140 0000 2000","1.6198837120072371","-50.5","2021-04-10 23:28:11.9"
"918.75","67.125","E200 001D 1910 0116 1310 566E","4.632621979414636","-64.5","2021-04-10 23:28:11.902"
"918.75","-0.1875","E280 1160 6000 0207 A652 4164","4.798291904506286","-70.5","2021-04-10 23:28:11.921"
"918.75","9.75","3008 33B2 DDD9 0140 0000 2000","1.576932249946439","-50.5","2021-04-10 23:28:11.966"
"918.75","9.75","E200 001D 1910 0116 1310 566E","4.693981210930062","-64.0","2021-04-10 23:28:11.966"
"918.75","-0.125","E280 1160 6000 0207 A652 4164","4.81056375080937","-71.0","2021-04-10 23:28:11.985"
"925.25","2.4375","3008 33B2 DDD9 0140 0000 2000","5.902758071783947","-51.5","2021-04-10 23:28:12.04"
"925.25","1.125","E200 001D 1910 0116 1310 566E","1.2640001692177683","-69.0","2021-04-10 23:28:12.065"
"925.25","17.0625","3008 33B2 DDD9 0140 0000 2000","5.8475347634200645","-51.5","2021-04-10 23:28:12.071"
"925.25","29.25","3008 33B2 DDD9 0140 0000 2000","5.884350302329319","-52.0","2021-04-10 23:28:12.125"
"925.25","21.9375","3008 33B2 DDD9 0140 0000 2000","5.884350302329319","-51.5","2021-04-10 23:28:12.148"
"923.75","34.125","3008 33B2 DDD9 0140 0000 2000","0.030679615757712823","-52.0","2021-04-10 23:28:12.211"
"923.75","24.375","3008 33B2 DDD9 0140 0000 2000","0.04295146206079795","-52.0","2021-04-10 23:28:12.233"
"923.75","-0.5625","E200 001D 1910 0116 1310 566E","5.190990986205009","-67.0","2021-04-10 23:28:12.255"
"923.75","-2.4375","3008 33B2 DDD9 0140 0000 2000","0.09203884727313846","-52.0","2021-04-10 23:28:12.299"
"923.75","-1.625","E200 001D 1910 0116 1310 566E","2.055534255766759","-67.5","2021-04-10 23:28:12.319"
"923.75","14.625","3008 33B2 DDD9 0140 0000 2000","0.05522330836388308","-52.5","2021-04-10 23:28:12.334"
"923.75","-73.1875","E200 001D 1910 0116 1310 566E","2.12916533358527","-65.5","2021-04-10 23:28:12.335"
"923.75","21.9375","3008 33B2 DDD9 0140 0000 2000","0.0","-52.0","2021-04-10 23:28:12.39"
"923.75","146.4375","E200 001D 1910 0116 1310 566E","1.7548740213411735","-66.5","2021-04-10 23:28:12.391"
"908.25","126.9375","E280 1160 6000 0207 A652 4164","1.5278448647340985","-67.0","2021-04-10 23:28:12.412"
"908.25","50.0","E200 001D 1910 0116 1310 566E","4.1172044346850605","-63.5","2021-04-10 23:28:12.433"
"908.25","-4.875","3008 33B2 DDD9 0140 0000 2000","5.190990986205009","-49.5","2021-04-10 23:28:12.435"
"908.25","-156.25","E200 001D 1910 0119 1310 5A03","4.319689898685965","-66.5","2021-04-10 23:28:12.435"
"908.25","-0.0625","E280 1160 6000 0207 A652 4164","4.828971520263998","-69.5","2021-04-10 23:28:12.458"
"908.25","52.4375","E200 001D 1910 0116 1310 566E","4.215379205109742","-63.5","2021-04-10 23:28:12.498"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 2000","5.141903600992669","-49.5","2021-04-10 23:28:12.498"
"908.25","-9.75","E280 1160 6000 0207 A652 4164","1.7241944055834606","-69.0","2021-04-10 23:28:12.5"
"908.25","19.5","E200 001D 1910 0119 1310 5A03","3.9085830475326135","-67.0","2021-04-10 23:28:12.501"
"908.25","57.3125","E200 001D 1910 0116 1310 566E","4.031301510563465","-62.5","2021-04-10 23:28:12.523"
"908.25","0.0","3008 33B2 DDD9 0140 0000 2000","5.166447293598839","-49.5","2021-04-10 23:28:12.524"
"908.25","46.375","E280 1160 6000 0207 A652 4164","1.4848934026733007","-68.0","2021-04-10 23:28:12.524"
"908.25","0.4375","E200 001D 1910 0119 1310 5A03","0.9081166264282996","-67.5","2021-04-10 23:28:12.539"
"908.25","36.5625","E200 001D 1910 0116 1310 566E","4.0987966652304335","-63.5","2021-04-10 23:28:12.589"
"908.25","100.0625","E200 001D 1910 0119 1310 5A03","3.9085830475326135","-67.0","2021-04-10 23:28:12.589"
"908.25","9.75","3008 33B2 DDD9 0140 0000 2000","5.160311370447297","-49.5","2021-04-10 23:28:12.59"
"908.25","36.5625","E280 1160 6000 0207 A652 4164","1.6444274046134073","-69.0","2021-04-10 23:28:12.591"
"926.25","-12.1875","3008 33B2 DDD9 0140 0000 2000","5.620505606812989","-52.0","2021-04-10 23:28:12.635"
"926.25","19.5","3008 33B2 DDD9 0140 0000 2000","5.565282298449106","-52.0","2021-04-10 23:28:12.691"
"926.25","-12.1875","3008 33B2 DDD9 0140 0000 2000","5.626641529964532","-52.0","2021-04-10 23:28:12.712"
"926.25","2.875","E200 001D 1910 0116 1310 566E","0.7117670855789375","-68.5","2021-04-10 23:28:12.739"
"926.25","-14.625","3008 33B2 DDD9 0140 0000 2000","5.589825991055276","-52.0","2021-04-10 23:28:12.777"
"926.25","0.8125","E200 001D 1910 0116 1310 566E","0.859029241215959","-70.0","2021-04-10 23:28:12.793"
"907.75","-2.4375","3008 33B2 DDD9 0140 0000 2000","5.325981295538946","-50.0","2021-04-10 23:28:12.828"
"907.75","75.625","E200 001D 1910 0119 1310 5A03","4.23378697456437","-67.5","2021-04-10 23:28:12.829"
"907.75","53.6875","E280 1160 6000 0207 A652 4164","1.6996507129772904","-69.0","2021-04-10 23:28:12.83"
"907.75","62.25","E200 001D 1910 0116 1310 566E","4.3933209765044765","-64.0","2021-04-10 23:28:12.831"
"907.75","0.0","3008 33B2 DDD9 0140 0000 2000","5.332117218690489","-50.0","2021-04-10 23:28:12.885"
"907.75","9.75","E200 001D 1910 0116 1310 566E","4.534447208989955","-63.5","2021-04-10 23:28:12.886"
"907.75","2.4375","E200 001D 1910 0119 1310 5A03","1.0185632431560658","-68.5","2021-04-10 23:28:12.904"
"907.75","-2.1875","E280 1160 6000 0207 A652 4164","5.111223985234957","-68.5","2021-04-10 23:28:12.917"
"907.75","29.25","E200 001D 1910 0119 1310 5A03","4.1417481272912315","-69.5","2021-04-10 23:28:12.927"
"907.75","75.625","E280 1160 6000 0207 A652 4164","1.6996507129772904","-68.5","2021-04-10 23:28:12.928"
"907.75","-2.4375","3008 33B2 DDD9 0140 0000 2000","5.332117218690489","-49.5","2021-04-10 23:28:12.929"
"907.75","-78.125","E200 001D 1910 0116 1310 566E","4.675573441475434","-63.5","2021-04-10 23:28:12.93"
"907.75","0.0","3008 33B2 DDD9 0140 0000 2000","5.301437602932776","-50.0","2021-04-10 23:28:12.982"
"907.75","37.8125","E200 001D 1910 0119 1310 5A03","4.338097668140593","-67.0","2021-04-10 23:28:12.984"
"907.75","9.75","E200 001D 1910 0116 1310 566E","4.405592822807561","-63.0","2021-04-10 23:28:12.985"
"907.75","0.8125","E280 1160 6000 0207 A652 4164","5.006913291658733","-69.0","2021-04-10 23:28:13.004"
"916.75","-62.25","E200 001D 1910 0116 1310 566E","5.93343768754166","-63.5","2021-04-10 23:28:13.039"
"916.75","21.9375","3008 33B2 DDD9 0140 0000 2000","2.2027964114037806","-50.0","2021-04-10 23:28:13.039"
"916.75","4.875","3008 33B2 DDD9 0140 0000 2000","2.2334760271614935","-50.0","2021-04-10 23:28:13.093"
"916.75","13.375","E200 001D 1910 0116 1310 566E","5.706408530934585","-64.5","2021-04-10 23:28:13.094"
"916.75","-54.875","E200 001D 1910 0116 1310 566E","5.829126993965437","-64.5","2021-04-10 23:28:13.13"
"916.75","29.25","3008 33B2 DDD9 0140 0000 2000","2.1905245651006955","-50.0","2021-04-10 23:28:13.131"
"916.75","-0.375","E280 1160 6000 0207 A652 4164","5.945709533844745","-70.5","2021-04-10 23:28:13.142"
"916.75","-28.0625","E200 001D 1910 0116 1310 566E","5.688000761479957","-63.5","2021-04-10 23:28:13.195"
"916.75","0.0","3008 33B2 DDD9 0140 0000 2000","2.2334760271614935","-50.0","2021-04-10 23:28:13.197"
"922.25","146.4375","E200 001D 1910 0116 1310 566E","2.4911847995262812","-64.5","2021-04-10 23:28:13.227"
"922.25","4.875","3008 33B2 DDD9 0140 0000 2000","0.5092816215780329","-51.5","2021-04-10 23:28:13.228"
"922.25","31.6875","E200 001D 1910 0116 1310 566E","2.6200391857086753","-65.5","2021-04-10 23:28:13.279"
"922.25","-7.3125","3008 33B2 DDD9 0140 0000 2000","0.5276893910326605","-51.0","2021-04-10 23:28:13.282"
"922.25","21.9375","3008 33B2 DDD9 0140 0000 2000","0.4724660826687775","-51.5","2021-04-10 23:28:13.303"
"922.25","184.3125","E200 001D 1910 0116 1310 566E","2.429825568010856","-66.5","2021-04-10 23:28:13.304"
"922.25","7.3125","E200 001D 1910 0116 1310 566E","2.748893571891069","-66.5","2021-04-10 23:28:13.357"
"922.25","-14.625","3008 33B2 DDD9 0140 0000 2000","0.521553467881118","-51.5","2021-04-10 23:28:13.359"
"922.25","19.5","3008 33B2 DDD9 0140 0000 2000","0.4908738521234052","-51.5","2021-04-10 23:28:13.381"
"922.25","0.625","E200 001D 1910 0116 1310 566E","6.000932842208628","-66.5","2021-04-10 23:28:13.398"
"917.75","-25.625","E200 001D 1910 0116 1310 566E","5.307573526084319","-64.0","2021-04-10 23:28:13.468"
"917.75","2.4375","3008 33B2 DDD9 0140 0000 2000","1.9144080232812801","-50.0","2021-04-10 23:28:13.47"
