"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"918.75","-19.5","3008 33B2 DDD9 0140 0000 2000","0.9326603190344698","-49.5","2021-04-10 23:31:05.729"
"918.75","20.75","E200 001D 1910 0116 1310 566E","4.693981210930062","-64.5","2021-04-10 23:31:05.729"
"918.75","1.125","E280 1160 6000 0207 A652 4164","1.1658253987930873","-71.0","2021-04-10 23:31:05.745"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 2000","5.056000676871073","-50.0","2021-04-10 23:31:05.782"
"925.25","-0.75","E200 001D 1910 0116 1310 566E","1.3499030933393643","-68.5","2021-04-10 23:31:05.795"
"925.25","-12.1875","3008 33B2 DDD9 0140 0000 2000","5.098952138931871","-50.0","2021-04-10 23:31:05.845"
"925.25","0.1875","E200 001D 1910 0116 1310 566E","1.3130875544301088","-68.5","2021-04-10 23:31:05.86"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 2000","5.098952138931871","-50.0","2021-04-10 23:31:05.878"
"925.25","-1.25","E200 001D 1910 0116 1310 566E","1.325359400733194","-68.0","2021-04-10 23:31:05.903"
"925.25","17.0625","3008 33B2 DDD9 0140 0000 2000","5.037592907416445","-50.0","2021-04-10 23:31:05.941"
"925.25","-3.0","E200 001D 1910 0116 1310 566E","1.4603497100671303","-67.5","2021-04-10 23:31:05.957"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 2000","5.559146375297564","-50.5","2021-04-10 23:31:05.991"
"923.75","62.25","E200 001D 1910 0116 1310 566E","2.024854640009046","-66.0","2021-04-10 23:31:05.992"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 2000","5.546874528994478","-50.5","2021-04-10 23:31:06.045"
"923.75","-0.0625","E200 001D 1910 0116 1310 566E","2.0371264863121317","-66.5","2021-04-10 23:31:06.057"
"923.75","36.5625","3008 33B2 DDD9 0140 0000 2000","5.522330836388308","-50.5","2021-04-10 23:31:06.079"
"923.75","-0.4375","E200 001D 1910 0116 1310 566E","2.030990563160589","-67.0","2021-04-10 23:31:06.091"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 2000","5.540738605842936","-50.5","2021-04-10 23:31:06.144"
"923.75","-1.625","E200 001D 1910 0116 1310 566E","5.2339424482658075","-66.5","2021-04-10 23:31:06.159"
"908.25","-73.1875","E200 001D 1910 0116 1310 566E","4.411728745959104","-62.5","2021-04-10 23:31:06.191"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 2000","4.374913207049849","-49.0","2021-04-10 23:31:06.192"
"908.25","-51.25","E200 001D 1910 0119 1310 5A03","4.313553975534423","-66.0","2021-04-10 23:31:06.192"
"908.25","-30.5","E280 1160 6000 0207 A652 4164","1.3069516312785663","-67.0","2021-04-10 23:31:06.193"
"908.25","-18.25","E200 001D 1910 0116 1310 566E","4.362641360746763","-63.5","2021-04-10 23:31:06.246"
"908.25","151.3125","E280 1160 6000 0207 A652 4164","1.1719613219446299","-65.5","2021-04-10 23:31:06.247"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 2000","4.399456899656019","-49.0","2021-04-10 23:31:06.248"
"908.25","-35.375","E200 001D 1910 0119 1310 5A03","4.178563666200486","-67.5","2021-04-10 23:31:06.248"
"908.25","35.375","E200 001D 1910 0119 1310 5A03","3.9392626632903265","-65.5","2021-04-10 23:31:06.269"
"908.25","36.5625","E200 001D 1910 0116 1310 566E","4.190835512503572","-63.0","2021-04-10 23:31:06.272"
"908.25","34.125","3008 33B2 DDD9 0140 0000 2000","4.374913207049849","-49.5","2021-04-10 23:31:06.272"
"908.25","-32.9375","E280 1160 6000 0207 A652 4164","1.4173982480063325","-65.5","2021-04-10 23:31:06.273"
"908.25","0.0","3008 33B2 DDD9 0140 0000 2000","4.405592822807561","-49.5","2021-04-10 23:31:06.325"
"908.25","73.1875","E280 1160 6000 0207 A652 4164","1.2087768608538851","-67.0","2021-04-10 23:31:06.326"
