"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"927.25","148.875","E200 001D 1910 0116 1310 566E","4.154019973594316","-62.5","2021-04-10 14:41:16.504"
"927.25","-0.9375","E200 001D 1910 0117 1310 5A02","5.190990986205009","-69.5","2021-04-10 14:41:16.516"
"927.25","0.8125","E200 001D 1910 0118 1310 566F","0.5583690067903734","-66.5","2021-04-10 14:41:16.538"
"913.75","-111.0625","3008 33B2 DDD9 0140 0000 0020","4.086524818927348","-60.0","2021-04-10 14:41:16.583"
"913.75","-85.4375","E200 001D 1910 0116 1310 566E","6.129787228391022","-64.0","2021-04-10 14:41:16.584"
"913.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","3.9699422790480394","-62.0","2021-04-10 14:41:16.64"
"913.75","73.1875","E200 001D 1910 0116 1310 566E","5.7616318392984684","-65.0","2021-04-10 14:41:16.642"
"913.75","0.5625","E200 001D 1910 0116 1310 566E","5.792311455056181","-66.0","2021-04-10 14:41:16.68"
"913.75","0.625","3008 33B2 DDD9 0140 0000 0020","3.9208548938356986","-62.5","2021-04-10 14:41:16.698"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0020","3.890175278077986","-63.0","2021-04-10 14:41:16.735"
"913.75","-98.875","E200 001D 1910 0116 1310 566E","6.154330920997192","-66.0","2021-04-10 14:41:16.737"
"926.25","-7.3125","E200 001D 1910 0116 1310 566E","5.037592907416445","-63.5","2021-04-10 14:41:16.784"
"926.25","1.5","E200 001D 1910 0118 1310 566F","1.0369710126106935","-66.5","2021-04-10 14:41:16.798"
"926.25","0.0625","E200 001D 1910 0118 1310 566F","1.2087768608538851","-64.5","2021-04-10 14:41:16.866"
"926.25","-0.4375","E200 001D 1910 0116 1310 566E","5.178719139901925","-63.0","2021-04-10 14:41:16.877"
"926.25","-7.3125","E200 001D 1910 0118 1310 566F","4.319689898685965","-66.0","2021-04-10 14:41:16.891"
"926.25","0.4375","3008 33B2 DDD9 0140 0000 0020","0.12885438618239387","-63.0","2021-04-10 14:41:16.896"
"926.25","5.125","E200 001D 1910 0116 1310 566E","5.037592907416445","-64.5","2021-04-10 14:41:16.9"
"926.25","8.0","E200 001D 1910 0123 1310 62B1","4.816699673960914","-73.5","2021-04-10 14:41:16.904"
"926.25","34.125","E200 001D 1910 0116 1310 566E","4.970097752749477","-63.0","2021-04-10 14:41:16.94"
"926.25","59.8125","E200 001D 1910 0118 1310 566F","3.9944859716542096","-66.0","2021-04-10 14:41:16.941"
"904.25","-12.1875","3008 33B2 DDD9 0140 0000 0020","0.1349903093339364","-58.5","2021-04-10 14:41:16.95"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.09203884727313846","-58.5","2021-04-10 14:41:16.96"
